player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Tokelo Rantie,22,Centre-Forward,Malmö FF,4000000.0,in,Summer,2013,2013/2014
Elliott Ward,28,Centre-Back,Norwich,0.0,in,Summer,2013,2013/2014
Ian Harte,35,Left-Back,Reading,0.0,in,Summer,2013,2013/2014
Samir Bihmoutine,19,Left-Back,Arsenal U21,0.0,in,Summer,2013,2013/2014
Charlie Losasso,20,Left Winger,Reading U21,0.0,in,Summer,2013,2013/2014
Lee Camp,29,Goalkeeper,West Brom,0.0,in,Summer,2013,2013/2014
Stephen Henderson,25,Goalkeeper,West Ham,0.0,in,Summer,2013,2013/2014
Jack Collison,24,Central Midfield,West Ham,0.0,in,Summer,2013,2013/2014
Mohamed Coulibaly,24,Centre-Forward,Grasshoppers,0.0,in,Summer,2013,2013/2014
Andrew Surman,26,Central Midfield,Norwich,0.0,in,Summer,2013,2013/2014
Benjamin Büchel,24,Goalkeeper,Havant & Water.,0.0,in,Summer,2013,2013/2014
Josh McQuoid,24,Centre-Forward,Peterborough,0.0,in,Summer,2013,2013/2014
Josh O'Hanlon,18,Centre-Forward,Oxford City,0.0,in,Summer,2013,2013/2014
Matt Tubbs,29,Centre-Forward,Crawley Town,0.0,in,Summer,2013,2013/2014
Miles Addison,25,Centre-Back,Rotherham,0.0,in,Summer,2013,2013/2014
Jayden Stockley,20,Centre-Forward,Torquay,0.0,in,Summer,2013,2013/2014
Stéphane Zubar,26,Centre-Back,Bury,0.0,in,Summer,2013,2013/2014
Aristide Bassele,19,Right Winger,Dorchester,0.0,in,Summer,2013,2013/2014
Shwan Jalal,30,Goalkeeper,Oxford United,0.0,in,Summer,2013,2013/2014
Frank Demouge,31,Centre-Forward,Roda JC,0.0,in,Summer,2013,2013/2014
Charlie Sheringham,25,Centre-Forward,AFC Wimbledon,0.0,out,Summer,2013,2013/2014
Jon Meades,21,Left-Back,Oxford United,0.0,out,Summer,2013,2013/2014
Frank Demouge,31,Centre-Forward,Roda JC,0.0,out,Summer,2013,2013/2014
Matt Tubbs,29,Centre-Forward,Rotherham,0.0,out,Summer,2013,2013/2014
Josh Wakefield,19,Central Midfield,Dorchester,0.0,out,Summer,2013,2013/2014
Aristide Bassele,19,Right Winger,Dorchester,0.0,out,Summer,2013,2013/2014
Shwan Jalal,30,Goalkeeper,Oxford United,0.0,out,Summer,2013,2013/2014
Jayden Stockley,19,Centre-Forward,Leyton Orient,0.0,out,Summer,2013,2013/2014
Steve Fletcher,40,Centre-Forward,Retired,0.0,out,Summer,2013,2013/2014
Stephen Henderson,25,Goalkeeper,West Ham,0.0,out,Summer,2013,2013/2014
Jack Collison,25,Central Midfield,West Ham,0.0,out,Summer,2013,2013/2014
Andrew Surman,27,Central Midfield,Norwich,0.0,out,Summer,2013,2013/2014
Josh O'Hanlon,18,Centre-Forward,Longford Town,55000.0,in,Winter,2013,2013/2014
Lee Camp,29,Goalkeeper,West Brom,0.0,in,Winter,2013,2013/2014
Nico Yennaris,20,Defensive Midfield,Arsenal,0.0,in,Winter,2013,2013/2014
Yann Kermorgant,32,Centre-Forward,Charlton,0.0,in,Winter,2013,2013/2014
Adam Smith,22,Right-Back,Spurs,0.0,in,Winter,2013,2013/2014
Harry Cornick,18,Centre-Forward,Welling Utd.,0.0,in,Winter,2013,2013/2014
Matt Tubbs,29,Centre-Forward,Rotherham,0.0,in,Winter,2013,2013/2014
Samir Bihmoutine,20,Left-Back,Hayes & Yeading,0.0,in,Winter,2013,2013/2014
Shwan Jalal,30,Goalkeeper,Leyton Orient,0.0,in,Winter,2013,2013/2014
Josh Wakefield,20,Central Midfield,Dorchester,0.0,in,Winter,2013,2013/2014
Charlie Losasso,21,Left Winger,Dorchester,0.0,in,Winter,2013,2013/2014
Charlie Losasso,21,Left Winger,Whitehawk,0.0,in,Winter,2013,2013/2014
Joe Partington,24,Right-Back,Aldershot,0.0,in,Winter,2013,2013/2014
Benjamin Büchel,24,Goalkeeper,Poole,0.0,in,Winter,2013,2013/2014
Aristide Bassele,19,Right Winger,Welling Utd.,0.0,in,Winter,2013,2013/2014
Jayden Stockley,20,Centre-Forward,Leyton Orient,0.0,in,Winter,2013,2013/2014
Wes Fogden,25,Right Midfield,Portsmouth,0.0,out,Winter,2013,2013/2014
Wes Thomas,26,Centre-Forward,Rotherham,0.0,out,Winter,2013,2013/2014
Harry Cornick,18,Centre-Forward,Aldershot,0.0,out,Winter,2013,2013/2014
