player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
John Jensen,27,Central Midfield,Bröndby IF,1600000.0,in,Summer,1992,1992/1993
Gary McKeown,21,midfield,Shrewsbury,0.0,in,Summer,1992,1992/1993
Ian Selley,18,Central Midfield,Arsenal U18,0.0,in,Summer,1992,1992/1993
Alan Miller,23,Goalkeeper,Birmingham,0.0,in,Summer,1992,1992/1993
Steve Morrow,21,Right-Back,Barnet,0.0,in,Summer,1992,1992/1993
John Bacon,19,Centre-Forward,Shamrock Rovers,0.0,in,Summer,1992,1992/1993
David Rocastle,25,Attacking Midfield,Leeds,2400000.0,out,Summer,1992,1992/1993
Perry Groves,27,Left Winger,Southampton,850000.0,out,Summer,1992,1992/1993
Ty Gooden,19,midfield,Wycombe,0.0,out,Summer,1992,1992/1993
Gary McKeown,21,midfield,Dundee FC,0.0,out,Summer,1992,1992/1993
Martin Keown,26,Centre-Back,Everton,3000000.0,in,Winter,1992,1992/1993
John Bacon,19,Centre-Forward,Derry City,0.0,out,Winter,1992,1992/1993
Eddie McGoldrick,28,Right Winger,Crystal Palace,1280000.0,in,Summer,1993,1993/1994
Adrian Clarke,18,midfield,Arsenal Res.,0.0,in,Summer,1993,1993/1994
Paul Dickov,21,Centre-Forward,Brighton,0.0,in,Summer,1993,1993/1994
John Bacon,20,Centre-Forward,Derry City,0.0,in,Summer,1993,1993/1994
John Bacon,20,Centre-Forward,Shamrock Rovers,0.0,out,Summer,1993,1993/1994
Paul Dickov,20,Centre-Forward,Luton,0.0,out,Summer,1993,1993/1994
David O'Leary,35,Centre-Back,Leeds,0.0,out,Summer,1993,1993/1994
Colin Pates,31,Centre-Back,Brighton,0.0,out,Summer,1993,1993/1994
Paul Dickov,21,Centre-Forward,Luton,0.0,in,Winter,1993,1993/1994
Anders Limpar,28,Attacking Midfield,Everton,1900000.0,out,Winter,1993,1993/1994
Neil Heaney,22,Right Winger,Southampton,380000.0,out,Winter,1993,1993/1994
Paul Dickov,21,Centre-Forward,Brighton,0.0,out,Winter,1993,1993/1994
Pal Lydersen,28,Left-Back,IK Start,0.0,out,Winter,1993,1993/1994
Stefan Schwarz,25,Central Midfield,Benfica,1000000.0,in,Summer,1994,1994/1995
Lee Harper,22,Goalkeeper,Sittingbourne FC,180000.0,in,Summer,1994,1994/1995
Vince Bartram,25,Goalkeeper,Bournemouth,0.0,in,Summer,1994,1994/1995
Matthew Rose,18,Right-Back,Arsenal U18,0.0,in,Summer,1994,1994/1995
Paul Shaw,21,Centre-Forward,Burnley,0.0,in,Summer,1994,1994/1995
Kevin Campbell,24,Centre-Forward,Nottm Forest,4200000.0,out,Summer,1994,1994/1995
Alan Miller,24,Goalkeeper,Middlesbrough,0.0,out,Summer,1994,1994/1995
Scott Marshall,21,Centre-Back,Sheff Utd,0.0,out,Summer,1994,1994/1995
John Hartson,19,Centre-Forward,Luton,3750000.0,in,Winter,1994,1994/1995
Chris Kiwomya,25,Centre-Forward,Ipswich,2250000.0,in,Winter,1994,1994/1995
Glenn Helder,26,Left Winger,Vitesse,0.0,in,Winter,1994,1994/1995
Jimmy Carter,29,Right Winger,Oxford United,0.0,in,Winter,1994,1994/1995
Paul Davis,33,Central Midfield,Stabæk Fotball,0.0,out,Winter,1994,1994/1995
Jimmy Carter,29,Right Winger,Oxford United,0.0,out,Winter,1994,1994/1995
Paul Shaw,21,Centre-Forward,Burnley,0.0,out,Winter,1994,1994/1995
Dennis Bergkamp,26,Second Striker,Inter,11250000.0,in,Summer,1995,1995/1996
David Platt,29,Attacking Midfield,Sampdoria,7100000.0,in,Summer,1995,1995/1996
Roy O'Brien,20,midfield,Unknown,0.0,in,Summer,1995,1995/1996
