player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Ross McCormack,29,Second Striker,Fulham,14300000.0,in,Summer,2016,2016/2017
Jonathan Kodjia,26,Centre-Forward,Bristol City,12800000.0,in,Summer,2016,2016/2017
James Chester,27,Centre-Back,West Brom,9300000.0,in,Summer,2016,2016/2017
Aaron Tshibola,21,Central Midfield,Reading,5900000.0,in,Summer,2016,2016/2017
Pierluigi Gollini,21,Goalkeeper,Hellas Verona,5000000.0,in,Summer,2016,2016/2017
Mile Jedinak,32,Defensive Midfield,Crystal Palace,4600000.0,in,Summer,2016,2016/2017
Tommy Elphick,28,Centre-Back,Bournemouth,3900000.0,in,Summer,2016,2016/2017
Albert Adomah,28,Right Winger,Middlesbrough,3500000.0,in,Summer,2016,2016/2017
Ritchie De Laet,27,Centre-Back,Leicester,2300000.0,in,Summer,2016,2016/2017
Andre Green,17,Left Winger,Aston Villa U21,0.0,in,Summer,2016,2016/2017
Ross McCormack,30,Second Striker,Nottm Forest,0.0,in,Summer,2016,2016/2017
Aaron Tshibola,22,Central Midfield,Nottm Forest,0.0,in,Summer,2016,2016/2017
Callum Robinson,21,Left Winger,Preston,0.0,in,Summer,2016,2016/2017
José Crespo,29,Centre-Back,Rayo Vallecano,0.0,in,Summer,2016,2016/2017
Idrissa Gueye,26,Central Midfield,Everton,8500000.0,out,Summer,2016,2016/2017
Adama Traoré,20,Right Winger,Middlesbrough,8250000.0,out,Summer,2016,2016/2017
Ciaran Clark,26,Centre-Back,Newcastle,6000000.0,out,Summer,2016,2016/2017
Scott Sinclair,27,Left Winger,Celtic,4099999.9999999995,out,Summer,2016,2016/2017
Benjamin Siegrist,24,Goalkeeper,FC Vaduz,250000.0,out,Summer,2016,2016/2017
Brad Guzan,31,Goalkeeper,Middlesbrough,0.0,out,Summer,2016,2016/2017
Callum Robinson,21,Left Winger,Preston,0.0,out,Summer,2016,2016/2017
Janoi Donacien,22,Right-Back,Accrington,0.0,out,Summer,2016,2016/2017
José Crespo,29,Centre-Back,PAOK Salonika,0.0,out,Summer,2016,2016/2017
Joleon Lescott,34,Centre-Back,AEK Athens,0.0,out,Summer,2016,2016/2017
Joe Bennett,26,Left-Back,Cardiff,0.0,out,Summer,2016,2016/2017
Jores Okore,24,Centre-Back,FC Copenhagen,0.0,out,Summer,2016,2016/2017
Carles Gil,23,Attacking Midfield,Dep. La Coruña,0.0,out,Summer,2016,2016/2017
Jordan Veretout,23,Central Midfield,Saint-Étienne,0.0,out,Summer,2016,2016/2017
Carlos Sánchez,30,Defensive Midfield,Fiorentina,0.0,out,Summer,2016,2016/2017
Kieran Richardson,31,Left-Back,Without Club,0.0,out,Summer,2016,2016/2017
Charles N'Zogbia,30,Right Winger,Retired,0.0,out,Summer,2016,2016/2017
Sam Johnstone,24,Goalkeeper,Man Utd,0.0,out,Summer,2016,2016/2017
Scott Hogan,24,Centre-Forward,Brentford,10500000.0,in,Winter,2016,2016/2017
James Bree,19,Right-Back,Barnsley FC,3500000.0,in,Winter,2016,2016/2017
Conor Hourihane,25,Central Midfield,Barnsley FC,3500000.0,in,Winter,2016,2016/2017
Henri Lansbury,26,Central Midfield,Nottm Forest,3400000.0,in,Winter,2016,2016/2017
Birkir Bjarnason,28,Attacking Midfield,FC Basel,2000000.0,in,Winter,2016,2016/2017
Jacob Bedeau,17,Centre-Back,Bury,1000000.0,in,Winter,2016,2016/2017
Neil Taylor,27,Left-Back,Swansea,0.0,in,Winter,2016,2016/2017
Sam Johnstone,23,Goalkeeper,Man Utd,0.0,in,Winter,2016,2016/2017
Rudy Gestede,28,Centre-Forward,Middlesbrough,7100000.0,out,Winter,2016,2016/2017
Ashley Westwood,26,Defensive Midfield,Burnley,5800000.0,out,Winter,2016,2016/2017
Jordan Ayew,25,Centre-Forward,Swansea,5800000.0,out,Winter,2016,2016/2017
Pierluigi Gollini,21,Goalkeeper,Atalanta BC,0.0,out,Winter,2016,2016/2017
Aly Cissokho,29,Centre-Back,Olympiacos,0.0,out,Winter,2016,2016/2017
Aaron Tshibola,22,Central Midfield,Nottm Forest,0.0,out,Winter,2016,2016/2017
Ross McCormack,30,Second Striker,Nottm Forest,0.0,out,Winter,2016,2016/2017
Glenn Whelan,33,Defensive Midfield,Stoke City,1700000.0,in,Summer,2017,2017/2018
Ahmed Elmohamady,29,Right-Back,Hull City,1100000.0,in,Summer,2017,2017/2018
John Terry,36,Centre-Back,Chelsea,0.0,in,Summer,2017,2017/2018
Robert Snodgrass,29,Right Winger,West Ham,0.0,in,Summer,2017,2017/2018
Sam Johnstone,24,Goalkeeper,Man Utd,0.0,in,Summer,2017,2017/2018
Josh Onomah,20,Central Midfield,Spurs,0.0,in,Summer,2017,2017/2018
Keinan Davis,19,Centre-Forward,Aston Villa U21,0.0,in,Summer,2017,2017/2018
Christopher Samba,33,Centre-Back,Without Club,0.0,in,Summer,2017,2017/2018
Aaron Tshibola,23,Central Midfield,Kilmarnock FC,0.0,in,Summer,2017,2017/2018
Tommy Elphick,30,Centre-Back,Reading,0.0,in,Summer,2017,2017/2018
