player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Michael McIndoe,26,Left Winger,Doncaster,125000.0,in,Summer,2006,2006/2007
Sam Togwell,21,Defensive Midfield,Crystal Palace,75000.0,in,Summer,2006,2006/2007
Dwayne Mattis,24,Central Midfield,Bury,75000.0,in,Summer,2006,2006/2007
Michael Coulson,18,Right Winger,Scarborough Athletic,0.0,in,Summer,2006,2006/2007
Kyle Letheren,18,Goalkeeper,Newport County,0.0,in,Summer,2006,2006/2007
Colin Healy,26,Central Midfield,Livingston FC,0.0,in,Summer,2006,2006/2007
Vito Mannone,18,Goalkeeper,Arsenal,0.0,in,Summer,2006,2006/2007
Nicky Wroe,21,Central Midfield,Bury,0.0,in,Summer,2006,2006/2007
Simon Heslop,20,Central Midfield,Tamworth,0.0,in,Summer,2006,2006/2007
Ryan Laight,21,Centre-Back,Alfreton,0.0,in,Summer,2006,2006/2007
Robbie Williams,22,Left-Back,Blackpool,0.0,in,Summer,2006,2006/2007
Nathan Joynes,21,Centre-Forward,Boston Utd,0.0,in,Summer,2006,2006/2007
Thomas Harban,20,defence,Tamworth,0.0,in,Summer,2006,2006/2007
Scott Flinders,20,Goalkeeper,Crystal Palace,1130000.0,out,Summer,2006,2006/2007
Stephen McPhail,26,Left Midfield,Cardiff,0.0,out,Summer,2006,2006/2007
Chris Shuker,24,Right Midfield,Tranmere Rovers,0.0,out,Summer,2006,2006/2007
Michael Boulding,30,Centre-Forward,Rotherham,0.0,out,Summer,2006,2006/2007
Barry Conlon,27,Centre-Forward,Darlington,0.0,out,Summer,2006,2006/2007
Damian Reeves,20,Centre-Forward,Farsley,0.0,out,Summer,2006,2006/2007
Tony McParland,23,Left Midfield,Wycombe,0.0,out,Summer,2006,2006/2007
Matt Carbon,31,Centre-Back,NZ Knights FC,0.0,out,Summer,2006,2006/2007
Thomas Harban,20,defence,Tamworth,0.0,out,Summer,2006,2006/2007
Ryan Laight,20,Centre-Back,Tamworth,0.0,out,Summer,2006,2006/2007
David Scarsella,23,Goalkeeper,Without Club,0.0,out,Summer,2006,2006/2007
Tony Vaughan,30,Left-Back,Retired,0.0,out,Summer,2006,2006/2007
Ritchie Jones,20,Central Midfield,Man Utd,0.0,out,Summer,2006,2006/2007
Adam Eckersley,21,Left-Back,Man Utd Res.,0.0,out,Summer,2006,2006/2007
Kyel Reid,19,Left Winger,West Ham,0.0,out,Summer,2006,2006/2007
Vito Mannone,18,Goalkeeper,Arsenal,0.0,out,Summer,2006,2006/2007
Grant McCann,26,Central Midfield,Cheltenham,150000.0,in,Winter,2006,2006/2007
István Ferenczi,29,Centre-Forward,Zalaegerszeg,100000.0,in,Winter,2006,2006/2007
Péter Rajczi,25,Centre-Forward,Újpest FC,100000.0,in,Winter,2006,2006/2007
David Lucas,29,Goalkeeper,Witton Albion,0.0,in,Winter,2006,2006/2007
Lewin Nyatanga,18,Centre-Back,Derby,0.0,in,Winter,2006,2006/2007
Ritchie Jones,20,Central Midfield,Man Utd,0.0,in,Winter,2006,2006/2007
Adam Eckersley,21,Left-Back,Man Utd Res.,0.0,in,Winter,2006,2006/2007
Leon Knight,24,Centre-Forward,Swansea,0.0,in,Winter,2006,2006/2007
Kyel Reid,18,Left Winger,West Ham,0.0,in,Winter,2006,2006/2007
Ronnie Wallwork,29,Central Midfield,West Brom,0.0,in,Winter,2006,2006/2007
Nathan Joynes,21,Centre-Forward,Halifax Town,0.0,in,Winter,2006,2006/2007
Ryan Laight,21,Centre-Back,Tamworth,0.0,in,Winter,2006,2006/2007
Nathan Jarman,20,Centre-Forward,Worksop,0.0,in,Winter,2006,2006/2007
Dale Tonge,21,Right-Back,Gillingham FC,0.0,in,Winter,2006,2006/2007
Colin Healy,26,Central Midfield,Bradford,0.0,in,Winter,2006,2006/2007
Paul Hayes,23,Centre-Forward,Huddersfield,0.0,in,Winter,2006,2006/2007
Rob Atkinson,19,Centre-Back,Halifax Town,0.0,in,Winter,2006,2006/2007
Tommy Wright,22,Centre-Forward,Walsall,0.0,in,Winter,2006,2006/2007
Michael McIndoe,26,Left Winger,Wolves,375000.0,out,Winter,2006,2006/2007
Tommy Wright,22,Centre-Forward,Darlington,75000.0,out,Winter,2006,2006/2007
Tom Beevor,19,Central Midfield,Worksop,0.0,out,Winter,2006,2006/2007
Colin Healy,26,Central Midfield,Cork City,0.0,out,Winter,2006,2006/2007
Ryan Laight,21,Centre-Back,Alfreton,0.0,out,Winter,2006,2006/2007
Robbie Williams,22,Left-Back,Blackpool,0.0,out,Winter,2006,2006/2007
Nathan Joynes,21,Centre-Forward,Boston Utd,0.0,out,Winter,2006,2006/2007
