player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Gary McSheffrey,24,Left Winger,Coventry,6000000.0,in,Summer,2006,2006/2007
Cameron Jerome,19,Centre-Forward,Cardiff,4450000.0,in,Summer,2006,2006/2007
Radhi Jaidi,30,Centre-Back,Bolton,3250000.0,in,Summer,2006,2006/2007
Stephen Kelly,22,Right-Back,Spurs,1600000.0,in,Summer,2006,2006/2007
Neil Danns,23,Central Midfield,Colchester Utd.,1130000.0,in,Summer,2006,2006/2007
Bruno N'Gotty,35,Centre-Back,Bolton,0.0,in,Summer,2006,2006/2007
Sebastian Larsson,21,Central Midfield,Arsenal,0.0,in,Summer,2006,2006/2007
Fabrice Muamba,18,Central Midfield,Arsenal,0.0,in,Summer,2006,2006/2007
Nicklas Bendtner,18,Centre-Forward,Arsenal Res.,0.0,in,Summer,2006,2006/2007
Jamie Price,17,Attacking Midfield,Birmingham U18,0.0,in,Summer,2006,2006/2007
Njazi Kuqi,23,Centre-Forward,Peterborough,0.0,in,Summer,2006,2006/2007
Jermaine Pennant,23,Right Winger,Liverpool,9100000.0,out,Summer,2006,2006/2007
Emile Heskey,28,Centre-Forward,Wigan,7500000.0,out,Summer,2006,2006/2007
Jamie Clapham,30,Left-Back,Wolves,0.0,out,Summer,2006,2006/2007
Nico Vaesen,36,Goalkeeper,Lierse SK,0.0,out,Summer,2006,2006/2007
Kenny Cunningham,35,Centre-Back,Sunderland,0.0,out,Summer,2006,2006/2007
Stan Lazaridis,33,Left Midfield,Perth Glory,0.0,out,Summer,2006,2006/2007
Carl Motteram,21,midfield,Torquay,0.0,out,Summer,2006,2006/2007
Mario Melchiot,29,Right-Back,Stade Rennais,0.0,out,Summer,2006,2006/2007
Alex Bruce,21,Centre-Back,Ipswich,0.0,out,Summer,2006,2006/2007
Njazi Kuqi,23,Centre-Forward,FC Groningen,0.0,out,Summer,2006,2006/2007
Jamie Price,19,Centre-Forward,Doncaster,0.0,out,Summer,2006,2006/2007
Nick Wright,18,Centre-Forward,Bristol City,0.0,out,Summer,2006,2006/2007
Peter Till,21,Right Midfield,Leyton Orient,0.0,out,Summer,2006,2006/2007
Adam Legzdins,19,Goalkeeper,Oldham Athletic,0.0,out,Summer,2006,2006/2007
