player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Gary Taylor-Fletcher,26,Right Winger,Huddersfield,125000.0,in,Summer,2007,2007/2008
John Hills,29,Left-Back,Sheff Wed,0.0,in,Summer,2007,2007/2008
Stephen Crainey,26,Left-Back,Leeds,0.0,in,Summer,2007,2007/2008
Michael Flynn,26,Central Midfield,Gillingham FC,0.0,in,Summer,2007,2007/2008
Paul Rachubka,26,Goalkeeper,Huddersfield,0.0,in,Summer,2007,2007/2008
Andy Welsh,24,Left Midfield,Toronto,0.0,in,Summer,2007,2007/2008
Phil Marsh,20,Centre-Forward,Man Utd,0.0,in,Summer,2007,2007/2008
Matt Jackson,35,Right-Back,Watford,0.0,in,Summer,2007,2007/2008
Wes Hoolahan,25,Attacking Midfield,Livingston FC,0.0,in,Summer,2007,2007/2008
Michael D'Agostino,20,Right-Back,Blackpool U18,0.0,in,Summer,2007,2007/2008
Simon Wiles,23,Right Midfield,Macclesfield,0.0,in,Summer,2007,2007/2008
Rhys Evans,25,Goalkeeper,Bradford,0.0,in,Summer,2007,2007/2008
Michael D'Agostino,21,Right-Back,Cheltenham,0.0,in,Summer,2007,2007/2008
Marcus Bean,23,Defensive Midfield,Rotherham,0.0,in,Summer,2007,2007/2008
Marc Joseph,30,Centre-Back,Rotherham,0.0,out,Summer,2007,2007/2008
Ciaran Donnelly,23,Central Midfield,Fleetwood,0.0,out,Summer,2007,2007/2008
Michael D'Agostino,20,Right-Back,Cheltenham,0.0,out,Summer,2007,2007/2008
Rhys Evans,25,Goalkeeper,Bradford,0.0,out,Summer,2007,2007/2008
Marcus Bean,23,Defensive Midfield,Rotherham,0.0,out,Summer,2007,2007/2008
Simon Wiles,22,Right Midfield,Macclesfield,0.0,out,Summer,2007,2007/2008
Paul Tierney,24,Left-Back,Stockport,0.0,out,Summer,2007,2007/2008
Sean Paterson,20,midfield,Fylde,0.0,out,Summer,2007,2007/2008
Joe Martin,19,Left-Back,Tottenham Res.,0.0,out,Summer,2007,2007/2008
Wes Hoolahan,25,Attacking Midfield,Livingston FC,0.0,out,Summer,2007,2007/2008
Scott Flinders,21,Goalkeeper,Crystal Palace,0.0,out,Summer,2007,2007/2008
Pavels Steinbors,22,Goalkeeper,Jurmala,0.0,out,Summer,2007,2007/2008
