player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
David Wetherall,28,Centre-Back,Leeds,2100000.0,in,Summer,1999,1999/2000
Lee Sharpe,28,Left Midfield,Leeds,300000.0,in,Summer,1999,1999/2000
Neil Redfearn,34,Central Midfield,Charlton,287000.0,in,Summer,1999,1999/2000
Andy Myers,25,Left-Back,Chelsea,0.0,in,Summer,1999,1999/2000
Dean Saunders,35,Centre-Forward,Benfica,0.0,in,Summer,1999,1999/2000
Matt Clarke,25,Goalkeeper,Sheff Wed,0.0,in,Summer,1999,1999/2000
Bruno Rodriguez,26,Centre-Forward,Paris SG,0.0,in,Summer,1999,1999/2000
Gunnar Halle,33,Right-Back,Leeds,0.0,in,Summer,1999,1999/2000
Scott Kerr,17,Central Midfield,Bradford U18,0.0,in,Summer,1999,1999/2000
Isaiah Rankin,21,Centre-Forward,Birmingham,0.0,in,Summer,1999,1999/2000
Mark Bower,20,Centre-Back,York City,0.0,in,Summer,1999,1999/2000
Lee Todd,27,Left-Back,Walsall,0.0,in,Summer,1999,1999/2000
Gordon Watson,28,Centre-Forward,Bournemouth,0.0,out,Summer,1999,1999/2000
Lee Todd,27,Left-Back,Walsall,0.0,out,Summer,1999,1999/2000
Robert Steiner,26,attack,QPR,0.0,out,Summer,1999,1999/2000
Craig Ramage,29,Central Midfield,Notts County,0.0,out,Summer,1999,1999/2000
Mark Prudhoe,35,Goalkeeper,Darlington,0.0,out,Summer,1999,1999/2000
Bruno Rodriguez,26,Centre-Forward,Paris SG,0.0,out,Summer,1999,1999/2000
Aidan Davison,31,Goalkeeper,Sheff Utd,0.0,in,Winter,1999,1999/2000
Jorge Cadete,31,Centre-Forward,Benfica,0.0,in,Winter,1999,1999/2000
Neville Southall,41,Goalkeeper,Torquay,0.0,in,Winter,1999,1999/2000
Mark Prudhoe,35,Goalkeeper,Darlington,0.0,in,Winter,1999,1999/2000
Darren Moore,25,Centre-Back,Portsmouth,700000.0,out,Winter,1999,1999/2000
Neil Redfearn,34,Central Midfield,Wigan,129000.0,out,Winter,1999,1999/2000
Mark Prudhoe,35,Goalkeeper,Southend United,0.0,out,Winter,1999,1999/2000
Mark Bower,20,Centre-Back,York City,0.0,out,Winter,1999,1999/2000
Isaiah Rankin,21,Centre-Forward,Birmingham,0.0,out,Winter,1999,1999/2000
David Hopkin,29,Right Midfield,Leeds,3750000.0,in,Summer,2000,2000/2001
Ashley Ward,29,Centre-Forward,Blackburn,2100000.0,in,Summer,2000,2000/2001
Andy Tod,28,Centre-Back,Dunfermline A.,75000.0,in,Summer,2000,2000/2001
Ian Nolan,29,Left-Back,Sheff Wed,0.0,in,Summer,2000,2000/2001
Stan Collymore,29,Centre-Forward,Leicester,0.0,in,Summer,2000,2000/2001
Billy McKinlay,31,Right Midfield,Blackburn,0.0,in,Summer,2000,2000/2001
Benny Carbone,28,Second Striker,Aston Villa,0.0,in,Summer,2000,2000/2001
Peter Beagrie,35,Left Winger,Wigan,0.0,in,Summer,2000,2000/2001
Dan Petrescu,32,Right-Back,Chelsea,0.0,in,Summer,2000,2000/2001
Eoin Jess,29,Second Striker,Aberdeen FC,0.0,in,Summer,2000,2000/2001
Lee Sharpe,29,Left Midfield,Portsmouth,0.0,in,Summer,2000,2000/2001
Mark Bower,21,Centre-Back,York City,0.0,in,Summer,2000,2000/2001
Matt Clarke,27,Goalkeeper,Bolton,0.0,in,Summer,2000,2000/2001
Lee Mills,30,Centre-Forward,Portsmouth,1400000.0,out,Summer,2000,2000/2001
Ashley Westwood,23,Centre-Back,Sheff Wed,175000.0,out,Summer,2000,2000/2001
Isaiah Rankin,22,Centre-Forward,Bolton,0.0,out,Summer,2000,2000/2001
Robbie Blake,24,Second Striker,Nottm Forest,0.0,out,Summer,2000,2000/2001
Stephen Wright,28,Right-Back,Dundee United,0.0,out,Summer,2000,2000/2001
Lee Todd,28,Left-Back,Rochdale,0.0,out,Summer,2000,2000/2001
Jorge Cadete,31,Centre-Forward,CF Estrela,0.0,out,Summer,2000,2000/2001
John Dreyer,37,Centre-Back,Cambridge Utd.,0.0,out,Summer,2000,2000/2001
Neville Southall,41,Goalkeeper,Without Club,0.0,out,Summer,2000,2000/2001
Dean Saunders,36,Centre-Forward,Retired,0.0,out,Summer,2000,2000/2001
Robert Molenaar,31,Centre-Back,Leeds,680000.0,in,Winter,2000,2000/2001
Robbie Blake,24,Second Striker,Nottm Forest,0.0,in,Winter,2000,2000/2001
Isaiah Rankin,22,Centre-Forward,Bolton,0.0,in,Winter,2000,2000/2001
Andrew O'Brien,21,Centre-Back,Newcastle,3000000.0,out,Winter,2000,2000/2001
David Hopkin,30,Right Midfield,Crystal Palace,2250000.0,out,Winter,2000,2000/2001
Dean Windass,31,Centre-Forward,Middlesbrough,1570000.0,out,Winter,2000,2000/2001
Isaiah Rankin,22,Centre-Forward,Barnsley FC,550000.0,out,Winter,2000,2000/2001
Stan Collymore,30,Centre-Forward,Real Oviedo,0.0,out,Winter,2000,2000/2001
Mark Bower,20,Centre-Back,York City,0.0,out,Winter,2000,2000/2001
Dan Petrescu,33,Right-Back,Southampton,0.0,out,Winter,2000,2000/2001
Peter Beagrie,35,Left Winger,Wigan,0.0,out,Winter,2000,2000/2001
Lee Sharpe,29,Left Midfield,Portsmouth,0.0,out,Winter,2000,2000/2001
Matt Clarke,27,Goalkeeper,Bolton,0.0,out,Winter,2000,2000/2001
Andy Tod,29,Centre-Back,Dunfermline A.,0.0,out,Winter,2000,2000/2001
