player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Jota Peleteiro,23,Right Winger,Celta de Vigo,1500000.0,in,Summer,2014,2014/2015
Moses Odubajo,20,Right-Back,Leyton Orient,1250000.0,in,Summer,2014,2014/2015
Scott Hogan,22,Centre-Forward,Rochdale,950000.0,in,Summer,2014,2014/2015
Andre Gray,23,Centre-Forward,Luton,620000.0,in,Summer,2014,2014/2015
Tommy Smith,34,Centre-Forward,Cardiff,0.0,in,Summer,2014,2014/2015
Jermaine Udumaga,19,Central Midfield,Oxford Utd U18,0.0,in,Summer,2014,2014/2015
Nick Proschwitz,27,Centre-Forward,Hull City,0.0,in,Summer,2014,2014/2015
Aaron Greene,19,Left Midfield,Chelmsford,0.0,in,Summer,2014,2014/2015
Marcos Tébar,28,Defensive Midfield,UD Almería,0.0,in,Summer,2014,2014/2015
Jon Toral,19,Attacking Midfield,Arsenal U21,0.0,in,Summer,2014,2014/2015
Alex Pritchard,21,Attacking Midfield,Spurs,0.0,in,Summer,2014,2014/2015
Alan Judge,25,Attacking Midfield,Blackburn,0.0,in,Summer,2014,2014/2015
Betinho,21,Centre-Forward,Sporting B,0.0,in,Summer,2014,2014/2015
Lionel Stone,19,Centre-Back,Brentford U18,0.0,in,Summer,2014,2014/2015
Richard Lee,32,Goalkeeper,Fulham,0.0,in,Summer,2014,2014/2015
Nick Proschwitz,28,Centre-Forward,Coventry,0.0,in,Summer,2014,2014/2015
Sam Saunders,31,Central Midfield,Wycombe,0.0,in,Summer,2014,2014/2015
Alfie Mawson,21,Centre-Back,Wycombe,0.0,in,Summer,2014,2014/2015
Emmanuel Oyeleke,22,Central Midfield,Woking,0.0,in,Summer,2014,2014/2015
Nico Yennaris,22,Defensive Midfield,Wycombe,0.0,in,Summer,2014,2014/2015
Josh Clarke,20,Right-Back,Dag & Red FC,0.0,in,Summer,2014,2014/2015
Will Grigg,23,Centre-Forward,MK Dons,0.0,in,Summer,2014,2014/2015
Adam Forshaw,22,Central Midfield,Wigan,3800000.0,out,Summer,2014,2014/2015
Jake Reeves,21,Central Midfield,Swindon Town,0.0,out,Summer,2014,2014/2015
Clayton Donaldson,30,Centre-Forward,Birmingham,0.0,out,Summer,2014,2014/2015
George Pilbeam,18,Right-Back,AFC Wimbledon,0.0,out,Summer,2014,2014/2015
Luke Norris,21,Centre-Forward,Gillingham FC,0.0,out,Summer,2014,2014/2015
Aaron Pierre,21,Centre-Back,Wycombe,0.0,out,Summer,2014,2014/2015
Shay Logan,26,Right-Back,Aberdeen FC,0.0,out,Summer,2014,2014/2015
Liam O'Brien,22,Goalkeeper,Dag & Red FC,0.0,out,Summer,2014,2014/2015
Josh Clarke,20,Right-Back,Stevenage,0.0,out,Summer,2014,2014/2015
Charlie Adams,20,Central Midfield,Stevenage,0.0,out,Summer,2014,2014/2015
Emmanuel Oyeleke,21,Central Midfield,Aldershot,0.0,out,Summer,2014,2014/2015
Josh Clarke,20,Right-Back,Dag & Red FC,0.0,out,Summer,2014,2014/2015
Alfie Mawson,20,Centre-Back,Wycombe,0.0,out,Summer,2014,2014/2015
Will Grigg,23,Centre-Forward,MK Dons,0.0,out,Summer,2014,2014/2015
Farid El Alagui,29,Centre-Forward,Hibernian FC,0.0,out,Summer,2014,2014/2015
Scott Barron,28,Left-Back,Retired,0.0,out,Summer,2014,2014/2015
Chris Long,20,Centre-Forward,Everton U21,0.0,out,Summer,2014,2014/2015
Jon Toral,20,Attacking Midfield,Arsenal U21,0.0,out,Summer,2014,2014/2015
Martin Fillo,28,Right Midfield,Viktoria Plzen,0.0,out,Summer,2014,2014/2015
Alex Pritchard,22,Attacking Midfield,Spurs,0.0,out,Summer,2014,2014/2015
Alan Judge,25,Attacking Midfield,Blackburn,0.0,out,Summer,2014,2014/2015
Lewis MacLeod,20,Central Midfield,Rangers,1280000.0,in,Winter,2014,2014/2015
Chris Long,19,Centre-Forward,Everton U21,0.0,in,Winter,2014,2014/2015
Josh Laurent,19,Central Midfield,QPR U23,0.0,in,Winter,2014,2014/2015
Jack O'Connell,20,Centre-Back,Blackburn,0.0,in,Winter,2014,2014/2015
Liam Moore,22,Centre-Back,Leicester,0.0,in,Winter,2014,2014/2015
Charlie Adams,20,Central Midfield,Stevenage,0.0,in,Winter,2014,2014/2015
Jack O'Connell,21,Centre-Back,Rochdale,0.0,in,Winter,2014,2014/2015
Lionel Stone,20,Centre-Back,Woking,0.0,in,Winter,2014,2014/2015
Emmanuel Oyeleke,22,Central Midfield,Aldershot,0.0,in,Winter,2014,2014/2015
Josh Clarke,20,Right-Back,Stevenage,0.0,in,Winter,2014,2014/2015
Charlie Adams,20,Central Midfield,Louisville City,0.0,out,Winter,2014,2014/2015
Emmanuel Oyeleke,22,Central Midfield,Woking,0.0,out,Winter,2014,2014/2015
Richard Lee,32,Goalkeeper,Fulham,0.0,out,Winter,2014,2014/2015
Jack O'Connell,20,Centre-Back,Rochdale,0.0,out,Winter,2014,2014/2015
Lionel Stone,20,Centre-Back,Woking,0.0,out,Winter,2014,2014/2015
Nick Proschwitz,28,Centre-Forward,Coventry,0.0,out,Winter,2014,2014/2015
Nico Yennaris,21,Defensive Midfield,Wycombe,0.0,out,Winter,2014,2014/2015
