player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Albert Jarrett,19,Left Midfield,MK Dons,0.0,in,Summer,2004,2004/2005
Alexis Nicholas,21,Defensive Midfield,Chelsea,0.0,in,Summer,2004,2004/2005
Darren Currie,29,midfield,Wycombe,0.0,in,Summer,2004,2004/2005
Maheta Molango,21,Centre-Forward,W. Burghausen,0.0,in,Summer,2004,2004/2005
Gary Elphick,18,Centre-Back,Brighton U18,0.0,in,Summer,2004,2004/2005
Richard Martin,16,Goalkeeper,Brighton U18,0.0,in,Summer,2004,2004/2005
Gary Elphick,19,Centre-Back,St Albans City,0.0,in,Summer,2004,2004/2005
Albert Jarrett,20,Left Midfield,Stevenage,0.0,in,Summer,2004,2004/2005
Geoff Pitcher,28,Central Midfield,Havant & Water.,0.0,out,Summer,2004,2004/2005
Dan Marney,22,attack,Crawley Town,0.0,out,Summer,2004,2004/2005
David Lee,24,midfield,Oldham Athletic,0.0,out,Summer,2004,2004/2005
Ben Watson,18,Centre-Forward,Bognor Regis,0.0,out,Summer,2004,2004/2005
Stuart Jones,26,Goalkeeper,Doncaster,0.0,out,Summer,2004,2004/2005
Gary Elphick,18,Centre-Back,St Albans City,0.0,out,Summer,2004,2004/2005
Chris Breach,18,Centre-Back,Bognor Regis,0.0,out,Summer,2004,2004/2005
Dean Blackwell,34,Centre-Back,Unknown,0.0,out,Summer,2004,2004/2005
Simon Rodger,32,Defensive Midfield,Retired,0.0,out,Summer,2004,2004/2005
Joe Dolan,24,Centre-Back,Millwall,0.0,out,Summer,2004,2004/2005
Mark McCammon,26,Centre-Forward,Millwall,0.0,in,Winter,2004,2004/2005
Steve Claridge,38,Centre-Forward,Weymouth FC,0.0,in,Winter,2004,2004/2005
David Yelldell,23,Goalkeeper,Blackburn,0.0,in,Winter,2004,2004/2005
Joe Dolan,24,Centre-Back,Millwall,0.0,in,Winter,2004,2004/2005
Rami Shaaban,29,Goalkeeper,Without Club,0.0,in,Winter,2004,2004/2005
Jake Robinson,18,Second Striker,Aldershot,0.0,in,Winter,2004,2004/2005
Chris Breach,18,Centre-Back,Bognor Regis,0.0,in,Winter,2004,2004/2005
Darren Currie,30,midfield,Ipswich,375000.0,out,Winter,2004,2004/2005
Danny Cullip,28,Centre-Back,Sheff Utd,375000.0,out,Winter,2004,2004/2005
Steve Claridge,38,Centre-Forward,Brentford,0.0,out,Winter,2004,2004/2005
Albert Jarrett,20,Left Midfield,Stevenage,0.0,out,Winter,2004,2004/2005
Jake Robinson,18,Second Striker,Aldershot,0.0,out,Winter,2004,2004/2005
David Yelldell,23,Goalkeeper,Blackburn,0.0,out,Winter,2004,2004/2005
Colin Kazim-Richards,18,Centre-Forward,Bury,300000.0,in,Summer,2005,2005/2006
Jason Dodd,34,Right-Back,Southampton,0.0,in,Summer,2005,2005/2006
Doug Loft,18,midfield,Hastings Utd,0.0,in,Summer,2005,2005/2006
Alexandre Frutos,23,Left Winger,FC Metz,0.0,in,Summer,2005,2005/2006
Sébastien Carole,22,Right Winger,Monaco,0.0,in,Summer,2005,2005/2006
Alan Blayney,23,Goalkeeper,Southampton,0.0,in,Summer,2005,2005/2006
Florent Chaigneau,21,Goalkeeper,Stade Rennais,0.0,in,Summer,2005,2005/2006
Paul McShane,19,Centre-Back,Man Utd Res.,0.0,in,Summer,2005,2005/2006
Wayne Henderson,21,Goalkeeper,Aston Villa,50000.0,in,Summer,2005,2005/2006
Federico Turienzo,22,Centre-Forward,SSC Venezia,0.0,in,Summer,2005,2005/2006
Joe Gatting,17,Centre-Forward,Brighton U18,0.0,in,Summer,2005,2005/2006
Dean Cox,17,Left Winger,Brighton U18,0.0,in,Summer,2005,2005/2006
John Sullivan,17,Goalkeeper,Brighton U18,0.0,in,Summer,2005,2005/2006
Tommy Elphick,17,Centre-Back,Brighton U18,0.0,in,Summer,2005,2005/2006
Richard Martin,18,Goalkeeper,Kingstonian FC,0.0,in,Summer,2005,2005/2006
Chris Breach,20,Centre-Back,Bognor Regis,0.0,in,Summer,2005,2005/2006
Chris McPhee,22,Centre-Forward,Aldershot,0.0,in,Summer,2005,2005/2006
Tommy Elphick,18,Centre-Back,Bognor Regis,0.0,in,Summer,2005,2005/2006
Dean Cox,18,Left Winger,Bognor Regis,0.0,in,Summer,2005,2005/2006
Chris McPhee,23,Centre-Forward,Swindon Town,0.0,in,Summer,2005,2005/2006
Mark McCammon,27,Centre-Forward,Bristol City,0.0,in,Summer,2005,2005/2006
Michel Kuipers,31,Goalkeeper,Boston Utd,0.0,in,Summer,2005,2005/2006
Maheta Molango,23,Centre-Forward,UB Conquense,0.0,in,Summer,2005,2005/2006
Adam Virgo,22,Centre-Back,Celtic,2200000.0,out,Summer,2005,2005/2006
Dan Harding,21,Left-Back,Leeds,1250000.0,out,Summer,2005,2005/2006
Dan Beck,21,Central Midfield,Bognor Regis,0.0,out,Summer,2005,2005/2006
Paul Watson,30,Right-Back,Coventry,0.0,out,Summer,2005,2005/2006
Nathan Jones,32,Left-Back,Yeovil Town,0.0,out,Summer,2005,2005/2006
Rami Shaaban,30,Goalkeeper,Fredrikstad,0.0,out,Summer,2005,2005/2006
Ben Roberts,30,Goalkeeper,Derry City,0.0,out,Summer,2005,2005/2006
Chris May,19,Goalkeeper,Hastings Utd,0.0,out,Summer,2005,2005/2006
Chris McPhee,22,Centre-Forward,Aldershot,0.0,out,Summer,2005,2005/2006
Maheta Molango,23,Centre-Forward,Lincoln City,0.0,out,Summer,2005,2005/2006
Dean Cox,17,Left Winger,Eastbourne,0.0,out,Summer,2005,2005/2006
John Piercy,25,midfield,Retired,0.0,out,Summer,2005,2005/2006
Gifton Noel-Williams,25,Centre-Forward,Burnley,0.0,out,Summer,2005,2005/2006
Paul McShane,20,Centre-Back,Man Utd Res.,0.0,out,Summer,2005,2005/2006
Florent Chaigneau,22,Goalkeeper,Stade Rennais,0.0,out,Summer,2005,2005/2006
Gifton Noel-Williams,25,Centre-Forward,Burnley,0.0,in,Winter,2005,2005/2006
Joel Lynch,18,Centre-Back,Brighton U18,0.0,in,Winter,2005,2005/2006
Albert Jarrett,21,Left Midfield,Swindon Town,0.0,in,Winter,2005,2005/2006
Gary Elphick,20,Centre-Back,Aldershot,0.0,in,Winter,2005,2005/2006
Michel Kuipers,31,Goalkeeper,Boston Utd,0.0,in,Winter,2005,2005/2006
Dean Cox,18,Left Winger,Eastbourne,0.0,in,Winter,2005,2005/2006
Maheta Molango,23,Centre-Forward,Lincoln City,0.0,in,Winter,2005,2005/2006
Leon Knight,23,Centre-Forward,Swansea,215000.0,out,Winter,2005,2005/2006
Roger Merlin Pandong,22,midfield,PAS Giannina,0.0,out,Winter,2005,2005/2006
Gary Elphick,20,Centre-Back,St Albans City,0.0,out,Winter,2005,2005/2006
Richard Martin,18,Goalkeeper,Kingstonian FC,0.0,out,Winter,2005,2005/2006
Chris Breach,19,Centre-Back,Bognor Regis,0.0,out,Winter,2005,2005/2006
Dean Cox,18,Left Winger,Bognor Regis,0.0,out,Winter,2005,2005/2006
Michel Kuipers,31,Goalkeeper,Boston Utd,0.0,out,Winter,2005,2005/2006
Chris McPhee,22,Centre-Forward,Swindon Town,0.0,out,Winter,2005,2005/2006
Mark McCammon,27,Centre-Forward,Bristol City,0.0,out,Winter,2005,2005/2006
Michel Kuipers,31,Goalkeeper,Boston Utd,0.0,out,Winter,2005,2005/2006
Maheta Molango,23,Centre-Forward,UB Conquense,0.0,out,Winter,2005,2005/2006
Albert Jarrett,21,Left Midfield,Swindon Town,0.0,out,Winter,2005,2005/2006
Gary Elphick,20,Centre-Back,Aldershot,0.0,out,Winter,2005,2005/2006
Tommy Elphick,18,Centre-Back,Bognor Regis,0.0,out,Winter,2005,2005/2006
Alan Blayney,24,Goalkeeper,Southampton,0.0,out,Winter,2005,2005/2006
Craig Mackail-Smith,27,Centre-Forward,Peterborough,2800000.0,in,Summer,2011,2011/2012
Will Buckley,21,Right Winger,Watford,1100000.0,in,Summer,2011,2011/2012
Will Hoskins,25,Centre-Forward,Bristol Rovers,565000.0,in,Summer,2011,2011/2012
Ryan Harley,26,Central Midfield,Swansea,285000.0,in,Summer,2011,2011/2012
Raphael Rossi,20,Centre-Back,Porto Alegre,0.0,in,Summer,2011,2011/2012
Daniel East,18,Goalkeeper,Wolves Res.,0.0,in,Summer,2011,2011/2012
Roland Bergkamp,20,Centre-Forward,Excelsior,0.0,in,Summer,2011,2011/2012
Billy Paynter,27,Centre-Forward,Leeds,0.0,in,Summer,2011,2011/2012
Steve Harper,36,Goalkeeper,Newcastle,0.0,in,Summer,2011,2011/2012
Gonzalo Jara,26,Centre-Back,West Brom,0.0,in,Summer,2011,2011/2012
Romain Vincelot,25,Defensive Midfield,Dag & Red FC,0.0,in,Summer,2011,2011/2012
Kazenga LuaLua,20,Left Winger,Newcastle,0.0,in,Summer,2011,2011/2012
Vicente,30,Left Winger,Without Club,0.0,in,Summer,2011,2011/2012
Will Hoskins,25,Centre-Forward,Sheff Utd,0.0,in,Summer,2011,2011/2012
Torbjörn Agdestein,20,Centre-Forward,Bath City,0.0,in,Summer,2011,2011/2012
Elliott Bennett,22,Right Midfield,Norwich,1700000.0,out,Summer,2011,2011/2012
Chris Holroyd,24,Centre-Forward,Rotherham,0.0,out,Summer,2011,2011/2012
Mitch Walker,20,Goalkeeper,Dover Athletic,0.0,out,Summer,2011,2011/2012
Luc Matutu,20,Left-Back,Bayonne,0.0,out,Summer,2011,2011/2012
James Tunnicliffe,22,Centre-Back,Wycombe,0.0,out,Summer,2011,2011/2012
Glenn Murray,27,Centre-Forward,Crystal Palace,0.0,out,Summer,2011,2011/2012
Gary Hart,34,Centre-Forward,Eastbourne,0.0,out,Summer,2011,2011/2012
Cristian Baz,24,Left Winger,Unknown,0.0,out,Summer,2011,2011/2012
Fran Sandaza,26,Centre-Forward,St. Johnstone,0.0,out,Summer,2011,2011/2012
Radostin Kishishev,36,Defensive Midfield,Chern. Burgas,0.0,out,Summer,2011,2011/2012
Steve Cook,20,Centre-Back,Bournemouth,0.0,out,Summer,2011,2011/2012
Torbjörn Agdestein,19,Centre-Forward,Bath City,0.0,out,Summer,2011,2011/2012
Jim McNulty,26,Centre-Back,Barnsley FC,0.0,out,Summer,2011,2011/2012
Sam Vokes,22,Centre-Forward,Wolves,0.0,out,Summer,2011,2011/2012
Joe Mattock,21,Left-Back,West Brom,0.0,out,Summer,2011,2011/2012
Gai Assulin,21,Left Winger,Man City Res.,0.0,out,Summer,2011,2011/2012
Kazenga LuaLua,21,Left Winger,Newcastle,1280000.0,in,Winter,2011,2011/2012
Brennan Dickenson,18,Left Midfield,Dorchester,0.0,in,Winter,2011,2011/2012
David González,29,Goalkeeper,Man City,0.0,in,Winter,2011,2011/2012
Gai Assulin,20,Left Winger,Man City Res.,0.0,in,Winter,2011,2011/2012
Abdul Razak,19,Central Midfield,Man City,0.0,in,Winter,2011,2011/2012
Sam Vokes,22,Centre-Forward,Wolves,0.0,in,Winter,2011,2011/2012
Joe Mattock,21,Left-Back,West Brom,0.0,in,Winter,2011,2011/2012
Gonzalo Jara,26,Centre-Back,West Brom,0.0,in,Winter,2011,2011/2012
Jake Forster-Caskey,17,Central Midfield,Brighton U18,0.0,in,Winter,2011,2011/2012
Michael Poke,26,Goalkeeper,Bristol Rovers,0.0,in,Winter,2011,2011/2012
Roland Bergkamp,20,Centre-Forward,Rochdale,0.0,in,Winter,2011,2011/2012
Mitch Walker,20,Goalkeeper,Welling Utd.,0.0,in,Winter,2011,2011/2012
Mitch Walker,20,Goalkeeper,Eastbourne,0.0,in,Winter,2011,2011/2012
Steve Cook,20,Centre-Back,Bournemouth,0.0,in,Winter,2011,2011/2012
Steve Cook,20,Centre-Back,Bournemouth,167000.0,out,Winter,2011,2011/2012
Mitch Walker,20,Goalkeeper,Eastbourne,0.0,out,Winter,2011,2011/2012
Roland Bergkamp,20,Centre-Forward,Rochdale,0.0,out,Winter,2011,2011/2012
Michael Poke,26,Goalkeeper,Bristol Rovers,0.0,out,Winter,2011,2011/2012
Will Hoskins,25,Centre-Forward,Sheff Utd,0.0,out,Winter,2011,2011/2012
Jamie Smith,22,Central Midfield,Without Club,0.0,out,Winter,2011,2011/2012
Billy Paynter,27,Centre-Forward,Leeds,0.0,out,Winter,2011,2011/2012
Steve Harper,36,Goalkeeper,Newcastle,0.0,out,Winter,2011,2011/2012
Kazenga LuaLua,21,Left Winger,Newcastle,0.0,out,Winter,2011,2011/2012
Gonzalo Jara,26,Centre-Back,West Brom,0.0,out,Winter,2011,2011/2012
