player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Frank Sinclair,32,Centre-Back,Leicester,0.0,in,Summer,2004,2004/2005
Mark Yates,34,Attacking Midfield,Cheltenham,0.0,in,Summer,2004,2004/2005
Amadou Sanokho,24,Defensive Midfield,Sangiustese,0.0,in,Summer,2004,2004/2005
Micah Hyde,29,Central Midfield,Watford,0.0,in,Summer,2004,2004/2005
John McGreal,32,Centre-Back,Ipswich,0.0,in,Summer,2004,2004/2005
Richard Duffy,19,Centre-Back,Portsmouth,0.0,in,Summer,2004,2004/2005
Michael Duff,26,Centre-Back,Cheltenham,45000.0,in,Summer,2004,2004/2005
Danny Coyne,30,Goalkeeper,Leicester,40000.0,in,Summer,2004,2004/2005
Arthur Gnohéré,25,Centre-Back,QPR,0.0,in,Summer,2004,2004/2005
Alan Moore,29,Left Midfield,Shelbourne,375000.0,out,Summer,2004,2004/2005
David May,34,Centre-Back,Bacup Borough FC,0.0,out,Summer,2004,2004/2005
Paul Weller,29,Centre-Back,Rochdale,0.0,out,Summer,2004,2004/2005
Dean West,31,Right-Back,Lincoln City,0.0,out,Summer,2004,2004/2005
Mark McGregor,27,Centre-Back,Blackpool,0.0,out,Summer,2004,2004/2005
Nathan Abbey,25,Goalkeeper,Boston Utd,0.0,out,Summer,2004,2004/2005
Glen Little,28,Right Midfield,Reading,0.0,out,Summer,2004,2004/2005
Arthur Gnohéré,25,Centre-Back,QPR,0.0,out,Summer,2004,2004/2005
Lenny Johnrose,34,Defensive Midfield,Retired,0.0,out,Summer,2004,2004/2005
Dean Bowditch,18,Left Winger,Ipswich,0.0,out,Summer,2004,2004/2005
Gary Cahill,19,Centre-Back,Aston Villa,0.0,out,Summer,2004,2004/2005
Ade Akinbiyi,30,Centre-Forward,Stoke City,900000.0,in,Winter,2004,2004/2005
James O'Connor,25,Central Midfield,West Brom,0.0,in,Winter,2004,2004/2005
John Oster,26,Central Midfield,Sunderland,0.0,in,Winter,2004,2004/2005
Gary Cahill,18,Centre-Back,Aston Villa,0.0,in,Winter,2004,2004/2005
Peter Whittingham,20,Central Midfield,Aston Villa,0.0,in,Winter,2004,2004/2005
Dean Bowditch,18,Left Winger,Ipswich,0.0,in,Winter,2004,2004/2005
Jean-Louis Valois,31,Right Winger,Clyde FC,0.0,in,Winter,2004,2004/2005
Robbie Blake,28,Second Striker,Birmingham,2250000.0,out,Winter,2004,2004/2005
Richard Chaplow,19,Central Midfield,West Brom,2250000.0,out,Winter,2004,2004/2005
Ian Thomas-Moore,28,Centre-Forward,Leeds,75000.0,out,Winter,2004,2004/2005
Matthew O'Neill,20,midfield,Accrington,0.0,out,Winter,2004,2004/2005
Amadou Sanokho,25,Defensive Midfield,Oldham Athletic,0.0,out,Winter,2004,2004/2005
Richard Duffy,19,Centre-Back,Portsmouth,0.0,out,Winter,2004,2004/2005
Peter Whittingham,20,Central Midfield,Aston Villa,0.0,out,Winter,2004,2004/2005
Jon Harley,25,Left-Back,Sheff Utd,200000.0,in,Summer,2005,2005/2006
John Spicer,21,Central Midfield,Bournemouth,50000.0,in,Summer,2005,2005/2006
Gifton Noel-Williams,25,Centre-Forward,Stoke City,0.0,in,Summer,2005,2005/2006
Wade Elliott,26,Attacking Midfield,Bournemouth,0.0,in,Summer,2005,2005/2006
Garreth O'Connor,26,Attacking Midfield,Bournemouth,0.0,in,Summer,2005,2005/2006
Wayne Thomas,26,Centre-Back,Stoke City,0.0,in,Summer,2005,2005/2006
Daniel Karbassiyoon,20,Left-Back,Arsenal,0.0,in,Summer,2005,2005/2006
Nathan Dyer,17,Right Winger,Southampton,0.0,in,Summer,2005,2005/2006
Keith Lowe,19,Centre-Back,Wolves,0.0,in,Summer,2005,2005/2006
Karl Bermingham,19,Centre-Forward,Man City,0.0,in,Summer,2005,2005/2006
Duane Courtney,20,Centre-Back,Telford Utd,45000.0,in,Summer,2005,2005/2006
Kyle Lafferty,17,Centre-Forward,Burnley U18,0.0,in,Summer,2005,2005/2006
Chris McCann,17,Defensive Midfield,Burnley U18,0.0,in,Summer,2005,2005/2006
Amadou Sanokho,25,Defensive Midfield,Oldham Athletic,0.0,in,Summer,2005,2005/2006
Gifton Noel-Williams,25,Centre-Forward,Brighton,0.0,in,Summer,2005,2005/2006
Joel Pilkington,20,midfield,Mossley AFC,0.0,out,Summer,2005,2005/2006
Amadou Sanokho,25,Defensive Midfield,Proodeftiki,0.0,out,Summer,2005,2005/2006
John Oster,26,Central Midfield,Reading,0.0,out,Summer,2005,2005/2006
Tony Grant,30,Defensive Midfield,Bristol City,0.0,out,Summer,2005,2005/2006
Lee Roche,24,Right-Back,Wrexham,0.0,out,Summer,2005,2005/2006
Mohammed Camara,30,Left-Back,Celtic,0.0,out,Summer,2005,2005/2006
Karl Bermingham,19,Centre-Forward,Man City,0.0,out,Summer,2005,2005/2006
Phil Bardsley,20,Right-Back,Man Utd,0.0,out,Summer,2005,2005/2006
Michael Ricketts,27,Centre-Forward,Leeds,0.0,out,Summer,2005,2005/2006
Jean-Louis Valois,31,Right Winger,Khaleej,0.0,out,Summer,2005,2005/2006
Andy Gray,28,Centre-Forward,Sunderland,1100000.0,in,Winter,2005,2005/2006
Alan Mahon,27,Left Midfield,Wigan,300000.0,in,Winter,2005,2005/2006
Michael Ricketts,27,Centre-Forward,Leeds,0.0,in,Winter,2005,2005/2006
Phil Bardsley,20,Right-Back,Man Utd,0.0,in,Winter,2005,2005/2006
Lee Grant,22,Goalkeeper,Derby,0.0,in,Winter,2005,2005/2006
Kyle Lafferty,18,Centre-Forward,Darlington,0.0,in,Winter,2005,2005/2006
Ade Akinbiyi,31,Centre-Forward,Sheff Utd,2630000.0,out,Winter,2005,2005/2006
Kyle Lafferty,18,Centre-Forward,Darlington,0.0,out,Winter,2005,2005/2006
Gifton Noel-Williams,25,Centre-Forward,Brighton,0.0,out,Winter,2005,2005/2006
Nathan Dyer,18,Right Winger,Southampton,0.0,out,Winter,2005,2005/2006
Keith Lowe,20,Centre-Back,Wolves,0.0,out,Winter,2005,2005/2006
Lee Grant,22,Goalkeeper,Derby,0.0,out,Winter,2005,2005/2006
Steve Jones,29,Right Winger,Crewe Alexandra,0.0,in,Summer,2006,2006/2007
Stephen Foster,25,Centre-Back,Crewe Alexandra,0.0,in,Summer,2006,2006/2007
Duane Courtney,21,Centre-Back,The New Saints,0.0,out,Summer,2006,2006/2007
Daniel Karbassiyoon,21,Left-Back,Roanoke Star,0.0,out,Summer,2006,2006/2007
Mark Yates,36,Attacking Midfield,Retired,0.0,out,Summer,2006,2006/2007
Eric Djemba Djemba,25,Defensive Midfield,Aston Villa,0.0,out,Summer,2006,2006/2007
Paul McVeigh,29,Left Winger,Norwich,0.0,out,Summer,2006,2006/2007
Graham Coughlan,32,Centre-Back,Sheff Wed,0.0,out,Summer,2006,2006/2007
Ade Akinbiyi,32,Centre-Forward,Sheff Utd,1100000.0,in,Winter,2006,2006/2007
Steven Caldwell,26,Centre-Back,Sunderland,300000.0,in,Winter,2006,2006/2007
Joey Gudjónsson,26,Central Midfield,AZ Alkmaar,225000.0,in,Winter,2006,2006/2007
