player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Robert Page,29,Centre-Back,Sheff Utd,0.0,in,Summer,2004,2004/2005
Cameron Jerome,17,Centre-Forward,Boro U18,0.0,in,Summer,2004,2004/2005
Tony Warner,30,Goalkeeper,Millwall,0.0,in,Summer,2004,2004/2005
Jobi McAnuff,22,Left Winger,West Ham,0.0,in,Summer,2004,2004/2005
Darren Williams,27,Right-Back,Sunderland,0.0,in,Summer,2004,2004/2005
Gary O'Neil,21,Central Midfield,Portsmouth,0.0,in,Summer,2004,2004/2005
Joe Ledley,17,Central Midfield,Cardiff U18,0.0,in,Summer,2004,2004/2005
Stuart Fleetwood,18,Second Striker,Cardiff U18,0.0,in,Summer,2004,2004/2005
Chris Barker,24,Left-Back,Stoke City,0.0,in,Summer,2004,2004/2005
Andy Campbell,26,Centre-Forward,Doncaster,0.0,in,Summer,2004,2004/2005
Robert Earnshaw,23,Centre-Forward,West Brom,4500000.0,out,Summer,2004,2004/2005
Gavin Gordon,25,Centre-Forward,Notts County,0.0,out,Summer,2004,2004/2005
Scott Young,28,Centre-Back,Newport County,0.0,out,Summer,2004,2004/2005
Gareth Whalley,30,Central Midfield,Wigan,0.0,out,Summer,2004,2004/2005
Spencer Prior,33,Centre-Back,Southend United,0.0,out,Summer,2004,2004/2005
Chris Barker,24,Left-Back,Stoke City,0.0,out,Summer,2004,2004/2005
Michael Boulding,29,Centre-Forward,Barnsley FC,0.0,out,Summer,2004,2004/2005
Neal Ardley,32,Defensive Midfield,Watford,0.0,in,Winter,2004,2004/2005
Toni Koskela,21,Right Midfield,FC KTP,0.0,in,Winter,2004,2004/2005
Neil Harris,27,Centre-Forward,Millwall,0.0,in,Winter,2004,2004/2005
Michael Boulding,29,Centre-Forward,Barnsley FC,0.0,in,Winter,2004,2004/2005
Junichi Inamoto,25,Defensive Midfield,West Brom,0.0,in,Winter,2004,2004/2005
Graham Kavanagh,31,Central Midfield,Wigan,0.0,out,Winter,2004,2004/2005
John Robinson,33,Right Winger,Crawley Town,0.0,out,Winter,2004,2004/2005
Robert Page,30,Centre-Back,Coventry,0.0,out,Winter,2004,2004/2005
Andy Campbell,25,Centre-Forward,Doncaster,0.0,out,Winter,2004,2004/2005
Neil Harris,27,Centre-Forward,Millwall,0.0,out,Winter,2004,2004/2005
Gary O'Neil,21,Central Midfield,Portsmouth,0.0,out,Winter,2004,2004/2005
Junichi Inamoto,25,Defensive Midfield,West Brom,0.0,out,Winter,2004,2004/2005
Darren Purse,28,Centre-Back,West Brom,900000.0,in,Summer,2005,2005/2006
Glenn Loovens,21,Centre-Back,Feyenoord,375000.0,in,Summer,2005,2005/2006
Kevin Cooper,30,Left Midfield,Wolves,100000.0,in,Summer,2005,2005/2006
Jermaine Darlington,31,Right-Back,Watford,0.0,in,Summer,2005,2005/2006
Andrea Ferretti,18,Centre-Forward,Parma U19,0.0,in,Summer,2005,2005/2006
Neil Cox,33,Centre-Back,Watford,0.0,in,Summer,2005,2005/2006
Jeff Whitley,26,Defensive Midfield,Sunderland,0.0,in,Summer,2005,2005/2006
Lee Worgan,21,Goalkeeper,Rush. & Diamon.,0.0,in,Summer,2005,2005/2006
Phil Mulryne,27,Central Midfield,Norwich,0.0,in,Summer,2005,2005/2006
Jason Koumas,25,Attacking Midfield,West Brom,0.0,in,Summer,2005,2005/2006
Michael Ricketts,26,Centre-Forward,Leeds,0.0,in,Summer,2005,2005/2006
Curtis McDonald,17,Centre-Back,Cardiff U18,0.0,in,Summer,2005,2005/2006
Joe Jacobson,18,Left-Back,Cardiff U18,0.0,in,Summer,2005,2005/2006
Darcy Blake,16,Right-Back,Cardiff U18,0.0,in,Summer,2005,2005/2006
Tareq Khalil,19,Attacking Midfield,Cardiff U18,0.0,in,Summer,2005,2005/2006
Lee Worgan,22,Goalkeeper,Merthyr Town,0.0,in,Summer,2005,2005/2006
Danny Gabbidon,25,Centre-Back,West Ham,2000000.0,out,Summer,2005,2005/2006
James Collins,21,Centre-Back,West Ham,2000000.0,out,Summer,2005,2005/2006
Jobi McAnuff,23,Left Winger,Crystal Palace,800000.0,out,Summer,2005,2005/2006
Lee Bullock,24,Central Midfield,Hartlepool,0.0,out,Summer,2005,2005/2006
Tony Warner,31,Goalkeeper,Fulham,0.0,out,Summer,2005,2005/2006
Richard Langley,25,Attacking Midfield,QPR,0.0,out,Summer,2005,2005/2006
Peter Thorne,32,Centre-Forward,Norwich,0.0,out,Summer,2005,2005/2006
Darren Williams,28,Right-Back,Hartlepool,0.0,out,Summer,2005,2005/2006
Gary Croft,31,Left-Back,Grimsby Town,0.0,out,Summer,2005,2005/2006
Arran Lee-Barrett,21,Goalkeeper,Weymouth FC,0.0,out,Summer,2005,2005/2006
Andy Campbell,26,Centre-Forward,Oxford United,0.0,out,Summer,2005,2005/2006
Nicky Fish,21,Central Midfield,Career break,0.0,out,Summer,2005,2005/2006
Jason Koumas,26,Attacking Midfield,West Brom,0.0,out,Summer,2005,2005/2006
Tony Vidmar,34,Left-Back,NAC Breda,0.0,out,Summer,2005,2005/2006
Steven Thompson,27,Centre-Forward,Rangers,375000.0,in,Winter,2005,2005/2006
Guylain Ndumbu-Nsungu,23,attack,Darlington,0.0,in,Winter,2005,2005/2006
Riccardo Scimeca,30,Centre-Back,West Brom,0.0,in,Winter,2005,2005/2006
Andy Campbell,26,Centre-Forward,Oxford United,0.0,in,Winter,2005,2005/2006
Byron Anthony,21,Centre-Back,Forest Green,0.0,in,Winter,2005,2005/2006
Alan Lee,27,Centre-Forward,Ipswich,150000.0,out,Winter,2005,2005/2006
Andy Campbell,26,Centre-Forward,Dunfermline A.,0.0,out,Winter,2005,2005/2006
Stuart Fleetwood,19,Second Striker,Hereford Utd.,0.0,out,Winter,2005,2005/2006
Toni Koskela,22,Right Midfield,Ilysiakos,0.0,out,Winter,2005,2005/2006
Byron Anthony,21,Centre-Back,Forest Green,0.0,out,Winter,2005,2005/2006
Lee Worgan,22,Goalkeeper,Merthyr Town,0.0,out,Winter,2005,2005/2006
Michael Ricketts,26,Centre-Forward,Leeds,0.0,out,Winter,2005,2005/2006
Michael Chopra,22,Centre-Forward,Newcastle,750000.0,in,Summer,2006,2006/2007
Roger Johnson,23,Centre-Back,Wycombe,400000.0,in,Summer,2006,2006/2007
Kevin Campbell,36,Centre-Forward,West Brom,0.0,in,Summer,2006,2006/2007
Willo Flood,21,Central Midfield,Man City,0.0,in,Summer,2006,2006/2007
Malvin Kamara,22,Right-Back,MK Dons,0.0,in,Summer,2006,2006/2007
Nick McKoy,19,midfield,MK Dons,0.0,in,Summer,2006,2006/2007
Luigi Glombard,21,Right Winger,FC Nantes,0.0,in,Summer,2006,2006/2007
Stephen McPhail,26,Left Midfield,Barnsley FC,0.0,in,Summer,2006,2006/2007
Mark Howard,19,Goalkeeper,Arsenal Res.,0.0,in,Summer,2006,2006/2007
Kevin McNaughton,23,Right-Back,Aberdeen FC,0.0,in,Summer,2006,2006/2007
James Chambers,25,Right-Back,Watford,0.0,in,Summer,2006,2006/2007
Kerrea Gilbert,19,Right-Back,Arsenal,0.0,in,Summer,2006,2006/2007
Luigi Glombard,22,Right Winger,Oldham Athletic,0.0,in,Summer,2006,2006/2007
Chris Gunter,17,Right-Back,Cardiff U18,0.0,in,Summer,2006,2006/2007
Michael Corcoran,18,Defensive Midfield,Cardiff U18,0.0,in,Summer,2006,2006/2007
Jamal Easter,18,Centre-Forward,Cardiff U18,0.0,in,Summer,2006,2006/2007
Nick McKoy,20,midfield,Torquay,0.0,in,Summer,2006,2006/2007
Chris Barker,27,Left-Back,Colchester Utd.,0.0,in,Summer,2006,2006/2007
Jeff Whitley,28,Defensive Midfield,Wrexham,0.0,in,Summer,2006,2006/2007
Kevin Cooper,32,Left Midfield,Walsall,0.0,in,Summer,2006,2006/2007
Jeff Whitley,27,Defensive Midfield,Stoke City,0.0,in,Summer,2006,2006/2007
Andrea Ferretti,19,Centre-Forward,Scunthorpe Utd.,0.0,in,Summer,2006,2006/2007
Kevin Cooper,31,Left Midfield,Yeovil Town,0.0,in,Summer,2006,2006/2007
Cameron Jerome,19,Centre-Forward,Birmingham,4450000.0,out,Summer,2006,2006/2007
Byron Anthony,21,Centre-Back,Bristol Rovers,0.0,out,Summer,2006,2006/2007
Rhys Weston,25,Right-Back,Viking FK,0.0,out,Summer,2006,2006/2007
Guylain Ndumbu-Nsungu,23,attack,Gillingham FC,0.0,out,Summer,2006,2006/2007
Tareq Khalil,20,Attacking Midfield,Bournemouth,0.0,out,Summer,2006,2006/2007
Lee Worgan,22,Goalkeeper,Eastbourne,0.0,out,Summer,2006,2006/2007
Jermaine Darlington,32,Right-Back,AFC Wimbledon,0.0,out,Summer,2006,2006/2007
Willie Boland,30,Central Midfield,Hartlepool,0.0,out,Summer,2006,2006/2007
Neal Ardley,33,Defensive Midfield,Millwall,0.0,out,Summer,2006,2006/2007
Neil Cox,34,Centre-Back,Crewe Alexandra,0.0,out,Summer,2006,2006/2007
Andrea Ferretti,19,Centre-Forward,Scunthorpe Utd.,0.0,out,Summer,2006,2006/2007
Jamal Easter,18,Centre-Forward,Bristol Rovers,0.0,out,Summer,2006,2006/2007
Kevin Cooper,31,Left Midfield,Yeovil Town,0.0,out,Summer,2006,2006/2007
Chris Barker,26,Left-Back,Colchester Utd.,0.0,out,Summer,2006,2006/2007
Jeff Whitley,27,Defensive Midfield,Stoke City,0.0,out,Summer,2006,2006/2007
Phil Mulryne,28,Central Midfield,Without Club,0.0,out,Summer,2006,2006/2007
Simon Walton,19,Central Midfield,Charlton,0.0,out,Summer,2006,2006/2007
James Simmonds,19,Attacking Midfield,Chelsea Res.,0.0,out,Summer,2006,2006/2007
Kerrea Gilbert,20,Right-Back,Arsenal,0.0,out,Summer,2006,2006/2007
Iwan Redan,26,Centre-Forward,Willem II,0.0,out,Summer,2006,2006/2007
Peter Whittingham,22,Central Midfield,Aston Villa,525000.0,in,Winter,2006,2006/2007
Warren Feeney,26,Centre-Forward,Luton,110000.0,in,Winter,2006,2006/2007
Jason Byrne,28,Centre-Forward,Shelbourne,87000.0,in,Winter,2006,2006/2007
David Forde,27,Goalkeeper,Derry City,0.0,in,Winter,2006,2006/2007
Simon Walton,19,Central Midfield,Charlton,0.0,in,Winter,2006,2006/2007
Iwan Redan,26,Centre-Forward,Willem II,0.0,in,Winter,2006,2006/2007
James Simmonds,19,Attacking Midfield,Chelsea Res.,0.0,in,Winter,2006,2006/2007
Alan Wright,35,Left-Back,Sheff Utd,0.0,in,Winter,2006,2006/2007
Matt Green,20,Centre-Forward,Newport County,35000.0,in,Winter,2006,2006/2007
Luigi Glombard,22,Right Winger,Leicester,0.0,in,Winter,2006,2006/2007
Joe Jacobson,20,Left-Back,Accrington,0.0,in,Winter,2006,2006/2007
Jamal Easter,19,Centre-Forward,Bristol Rovers,0.0,in,Winter,2006,2006/2007
Jamal Easter,19,Centre-Forward,Torquay,0.0,in,Winter,2006,2006/2007
Curtis McDonald,18,Centre-Back,Accrington,0.0,in,Winter,2006,2006/2007
Mark Howard,20,Goalkeeper,Swansea,0.0,in,Winter,2006,2006/2007
Michael Corcoran,19,Defensive Midfield,Oxford United,0.0,in,Winter,2006,2006/2007
Joe Jacobson,20,Left-Back,Bristol Rovers,0.0,out,Winter,2006,2006/2007
Luigi Glombard,22,Right Winger,Oldham Athletic,0.0,out,Winter,2006,2006/2007
Malvin Kamara,23,Right-Back,Port Vale,0.0,out,Winter,2006,2006/2007
Luigi Glombard,22,Right Winger,Leicester,0.0,out,Winter,2006,2006/2007
Joe Jacobson,19,Left-Back,Accrington,0.0,out,Winter,2006,2006/2007
Jeff Whitley,28,Defensive Midfield,Wrexham,0.0,out,Winter,2006,2006/2007
Kevin Cooper,31,Left Midfield,Walsall,0.0,out,Winter,2006,2006/2007
Michael Corcoran,19,Defensive Midfield,Oxford United,0.0,out,Winter,2006,2006/2007
Mark Howard,20,Goalkeeper,Swansea,0.0,out,Winter,2006,2006/2007
Curtis McDonald,18,Centre-Back,Accrington,0.0,out,Winter,2006,2006/2007
Nick McKoy,20,midfield,Torquay,0.0,out,Winter,2006,2006/2007
Jamal Easter,19,Centre-Forward,Torquay,0.0,out,Winter,2006,2006/2007
James Chambers,25,Right-Back,Watford,0.0,out,Winter,2006,2006/2007
Alan Wright,35,Left-Back,Sheff Utd,0.0,out,Winter,2006,2006/2007
Michael Oakes,33,Goalkeeper,Wolves,0.0,in,Summer,2007,2007/2008
Steven MacLean,24,Centre-Forward,Sheff Wed,0.0,in,Summer,2007,2007/2008
Jimmy Floyd Hasselbaink,35,Centre-Forward,Charlton,0.0,in,Summer,2007,2007/2008
Robbie Fowler,32,Centre-Forward,Liverpool,0.0,in,Summer,2007,2007/2008
Josh Magennis,16,Centre-Forward,Glentoran,0.0,in,Summer,2007,2007/2008
Gavin Rae,29,Central Midfield,Rangers,0.0,in,Summer,2007,2007/2008
Trevor Sinclair,34,Left Winger,Man City,0.0,in,Summer,2007,2007/2008
Tony Capaldi,25,Left-Back,Plymouth,0.0,in,Summer,2007,2007/2008
Kasper Schmeichel,20,Goalkeeper,Man City,0.0,in,Summer,2007,2007/2008
Ross Turnbull,22,Goalkeeper,Middlesbrough,0.0,in,Summer,2007,2007/2008
Aaron Ramsey,16,Central Midfield,Cardiff U18,0.0,in,Summer,2007,2007/2008
David Forde,27,Goalkeeper,Luton,0.0,in,Summer,2007,2007/2008
David Forde,28,Goalkeeper,Bournemouth,0.0,in,Summer,2007,2007/2008
Matt Green,21,Centre-Forward,Oxford United,0.0,in,Summer,2007,2007/2008
Willo Flood,23,Central Midfield,Dundee United,0.0,in,Summer,2007,2007/2008
Michael Chopra,23,Centre-Forward,Sunderland,7500000.0,out,Summer,2007,2007/2008
Andrea Ferretti,20,Centre-Forward,Cesena,0.0,out,Summer,2007,2007/2008
Curtis McDonald,19,Centre-Back,Carmarthen,0.0,out,Summer,2007,2007/2008
Mark Howard,20,Goalkeeper,St. Mirren,0.0,out,Summer,2007,2007/2008
Chris Barker,27,Left-Back,QPR,0.0,out,Summer,2007,2007/2008
Jamal Easter,19,Centre-Forward,Carmarthen,0.0,out,Summer,2007,2007/2008
Neil Alexander,29,Goalkeeper,Ipswich,0.0,out,Summer,2007,2007/2008
Luigi Glombard,22,Right Winger,Grenoble,0.0,out,Summer,2007,2007/2008
Jeff Whitley,28,Defensive Midfield,Wrexham,0.0,out,Summer,2007,2007/2008
Willo Flood,22,Central Midfield,Dundee United,0.0,out,Summer,2007,2007/2008
Warren Feeney,26,Centre-Forward,Swansea,0.0,out,Summer,2007,2007/2008
David Forde,27,Goalkeeper,Luton,0.0,out,Summer,2007,2007/2008
Matt Green,20,Centre-Forward,Darlington,0.0,out,Summer,2007,2007/2008
Kevin Cooper,32,Left Midfield,Tranmere Rovers,0.0,out,Summer,2007,2007/2008
Michael Corcoran,19,Defensive Midfield,Oxford United,0.0,out,Summer,2007,2007/2008
Stacy Naoto Kodani,25,Centre-Back,BK Skjold,0.0,out,Summer,2007,2007/2008
Martyn Margetson,35,Goalkeeper,Retired,0.0,out,Summer,2007,2007/2008
Kevin Campbell,37,Centre-Forward,Retired,0.0,out,Summer,2007,2007/2008
Nick McKoy,20,midfield,Without Club,0.0,out,Summer,2007,2007/2008
Ross Turnbull,22,Goalkeeper,Middlesbrough,0.0,out,Summer,2007,2007/2008
Peter Enckelman,30,Goalkeeper,Blackburn,0.0,in,Winter,2007,2007/2008
Erwin Sak,17,Goalkeeper,Pniewy,0.0,in,Winter,2007,2007/2008
Jonathan Brown,17,midfield,Cardiff U18,0.0,in,Winter,2007,2007/2008
Matt Green,20,Centre-Forward,Darlington,0.0,in,Winter,2007,2007/2008
Kevin Cooper,32,Left Midfield,Tranmere Rovers,0.0,in,Winter,2007,2007/2008
Warren Feeney,26,Centre-Forward,Swansea,0.0,in,Winter,2007,2007/2008
Chris Gunter,18,Right-Back,Spurs,3200000.0,out,Winter,2007,2007/2008
Steven MacLean,25,Centre-Forward,Plymouth,750000.0,out,Winter,2007,2007/2008
Jason Byrne,29,Centre-Forward,Bohemians,0.0,out,Winter,2007,2007/2008
Kevin Cooper,32,Left Midfield,Chesterfield FC,0.0,out,Winter,2007,2007/2008
Matt Green,20,Centre-Forward,Oxford United,0.0,out,Winter,2007,2007/2008
David Forde,28,Goalkeeper,Bournemouth,0.0,out,Winter,2007,2007/2008
Kasper Schmeichel,21,Goalkeeper,Man City,0.0,out,Winter,2007,2007/2008
Jay Bothroyd,26,Centre-Forward,Wolves,450000.0,in,Summer,2008,2008/2009
Gábor Gyepes,27,Centre-Back,Northampton,300000.0,in,Summer,2008,2008/2009
Ross McCormack,21,Second Striker,Motherwell FC,180000.0,in,Summer,2008,2008/2009
Miguel Comminges,26,Right-Back,Swindon Town,0.0,in,Summer,2008,2008/2009
Mark Kennedy,32,Left-Back,Crystal Palace,0.0,in,Summer,2008,2008/2009
Darren Dennehy,19,Centre-Back,Everton U18,0.0,in,Summer,2008,2008/2009
Tom Heaton,22,Goalkeeper,Man Utd,0.0,in,Summer,2008,2008/2009
Eddie Johnson,24,Centre-Forward,Fulham,0.0,in,Summer,2008,2008/2009
Warren Feeney,28,Centre-Forward,Dundee United,0.0,in,Summer,2008,2008/2009
Jonathan Brown,19,midfield,Wrexham,0.0,in,Summer,2008,2008/2009
Aaron Ramsey,17,Central Midfield,Arsenal,6400000.0,out,Summer,2008,2008/2009
Glenn Loovens,24,Centre-Back,Celtic,3250000.0,out,Summer,2008,2008/2009
David Forde,28,Goalkeeper,Millwall,0.0,out,Summer,2008,2008/2009
Matt Green,21,Centre-Forward,Torquay,0.0,out,Summer,2008,2008/2009
Steven Thompson,29,Centre-Forward,Burnley,0.0,out,Summer,2008,2008/2009
Anthony Acheampong,18,Centre-Back,Horsham,0.0,out,Summer,2008,2008/2009
Warren Feeney,27,Centre-Forward,Dundee United,0.0,out,Summer,2008,2008/2009
Erwin Sak,18,Goalkeeper,Newport County,0.0,out,Summer,2008,2008/2009
Willo Flood,23,Central Midfield,Dundee United,0.0,out,Summer,2008,2008/2009
Trevor Sinclair,35,Left Winger,Retired,0.0,out,Summer,2008,2008/2009
Robbie Fowler,33,Centre-Forward,Without Club,0.0,out,Summer,2008,2008/2009
Jimmy Floyd Hasselbaink,36,Centre-Forward,Retired,0.0,out,Summer,2008,2008/2009
Michael Oakes,34,Goalkeeper,Retired,0.0,out,Summer,2008,2008/2009
Eddie Johnson,25,Centre-Forward,Fulham,0.0,out,Summer,2008,2008/2009
Quincy Owusu-Abeyie,23,Left Winger,Spartak Moscow,0.0,out,Summer,2008,2008/2009
Stuart Taylor,28,Goalkeeper,Aston Villa,0.0,out,Summer,2008,2008/2009
