player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Luke Varney,24,Centre-Forward,Crewe Alexandra,3700000.0,in,Summer,2007,2007/2008
Izale McLeod,22,Centre-Forward,MK Dons,1650000.0,in,Summer,2007,2007/2008
Patrick McCarthy,24,Centre-Back,Leicester,950000.0,in,Summer,2007,2007/2008
Therry Racon,23,Defensive Midfield,Guingamp,825000.0,in,Summer,2007,2007/2008
Yassin Moutaouakil,20,Right-Back,LB Châteauroux,600000.0,in,Summer,2007,2007/2008
Martin Christensen,19,Right Midfield,Herfölge BK,375000.0,in,Summer,2007,2007/2008
Dean Sinclair,22,Right Winger,Barnet,188000.0,in,Summer,2007,2007/2008
Chris Powell,37,Left-Back,Watford,0.0,in,Summer,2007,2007/2008
Nicky Weaver,28,Goalkeeper,Man City,0.0,in,Summer,2007,2007/2008
Chris Iwelumo,28,Centre-Forward,Colchester Utd.,0.0,in,Summer,2007,2007/2008
José Semedo,22,Defensive Midfield,Cagliari Calcio,0.0,in,Summer,2007,2007/2008
Svetoslav Todorov,28,Centre-Forward,Portsmouth,0.0,in,Summer,2007,2007/2008
Sam Sodje,28,Centre-Back,Reading,0.0,in,Summer,2007,2007/2008
Danny Mills,30,Right-Back,Man City,0.0,in,Summer,2007,2007/2008
Josh Wright,17,Central Midfield,Charlton U18,0.0,in,Summer,2007,2007/2008
Aswad Thomas,17,Left-Back,Charlton U18,0.0,in,Summer,2007,2007/2008
Harry Arter,17,Central Midfield,Charlton U18,0.0,in,Summer,2007,2007/2008
Grant Basey,18,Left-Back,Charlton U18,0.0,in,Summer,2007,2007/2008
Chris Dickson,22,Centre-Forward,Crewe Alexandra,0.0,in,Summer,2007,2007/2008
Marcus Bent,29,Centre-Forward,Wigan,0.0,in,Summer,2007,2007/2008
Grant Basey,18,Left-Back,Brentford,0.0,in,Summer,2007,2007/2008
Ismaël Fofana,19,Centre-Forward,Fredrikstad,0.0,in,Summer,2007,2007/2008
Izale McLeod,23,Centre-Forward,Colchester Utd.,0.0,in,Summer,2007,2007/2008
Josh Wright,18,Central Midfield,Barnet,0.0,in,Summer,2007,2007/2008
Osei Sankofa,23,Right-Back,Brentford,0.0,in,Summer,2007,2007/2008
Amdy Faye,31,Defensive Midfield,Rangers,0.0,in,Summer,2007,2007/2008
Darren Bent,23,Centre-Forward,Spurs,24750000.0,out,Summer,2007,2007/2008
Souleymane Diawara,28,Centre-Back,G. Bordeaux,3900000.0,out,Summer,2007,2007/2008
Luke Young,28,Right-Back,Middlesbrough,3750000.0,out,Summer,2007,2007/2008
Dennis Rommedahl,28,Right Winger,Ajax,1020000.0,out,Summer,2007,2007/2008
Radostin Kishishev,32,Defensive Midfield,Leicester,375000.0,out,Summer,2007,2007/2008
Simon Walton,19,Central Midfield,QPR,300000.0,out,Summer,2007,2007/2008
Mads Nielsen,18,Goalkeeper,BK Frem,0.0,out,Summer,2007,2007/2008
Jonathan Kurrant,18,Defensive Midfield,Aberdeen FC B,0.0,out,Summer,2007,2007/2008
Alistair John,19,midfield,Stevenage,0.0,out,Summer,2007,2007/2008
