player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Nigel Spackman,31,Central Midfield,Rangers,600000.0,in,Summer,1992,1992/1993
Anthony Barness,19,Right-Back,Charlton,525000.0,in,Summer,1992,1992/1993
David Hopkin,22,Right Midfield,Morton,450000.0,in,Summer,1992,1992/1993
Mick Harford,33,Centre-Forward,Luton,350000.0,in,Summer,1992,1992/1993
Mal Donaghy,34,Left-Back,Man Utd,200000.0,in,Summer,1992,1992/1993
John Spencer,21,Centre-Forward,Rangers,0.0,in,Summer,1992,1992/1993
Alec Chamberlain,28,Goalkeeper,Luton,0.0,in,Summer,1992,1992/1993
Robert Fleck,26,Centre-Forward,Norwich,0.0,in,Summer,1992,1992/1993
Nick Colgan,18,Goalkeeper,Drogheda United,0.0,in,Summer,1992,1992/1993
Neil Shipperley,17,Centre-Forward,Chelsea U18,0.0,in,Summer,1992,1992/1993
Frank Sinclair,20,Centre-Back,West Brom,0.0,in,Summer,1992,1992/1993
Damian Matthew,22,Central Midfield,Luton,0.0,in,Summer,1992,1992/1993
Dave Beasant,34,Goalkeeper,Wolves,0.0,in,Summer,1992,1992/1993
Jason Cundy,22,Centre-Back,Spurs,875000.0,out,Summer,1992,1992/1993
Ken Monkou,27,Centre-Back,Southampton,844000.0,out,Summer,1992,1992/1993
Vinnie Jones,27,Defensive Midfield,Wimbledon FC,830000.0,out,Summer,1992,1992/1993
Kerry Dixon,30,Centre-Forward,Southampton,650000.0,out,Summer,1992,1992/1993
Damian Matthew,22,Central Midfield,Luton,0.0,out,Summer,1992,1992/1993
Dave Beasant,33,Goalkeeper,Grimsby Town,0.0,out,Summer,1992,1992/1993
Dmitri Kharin,24,Goalkeeper,CSKA Moscow,400000.0,in,Winter,1992,1992/1993
Steve Livingstone,23,Centre-Forward,Blackburn,400000.0,in,Winter,1992,1992/1993
Gerry Peyton,36,Goalkeeper,Everton,0.0,in,Winter,1992,1992/1993
Dave Beasant,33,Goalkeeper,Grimsby Town,0.0,in,Winter,1992,1992/1993
Tom Boyd,27,Left-Back,Celtic,1130000.0,out,Winter,1992,1992/1993
Graeme Le Saux,24,Left-Back,Blackburn,1050000.0,out,Winter,1992,1992/1993
Joe Allon,26,Centre-Forward,Brentford,316000.0,out,Winter,1992,1992/1993
Mick Harford,34,Centre-Forward,Sunderland,285000.0,out,Winter,1992,1992/1993
Kevin Hitchcock,30,Goalkeeper,West Ham,0.0,out,Winter,1992,1992/1993
Dave Beasant,33,Goalkeeper,Wolves,0.0,out,Winter,1992,1992/1993
Alec Chamberlain,28,Goalkeeper,Luton,0.0,out,Winter,1992,1992/1993
Gerry Peyton,36,Goalkeeper,Everton,0.0,out,Winter,1992,1992/1993
Gavin Peacock,25,midfield,Newcastle,1700000.0,in,Summer,1993,1993/1994
