player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Stern John,27,Centre-Forward,Birmingham,300000.0,in,Summer,2004,2004/2005
Louis Carey,27,Centre-Back,Bristol City,0.0,in,Summer,2004,2004/2005
Stephen Hughes,27,Defensive Midfield,Charlton,0.0,in,Summer,2004,2004/2005
Andy Marriott,33,Goalkeeper,Beira-Mar,0.0,in,Summer,2004,2004/2005
Neil Wood,21,Central Midfield,Man Utd,0.0,in,Summer,2004,2004/2005
Tim Sherwood,35,Central Midfield,Portsmouth,0.0,in,Summer,2004,2004/2005
Craig Reid,18,Centre-Forward,Ipswich U18,0.0,in,Summer,2004,2004/2005
Rohan Ricketts,21,Attacking Midfield,Spurs,0.0,in,Summer,2004,2004/2005
Eddie Johnson,19,Centre-Forward,Man Utd,0.0,in,Summer,2004,2004/2005
Matt Mills,18,Centre-Back,Southampton,0.0,in,Summer,2004,2004/2005
Luke Steele,19,Centre-Forward,Man Utd,0.0,in,Summer,2004,2004/2005
Dean Leacock,20,Centre-Back,Fulham,0.0,in,Summer,2004,2004/2005
Pegguy Arphexad,31,Goalkeeper,Notts County,0.0,in,Summer,2004,2004/2005
Ben Mackey,17,Centre-Forward,Coventry U18,0.0,in,Summer,2004,2004/2005
Craig Pead,23,Right Midfield,Notts County,0.0,in,Summer,2004,2004/2005
Gary McSheffrey,22,Left Winger,Luton,0.0,in,Summer,2004,2004/2005
Barry Scott Quinn,25,Right-Back,Rush. & Diamon.,0.0,in,Summer,2004,2004/2005
Calum Davenport,21,defence,Spurs,1800000.0,out,Summer,2004,2004/2005
Youssef Safri,27,Defensive Midfield,Norwich,750000.0,out,Summer,2004,2004/2005
Julian Joachim,29,Centre-Forward,Leeds,0.0,out,Summer,2004,2004/2005
Barry Scott Quinn,25,Right-Back,Oxford United,0.0,out,Summer,2004,2004/2005
Gavin Ward,34,Goalkeeper,Preston,0.0,out,Summer,2004,2004/2005
Dean Gordon,31,Left-Back,Grimsby Town,0.0,out,Summer,2004,2004/2005
Michael Briscoe,20,Centre-Back,Macclesfield,0.0,out,Summer,2004,2004/2005
Craig Pead,22,Right Midfield,Notts County,0.0,out,Summer,2004,2004/2005
Gary McSheffrey,22,Left Winger,Luton,0.0,out,Summer,2004,2004/2005
Dele Adebola,29,Centre-Forward,Bradford,0.0,out,Summer,2004,2004/2005
Eddie Stanford,19,Left Midfield,Legia Warszawa,0.0,out,Summer,2004,2004/2005
Onandi Lowe,30,attack,Arnett Gardens,0.0,out,Summer,2004,2004/2005
Muhamed Konjic,34,Centre-Back,Derby,0.0,out,Summer,2004,2004/2005
Ruaidhri Higgins,19,Attacking Midfield,Derry City,0.0,out,Summer,2004,2004/2005
Pegguy Arphexad,31,Goalkeeper,Without Club,0.0,out,Summer,2004,2004/2005
Christian Negouai,27,Defensive Midfield,Man City,0.0,out,Summer,2004,2004/2005
Richard Duffy,19,Centre-Back,Portsmouth,0.0,out,Summer,2004,2004/2005
Yazid Mansouri,26,Central Midfield,AC Le Havre,0.0,out,Summer,2004,2004/2005
Eddie Johnson,20,Centre-Forward,Man Utd,0.0,out,Summer,2004,2004/2005
Luke Steele,20,Centre-Forward,Man Utd,0.0,out,Summer,2004,2004/2005
Ian Bennett,33,Goalkeeper,Birmingham,0.0,out,Summer,2004,2004/2005
Dorryl Proffitt,19,Centre-Forward,Man City,0.0,out,Summer,2004,2004/2005
Matt Mills,18,Centre-Back,Southampton,0.0,out,Summer,2004,2004/2005
Sebastian Olszar,22,Centre-Forward,Portsmouth,0.0,out,Summer,2004,2004/2005
Trevor Benjamin,25,Centre-Forward,Northampton,50000.0,in,Winter,2004,2004/2005
Adrian Williams,33,Centre-Back,Reading,0.0,in,Winter,2004,2004/2005
Robert Page,30,Centre-Back,Cardiff,0.0,in,Winter,2004,2004/2005
Kevin Pressman,37,Goalkeeper,Leeds,0.0,in,Winter,2004,2004/2005
Marcus Hall,28,Left-Back,Stoke City,0.0,in,Winter,2004,2004/2005
Richard Duffy,19,Centre-Back,Portsmouth,0.0,in,Winter,2004,2004/2005
Florent Laville,31,Centre-Back,Bolton,0.0,in,Winter,2004,2004/2005
Ian Bennett,33,Goalkeeper,Birmingham,0.0,in,Winter,2004,2004/2005
Christian Negouai,27,Defensive Midfield,Man City,0.0,in,Winter,2004,2004/2005
Shaun Goater,34,Centre-Forward,Reading,0.0,in,Winter,2004,2004/2005
Dele Adebola,29,Centre-Forward,Bradford,0.0,in,Winter,2004,2004/2005
