player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Darren Moss,23,Right-Back,Shrewsbury,200000.0,in,Summer,2004,2004/2005
Mark Rivers,28,Centre-Forward,Norwich,0.0,in,Summer,2004,2004/2005
Keith Briggs,22,Central Midfield,Norwich,0.0,in,Summer,2004,2004/2005
Jon Otsemobor,21,Right-Back,Liverpool,0.0,in,Summer,2004,2004/2005
Paul Bignot,18,Right-Back,Crewe U18,0.0,in,Summer,2004,2004/2005
Luke Varney,22,Centre-Forward,Quorn FC,0.0,in,Summer,2004,2004/2005
David Wright,24,Defensive Midfield,Wigan,750000.0,out,Summer,2004,2004/2005
Allan Smart,30,Centre-Forward,MK Dons,0.0,out,Summer,2004,2004/2005
David Brammer,29,Central Midfield,Stoke City,0.0,out,Summer,2004,2004/2005
Adam Yates,21,Right-Back,Leek Town FC,0.0,out,Summer,2004,2004/2005
Tom Betts,21,defence,Leek Town FC,0.0,out,Summer,2004,2004/2005
Stuart Tomlinson,19,Goalkeeper,Stafford Rangers,0.0,out,Summer,2004,2004/2005
Luke Varney,21,Centre-Forward,Quorn FC,0.0,out,Summer,2004,2004/2005
Ryan Austin,19,Centre-Back,Burton Albion,0.0,out,Summer,2004,2004/2005
Ademola Bankole,34,Goalkeeper,Without Club,0.0,out,Summer,2004,2004/2005
Keith Briggs,22,Central Midfield,Norwich,0.0,out,Summer,2004,2004/2005
Colin Murdock,29,Centre-Back,Hibernian FC,0.0,in,Winter,2004,2004/2005
Stuart Tomlinson,19,Goalkeeper,Stafford Rangers,0.0,in,Winter,2004,2004/2005
Dean Ashton,21,Centre-Forward,Norwich,6000000.0,out,Winter,2004,2004/2005
James Robinson,22,attack,ÍBV,0.0,out,Winter,2004,2004/2005
Paul Edwards,22,attack,Leek Town FC,0.0,out,Winter,2004,2004/2005
Matthew Platt,21,midfield,ÍBV,0.0,out,Winter,2004,2004/2005
Carl Frost,21,Centre-Forward,Leek Town FC,0.0,out,Winter,2004,2004/2005
Jon Otsemobor,21,Right-Back,Liverpool,0.0,out,Winter,2004,2004/2005
Pavol Suhaj,24,Centre-Forward,AS Trencin,150000.0,in,Summer,2005,2005/2006
Patrick Noubissie,22,Central Midfield,US Roye,0.0,in,Summer,2005,2005/2006
Juan Ugarte,24,Centre-Forward,Wrexham,0.0,in,Summer,2005,2005/2006
