player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Paul Rideout,28,Centre-Forward,Rangers,583000.0,in,Summer,1992,1992/1993
Preki,29,Attacking Midfield,Storm,120000.0,in,Summer,1992,1992/1993
Barry Horne,30,Defensive Midfield,Southampton,0.0,in,Summer,1992,1992/1993
David Unsworth,18,Left-Back,Everton U18,0.0,in,Summer,1992,1992/1993
Chris Priest,18,Central Midfield,Everton U18,0.0,in,Summer,1992,1992/1993
Iain Jenkins,19,Right-Back,Bradford,0.0,in,Summer,1992,1992/1993
Pat Nevin,28,Right Winger,Tranmere Rovers,450000.0,out,Summer,1992,1992/1993
Kevin Ratcliffe,31,Centre-Back,Dundee FC,0.0,out,Summer,1992,1992/1993
Gerry Peyton,36,Goalkeeper,Brentford,0.0,out,Summer,1992,1992/1993
Gerry Peyton,36,Goalkeeper,Brentford,0.0,in,Winter,1992,1992/1993
Gerry Peyton,36,Goalkeeper,Chelsea,0.0,in,Winter,1992,1992/1993
Martin Keown,26,Centre-Back,Arsenal,3000000.0,out,Winter,1992,1992/1993
Gerry Peyton,36,Goalkeeper,Chelsea,0.0,out,Winter,1992,1992/1993
Graham Stuart,22,Attacking Midfield,Chelsea,1280000.0,in,Summer,1993,1993/1994
Brett Angell,25,Centre-Forward,Southend United,0.0,in,Summer,1993,1993/1994
Paul Holmes,25,midfield,Birmingham,0.0,in,Summer,1993,1993/1994
Tony Grant,18,Defensive Midfield,Everton U18,0.0,in,Summer,1993,1993/1994
Peter Beardsley,32,Second Striker,Newcastle,1700000.0,out,Summer,1993,1993/1994
Mo Johnston,30,Centre-Forward,Heart of Midl.,0.0,out,Summer,1993,1993/1994
Alan Harper,32,Centre-Back,Luton,0.0,out,Summer,1993,1993/1994
Iain Jenkins,20,Right-Back,Chester City,0.0,out,Summer,1993,1993/1994
Brett Angell,25,Centre-Forward,Southend United,0.0,out,Summer,1993,1993/1994
Anders Limpar,28,Attacking Midfield,Arsenal,1900000.0,in,Winter,1993,1993/1994
Brett Angell,25,Centre-Forward,Southend United,500000.0,in,Winter,1993,1993/1994
Joe Parkinson,22,midfield,Bournemouth,375000.0,in,Winter,1993,1993/1994
Brett Angell,25,Centre-Forward,Southend United,0.0,in,Winter,1993,1993/1994
Peter Beagrie,28,Left Winger,Man City,0.0,out,Winter,1993,1993/1994
Billy Kenny,20,midfield,Unknown,0.0,out,Winter,1993,1993/1994
Brett Angell,25,Centre-Forward,Southend United,0.0,out,Winter,1993,1993/1994
Daniel Amokachi,21,Centre-Forward,Club Brugge,3500000.0,in,Summer,1994,1994/1995
Gary Rowett,20,Right-Back,Cambridge Utd.,280000.0,in,Summer,1994,1994/1995
Vinny Samways,25,Central Midfield,Spurs,0.0,in,Summer,1994,1994/1995
David Burrows,25,Left-Back,West Ham,0.0,in,Summer,1994,1994/1995
Ian Durrant,27,Attacking Midfield,Rangers,0.0,in,Summer,1994,1994/1995
Alex Smith,18,Left-Back,Everton U18,0.0,in,Summer,1994,1994/1995
Neil Moore,22,defence,Oldham Athletic,0.0,in,Summer,1994,1994/1995
Gary Rowett,21,Right-Back,Blackpool,0.0,in,Summer,1994,1994/1995
Jason Kearton,25,Goalkeeper,Notts County,0.0,in,Summer,1994,1994/1995
Robert Warzycha,30,Right Winger,Pécsi MFC,0.0,out,Summer,1994,1994/1995
John Doolan,20,Central Midfield,Mansfield Town,0.0,out,Summer,1994,1994/1995
Chris Priest,20,Central Midfield,Chester City,0.0,out,Summer,1994,1994/1995
Preki,31,Attacking Midfield,Portsmouth,0.0,out,Summer,1994,1994/1995
