player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Darren Byfield,27,Centre-Forward,Sunderland,0.0,in,Summer,2004,2004/2005
Darius Henderson,22,Centre-Forward,Reading,0.0,in,Summer,2004,2004/2005
Iwan Roberts,36,Centre-Forward,Norwich,0.0,in,Summer,2004,2004/2005
Adam Nowland,23,Attacking Midfield,West Ham,0.0,in,Summer,2004,2004/2005
Ashley Carew,18,Central Midfield,Gillingham U18,0.0,in,Summer,2004,2004/2005
Alan Pouton,27,Attacking Midfield,Hartlepool,0.0,in,Summer,2004,2004/2005
Andy Hessenthaler,39,Central Midfield,Hull City,0.0,in,Summer,2004,2004/2005
Darius Henderson,22,Centre-Forward,Swindon Town,0.0,in,Summer,2004,2004/2005
Dean Beckwith,21,Centre-Back,Margate FC,0.0,in,Summer,2004,2004/2005
Danny Knowles,19,Goalkeeper,Welling Utd.,0.0,in,Summer,2004,2004/2005
Iwan Roberts,36,Centre-Forward,Cambridge Utd.,0.0,in,Summer,2004,2004/2005
Kevin James,24,Centre-Forward,Nottm Forest,0.0,out,Summer,2004,2004/2005
Alan Pouton,27,Attacking Midfield,Hartlepool,0.0,out,Summer,2004,2004/2005
Bertrand Bossu,23,Goalkeeper,Torquay,0.0,out,Summer,2004,2004/2005
Jon Wallis,18,Central Midfield,Hastings Utd,0.0,out,Summer,2004,2004/2005
Darius Henderson,22,Centre-Forward,Swindon Town,0.0,out,Summer,2004,2004/2005
Ashley Carew,18,Central Midfield,Worthing,0.0,out,Summer,2004,2004/2005
Gary Wales,25,Centre-Forward,Kilmarnock FC,0.0,out,Summer,2004,2004/2005
Rod Wallace,34,Right Winger,Retired,0.0,out,Summer,2004,2004/2005
Vince Bartram,35,Goalkeeper,Retired,0.0,out,Summer,2004,2004/2005
Jonathan Douglas,23,Central Midfield,Blackburn,0.0,out,Summer,2004,2004/2005
Matt Bodkin,21,Right Winger,Nottm Forest,0.0,in,Winter,2004,2004/2005
Michael Flynn,24,Central Midfield,Wigan,0.0,in,Winter,2004,2004/2005
Jonathan Douglas,23,Central Midfield,Blackburn,0.0,in,Winter,2004,2004/2005
Dean Marney,20,Central Midfield,Spurs,0.0,in,Winter,2004,2004/2005
Paul Gallacher,25,Goalkeeper,Norwich,0.0,in,Winter,2004,2004/2005
Ashley Carew,18,Central Midfield,Worthing,0.0,in,Winter,2004,2004/2005
Jon Wallis,18,Central Midfield,Hastings Utd,0.0,in,Winter,2004,2004/2005
Bertrand Bossu,24,Goalkeeper,Torquay,0.0,in,Winter,2004,2004/2005
Patrick Agyemang,24,Centre-Forward,Preston,525000.0,out,Winter,2004,2004/2005
Tommy Johnson,34,Centre-Forward,Sheff Utd,0.0,out,Winter,2004,2004/2005
Danny Knowles,18,Goalkeeper,Welling Utd.,0.0,out,Winter,2004,2004/2005
Andy Hessenthaler,39,Central Midfield,Hull City,0.0,out,Winter,2004,2004/2005
Dean Beckwith,21,Centre-Back,Margate FC,0.0,out,Winter,2004,2004/2005
Paul Gallacher,25,Goalkeeper,Norwich,0.0,out,Winter,2004,2004/2005
Dean Marney,20,Central Midfield,Spurs,0.0,out,Winter,2004,2004/2005
Adam Nowland,23,Attacking Midfield,West Ham,0.0,out,Winter,2004,2004/2005
Iwan Roberts,36,Centre-Forward,Cambridge Utd.,0.0,out,Winter,2004,2004/2005
