player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Sean Scannell,21,Right Winger,Crystal Palace,1120000.0,in,Summer,2012,2012/2013
Adam Clayton,23,Central Midfield,Leeds,1000000.0,in,Summer,2012,2012/2013
Oliver Norwood,21,Central Midfield,Man Utd U21,505000.0,in,Summer,2012,2012/2013
Anthony Gerrard,26,Centre-Back,Cardiff,450000.0,in,Summer,2012,2012/2013
Keith Southern,31,Central Midfield,Blackpool,380000.0,in,Summer,2012,2012/2013
Joel Lynch,24,Centre-Back,Nottm Forest,0.0,in,Summer,2012,2012/2013
Paul Dixon,25,Left-Back,Dundee United,0.0,in,Summer,2012,2012/2013
Jermaine Beckford,28,Centre-Forward,Leicester,0.0,in,Summer,2012,2012/2013
Adam Hammill,24,Right Winger,Wolves,0.0,in,Summer,2012,2012/2013
James Vaughan,24,Centre-Forward,Norwich,0.0,in,Summer,2012,2012/2013
Godwin Abadaki,18,Centre-Forward,Rochdale,0.0,in,Summer,2012,2012/2013
Robbie McIntyre,18,Left-Back,Without Club,0.0,in,Summer,2012,2012/2013
Tommy Smith,20,Right-Back,Without Club,0.0,in,Summer,2012,2012/2013
Scott Kay,22,Central Midfield,Without Club,0.0,in,Summer,2012,2012/2013
Dale Hopson,19,Central Midfield,Without Club,0.0,in,Summer,2012,2012/2013
Israel Johnson,18,Right-Back,Huddersf. U18,0.0,in,Summer,2012,2012/2013
Connor Loftus,18,attack,Huddersf. U18,0.0,in,Summer,2012,2012/2013
James Burke,18,Centre-Back,Huddersf. U18,0.0,in,Summer,2012,2012/2013
Jordan Sinnott,18,Right-Back,Huddersf. U18,0.0,in,Summer,2012,2012/2013
Max Leonard,17,Centre-Forward,Huddersf. U18,0.0,in,Summer,2012,2012/2013
Liam Ridehalgh,22,Left-Back,Rotherham,0.0,in,Summer,2012,2012/2013
Kallum Higginbotham,23,Right Winger,Motherwell FC,0.0,in,Summer,2012,2012/2013
Jimmy Spencer,21,Centre-Forward,Crawley Town,0.0,in,Summer,2012,2012/2013
Jordan Rhodes,22,Centre-Forward,Blackburn,10100000.0,out,Summer,2012,2012/2013
Gary Naysmith,33,Left-Back,Aberdeen FC,0.0,out,Summer,2012,2012/2013
Jamie McCombe,29,Centre-Back,Doncaster,0.0,out,Summer,2012,2012/2013
Antony Kay,29,Defensive Midfield,MK Dons,0.0,out,Summer,2012,2012/2013
Gary Roberts,28,Left Winger,Swindon Town,0.0,out,Summer,2012,2012/2013
Danny Cadamarteri,32,Right Winger,Carlisle United,0.0,out,Summer,2012,2012/2013
Tommy Miller,33,Central Midfield,Swindon Town,0.0,out,Summer,2012,2012/2013
Nathan Clarke,28,Centre-Back,Leyton Orient,0.0,out,Summer,2012,2012/2013
Aidan Chippendale,20,Left Winger,Accrington,0.0,out,Summer,2012,2012/2013
Hatib Cham,18,Centre-Forward,Unknown,0.0,out,Summer,2012,2012/2013
Greg Pearson,19,Centre-Back,Ilkeston Town,0.0,out,Summer,2012,2012/2013
Jimmy Spencer,20,Centre-Forward,Brentford,0.0,out,Summer,2012,2012/2013
Kallum Higginbotham,23,Right Winger,Carlisle United,0.0,out,Summer,2012,2012/2013
Chris Atkinson,20,Central Midfield,Chesterfield FC,0.0,out,Summer,2012,2012/2013
Liam Ridehalgh,21,Left-Back,Chesterfield FC,0.0,out,Summer,2012,2012/2013
Nick Colgan,38,Goalkeeper,Retired,0.0,out,Summer,2012,2012/2013
Simon Thomas,22,Goalkeeper,Without Club,0.0,out,Summer,2012,2012/2013
Godwin Abadaki,19,Centre-Forward,Rochdale,0.0,out,Summer,2012,2012/2013
Damien Johnson,33,Central Midfield,Plymouth,0.0,out,Summer,2012,2012/2013
Theo Robinson,24,Centre-Forward,Derby,0.0,in,Winter,2012,2012/2013
Simon Church,23,Centre-Forward,Reading,0.0,in,Winter,2012,2012/2013
Neil Danns,30,Central Midfield,Leicester,0.0,in,Winter,2012,2012/2013
