player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
David Healy,25,Centre-Forward,Preston,2750000.0,in,Summer,2004,2004/2005
Sean Gregan,30,Centre-Back,West Brom,750000.0,in,Summer,2004,2004/2005
Stephen Crainey,23,Left-Back,Southampton,250000.0,in,Summer,2004,2004/2005
Danny Cadamarteri,24,Right Winger,Bradford,0.0,in,Summer,2004,2004/2005
Neil Sullivan,34,Goalkeeper,Chelsea,0.0,in,Summer,2004,2004/2005
Craig Hignett,34,Right Winger,Leicester,0.0,in,Summer,2004,2004/2005
Matthew Spring,24,Central Midfield,Luton,0.0,in,Summer,2004,2004/2005
Jermaine Wright,28,Central Midfield,Ipswich,0.0,in,Summer,2004,2004/2005
Michael Ricketts,25,Centre-Forward,Middlesbrough,0.0,in,Summer,2004,2004/2005
Paul Butler,31,Centre-Back,Wolves,0.0,in,Summer,2004,2004/2005
Julian Joachim,29,Centre-Forward,Coventry,0.0,in,Summer,2004,2004/2005
Clarke Carlisle,24,Centre-Back,QPR,0.0,in,Summer,2004,2004/2005
Brian Deane,36,Centre-Forward,West Ham,0.0,in,Summer,2004,2004/2005
Danny Pugh,21,Left-Back,Man Utd,0.0,in,Summer,2004,2004/2005
Serge Branco,23,Right-Back,VfB Stuttgart,0.0,in,Summer,2004,2004/2005
Steve Guppy,35,Left Winger,Leicester,0.0,in,Summer,2004,2004/2005
Brett Ormerod,27,Centre-Forward,Southampton,0.0,in,Summer,2004,2004/2005
Jamie Winter,18,Central Midfield,Leeds U18,0.0,in,Summer,2004,2004/2005
Simon Walton,16,Central Midfield,Leeds U18,0.0,in,Summer,2004,2004/2005
Simon Johnson,22,Centre-Forward,Barnsley FC,0.0,in,Summer,2004,2004/2005
Paul Keegan,19,Central Midfield,Scunthorpe Utd.,0.0,in,Summer,2004,2004/2005
Michael Ricketts,26,Centre-Forward,Stoke City,0.0,in,Summer,2004,2004/2005
Martin Woods,18,Central Midfield,Hartlepool,0.0,in,Summer,2004,2004/2005
Andy Keogh,18,Centre-Forward,Scunthorpe Utd.,0.0,in,Summer,2004,2004/2005
Jamie McMaster,21,Central Midfield,Chesterfield FC,0.0,in,Summer,2004,2004/2005
Simon Johnson,21,Centre-Forward,Sunderland,0.0,in,Summer,2004,2004/2005
Alan Smith,23,Central Midfield,Man Utd,9000000.0,out,Summer,2004,2004/2005
James Milner,18,Central Midfield,Newcastle,7400000.0,out,Summer,2004,2004/2005
Mark Viduka,28,Centre-Forward,Middlesbrough,6750000.0,out,Summer,2004,2004/2005
Paul Robinson,24,Goalkeeper,Spurs,3000000.0,out,Summer,2004,2004/2005
Danny Cadamarteri,24,Right Winger,Sheff Utd,75000.0,out,Summer,2004,2004/2005
Stephen McPhail,24,Left Midfield,Barnsley FC,0.0,out,Summer,2004,2004/2005
Nick Barmby,30,Left Midfield,Hull City,0.0,out,Summer,2004,2004/2005
Dominic Matteo,30,Left-Back,Blackburn,0.0,out,Summer,2004,2004/2005
Danny Mills,27,Right-Back,Man City,0.0,out,Summer,2004,2004/2005
Steve Guppy,35,Left Winger,Wycombe,0.0,out,Summer,2004,2004/2005
Serge Branco,23,Right-Back,QPR,0.0,out,Summer,2004,2004/2005
Ian Harte,26,Left-Back,Levante,0.0,out,Summer,2004,2004/2005
Jason Wilcox,32,Left Winger,Leicester,0.0,out,Summer,2004,2004/2005
Michael Bridges,25,Centre-Forward,Bolton,0.0,out,Summer,2004,2004/2005
Shaun Allaway,21,Goalkeeper,Slough,0.0,out,Summer,2004,2004/2005
Craig Hignett,34,Right Winger,Darlington,0.0,out,Summer,2004,2004/2005
Andy Keogh,18,Centre-Forward,Scunthorpe Utd.,0.0,out,Summer,2004,2004/2005
Michael Duberry,29,Centre-Back,Stoke City,0.0,out,Summer,2004,2004/2005
Martin Woods,18,Central Midfield,Hartlepool,0.0,out,Summer,2004,2004/2005
Simon Johnson,21,Centre-Forward,Sunderland,0.0,out,Summer,2004,2004/2005
Jamie McMaster,21,Central Midfield,Swindon Town,0.0,out,Summer,2004,2004/2005
David Batty,35,Defensive Midfield,Retired,0.0,out,Summer,2004,2004/2005
Zoumana Camara,25,Centre-Back,Lens,0.0,out,Summer,2004,2004/2005
Brett Ormerod,27,Centre-Forward,Southampton,0.0,out,Summer,2004,2004/2005
Michael Gray,30,Left-Back,Blackburn,0.0,out,Summer,2004,2004/2005
Rob Hulse,25,Centre-Forward,West Brom,0.0,out,Summer,2004,2004/2005
Gylfi Einarsson,26,Central Midfield,Lillestrøm,100000.0,in,Winter,2004,2004/2005
Shaun Derry,27,Defensive Midfield,Crystal Palace,100000.0,in,Winter,2004,2004/2005
Ian Thomas-Moore,28,Centre-Forward,Burnley,75000.0,in,Winter,2004,2004/2005
Kevin Pressman,37,Goalkeeper,Leicester,0.0,in,Winter,2004,2004/2005
Sasa Ilic,32,Goalkeeper,Aberdeen FC,0.0,in,Winter,2004,2004/2005
John Oster,25,Central Midfield,Sunderland,0.0,in,Winter,2004,2004/2005
Marlon King,24,Centre-Forward,Nottm Forest,0.0,in,Winter,2004,2004/2005
Rob Hulse,25,Centre-Forward,West Brom,0.0,in,Winter,2004,2004/2005
Michael Gray,30,Left-Back,Blackburn,0.0,in,Winter,2004,2004/2005
Jamie McMaster,22,Central Midfield,Swindon Town,0.0,in,Winter,2004,2004/2005
Jamie McMaster,22,Central Midfield,Peterborough,0.0,in,Winter,2004,2004/2005
Andy Keogh,18,Centre-Forward,Bury,0.0,in,Winter,2004,2004/2005
Simon Johnson,21,Centre-Forward,Doncaster,0.0,in,Winter,2004,2004/2005
Michael Duberry,29,Centre-Back,Stoke City,0.0,in,Winter,2004,2004/2005
Nathan Blake,32,Centre-Forward,Leicester,0.0,in,Winter,2004,2004/2005
Scott Carson,19,Goalkeeper,Liverpool,1400000.0,out,Winter,2004,2004/2005
Andy Keogh,18,Centre-Forward,Scunthorpe Utd.,75000.0,out,Winter,2004,2004/2005
Kevin Pressman,37,Goalkeeper,Coventry,0.0,out,Winter,2004,2004/2005
Sasa Ilic,32,Goalkeeper,Aberdeen FC,0.0,out,Winter,2004,2004/2005
Jamie Winter,19,Central Midfield,Aberdeen FC,0.0,out,Winter,2004,2004/2005
Harpal Singh,23,Left Midfield,Stockport,0.0,out,Winter,2004,2004/2005
Michael Duberry,29,Centre-Back,Stoke City,0.0,out,Winter,2004,2004/2005
Simon Johnson,21,Centre-Forward,Barnsley FC,0.0,out,Winter,2004,2004/2005
Michael Ricketts,26,Centre-Forward,Stoke City,0.0,out,Winter,2004,2004/2005
Andy Keogh,18,Centre-Forward,Bury,0.0,out,Winter,2004,2004/2005
Simon Johnson,21,Centre-Forward,Doncaster,0.0,out,Winter,2004,2004/2005
Jamie McMaster,22,Central Midfield,Peterborough,0.0,out,Winter,2004,2004/2005
Jamie McMaster,22,Central Midfield,Chesterfield FC,0.0,out,Winter,2004,2004/2005
Paul Harrison,20,Goalkeeper,Liverpool,0.0,out,Winter,2004,2004/2005
John Oster,25,Central Midfield,Sunderland,0.0,out,Winter,2004,2004/2005
Richard Cresswell,27,Centre-Forward,Preston,1730000.0,in,Summer,2005,2005/2006
Rob Hulse,25,Centre-Forward,West Brom,1650000.0,in,Summer,2005,2005/2006
Dan Harding,21,Left-Back,Brighton,1250000.0,in,Summer,2005,2005/2006
