player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
David Connolly,27,attack,West Ham,750000.0,in,Summer,2004,2004/2005
Gareth Williams,22,Central Midfield,Nottm Forest,750000.0,in,Summer,2004,2004/2005
Alan Maybury,25,Right-Back,Heart of Midl.,75000.0,in,Summer,2004,2004/2005
Joey Gudjónsson,24,Central Midfield,Real Betis,0.0,in,Summer,2004,2004/2005
Kevin Pressman,36,Goalkeeper,Sheff Wed,0.0,in,Summer,2004,2004/2005
Chris Makin,31,Left-Back,Ipswich,0.0,in,Summer,2004,2004/2005
Danny Tiatto,31,Left-Back,Man City,0.0,in,Summer,2004,2004/2005
Scot Gemmill,33,Central Midfield,Everton,0.0,in,Summer,2004,2004/2005
Dion Dublin,35,Centre-Forward,Aston Villa,0.0,in,Summer,2004,2004/2005
Martin Keown,37,Centre-Back,Arsenal,0.0,in,Summer,2004,2004/2005
Nathan Blake,32,Centre-Forward,Wolves,0.0,in,Summer,2004,2004/2005
Jason Wilcox,32,Left Winger,Leeds,0.0,in,Summer,2004,2004/2005
Kevin Harper,28,Right Midfield,Portsmouth,0.0,in,Summer,2004,2004/2005
Richard Stearman,16,Centre-Back,Leicester U18,0.0,in,Summer,2004,2004/2005
James Graham,17,Centre-Forward,Leicester U18,0.0,in,Summer,2004,2004/2005
Conrad Logan,18,Goalkeeper,Leicester U18,0.0,in,Summer,2004,2004/2005
Chris O'Grady,18,Centre-Forward,Leicester U18,0.0,in,Summer,2004,2004/2005
Chris Makin,31,Left-Back,Derby,0.0,in,Summer,2004,2004/2005
James Scowcroft,29,Centre-Forward,Ipswich,0.0,in,Summer,2004,2004/2005
Ben Thatcher,28,Left-Back,Man City,1500000.0,out,Summer,2004,2004/2005
Paul Dickov,31,Centre-Forward,Blackburn,225000.0,out,Summer,2004,2004/2005
Riccardo Scimeca,29,Centre-Back,West Brom,150000.0,out,Summer,2004,2004/2005
Billy McKinlay,35,Right Midfield,Fulham,0.0,out,Summer,2004,2004/2005
Ashley Lyth,22,Right-Back,Scarborough Athletic,0.0,out,Summer,2004,2004/2005
Craig Hignett,34,Right Winger,Leeds,0.0,out,Summer,2004,2004/2005
Paul Brooker,27,Attacking Midfield,Reading,0.0,out,Summer,2004,2004/2005
Les Ferdinand,37,Centre-Forward,Bolton,0.0,out,Summer,2004,2004/2005
Callum Davidson,28,Left-Back,Preston,0.0,out,Summer,2004,2004/2005
Muzzy Izzet,29,Attacking Midfield,Birmingham,0.0,out,Summer,2004,2004/2005
Steve Guppy,35,Left Winger,Leeds,0.0,out,Summer,2004,2004/2005
Paul Murphy,19,Goalkeeper,Dundalk FC,0.0,out,Summer,2004,2004/2005
Nicolas Priet,21,Centre-Back,Doncaster,0.0,out,Summer,2004,2004/2005
Frank Sinclair,32,Centre-Back,Burnley,0.0,out,Summer,2004,2004/2005
Andy Impey,32,Defensive Midfield,Nottm Forest,0.0,out,Summer,2004,2004/2005
Chris O'Grady,18,Centre-Forward,Notts County,0.0,out,Summer,2004,2004/2005
Danny Coyne,30,Goalkeeper,Burnley,40000.0,out,Summer,2004,2004/2005
Matt Elliott,35,Centre-Back,Retired,0.0,out,Summer,2004,2004/2005
Matthew Jones,23,Central Midfield,Retired,0.0,out,Summer,2004,2004/2005
Kevin Harper,28,Right Midfield,Portsmouth,0.0,out,Summer,2004,2004/2005
Stefan Moore,21,Centre-Forward,Aston Villa,0.0,out,Summer,2004,2004/2005
Steffen Freund,34,Defensive Midfield,1.FC K'lautern,0.0,out,Summer,2004,2004/2005
Darren Kenton,26,Centre-Back,Southampton,0.0,out,Summer,2004,2004/2005
Stephen Hughes,22,Central Midfield,Rangers,375000.0,in,Winter,2004,2004/2005
Patrick McCarthy,21,Centre-Back,Man City Res.,150000.0,in,Winter,2004,2004/2005
Mark de Vries,29,Centre-Forward,Heart of Midl.,74000.0,in,Winter,2004,2004/2005
Lars Hirschfeld,26,Goalkeeper,Dundee United,0.0,in,Winter,2004,2004/2005
Stuart Taylor,23,Goalkeeper,Arsenal,0.0,in,Winter,2004,2004/2005
Stefan Moore,21,Centre-Forward,Aston Villa,0.0,in,Winter,2004,2004/2005
