player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Paul Stewart,27,Defensive Midfield,Spurs,2750000.0,in,Summer,1992,1992/1993
David James,21,Goalkeeper,Watford,1400000.0,in,Summer,1992,1992/1993
Torben Piechnik,29,Centre-Back,FC Copenhagen,0.0,in,Summer,1992,1992/1993
Dominic Matteo,18,Left-Back,Liverpool U18,0.0,in,Summer,1992,1992/1993
Bruce Grobbelaar,35,Goalkeeper,Stoke City,0.0,in,Summer,1992,1992/1993
Dean Saunders,28,Centre-Forward,Aston Villa,2850000.0,out,Summer,1992,1992/1993
Ray Houghton,30,Central Midfield,Aston Villa,1080000.0,out,Summer,1992,1992/1993
Barry Venison,27,Right-Back,Newcastle,295000.0,out,Summer,1992,1992/1993
Barry Jones,22,Centre-Back,Wrexham,0.0,out,Summer,1992,1992/1993
Tony Cousins,23,Centre-Forward,Hereford Utd.,0.0,out,Summer,1992,1992/1993
Stig Inge Björnebye,23,Left-Back,Rosenborg,0.0,in,Winter,1992,1992/1993
Bruce Grobbelaar,35,Goalkeeper,Stoke City,0.0,out,Winter,1992,1992/1993
Neil Ruddock,25,Centre-Back,Spurs,3000000.0,in,Summer,1993,1993/1994
Nigel Clough,27,Attacking Midfield,Nottm Forest,2750000.0,in,Summer,1993,1993/1994
Julian Dicks,25,Left-Back,West Ham,2250000.0,in,Summer,1993,1993/1994
Robbie Fowler,18,Centre-Forward,Liverpool U18,0.0,in,Summer,1993,1993/1994
Steve Harkness,22,Left-Back,Huddersfield,0.0,in,Summer,1993,1993/1994
Paul Stewart,29,Defensive Midfield,Crystal Palace,0.0,in,Summer,1993,1993/1994
Mark Walters,29,Left Midfield,Stoke City,0.0,in,Summer,1993,1993/1994
Lee Jones,21,Centre-Forward,Crewe Alexandra,0.0,in,Summer,1993,1993/1994
Mike Hooper,29,Goalkeeper,Newcastle,628000.0,out,Summer,1993,1993/1994
István Kozma,28,Attacking Midfield,Újpest,0.0,out,Summer,1993,1993/1994
Mike Marsh,24,Central Midfield,West Ham,0.0,out,Summer,1993,1993/1994
Steve Harkness,22,Left-Back,Huddersfield,0.0,out,Summer,1993,1993/1994
David Burrows,24,Left-Back,West Ham,0.0,out,Summer,1993,1993/1994
Lee Jones,20,Centre-Forward,Crewe Alexandra,0.0,out,Summer,1993,1993/1994
Mark Gayle,24,Goalkeeper,Crewe Alexandra,0.0,in,Winter,1993,1993/1994
Ronny Rosenthal,30,Left Winger,Spurs,300000.0,out,Winter,1993,1993/1994
Paul Stewart,29,Defensive Midfield,Crystal Palace,0.0,out,Winter,1993,1993/1994
Mark Walters,29,Left Midfield,Stoke City,0.0,out,Winter,1993,1993/1994
Stig Inge Björnebye,24,Left-Back,Rosenborg,0.0,out,Winter,1993,1993/1994
Nick Tanner,28,Centre-Back,Retired,0.0,out,Winter,1993,1993/1994
Mark Gayle,24,Goalkeeper,Crewe Alexandra,0.0,out,Winter,1993,1993/1994
Phil Babb,23,Centre-Back,Coventry,5430000.0,in,Summer,1994,1994/1995
John Scales,28,Centre-Back,Wimbledon FC,4099999.9999999995,in,Summer,1994,1994/1995
Michael Stensgaard,19,Goalkeeper,Hvidovre,480000.0,in,Summer,1994,1994/1995
Paul Stewart,30,Defensive Midfield,Burnley,0.0,in,Summer,1994,1994/1995
Don Hutchison,19,Attacking Midfield,West Ham,2250000.0,out,Summer,1994,1994/1995
Julian Dicks,26,Left-Back,West Ham,1500000.0,out,Summer,1994,1994/1995
Scott Paterson,22,Centre-Back,Bristol City,0.0,out,Summer,1994,1994/1995
Bruce Grobbelaar,36,Goalkeeper,Southampton,0.0,out,Summer,1994,1994/1995
Ronnie Whelan,32,Left Midfield,Southend United,0.0,out,Summer,1994,1994/1995
Paul Stewart,29,Defensive Midfield,Wolves,0.0,out,Summer,1994,1994/1995
Mark Walters,30,Left Midfield,Wolves,0.0,out,Summer,1994,1994/1995
Torben Piechnik,31,Centre-Back,Aarhus GF,0.0,out,Summer,1994,1994/1995
Mark Kennedy,18,Left-Back,Millwall,2049999.9999999998,in,Winter,1994,1994/1995
Alec Chamberlain,30,Goalkeeper,Sunderland,0.0,in,Winter,1994,1994/1995
