player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Carlos Edwards,26,Right-Back,Wrexham,200000.0,in,Summer,2005,2005/2006
Dean Morgan,21,Centre-Forward,Reading,0.0,in,Summer,2005,2005/2006
Markus Heikkinen,26,Centre-Back,Aberdeen FC,0.0,in,Summer,2005,2005/2006
Danny Stevens,18,Left Midfield,Luton U18,0.0,in,Summer,2005,2005/2006
Calvin Andrew,19,Centre-Forward,Bristol City,0.0,in,Summer,2005,2005/2006
Steven O'Leary,21,Central Midfield,Tranmere Rovers,0.0,in,Summer,2005,2005/2006
Michael Leary,23,Central Midfield,Walsall,0.0,in,Summer,2005,2005/2006
Curtis Davies,20,Centre-Back,West Brom,4500000.0,out,Summer,2005,2005/2006
Lee Mansell,22,Central Midfield,Oxford United,0.0,out,Summer,2005,2005/2006
David Bayliss,29,Centre-Back,Wrexham,0.0,out,Summer,2005,2005/2006
Alan Neilson,33,Centre-Back,Tamworth,0.0,out,Summer,2005,2005/2006
Parys Okai,20,midfield,Cambridge Utd.,0.0,out,Summer,2005,2005/2006
Calvin Andrew,18,Centre-Forward,Grimsby Town,0.0,out,Summer,2005,2005/2006
Michael Leary,22,Central Midfield,Bristol Rovers,0.0,out,Summer,2005,2005/2006
Steven O'Leary,20,Central Midfield,Tranmere Rovers,0.0,out,Summer,2005,2005/2006
Dino Seremet,25,Goalkeeper,Doncaster,0.0,out,Summer,2005,2005/2006
David Bell,21,Right Midfield,Rush. & Diamon.,0.0,in,Winter,2005,2005/2006
Michael Leary,22,Central Midfield,Bristol Rovers,0.0,in,Winter,2005,2005/2006
Calvin Andrew,18,Centre-Forward,Grimsby Town,0.0,in,Winter,2005,2005/2006
Dino Seremet,25,Goalkeeper,Doncaster,0.0,in,Winter,2005,2005/2006
Dino Seremet,25,Goalkeeper,Tranmere Rovers,0.0,in,Winter,2005,2005/2006
Rob Beckwith,21,Goalkeeper,Chesterfield FC,0.0,out,Winter,2005,2005/2006
Michael Leary,22,Central Midfield,Walsall,0.0,out,Winter,2005,2005/2006
Calvin Andrew,19,Centre-Forward,Bristol City,0.0,out,Winter,2005,2005/2006
Dino Seremet,25,Goalkeeper,Tranmere Rovers,0.0,out,Winter,2005,2005/2006
Adam Boyd,24,Centre-Forward,Hartlepool,1500000.0,in,Summer,2006,2006/2007
Sam Parkin,25,Centre-Forward,Ipswich,750000.0,in,Summer,2006,2006/2007
Lewis Emanuel,22,Left-Back,Bradford,0.0,in,Summer,2006,2006/2007
Richard Langley,26,Attacking Midfield,QPR,0.0,in,Summer,2006,2006/2007
Shaun Ross,19,Right Midfield,Hartlepool,0.0,in,Summer,2006,2006/2007
Zac Barrett,18,Goalkeeper,Luton U18,0.0,in,Summer,2006,2006/2007
Chris Pendleton,18,Left-Back,Luton U18,0.0,in,Summer,2006,2006/2007
Ed Asafu-Adjaye,17,Right-Back,Luton U18,0.0,in,Summer,2006,2006/2007
Chris Pendleton,19,Left-Back,Hitchin Town FC,0.0,in,Summer,2006,2006/2007
Michael Leary,24,Central Midfield,Brentford,0.0,in,Summer,2006,2006/2007
Peter Holmes,26,Central Midfield,Lincoln City,0.0,in,Summer,2006,2006/2007
Steve Howard,30,Centre-Forward,Derby,1600000.0,out,Summer,2006,2006/2007
Kevin Nicholls,27,Right Midfield,Leeds,1140000.0,out,Summer,2006,2006/2007
Enoch Showunmi,24,Centre-Forward,Bristol City,0.0,out,Summer,2006,2006/2007
Dino Seremet,25,Goalkeeper,AO Kerkyra,0.0,out,Summer,2006,2006/2007
Paul Hughes,30,Central Midfield,Retired,0.0,out,Summer,2006,2006/2007
Besian Idrizaj,19,Centre-Forward,Liverpool,0.0,out,Summer,2006,2006/2007
Matthew Spring,27,Central Midfield,Watford,300000.0,in,Winter,2006,2006/2007
Drew Talbot,20,Right-Back,Sheff Wed,289000.0,in,Winter,2006,2006/2007
Nick Salapatas,17,Left Winger,Olympiakos U20,0.0,in,Winter,2006,2006/2007
Besian Idrizaj,19,Centre-Forward,Liverpool,0.0,in,Winter,2006,2006/2007
Clarke Carlisle,27,Centre-Back,Watford,0.0,in,Winter,2006,2006/2007
Björn Runström,22,Centre-Forward,Fulham,0.0,in,Winter,2006,2006/2007
Dean Kiely,36,Goalkeeper,Portsmouth,0.0,in,Winter,2006,2006/2007
Dean Brill,21,Goalkeeper,Gillingham FC,0.0,in,Winter,2006,2006/2007
Michael Leary,23,Central Midfield,Torquay,0.0,in,Winter,2006,2006/2007
Peter Holmes,26,Central Midfield,Chesterfield FC,0.0,in,Winter,2006,2006/2007
Rowan Vine,24,Centre-Forward,Birmingham,2500000.0,out,Winter,2006,2006/2007
Carlos Edwards,28,Right-Back,Sunderland,2100000.0,out,Winter,2006,2006/2007
Warren Feeney,26,Centre-Forward,Cardiff,110000.0,out,Winter,2006,2006/2007
Dean Brill,21,Goalkeeper,Gillingham FC,0.0,out,Winter,2006,2006/2007
Peter Holmes,26,Central Midfield,Lincoln City,0.0,out,Winter,2006,2006/2007
Chris Pendleton,19,Left-Back,Hitchin Town FC,0.0,out,Winter,2006,2006/2007
Peter Holmes,26,Central Midfield,Chesterfield FC,0.0,out,Winter,2006,2006/2007
Michael Leary,23,Central Midfield,Brentford,0.0,out,Winter,2006,2006/2007
Michael Leary,23,Central Midfield,Torquay,0.0,out,Winter,2006,2006/2007
Dean Kiely,36,Goalkeeper,Portsmouth,0.0,out,Winter,2006,2006/2007
Clarke Carlisle,27,Centre-Back,Watford,0.0,out,Winter,2006,2006/2007
Björn Runström,23,Centre-Forward,Fulham,0.0,out,Winter,2006,2006/2007
Simon Sluga,26,Goalkeeper,HNK Rijeka,1700000.0,in,Summer,2019,2019/2020
Jacob Butterfield,29,Central Midfield,Derby,0.0,in,Summer,2019,2019/2020
Brendan Galloway,23,Left-Back,Everton,0.0,in,Summer,2019,2019/2020
Callum McManaman,28,Right Winger,Wigan,0.0,in,Summer,2019,2019/2020
Martin Cranie,32,Centre-Back,Sheff Utd,0.0,in,Summer,2019,2019/2020
Ryan Tunnicliffe,26,Central Midfield,Millwall,0.0,in,Summer,2019,2019/2020
Izzy Brown,22,Second Striker,Chelsea,0.0,in,Summer,2019,2019/2020
James Bree,21,Right-Back,Aston Villa,0.0,in,Summer,2019,2019/2020
Luke Bolton,19,Right Midfield,Man City U23,0.0,in,Summer,2019,2019/2020
Donervon Daniels,25,Centre-Back,Without Club,0.0,in,Summer,2019,2019/2020
Harry Isted,22,Goalkeeper,Oxford City,0.0,in,Summer,2019,2019/2020
Lloyd Jones,24,Centre-Back,Northampton,0.0,in,Summer,2019,2019/2020
Jake Jervis,28,Right Winger,Salford,0.0,in,Summer,2019,2019/2020
James Justin,21,Right-Back,Leicester,6700000.0,out,Summer,2019,2019/2020
Jack Stacey,23,Right-Back,Bournemouth,4450000.0,out,Summer,2019,2019/2020
Luke Gambin,26,Left Winger,Colchester Utd.,0.0,out,Summer,2019,2019/2020
Arthur Read,19,Central Midfield,Brentford B,0.0,out,Summer,2019,2019/2020
Aaron Jarvis,21,Centre-Forward,Sutton Utd,0.0,out,Summer,2019,2019/2020
Alan McCormack,35,Defensive Midfield,Northampton,0.0,out,Summer,2019,2019/2020
Jake Jervis,27,Right Winger,Salford,0.0,out,Summer,2019,2019/2020
Donervon Daniels,25,Centre-Back,Doncaster,0.0,out,Summer,2019,2019/2020
Glen Rea,25,Defensive Midfield,Woking,0.0,out,Summer,2019,2019/2020
Harry Isted,22,Goalkeeper,Oxford City,0.0,out,Summer,2019,2019/2020
Frankie Musonda,21,Centre-Back,St Albans City,0.0,out,Summer,2019,2019/2020
Jack Senior,22,Left-Back,Without Club,0.0,out,Summer,2019,2019/2020
Jack James,19,Right-Back,Without Club,0.0,out,Summer,2019,2019/2020
Peter Kioso,20,Right-Back,Hartlepool,115000.0,in,Winter,2019,2019/2020
Cameron Carter-Vickers,22,Centre-Back,Spurs,0.0,in,Winter,2019,2019/2020
Eunan O'Kane,29,Central Midfield,Leeds,0.0,in,Winter,2019,2019/2020
Donervon Daniels,26,Centre-Back,Doncaster,0.0,in,Winter,2019,2019/2020
Glen Rea,25,Defensive Midfield,Woking,0.0,in,Winter,2019,2019/2020
Frankie Musonda,22,Centre-Back,St Albans City,0.0,in,Winter,2019,2019/2020
Harry Isted,22,Goalkeeper,Wealdstone,0.0,in,Winter,2019,2019/2020
Harry Isted,22,Goalkeeper,Wealdstone,0.0,out,Winter,2019,2019/2020
Frankie Musonda,22,Centre-Back,St Albans City,0.0,out,Winter,2019,2019/2020
Alan Sheehan,33,Centre-Back,Without Club,0.0,out,Winter,2019,2019/2020
Lloyd Jones,24,Centre-Back,Northampton,0.0,out,Winter,2019,2019/2020
Jordan Clark,26,Right Winger,Accrington,0.0,in,Summer,2020,2020/2021
Kiernan Dewsbury-Hall,22,Central Midfield,Leicester U23,0.0,in,Summer,2020,2020/2021
Joe Morrell,23,Central Midfield,Bristol City,0.0,in,Summer,2020,2020/2021
James Bree,22,Right-Back,Aston Villa,0.0,in,Summer,2020,2020/2021
Tom Lockyer,25,Centre-Back,Charlton,0.0,in,Summer,2020,2020/2021
Sam Nombe,21,Centre-Forward,MK Dons,0.0,in,Summer,2020,2020/2021
Rhys Norrington-Davies,21,Left-Back,Sheff Utd,0.0,in,Summer,2020,2020/2021
Gabriel Osho,22,Centre-Back,Rochdale,0.0,in,Summer,2020,2020/2021
Harry Isted,24,Goalkeeper,Wealdstone,0.0,in,Summer,2020,2020/2021
Peter Kioso,21,Right-Back,Northampton,0.0,in,Summer,2020,2020/2021
Elliot Lee,26,Centre-Forward,Oxford United,0.0,in,Summer,2020,2020/2021
Frankie Musonda,22,Centre-Back,St Albans City,0.0,in,Summer,2020,2020/2021
Marek Stech,30,Goalkeeper,Mansfield Town,0.0,out,Summer,2020,2020/2021
Frankie Musonda,22,Centre-Back,Raith Rovers,0.0,out,Summer,2020,2020/2021
Jake Jervis,28,Right Winger,SJK Seinäjoki,0.0,out,Summer,2020,2020/2021
Donervon Daniels,26,Centre-Back,Crewe Alexandra,0.0,out,Summer,2020,2020/2021
Peter Kioso,21,Right-Back,Bolton,0.0,out,Summer,2020,2020/2021
Harry Isted,23,Goalkeeper,Wealdstone,0.0,out,Summer,2020,2020/2021
Andrew Shinnie,31,Attacking Midfield,Charlton,0.0,out,Summer,2020,2020/2021
Jacob Butterfield,30,Central Midfield,Without Club,0.0,out,Summer,2020,2020/2021
Callum McManaman,29,Right Winger,Without Club,0.0,out,Summer,2020,2020/2021
Lloyd Jones,24,Centre-Back,Without Club,0.0,out,Summer,2020,2020/2021
Eunan O'Kane,30,Central Midfield,Leeds,0.0,out,Summer,2020,2020/2021
Tom Ince,29,Right Winger,Stoke City,0.0,out,Summer,2020,2020/2021
James Bree,22,Right-Back,Aston Villa,0.0,out,Summer,2020,2020/2021
Kiernan Dewsbury-Hall,22,Central Midfield,Leicester U23,0.0,out,Summer,2020,2020/2021
Sam Nombe,22,Centre-Forward,MK Dons,0.0,out,Summer,2020,2020/2021
Cameron Carter-Vickers,22,Centre-Back,Spurs,0.0,out,Summer,2020,2020/2021
Luke Bolton,20,Right Midfield,Man City U23,0.0,out,Summer,2020,2020/2021
Izzy Brown,23,Second Striker,Chelsea,0.0,out,Summer,2020,2020/2021
Kal Naismith,28,Centre-Back,Wigan,0.0,in,Winter,2020,2020/2021
Elijah Adebayo,23,Centre-Forward,Walsall,0.0,in,Winter,2020,2020/2021
Tom Ince,29,Right Winger,Stoke City,0.0,in,Winter,2020,2020/2021
Dion Pereira,21,Left Winger,Without Club,0.0,in,Winter,2020,2020/2021
Gabriel Osho,22,Centre-Back,Without Club,0.0,in,Winter,2020,2020/2021
Harry Isted,23,Goalkeeper,Wealdstone,0.0,in,Winter,2020,2020/2021
Peter Kioso,21,Right-Back,Bolton,0.0,in,Winter,2020,2020/2021
Andrew Shinnie,31,Attacking Midfield,Charlton,0.0,in,Winter,2020,2020/2021
Gabriel Osho,22,Centre-Back,Yeovil Town,0.0,in,Winter,2020,2020/2021
Gabriel Osho,22,Centre-Back,Yeovil Town,0.0,out,Winter,2020,2020/2021
Gabriel Osho,22,Centre-Back,Rochdale,0.0,out,Winter,2020,2020/2021
Harry Isted,23,Goalkeeper,Wealdstone,0.0,out,Winter,2020,2020/2021
Andrew Shinnie,31,Attacking Midfield,Charlton,0.0,out,Winter,2020,2020/2021
Peter Kioso,21,Right-Back,Northampton,0.0,out,Winter,2020,2020/2021
Elliot Lee,26,Centre-Forward,Oxford United,0.0,out,Winter,2020,2020/2021
Rhys Norrington-Davies,21,Left-Back,Sheff Utd,0.0,out,Winter,2020,2020/2021
Amari'i Bell,27,Left-Back,Blackburn,0.0,in,Summer,2021,2021/2022
Reece Burke,24,Centre-Back,Hull City,0.0,in,Summer,2021,2021/2022
Cameron Jerome,34,Centre-Forward,MK Dons,0.0,in,Summer,2021,2021/2022
Henri Lansbury,30,Central Midfield,Bristol City,0.0,in,Summer,2021,2021/2022
Matt Ingram,28,Goalkeeper,Hull City,0.0,in,Summer,2021,2021/2022
Admiral Muskwe,22,Centre-Forward,Leicester U23,0.0,in,Summer,2021,2021/2022
Carlos Mendes,22,Right Winger,Morecambe FC,0.0,in,Summer,2021,2021/2022
Fred Onyedinma,24,Attacking Midfield,Wycombe,0.0,in,Summer,2021,2021/2022
Allan Campbell,22,Central Midfield,Motherwell FC,0.0,in,Summer,2021,2021/2022
Elliot Thorpe,20,Central Midfield,Without Club,0.0,in,Summer,2021,2021/2022
Elliot Lee,27,Centre-Forward,Charlton,0.0,in,Summer,2021,2021/2022
Dion Pereira,23,Left Winger,Bradford,0.0,in,Summer,2021,2021/2022
Glen Rea,27,Defensive Midfield,Wigan,0.0,in,Summer,2021,2021/2022
James Collins,30,Centre-Forward,Cardiff,0.0,out,Summer,2021,2021/2022
Matty Pearson,27,Centre-Back,Huddersfield,0.0,out,Summer,2021,2021/2022
Kazenga LuaLua,30,Left Winger,Genclerbirligi,0.0,out,Summer,2021,2021/2022
George Moncur,27,Central Midfield,Hull City,0.0,out,Summer,2021,2021/2022
Brendan Galloway,25,Left-Back,Plymouth,0.0,out,Summer,2021,2021/2022
Ryan Tunnicliffe,28,Central Midfield,Portsmouth,0.0,out,Summer,2021,2021/2022
Dion Pereira,22,Left Winger,Yeovil Town,0.0,out,Summer,2021,2021/2022
Joe Morrell,24,Central Midfield,Portsmouth,0.0,out,Summer,2021,2021/2022
Elliot Lee,26,Centre-Forward,Charlton,0.0,out,Summer,2021,2021/2022
Peter Kioso,22,Right-Back,MK Dons,0.0,out,Summer,2021,2021/2022
Martin Cranie,34,Centre-Back,Without Club,0.0,out,Summer,2021,2021/2022
Jed Steer,29,Goalkeeper,Aston Villa,0.0,out,Summer,2021,2021/2022
Matt Ingram,28,Goalkeeper,Hull City,0.0,out,Summer,2021,2021/2022
Alex Palmer,25,Goalkeeper,West Brom,0.0,in,Winter,2021,2021/2022
Jed Steer,29,Goalkeeper,Aston Villa,0.0,in,Winter,2021,2021/2022
Robert Snodgrass,34,Right Winger,Without Club,0.0,in,Winter,2021,2021/2022
Peter Kioso,22,Right-Back,MK Dons,0.0,in,Winter,2021,2021/2022
Dion Pereira,22,Left Winger,Yeovil Town,0.0,in,Winter,2021,2021/2022
Simon Sluga,28,Goalkeeper,Ludogorets,500000.0,out,Winter,2021,2021/2022
Dion Pereira,22,Left Winger,Bradford,0.0,out,Winter,2021,2021/2022
Glen Rea,27,Defensive Midfield,Wigan,0.0,out,Winter,2021,2021/2022
