player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Dion Dublin,23,Centre-Forward,Cambridge Utd.,1500000.0,in,Summer,1992,1992/1993
Pat McGibbon,18,Centre-Back,Portadown,225000.0,in,Summer,1992,1992/1993
Andy Arnott,18,Defensive Midfield,Gillingham FC,0.0,in,Summer,1992,1992/1993
Kevin Pilkington,18,Goalkeeper,Man Utd U18,0.0,in,Summer,1992,1992/1993
Simon Davies,18,midfield,Man Utd U18,0.0,in,Summer,1992,1992/1993
Danny Wallace,29,Attacking Midfield,Millwall,0.0,in,Summer,1992,1992/1993
Mark Robins,22,Centre-Forward,Norwich,1000000.0,out,Summer,1992,1992/1993
Neil Webb,28,Central Midfield,Nottm Forest,925000.0,out,Summer,1992,1992/1993
Mal Donaghy,34,Left-Back,Chelsea,200000.0,out,Summer,1992,1992/1993
Derek Brazil,23,Right-Back,Cardiff,94000.0,out,Summer,1992,1992/1993
Jason Lydiate,20,defence,Bolton,0.0,out,Summer,1992,1992/1993
Fraser Digby,26,Goalkeeper,Swindon Town,0.0,out,Summer,1992,1992/1993
Eric Cantona,26,Second Striker,Leeds,1800000.0,in,Winter,1992,1992/1993
Les Sealey,35,Goalkeeper,Aston Villa,0.0,in,Winter,1992,1992/1993
Fraser Digby,25,Goalkeeper,Swindon Town,0.0,in,Winter,1992,1992/1993
Kieran Toal,21,midfield,Motherwell FC,0.0,out,Winter,1992,1992/1993
Danny Wallace,29,Attacking Midfield,Millwall,0.0,out,Winter,1992,1992/1993
Andy Arnott,19,Defensive Midfield,Gillingham FC,0.0,out,Winter,1992,1992/1993
Roy Keane,21,Defensive Midfield,Nottm Forest,8500000.0,in,Summer,1993,1993/1994
Robbie Savage,18,Central Midfield,Man Utd U18,0.0,in,Summer,1993,1993/1994
Keith Gillespie,18,Right Midfield,Man Utd U18,0.0,in,Summer,1993,1993/1994
David Beckham,18,Right Midfield,Man Utd U18,0.0,in,Summer,1993,1993/1994
Chris Casper,18,Centre-Back,Man Utd U18,0.0,in,Summer,1993,1993/1994
John O'Kane,18,Right-Back,Man Utd U18,0.0,in,Summer,1993,1993/1994
Neil Whitworth,22,Centre-Back,Blackpool,0.0,in,Summer,1993,1993/1994
Danny Wallace,29,Attacking Midfield,Birmingham,300000.0,out,Summer,1993,1993/1994
Brian Carey,25,Centre-Back,Leicester,293000.0,out,Summer,1993,1993/1994
Keith Gillespie,18,Right Midfield,Wigan,0.0,out,Summer,1993,1993/1994
Neil Whitworth,20,Centre-Back,Rotherham,0.0,out,Summer,1993,1993/1994
Russell Beardsmore,24,Central Midfield,Bournemouth,0.0,out,Summer,1993,1993/1994
Gary Walsh,25,Goalkeeper,Oldham Athletic,0.0,out,Summer,1993,1993/1994
Ben Thornley,18,Left Winger,Man Utd Res.,0.0,in,Winter,1993,1993/1994
Keith Gillespie,18,Right Midfield,Wigan,0.0,in,Winter,1993,1993/1994
Neil Whitworth,21,Centre-Back,Rotherham,0.0,in,Winter,1993,1993/1994
Simon Davies,19,midfield,Exeter City,0.0,in,Winter,1993,1993/1994
Darren Ferguson,21,Central Midfield,Wolves,375000.0,out,Winter,1993,1993/1994
Neil Whitworth,21,Centre-Back,Blackpool,0.0,out,Winter,1993,1993/1994
Lee Martin,25,Left-Back,Celtic,0.0,out,Winter,1993,1993/1994
Simon Davies,19,midfield,Exeter City,0.0,out,Winter,1993,1993/1994
David May,24,Centre-Back,Blackburn,2100000.0,in,Summer,1994,1994/1995
Graeme Tomlinson,18,attack,Bradford,120000.0,in,Summer,1994,1994/1995
Colin Murdock,18,Centre-Back,Man Utd U18,0.0,in,Summer,1994,1994/1995
Michael Appleton,18,midfield,Man Utd U18,0.0,in,Summer,1994,1994/1995
David Johnson,17,Left Winger,Man Utd U18,0.0,in,Summer,1994,1994/1995
Paul Scholes,19,Central Midfield,Man Utd Res.,0.0,in,Summer,1994,1994/1995
Ronnie Wallwork,16,Central Midfield,Man Utd U18,0.0,in,Summer,1994,1994/1995
Nicky Butt,19,Central Midfield,Man Utd U18,0.0,in,Summer,1994,1994/1995
Phil Neville,17,Right-Back,Man Utd U18,0.0,in,Summer,1994,1994/1995
