player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Mark Yeates,24,Left Winger,Colchester Utd.,650000.0,in,Summer,2009,2009/2010
Leroy Lita,24,Centre-Forward,Reading,0.0,in,Summer,2009,2009/2010
Danny Coyne,35,Goalkeeper,Tranmere Rovers,0.0,in,Summer,2009,2009/2010
Sean St. Ledger,24,Centre-Back,Preston,0.0,in,Summer,2009,2009/2010
Caleb Folan,26,Centre-Forward,Hull City,0.0,in,Summer,2009,2009/2010
Marcus Bent,31,Centre-Forward,Birmingham,0.0,in,Summer,2009,2009/2010
Ashley Corker,18,Left-Back,Boro U18,0.0,in,Summer,2009,2009/2010
Mido,27,Centre-Forward,West Ham,0.0,in,Summer,2009,2009/2010
Jason Steele,19,Goalkeeper,Northampton,0.0,in,Summer,2009,2009/2010
Stewart Downing,24,Left Midfield,Aston Villa,13000000.0,out,Summer,2009,2009/2010
Afonso Alves,28,Centre-Forward,Al-Sadd SC,12000000.0,out,Summer,2009,2009/2010
Robert Huth,24,Centre-Back,Stoke City,7000000.0,out,Summer,2009,2009/2010
Tuncay Sanli,27,Left Winger,Stoke City,5700000.0,out,Summer,2009,2009/2010
Mido,26,Centre-Forward,Zamalek,500000.0,out,Summer,2009,2009/2010
Ross Turnbull,24,Goalkeeper,Chelsea,0.0,out,Summer,2009,2009/2010
Graeme Owens,21,Right Winger,Kilmarnock FC,0.0,out,Summer,2009,2009/2010
John Johnson,20,Centre-Back,Northampton,0.0,out,Summer,2009,2009/2010
Marlon King,29,Centre-Forward,Wigan,0.0,out,Summer,2009,2009/2010
Stephen McManus,27,Centre-Back,Celtic,0.0,out,Summer,2009,2009/2010
Kyle Naughton,21,Right-Back,Spurs,0.0,out,Summer,2009,2009/2010
Jay O'Shea,21,Central Midfield,Birmingham,0.0,out,Summer,2009,2009/2010
Scott McDonald,26,Centre-Forward,Celtic,4300000.0,in,Winter,2009,2009/2010
Barry Robson,31,Right Midfield,Celtic,1100000.0,in,Winter,2009,2009/2010
Lee Miller,26,Centre-Forward,Aberdeen FC,685000.0,in,Winter,2009,2009/2010
Stephen McManus,27,Centre-Back,Celtic,550000.0,in,Winter,2009,2009/2010
Willo Flood,24,Central Midfield,Celtic,0.0,in,Winter,2009,2009/2010
Chris Killen,28,Centre-Forward,Celtic,0.0,in,Winter,2009,2009/2010
Jay O'Shea,21,Central Midfield,Birmingham,0.0,in,Winter,2009,2009/2010
Kyle Naughton,21,Right-Back,Spurs,0.0,in,Winter,2009,2009/2010
Dave Kitson,29,Centre-Forward,Stoke City,0.0,in,Winter,2009,2009/2010
Isaiah Osbourne,22,Central Midfield,Aston Villa,0.0,in,Winter,2009,2009/2010
Mido,26,Centre-Forward,Zamalek,0.0,in,Winter,2009,2009/2010
Josh Walker,20,Central Midfield,Northampton,0.0,in,Winter,2009,2009/2010
Adam Johnson,22,Right Winger,Man City,8000000.0,out,Winter,2009,2009/2010
Mark Yeates,24,Left Winger,Sheff Utd,800000.0,out,Winter,2009,2009/2010
Mohamed Shawky,28,Defensive Midfield,Kayserispor,0.0,out,Winter,2009,2009/2010
Jason Steele,19,Goalkeeper,Northampton,0.0,out,Winter,2009,2009/2010
Mido,26,Centre-Forward,West Ham,0.0,out,Winter,2009,2009/2010
Josh Walker,21,Central Midfield,Rotherham,0.0,out,Winter,2009,2009/2010
Didier Digard,23,Defensive Midfield,OGC Nice,0.0,out,Winter,2009,2009/2010
Josh Walker,20,Central Midfield,Northampton,0.0,out,Winter,2009,2009/2010
Isaiah Osbourne,22,Central Midfield,Aston Villa,0.0,out,Winter,2009,2009/2010
Caleb Folan,27,Centre-Forward,Hull City,0.0,out,Winter,2009,2009/2010
Marcus Bent,31,Centre-Forward,Birmingham,0.0,out,Winter,2009,2009/2010
Dave Kitson,29,Centre-Forward,Stoke City,0.0,out,Winter,2009,2009/2010
Sean St. Ledger,24,Centre-Back,Preston,0.0,out,Winter,2009,2009/2010
Kevin Thomson,25,Central Midfield,Rangers,2250000.0,in,Summer,2010,2010/2011
Stephen McManus,27,Centre-Back,Celtic,1800000.0,in,Summer,2010,2010/2011
Nicky Bailey,26,Central Midfield,Charlton,1700000.0,in,Summer,2010,2010/2011
Tarmo Kink,24,Left Winger,ETO FC Győr,1000000.0,in,Summer,2010,2010/2011
Andy Halliday,18,Defensive Midfield,Livingston FC,225000.0,in,Summer,2010,2010/2011
Kris Boyd,26,Centre-Forward,Rangers,0.0,in,Summer,2010,2010/2011
Mickaël Tavares,27,Defensive Midfield,Hamburger SV,0.0,in,Summer,2010,2010/2011
Matthew Kilgallon,26,Centre-Back,Sunderland,0.0,in,Summer,2010,2010/2011
Richard Smallwood,19,Central Midfield,Boro Res.,0.0,in,Summer,2010,2010/2011
Luke Williams,17,Left Winger,Boro U18,0.0,in,Summer,2010,2010/2011
David Atkinson,17,Centre-Back,Boro U18,0.0,in,Summer,2010,2010/2011
Paul Weldon,18,Left-Back,Boro U18,0.0,in,Summer,2010,2010/2011
Josh Walker,21,Central Midfield,Rotherham,0.0,in,Summer,2010,2010/2011
Lee Miller,27,Centre-Forward,Scunthorpe Utd.,0.0,in,Summer,2010,2010/2011
Kris Boyd,27,Centre-Forward,Nottm Forest,0.0,in,Summer,2010,2010/2011
John Johnson,21,Centre-Back,Northampton,0.0,in,Summer,2010,2010/2011
Brad Jones,28,Goalkeeper,Liverpool,2800000.0,out,Summer,2010,2010/2011
Mido,27,Centre-Forward,Ajax,0.0,out,Summer,2010,2010/2011
Chris Killen,28,Centre-Forward,SZ Ruby,0.0,out,Summer,2010,2010/2011
John Johnson,21,Centre-Back,Northampton,0.0,out,Summer,2010,2010/2011
Josh Walker,21,Central Midfield,Watford,0.0,out,Summer,2010,2010/2011
Chris Riggott,29,Centre-Back,Cardiff,0.0,out,Summer,2010,2010/2011
Emanuel Pogatetz,27,Centre-Back,Hannover 96,0.0,out,Summer,2010,2010/2011
Ashley Corker,19,Left-Back,Horden Colliery,0.0,out,Summer,2010,2010/2011
Jonathan Grounds,22,Centre-Back,Hibernian FC,0.0,out,Summer,2010,2010/2011
Marvin Emnes,22,Centre-Forward,Swansea,0.0,out,Summer,2010,2010/2011
Andrew Taylor,24,Left-Back,Watford,0.0,out,Summer,2010,2010/2011
Jérémie Aliadière,27,Centre-Forward,Without Club,0.0,out,Summer,2010,2010/2011
Paul Smith,31,Goalkeeper,Nottm Forest,0.0,out,Summer,2010,2010/2011
Andrew Davies,26,Centre-Back,Stoke City,0.0,out,Summer,2010,2010/2011
Matthew Kilgallon,26,Centre-Back,Sunderland,0.0,out,Summer,2010,2010/2011
Merouane Zemmama,27,Attacking Midfield,Hibernian FC,235000.0,in,Winter,2010,2010/2011
Maximilian Haas,25,Centre-Back,FC Bayern II,0.0,in,Winter,2010,2010/2011
Andrew Davies,26,Centre-Back,Stoke City,0.0,in,Winter,2010,2010/2011
Paul Smith,31,Goalkeeper,Nottm Forest,0.0,in,Winter,2010,2010/2011
Jonathan Grounds,22,Centre-Back,Hibernian FC,0.0,in,Winter,2010,2010/2011
Andrew Taylor,24,Left-Back,Watford,0.0,in,Winter,2010,2010/2011
Marvin Emnes,22,Centre-Forward,Swansea,0.0,in,Winter,2010,2010/2011
Lee Miller,27,Centre-Forward,Notts County,0.0,in,Winter,2010,2010/2011
Gary O'Neil,27,Central Midfield,West Ham,2900000.0,out,Winter,2010,2010/2011
David Wheater,23,Centre-Back,Bolton,2750000.0,out,Winter,2010,2010/2011
Lee Miller,27,Centre-Forward,Notts County,0.0,out,Winter,2010,2010/2011
Lee Miller,27,Centre-Forward,Scunthorpe Utd.,0.0,out,Winter,2010,2010/2011
Kris Boyd,27,Centre-Forward,Nottm Forest,0.0,out,Winter,2010,2010/2011
Faris Haroun,25,Central Midfield,Beerschot AC,0.0,in,Summer,2011,2011/2012
Luke Dobie,18,Central Midfield,Everton U18,0.0,in,Summer,2011,2011/2012
Stuart Parnaby,29,Right-Back,Birmingham,0.0,in,Summer,2011,2011/2012
Malaury Martin,22,Defensive Midfield,Blackpool,0.0,in,Summer,2011,2011/2012
Curtis Main,19,Centre-Forward,Darlington,0.0,in,Summer,2011,2011/2012
Carl Ikeme,25,Goalkeeper,Wolves,0.0,in,Summer,2011,2011/2012
Alex Nimely,20,Centre-Forward,Man City Res.,0.0,in,Summer,2011,2011/2012
Adam Reach,18,Left Midfield,Boro U18,0.0,in,Summer,2011,2011/2012
Bartholomew Ogbeche,27,Centre-Forward,Without Club,0.0,in,Summer,2011,2011/2012
Jake Fowler,17,Centre-Forward,Boro U18,0.0,in,Summer,2011,2011/2012
Kyle Oliver,19,Right-Back,Boro U18,0.0,in,Summer,2011,2011/2012
Charlie Wyke,18,Centre-Forward,Boro U18,0.0,in,Summer,2011,2011/2012
Connor Ripley,18,Goalkeeper,Boro U18,0.0,in,Summer,2011,2011/2012
Cameron Park,18,Left Midfield,Boro U18,0.0,in,Summer,2011,2011/2012
Ben Gibson,18,Centre-Back,Boro U18,0.0,in,Summer,2011,2011/2012
Andy Halliday,20,Defensive Midfield,Walsall,0.0,in,Summer,2011,2011/2012
Ben Gibson,19,Centre-Back,York City,0.0,in,Summer,2011,2011/2012
Jonathan Grounds,24,Centre-Back,Yeovil Town,0.0,in,Summer,2011,2011/2012
Jonathan Franks,22,Left Winger,Yeovil Town,0.0,in,Summer,2011,2011/2012
Connor Ripley,19,Goalkeeper,Oxford United,0.0,in,Summer,2011,2011/2012
Didier Digard,24,Defensive Midfield,OGC Nice,0.0,in,Summer,2011,2011/2012
Leroy Lita,26,Centre-Forward,Swansea,2000000.0,out,Summer,2011,2011/2012
Kris Boyd,27,Centre-Forward,Eskisehirspor,2000000.0,out,Summer,2011,2011/2012
Didier Digard,25,Defensive Midfield,OGC Nice,800000.0,out,Summer,2011,2011/2012
Lee Miller,28,Centre-Forward,Carlisle United,0.0,out,Summer,2011,2011/2012
Andrew Taylor,24,Left-Back,Cardiff,0.0,out,Summer,2011,2011/2012
