player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Josh Simpson,21,Left Winger,Portland Pilots,0.0,in,Summer,2004,2004/2005
Tarik Kharif,27,midfield,RFC Lüttich,0.0,in,Summer,2004,2004/2005
Jody Morris,25,Central Midfield,Rotherham,0.0,in,Summer,2004,2004/2005
Stefan Moore,20,Centre-Forward,Aston Villa,0.0,in,Summer,2004,2004/2005
Graham Stack,22,Goalkeeper,Arsenal,0.0,in,Summer,2004,2004/2005
Barry Hayles,32,Centre-Forward,Sheff Utd,5000.0,in,Summer,2004,2004/2005
Joe Healy,17,Left Winger,Millwall U18,0.0,in,Summer,2004,2004/2005
Terry Masterson,18,Goalkeeper,Millwall U18,0.0,in,Summer,2004,2004/2005
Will Hendry,17,Attacking Midfield,Millwall U18,0.0,in,Summer,2004,2004/2005
Charley Hearn,21,attack,Northampton,0.0,in,Summer,2004,2004/2005
Joe Dolan,24,Centre-Back,Brighton,0.0,in,Summer,2004,2004/2005
Ben May,20,Centre-Forward,Colchester Utd.,0.0,in,Summer,2004,2004/2005
Joe Dolan,24,Centre-Back,Crawley Town,0.0,in,Summer,2004,2004/2005
John Sutton,21,Centre-Forward,Dundee FC,0.0,in,Summer,2004,2004/2005
Matthew Rees,21,Centre-Back,Dag & Red FC,0.0,in,Summer,2004,2004/2005
Tim Cahill,24,Attacking Midfield,Everton,2200000.0,out,Summer,2004,2004/2005
Moses Ashikodi,17,Centre-Forward,West Ham,0.0,out,Summer,2004,2004/2005
Tim Clancy,20,Right-Back,Hornchurch,0.0,out,Summer,2004,2004/2005
Matthew Rees,21,Centre-Back,Crawley Town,0.0,out,Summer,2004,2004/2005
Willy Guéret,30,Goalkeeper,Swansea,0.0,out,Summer,2004,2004/2005
Tony Warner,30,Goalkeeper,Cardiff,0.0,out,Summer,2004,2004/2005
Cherno Samba,19,Centre-Forward,Cádiz CF,0.0,out,Summer,2004,2004/2005
Anton Robinson,18,Central Midfield,Sheff Wed,0.0,out,Summer,2004,2004/2005
Robbie Ryan,27,Left-Back,Bristol Rovers,0.0,out,Summer,2004,2004/2005
Ben May,20,Centre-Forward,Colchester Utd.,0.0,out,Summer,2004,2004/2005
John Sutton,20,Centre-Forward,Dundee United,0.0,out,Summer,2004,2004/2005
Tony Craig,19,Centre-Back,Wycombe,0.0,out,Summer,2004,2004/2005
Andy Roberts,30,Central Midfield,Retired,0.0,out,Summer,2004,2004/2005
Andy Impey,33,Defensive Midfield,Nottm Forest,0.0,out,Summer,2004,2004/2005
Stefan Moore,21,Centre-Forward,Aston Villa,0.0,out,Summer,2004,2004/2005
Graham Stack,23,Goalkeeper,Arsenal,0.0,out,Summer,2004,2004/2005
Scott Dobie,26,Centre-Forward,West Brom,750000.0,in,Winter,2004,2004/2005
Adrian Serioux,25,Defensive Midfield,Toronto Lynx,0.0,in,Winter,2004,2004/2005
Andy Impey,33,Defensive Midfield,Nottm Forest,0.0,in,Winter,2004,2004/2005
Matthew Rees,22,Centre-Back,Crawley Town,0.0,in,Winter,2004,2004/2005
Jo Tessem,32,Central Midfield,Southampton,0.0,in,Winter,2004,2004/2005
Tony Craig,19,Centre-Back,Wycombe,0.0,in,Winter,2004,2004/2005
