player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Dale Jennings,22,Left Winger,Barnsley FC,0.0,in,Summer,2015,2015/2016
Matthew Upson,36,Centre-Back,Leicester,0.0,in,Summer,2015,2015/2016
Simon Church,26,Centre-Forward,Charlton,0.0,in,Summer,2015,2015/2016
Cristian Benavente,21,Attacking Midfield,RM Castilla,0.0,in,Summer,2015,2015/2016
Cody Cropper,22,Goalkeeper,Southampton U21,0.0,in,Summer,2015,2015/2016
Sergio Aguza,22,Central Midfield,RM Castilla,0.0,in,Summer,2015,2015/2016
Jake Forster-Caskey,21,Central Midfield,Brighton,0.0,in,Summer,2015,2015/2016
Joe Walsh,23,Centre-Back,Crawley Town,0.0,in,Summer,2015,2015/2016
Josh Murphy,20,Left Winger,Norwich,0.0,in,Summer,2015,2015/2016
Sam Gallagher,19,Centre-Forward,Southampton,0.0,in,Summer,2015,2015/2016
Diego Poyet,20,Central Midfield,West Ham,0.0,in,Summer,2015,2015/2016
Nicky Maynard,28,Centre-Forward,Without Club,0.0,in,Summer,2015,2015/2016
Ben Tilney,18,Left-Back,MK Dons U18,0.0,in,Summer,2015,2015/2016
Ben Tilney,19,Left-Back,Brackley,0.0,in,Summer,2015,2015/2016
Giorgio Rasulo,19,Central Midfield,Aldershot,0.0,in,Summer,2015,2015/2016
Harry Hickford,19,Centre-Back,Hemel,0.0,in,Summer,2015,2015/2016
Tom Hitchcock,23,Centre-Forward,Crewe Alexandra,0.0,in,Summer,2015,2015/2016
Lee Hodson,24,Right-Back,Kilmarnock FC,0.0,in,Summer,2015,2015/2016
Simon Church,27,Centre-Forward,Aberdeen FC,0.0,in,Summer,2015,2015/2016
Harry Hickford,19,Centre-Back,Torquay,0.0,in,Summer,2015,2015/2016
Harry Hickford,19,Centre-Back,Chelmsford,0.0,in,Summer,2015,2015/2016
Tom Hitchcock,23,Centre-Forward,Stevenage,0.0,in,Summer,2015,2015/2016
Danny Green,26,Right Winger,Luton,0.0,out,Summer,2015,2015/2016
Tom Flanagan,23,Centre-Back,Burton Albion,0.0,out,Summer,2015,2015/2016
George Baldock,22,Right-Back,Oxford United,0.0,out,Summer,2015,2015/2016
Harry Hickford,19,Centre-Back,Torquay,0.0,out,Summer,2015,2015/2016
Harry Hickford,19,Centre-Back,Chelmsford,0.0,out,Summer,2015,2015/2016
Tom Hitchcock,22,Centre-Forward,Stevenage,0.0,out,Summer,2015,2015/2016
Ben Tilney,18,Left-Back,Histon FC,0.0,out,Summer,2015,2015/2016
Ian McLoughlin,23,Goalkeeper,Without Club,0.0,out,Summer,2015,2015/2016
Jake Forster-Caskey,22,Central Midfield,Brighton,0.0,out,Summer,2015,2015/2016
Rob Hall,22,Right Winger,Bolton,0.0,out,Summer,2015,2015/2016
Kevin Long,25,Centre-Back,Burnley,0.0,out,Summer,2015,2015/2016
Jay Emmanuel-Thomas,25,Centre-Forward,QPR,0.0,out,Summer,2015,2015/2016
Jonathan Williams,22,Attacking Midfield,Crystal Palace,0.0,out,Summer,2015,2015/2016
Jake Forster-Caskey,21,Central Midfield,Brighton,0.0,out,Summer,2015,2015/2016
Josh Murphy,21,Left Winger,Norwich,0.0,out,Summer,2015,2015/2016
Kevin Long,25,Centre-Back,Burnley,0.0,in,Winter,2015,2015/2016
Jonathan Williams,22,Attacking Midfield,Crystal Palace,0.0,in,Winter,2015,2015/2016
Alex Revell,32,Centre-Forward,Cardiff,0.0,in,Winter,2015,2015/2016
Jake Forster-Caskey,21,Central Midfield,Brighton,0.0,in,Winter,2015,2015/2016
Jay Emmanuel-Thomas,25,Centre-Forward,QPR,0.0,in,Winter,2015,2015/2016
Ben Tilney,18,Left-Back,Histon FC,0.0,in,Winter,2015,2015/2016
George Baldock,22,Right-Back,Oxford United,0.0,in,Winter,2015,2015/2016
Charlie Burns,20,Goalkeeper,Hayes & Yeading,0.0,in,Winter,2015,2015/2016
Harry Hickford,19,Centre-Back,Dag & Red FC,0.0,in,Winter,2015,2015/2016
Giorgio Rasulo,18,Central Midfield,Oldham Athletic,0.0,in,Winter,2015,2015/2016
Cristian Benavente,21,Attacking Midfield,RSC Charleroi,200000.0,out,Winter,2015,2015/2016
Mark Randall,26,Central Midfield,Barnet,0.0,out,Winter,2015,2015/2016
Sergio Aguza,23,Central Midfield,Ponferradina,0.0,out,Winter,2015,2015/2016
Giorgio Rasulo,19,Central Midfield,Aldershot,0.0,out,Winter,2015,2015/2016
Harry Hickford,19,Centre-Back,Hemel,0.0,out,Winter,2015,2015/2016
Tom Hitchcock,23,Centre-Forward,Crewe Alexandra,0.0,out,Winter,2015,2015/2016
Charlie Burns,20,Goalkeeper,Hayes & Yeading,0.0,out,Winter,2015,2015/2016
Ben Tilney,19,Left-Back,Brackley,0.0,out,Winter,2015,2015/2016
Harry Hickford,19,Centre-Back,Dag & Red FC,0.0,out,Winter,2015,2015/2016
Kabongo Tshimanga,18,Centre-Forward,Thróttur,0.0,out,Winter,2015,2015/2016
Giorgio Rasulo,18,Central Midfield,Oldham Athletic,0.0,out,Winter,2015,2015/2016
Simon Church,27,Centre-Forward,Aberdeen FC,0.0,out,Winter,2015,2015/2016
Lee Hodson,24,Right-Back,Kilmarnock FC,0.0,out,Winter,2015,2015/2016
Dale Jennings,23,Left Winger,Career break,0.0,out,Winter,2015,2015/2016
Sam Gallagher,20,Centre-Forward,Southampton,0.0,out,Winter,2015,2015/2016
Diego Poyet,20,Central Midfield,West Ham,0.0,out,Winter,2015,2015/2016
