player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Zurab Khizanishvili,27,Centre-Back,Blackburn,0.0,in,Summer,2009,2009/2010
Marlon Harewood,30,Centre-Forward,Aston Villa,0.0,in,Summer,2009,2009/2010
Danny Simpson,22,Right-Back,Man Utd,0.0,in,Summer,2009,2009/2010
Nile Ranger,18,Centre-Forward,Newcastle U18,0.0,in,Summer,2009,2009/2010
Fraser Forster,21,Goalkeeper,Bristol Rovers,0.0,in,Summer,2009,2009/2010
Kazenga LuaLua,19,Left Winger,Brighton,0.0,in,Summer,2009,2009/2010
Fraser Forster,22,Goalkeeper,Norwich,0.0,in,Summer,2009,2009/2010
Jonny Godsmark,20,midfield,Hereford Utd.,0.0,in,Summer,2009,2009/2010
Fabio Zamblera,19,Centre-Forward,Sampdoria U19,0.0,in,Summer,2009,2009/2010
Obafemi Martins,24,Centre-Forward,VfL Wolfsburg,10500000.0,out,Summer,2009,2009/2010
Sébastien Bassong,23,Centre-Back,Spurs,9300000.0,out,Summer,2009,2009/2010
Damien Duff,30,Right Midfield,Fulham,4000000.0,out,Summer,2009,2009/2010
Habib Bèye,31,Right-Back,Aston Villa,2900000.0,out,Summer,2009,2009/2010
David Edgar,22,Centre-Back,Burnley,350000.0,out,Summer,2009,2009/2010
Michael Owen,29,Centre-Forward,Man Utd,0.0,out,Summer,2009,2009/2010
Caçapa,33,Centre-Back,Cruzeiro,0.0,out,Summer,2009,2009/2010
Fabio Zamblera,19,Centre-Forward,Roma U19,0.0,out,Summer,2009,2009/2010
Xisco,23,Centre-Forward,Racing,0.0,out,Summer,2009,2009/2010
Jonny Godsmark,19,midfield,Hereford Utd.,0.0,out,Summer,2009,2009/2010
Fraser Forster,21,Goalkeeper,Bristol Rovers,0.0,out,Summer,2009,2009/2010
Fraser Forster,21,Goalkeeper,Norwich,0.0,out,Summer,2009,2009/2010
Mark Viduka,33,Centre-Forward,Retired,0.0,out,Summer,2009,2009/2010
Ignacio González,27,Attacking Midfield,Valencia,0.0,out,Summer,2009,2009/2010
Leon Best,23,Centre-Forward,Coventry,2300000.0,in,Winter,2009,2009/2010
Wayne Routledge,25,Left Winger,QPR,2000000.0,in,Winter,2009,2009/2010
Mike Williamson,26,Centre-Back,Portsmouth,1100000.0,in,Winter,2009,2009/2010
Danny Simpson,23,Right-Back,Man Utd,865000.0,in,Winter,2009,2009/2010
Fitz Hall,29,Centre-Back,QPR,0.0,in,Winter,2009,2009/2010
Patrick van Aanholt,19,Left-Back,Chelsea,0.0,in,Winter,2009,2009/2010
Fabrice Pancrate,29,Right Winger,Without Club,0.0,in,Winter,2009,2009/2010
Njitap Geremi,31,Right Midfield,Ankaragücü,0.0,out,Winter,2009,2009/2010
Kazenga LuaLua,19,Left Winger,Brighton,0.0,out,Winter,2009,2009/2010
Zurab Khizanishvili,28,Centre-Back,Blackburn,0.0,out,Winter,2009,2009/2010
Marlon Harewood,30,Centre-Forward,Aston Villa,0.0,out,Winter,2009,2009/2010
Danny Simpson,22,Right-Back,Man Utd,0.0,out,Winter,2009,2009/2010
