player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Andy Hughes,27,Central Midfield,Reading,625000.0,in,Summer,2005,2005/2006
Jürgen Colin,24,Centre-Back,PSV Eindhoven,400000.0,in,Summer,2005,2005/2006
Jason Jarrett,25,Central Midfield,Wigan,0.0,in,Summer,2005,2005/2006
Peter Thorne,32,Centre-Forward,Cardiff,0.0,in,Summer,2005,2005/2006
Mathieu Louis-Jean,29,Right-Back,Nottm Forest,0.0,in,Summer,2005,2005/2006
Dean Marney,21,Central Midfield,Spurs,0.0,in,Summer,2005,2005/2006
Calum Davenport,22,defence,Spurs,0.0,in,Summer,2005,2005/2006
Kevin Lisbie,26,Centre-Forward,Charlton,0.0,in,Summer,2005,2005/2006
Rossi Jarvis,17,Centre-Back,Norwich U18,0.0,in,Summer,2005,2005/2006
Joe Lewis,17,Goalkeeper,Norwich U18,0.0,in,Summer,2005,2005/2006
Matthew Halliday,18,Centre-Back,Norwich U18,0.0,in,Summer,2005,2005/2006
Damien Francis,26,Central Midfield,Wigan,2250000.0,out,Summer,2005,2005/2006
Thomas Helveg,34,Right-Back,Bor. M'gladbach,200000.0,out,Summer,2005,2005/2006
Mathias Svensson,30,Centre-Forward,Elfsborg,150000.0,out,Summer,2005,2005/2006
Danny Crow,19,Centre-Forward,Peterborough,0.0,out,Summer,2005,2005/2006
Mattias Jonson,31,Centre-Forward,Djurgården,0.0,out,Summer,2005,2005/2006
Marc Edworthy,32,Right-Back,Derby,0.0,out,Summer,2005,2005/2006
Phil Mulryne,27,Central Midfield,Cardiff,0.0,out,Summer,2005,2005/2006
Gary Holt,32,Central Midfield,Nottm Forest,0.0,out,Summer,2005,2005/2006
Kevin Lisbie,26,Centre-Forward,Charlton,0.0,out,Summer,2005,2005/2006
Dean Marney,21,Central Midfield,Spurs,0.0,out,Summer,2005,2005/2006
Zesh Rehman,22,Centre-Back,Fulham,0.0,out,Summer,2005,2005/2006
Jonatan Johansson,30,Centre-Forward,Charlton,0.0,out,Summer,2005,2005/2006
Graham Stuart,34,Attacking Midfield,Retired,0.0,out,Summer,2005,2005/2006
Robert Earnshaw,24,Centre-Forward,West Brom,4130000.0,in,Winter,2005,2005/2006
Dickson Etuhu,23,Defensive Midfield,Preston,600000.0,in,Winter,2005,2005/2006
Carl Robinson,29,Central Midfield,Sunderland,75000.0,in,Winter,2005,2005/2006
Jonatan Johansson,30,Centre-Forward,Charlton,0.0,in,Winter,2005,2005/2006
Dickson Etuhu,23,Defensive Midfield,Preston,0.0,in,Winter,2005,2005/2006
David Wright,25,Defensive Midfield,Wigan,0.0,in,Winter,2005,2005/2006
Zesh Rehman,22,Centre-Back,Fulham,0.0,in,Winter,2005,2005/2006
Matthew Halliday,19,Centre-Back,Hereford Utd.,0.0,in,Winter,2005,2005/2006
Jason Jarrett,26,Central Midfield,Plymouth,0.0,in,Winter,2005,2005/2006
Dean Ashton,22,Centre-Forward,West Ham,10890000.0,out,Winter,2005,2005/2006
Jim Brennan,28,Left Midfield,Southampton,0.0,out,Winter,2005,2005/2006
Jason Jarrett,26,Central Midfield,Preston,0.0,out,Winter,2005,2005/2006
Matthew Halliday,19,Centre-Back,Hereford Utd.,0.0,out,Winter,2005,2005/2006
Jason Jarrett,26,Central Midfield,Plymouth,0.0,out,Winter,2005,2005/2006
Calum Davenport,22,defence,Spurs,0.0,out,Winter,2005,2005/2006
David Wright,25,Defensive Midfield,Wigan,0.0,out,Winter,2005,2005/2006
Dickson Etuhu,23,Defensive Midfield,Preston,0.0,out,Winter,2005,2005/2006
Lee Croft,21,Right Midfield,Man City,900000.0,in,Summer,2006,2006/2007
Dion Dublin,37,Centre-Forward,Celtic,0.0,in,Summer,2006,2006/2007
Gareth Matthews,16,Right-Back,Cherry Orchard FC,0.0,in,Summer,2006,2006/2007
Jamie Ashdown,25,Goalkeeper,Portsmouth,0.0,in,Summer,2006,2006/2007
Lee Camp,22,Goalkeeper,Derby,0.0,in,Summer,2006,2006/2007
Paddy Boyle,19,Left-Back,Everton,0.0,in,Summer,2006,2006/2007
Robert Eagle,19,Central Midfield,Norwich U18,0.0,in,Summer,2006,2006/2007
Michael Spillane,17,Defensive Midfield,Norwich U18,0.0,in,Summer,2006,2006/2007
Chris Martin,17,Centre-Forward,Norwich U18,0.0,in,Summer,2006,2006/2007
Andrew Cave-Brown,17,Right-Back,Norwich U18,0.0,in,Summer,2006,2006/2007
Ian Henderson,22,Centre-Forward,Rotherham,0.0,in,Summer,2006,2006/2007
Paul McVeigh,29,Left Winger,Burnley,0.0,in,Summer,2006,2006/2007
Rossi Jarvis,19,Centre-Back,Rotherham,0.0,in,Summer,2006,2006/2007
Joe Lewis,19,Goalkeeper,Stockport,0.0,in,Summer,2006,2006/2007
Ryan Jarvis,20,Central Midfield,Leyton Orient,0.0,in,Summer,2006,2006/2007
Rob Green,26,Goalkeeper,West Ham,3000000.0,out,Summer,2006,2006/2007
Leon McKenzie,28,Centre-Forward,Coventry,975000.0,out,Summer,2006,2006/2007
Darren Ward,32,Goalkeeper,Sunderland,0.0,out,Summer,2006,2006/2007
Simon Charlton,34,Left-Back,Oldham Athletic,0.0,out,Summer,2006,2006/2007
Paddy Boyle,19,Left-Back,Everton,0.0,out,Summer,2006,2006/2007
David Marshall,22,Goalkeeper,Celtic,0.0,out,Summer,2006,2006/2007
Chris Brown,22,Centre-Forward,Sunderland,475000.0,in,Winter,2006,2006/2007
Luke Chadwick,26,Attacking Midfield,Stoke City,300000.0,in,Winter,2006,2006/2007
Simon Lappin,24,Central Midfield,St. Mirren,250000.0,in,Winter,2006,2006/2007
Mark Fotheringham,23,Central Midfield,FC Aarau,0.0,in,Winter,2006,2006/2007
Luke Chadwick,25,Attacking Midfield,Stoke City,0.0,in,Winter,2006,2006/2007
