player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Andy Impey,32,Defensive Midfield,Leicester,0.0,in,Summer,2004,2004/2005
Paul Gerrard,31,Goalkeeper,Everton,0.0,in,Summer,2004,2004/2005
Kevin James,24,Centre-Forward,Gillingham FC,0.0,in,Summer,2004,2004/2005
Jon Olav Hjelde,31,Centre-Back,Busan I'Park,0.0,in,Summer,2004,2004/2005
Kris Commons,20,Attacking Midfield,Stoke City,0.0,in,Summer,2004,2004/2005
Brian Cash,21,Right Midfield,Rochdale,0.0,in,Summer,2004,2004/2005
Andy Impey,33,Defensive Midfield,Millwall,0.0,in,Summer,2004,2004/2005
Andy Haskins,21,midfield,Stalybridge,0.0,in,Summer,2004,2004/2005
Craig Westcarr,20,Centre-Forward,MK Dons,0.0,in,Summer,2004,2004/2005
Gareth Williams,22,Central Midfield,Leicester,750000.0,out,Summer,2004,2004/2005
Brynjar Gunnarsson,28,Defensive Midfield,Watford,0.0,out,Summer,2004,2004/2005
Danny Sonner,32,Defensive Midfield,Peterborough,0.0,out,Summer,2004,2004/2005
Darren Ward,30,Goalkeeper,Norwich,0.0,out,Summer,2004,2004/2005
Scott Tynan,20,Goalkeeper,Barnet,0.0,out,Summer,2004,2004/2005
Davy Oyen,28,Left-Back,Heusden-Zolder,0.0,out,Summer,2004,2004/2005
Brian Cash,21,Right Midfield,Rochdale,0.0,out,Summer,2004,2004/2005
Craig Westcarr,19,Centre-Forward,Lincoln City,0.0,out,Summer,2004,2004/2005
Des Walker,38,Centre-Back,Retired,0.0,out,Summer,2004,2004/2005
Colin Doyle,19,Goalkeeper,Birmingham,0.0,out,Summer,2004,2004/2005
Michael Stewart,23,Central Midfield,Man Utd,0.0,out,Summer,2004,2004/2005
Andy Melville,36,Centre-Back,West Ham,0.0,out,Summer,2004,2004/2005
Adam Nowland,23,Attacking Midfield,West Ham,300000.0,in,Winter,2004,2004/2005
David Friio,31,Defensive Midfield,Plymouth,145000.0,in,Winter,2004,2004/2005
Jack Lester,29,Centre-Forward,Sheff Utd,75000.0,in,Winter,2004,2004/2005
Neil Harris,27,Centre-Forward,Millwall,0.0,in,Winter,2004,2004/2005
Darryl Powell,33,Centre-Back,Colorado,0.0,in,Winter,2004,2004/2005
John Curtis,26,Right-Back,Portsmouth,0.0,in,Winter,2004,2004/2005
Yoann Folly,19,Defensive Midfield,Southampton,0.0,in,Winter,2004,2004/2005
Shaun Derry,27,Defensive Midfield,Crystal Palace,0.0,in,Winter,2004,2004/2005
Colin Doyle,19,Goalkeeper,Birmingham,0.0,in,Winter,2004,2004/2005
Kevin James,24,Centre-Forward,Boston Utd,0.0,in,Winter,2004,2004/2005
Craig Westcarr,19,Centre-Forward,Lincoln City,0.0,in,Winter,2004,2004/2005
Pascal Formann,22,Goalkeeper,Grantham,0.0,in,Winter,2004,2004/2005
Andy Melville,36,Centre-Back,West Ham,0.0,in,Winter,2004,2004/2005
Andy Reid,22,Left Midfield,Spurs,8000000.0,out,Winter,2004,2004/2005
Michael Dawson,21,Centre-Back,Spurs,7000000.0,out,Winter,2004,2004/2005
Matt Bodkin,21,Right Winger,Gillingham FC,0.0,out,Winter,2004,2004/2005
Brian Cash,22,Right Midfield,Bristol Rovers,0.0,out,Winter,2004,2004/2005
Andy Impey,33,Defensive Midfield,Millwall,0.0,out,Winter,2004,2004/2005
Andy Haskins,20,midfield,Stalybridge,0.0,out,Winter,2004,2004/2005
Marlon King,24,Centre-Forward,Leeds,0.0,out,Winter,2004,2004/2005
Craig Westcarr,19,Centre-Forward,MK Dons,0.0,out,Winter,2004,2004/2005
Kevin James,24,Centre-Forward,Boston Utd,0.0,out,Winter,2004,2004/2005
Pascal Formann,22,Goalkeeper,Without Club,0.0,out,Winter,2004,2004/2005
Yoann Folly,19,Defensive Midfield,Southampton,0.0,out,Winter,2004,2004/2005
Shaun Derry,27,Defensive Midfield,Crystal Palace,0.0,out,Winter,2004,2004/2005
Robert Earnshaw,27,Centre-Forward,Derby,3400000.0,in,Summer,2008,2008/2009
Joe Garner,20,Centre-Forward,Carlisle United,1620000.0,in,Summer,2008,2008/2009
Guy Moussi,23,Defensive Midfield,Angers SCO,350000.0,in,Summer,2008,2008/2009
Joel Lynch,20,Centre-Back,Brighton,250000.0,in,Summer,2008,2008/2009
Nialle Rodney,17,Centre-Forward,Ilkeston,0.0,in,Summer,2008,2008/2009
Andy Cole,36,Centre-Forward,Sunderland,0.0,in,Summer,2008,2008/2009
Paul Anderson,19,Right Midfield,Liverpool Res.,0.0,in,Summer,2008,2008/2009
James Dunne,19,Central Midfield,Arsenal Res.,0.0,in,Summer,2008,2008/2009
Lee Camp,24,Goalkeeper,QPR,0.0,in,Summer,2008,2008/2009
Carl Fletcher,28,Defensive Midfield,Crystal Palace,0.0,in,Summer,2008,2008/2009
Lee Martin,21,Attacking Midfield,Man Utd,0.0,in,Summer,2008,2008/2009
James Reid,18,Left Midfield,Nottingham U18,0.0,in,Summer,2008,2008/2009
Liam Hook,18,Central Midfield,Nottingham U18,0.0,in,Summer,2008,2008/2009
Adam Newbold,18,Centre-Forward,Nottingham U18,0.0,in,Summer,2008,2008/2009
Mark Byrne,20,Central Midfield,Burton Albion,0.0,in,Summer,2008,2008/2009
Adam Newbold,19,Centre-Forward,Stalybridge,0.0,in,Summer,2008,2008/2009
Richard Tait,19,Right-Back,Tamworth,0.0,in,Summer,2008,2008/2009
Junior Agogo,28,Centre-Forward,Zamalek,1200000.0,out,Summer,2008,2008/2009
Grant Holt,27,Centre-Forward,Shrewsbury,255000.0,out,Summer,2008,2008/2009
Matt Lockwood,31,Left-Back,Colchester Utd.,150000.0,out,Summer,2008,2008/2009
Danny Green,19,Right Winger,Bishop's St.,0.0,out,Summer,2008,2008/2009
Reece Staples,NA,Left Midfield,Carlton Town,0.0,out,Summer,2008,2008/2009
Ben Fairclough,19,attack,Notts County,0.0,out,Summer,2008,2008/2009
Felix Bastians,20,Centre-Back,BSC Young Boys,0.0,out,Summer,2008,2008/2009
Sammy Clingan,24,Central Midfield,Norwich,0.0,out,Summer,2008,2008/2009
Kris Commons,24,Attacking Midfield,Derby,0.0,out,Summer,2008,2008/2009
Alan Power,20,Central Midfield,Hartlepool,0.0,out,Summer,2008,2008/2009
Paddy Gamble,19,Goalkeeper,Mansfield Town,0.0,out,Summer,2008,2008/2009
Tom Sharpe,19,Centre-Back,Stalybridge,0.0,out,Summer,2008,2008/2009
Dale Roberts,21,Goalkeeper,Rush. & Diamon.,0.0,out,Summer,2008,2008/2009
Shane Redmond,19,Goalkeeper,Eastwood Town,0.0,out,Summer,2008,2008/2009
Emile Sinclair,20,Centre-Forward,Mansfield Town,0.0,out,Summer,2008,2008/2009
Chris Gunter,19,Right-Back,Spurs,0.0,out,Summer,2008,2008/2009
Isaiah Osbourne,21,Central Midfield,Aston Villa,0.0,out,Summer,2008,2008/2009
Iain Turner,25,Goalkeeper,Everton,0.0,out,Summer,2008,2008/2009
Florin Purece,17,Attacking Midfield,Atletico Arad,0.0,in,Winter,2008,2008/2009
Chris Gunter,19,Right-Back,Spurs,0.0,in,Winter,2008,2008/2009
Dexter Blackstock,22,Centre-Forward,QPR,0.0,in,Winter,2008,2008/2009
Iain Turner,25,Goalkeeper,Everton,0.0,in,Winter,2008,2008/2009
Gary McSheffrey,26,Left Winger,Birmingham,0.0,in,Winter,2008,2008/2009
Isaiah Osbourne,21,Central Midfield,Aston Villa,0.0,in,Winter,2008,2008/2009
Dale Roberts,22,Goalkeeper,Rush. & Diamon.,0.0,in,Winter,2008,2008/2009
Shane Redmond,19,Goalkeeper,Eastwood Town,0.0,in,Winter,2008,2008/2009
Paddy Gamble,20,Goalkeeper,Mansfield Town,0.0,in,Winter,2008,2008/2009
Brendan Moloney,19,Right-Back,Rush. & Diamon.,0.0,in,Winter,2008,2008/2009
Emile Sinclair,20,Centre-Forward,Mansfield Town,0.0,in,Winter,2008,2008/2009
