player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Ryan Bennett,19,Centre-Back,Grimsby Town,675000.0,in,Summer,2009,2009/2010
Scott Griffiths,23,Left-Back,Dag & Red FC,220000.0,in,Summer,2009,2009/2010
Tommy Rowe,20,Left Midfield,Stockport,115000.0,in,Summer,2009,2009/2010
Toumani Diagouraga,22,Defensive Midfield,Hereford Utd.,100000.0,in,Summer,2009,2009/2010
Danny Mills,17,Centre-Forward,Crawley Town,0.0,in,Summer,2009,2009/2010
Romone McCrae,17,midfield,Crawley Town,0.0,in,Summer,2009,2009/2010
Ben Amos,19,Goalkeeper,Man Utd Res.,0.0,in,Summer,2009,2009/2010
Danny Rose,19,Left-Back,Spurs,0.0,in,Summer,2009,2009/2010
Krystian Pearce,19,Centre-Back,Birmingham,0.0,in,Summer,2009,2009/2010
Carl Piergianni,17,Centre-Back,Peterb. U18,0.0,in,Summer,2009,2009/2010
Charlie Dove,17,Central Midfield,Peterb. U18,0.0,in,Summer,2009,2009/2010
Nathan Koranteng,17,attack,Peterb. U18,0.0,in,Summer,2009,2009/2010
Nathan Koranteng,17,attack,Tamworth,0.0,in,Summer,2009,2009/2010
George Boyd,24,Left Winger,Nottm Forest,0.0,in,Summer,2009,2009/2010
Ben Wright,21,Centre-Forward,Luton,0.0,in,Summer,2009,2009/2010
Danny Andrew,18,Left-Back,Tamworth,0.0,in,Summer,2009,2009/2010
Danny Mills,17,Centre-Forward,Torquay,0.0,in,Summer,2009,2009/2010
Scott Rendell,23,Centre-Forward,Torquay,0.0,in,Summer,2009,2009/2010
Liam Hatch,28,Centre-Forward,Luton,0.0,in,Summer,2009,2009/2010
Tom Williams,29,Left-Back,Preston,0.0,in,Summer,2009,2009/2010
Rene Howe,23,Centre-Forward,Gillingham FC,0.0,in,Summer,2009,2009/2010
Danny Blanchett,22,Left-Back,AFC Wimbledon,0.0,in,Summer,2009,2009/2010
Mark Tyler,32,Goalkeeper,Bury,0.0,in,Summer,2009,2009/2010
Craig Braham-Barrett,20,Left-Back,Grays Athletic FC,0.0,out,Summer,2009,2009/2010
Lewis Webb,18,Right Midfield,King's Lynn,0.0,out,Summer,2009,2009/2010
Shane Blackett,26,Centre-Back,Luton,0.0,out,Summer,2009,2009/2010
Mark Tyler,32,Goalkeeper,Luton,0.0,out,Summer,2009,2009/2010
Chris Westwood,32,Centre-Back,Wycombe,0.0,out,Summer,2009,2009/2010
Kieran Charnock,25,Centre-Back,Torquay,0.0,out,Summer,2009,2009/2010
Ben Wright,21,Centre-Forward,Luton,0.0,out,Summer,2009,2009/2010
Liam Hatch,27,Centre-Forward,Luton,0.0,out,Summer,2009,2009/2010
Billy Crook,19,Central Midfield,Histon FC,0.0,out,Summer,2009,2009/2010
