player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Steven Milne,24,Centre-Forward,Dundee FC,0.0,in,Summer,2004,2004/2005
Keith Lasley,24,Defensive Midfield,Motherwell FC,0.0,in,Summer,2004,2004/2005
Stevie Crawford,30,Centre-Forward,Dunfermline A.,0.0,in,Summer,2004,2004/2005
Lee Makel,31,Attacking Midfield,Livingston FC,0.0,in,Summer,2004,2004/2005
Mathias Doumbé,24,Right-Back,Hibernian FC,0.0,in,Summer,2004,2004/2005
Gary Sawyer,18,Centre-Back,Plymouth U18,0.0,in,Summer,2004,2004/2005
Ryan Dickson,17,Left-Back,Plymouth U18,0.0,in,Summer,2004,2004/2005
James Debbage,18,Goalkeeper,Plymouth U18,0.0,in,Summer,2004,2004/2005
Gary Sawyer,19,Centre-Back,Exeter City,0.0,in,Summer,2004,2004/2005
Marcus Martin,20,Central Midfield,Exeter City,0.0,in,Summer,2004,2004/2005
Ian Stonebridge,22,attack,Wycombe,0.0,out,Summer,2004,2004/2005
Paul Bernard,31,Right-Back,St. Johnstone,0.0,out,Summer,2004,2004/2005
Nathan Lowndes,27,Centre-Forward,Port Vale,0.0,out,Summer,2004,2004/2005
Martin Phillips,28,Central Midfield,Torquay,0.0,out,Summer,2004,2004/2005
Matt Villis,20,Centre-Back,Torquay,0.0,out,Summer,2004,2004/2005
Hasney Aljofree,26,Centre-Back,Sheff Wed,0.0,out,Summer,2004,2004/2005
Marcus Martin,19,Central Midfield,Exeter City,0.0,out,Summer,2004,2004/2005
Luke McCormick,21,Goalkeeper,Boston Utd,0.0,out,Summer,2004,2004/2005
Gary Sawyer,19,Centre-Back,Exeter City,0.0,out,Summer,2004,2004/2005
Eugène Kangulungu,28,defence,Pau FC,0.0,out,Summer,2004,2004/2005
Jason Bent,27,midfield,Retired,0.0,out,Summer,2004,2004/2005
Jason Dodd,34,Right-Back,Southampton,0.0,out,Summer,2004,2004/2005
Nick Chadwick,22,Centre-Forward,Everton,400000.0,in,Winter,2004,2004/2005
Ákos Buzsáky,22,Central Midfield,FC Porto,400000.0,in,Winter,2004,2004/2005
Scott Taylor,28,Centre-Forward,Blackpool,150000.0,in,Winter,2004,2004/2005
Anthony McKeever,18,midfield,Cherry Orchard FC,0.0,in,Winter,2004,2004/2005
Bjarni Gudjónsson,25,Right Midfield,Coventry,0.0,in,Winter,2004,2004/2005
Dexter Blackstock,18,Centre-Forward,Southampton,0.0,in,Winter,2004,2004/2005
Jason Dodd,34,Right-Back,Southampton,0.0,in,Winter,2004,2004/2005
Hasney Aljofree,26,Centre-Back,Sheff Wed,0.0,in,Winter,2004,2004/2005
Luke McCormick,21,Goalkeeper,Boston Utd,0.0,in,Winter,2004,2004/2005
David Friio,31,Defensive Midfield,Nottm Forest,145000.0,out,Winter,2004,2004/2005
Stevie Crawford,30,Centre-Forward,Dundee United,120000.0,out,Winter,2004,2004/2005
Lee Makel,31,Attacking Midfield,Dunfermline A.,0.0,out,Winter,2004,2004/2005
Steve Adams,24,Defensive Midfield,Sheff Wed,0.0,out,Winter,2004,2004/2005
Marino Keith,30,Centre-Forward,Colchester Utd.,0.0,out,Winter,2004,2004/2005
Bojan Djordjic,23,Left Winger,Rangers,0.0,in,Summer,2005,2005/2006
Anthony Barness,32,Right-Back,Bolton,0.0,in,Summer,2005,2005/2006
Taribo West,31,Left-Back,Al-Arabi SC,0.0,in,Summer,2005,2005/2006
Nuno Mendes,27,Centre-Back,Santa Clara,0.0,in,Summer,2005,2005/2006
Chris Zebroski,18,Centre-Forward,Cirencester,0.0,in,Summer,2005,2005/2006
Matt Derbyshire,19,Centre-Forward,Blackburn Res.,0.0,in,Summer,2005,2005/2006
Luke Summerfield,17,Central Midfield,Plymouth U18,0.0,in,Summer,2005,2005/2006
Reuben Reid,16,Centre-Forward,Plymouth U18,0.0,in,Summer,2005,2005/2006
Keith Lasley,26,Defensive Midfield,Blackpool,0.0,in,Summer,2005,2005/2006
Gary Sawyer,20,Centre-Back,Exeter City,0.0,in,Summer,2005,2005/2006
Rufus Brevett,35,Left-Back,West Ham,0.0,in,Summer,2005,2005/2006
