player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Darryl Flahavan,31,Goalkeeper,Crystal Palace,0.0,in,Summer,2010,2010/2011
Ibrahima Sonko,29,Centre-Back,Stoke City,0.0,in,Summer,2010,2010/2011
Carl Dickinson,23,Left-Back,Stoke City,0.0,in,Summer,2010,2010/2011
Liam Lawrence,28,Attacking Midfield,Stoke City,0.0,in,Summer,2010,2010/2011
Greg Halford,25,Centre-Back,Wolves,0.0,in,Summer,2010,2010/2011
Dave Kitson,30,Centre-Forward,Stoke City,0.0,in,Summer,2010,2010/2011
Perry Ryan,18,Defensive Midfield,Portsmouth U18,0.0,in,Summer,2010,2010/2011
Ellis Martin,18,Left-Back,Portsmouth U18,0.0,in,Summer,2010,2010/2011
Chindeu Vine,16,Centre-Forward,Portsmouth U18,0.0,in,Summer,2010,2010/2011
Billy Goddard,18,Central Midfield,Portsmouth U18,0.0,in,Summer,2010,2010/2011
Peter Gregory,17,Attacking Midfield,Portsmouth U18,0.0,in,Summer,2010,2010/2011
Nadir Ciftci,18,Centre-Forward,Portsmouth U18,0.0,in,Summer,2010,2010/2011
Liam O'Brien,18,Goalkeeper,Portsmouth U18,0.0,in,Summer,2010,2010/2011
Torric Jebrin,19,Attacking Midfield,Zulte Waregem,0.0,in,Summer,2010,2010/2011
Tom Kilbey,20,Defensive Midfield,Lincoln City,0.0,in,Summer,2010,2010/2011
Marlon Pack,20,Central Midfield,Cheltenham,0.0,in,Summer,2010,2010/2011
Dusko Tosic,25,Centre-Back,QPR,0.0,in,Summer,2010,2010/2011
Liam O'Brien,18,Goalkeeper,Eastbourne,0.0,in,Summer,2010,2010/2011
Marlon Pack,19,Central Midfield,Dag & Red FC,0.0,in,Summer,2010,2010/2011
Kevin-Prince Boateng,23,Attacking Midfield,Genoa,5700000.0,out,Summer,2010,2010/2011
Nadir Belhadj,28,Left-Back,Al-Sadd SC,4200000.0,out,Summer,2010,2010/2011
Marc Wilson,23,Centre-Back,Stoke City,3600000.0,out,Summer,2010,2010/2011
Tommy Smith,30,Centre-Forward,QPR,1880000.0,out,Summer,2010,2010/2011
Torric Jebrin,19,Attacking Midfield,Hearts of Oak,0.0,out,Summer,2010,2010/2011
Callum Reynolds,20,Centre-Back,Basingstoke,0.0,out,Summer,2010,2010/2011
Jon Stewart,21,Goalkeeper,Weymouth FC,0.0,out,Summer,2010,2010/2011
Angelos Basinas,34,Defensive Midfield,AC Arles,0.0,out,Summer,2010,2010/2011
Dusko Tosic,25,Centre-Back,Red Star,0.0,out,Summer,2010,2010/2011
Luke Wilkinson,18,defence,Dag & Red FC,0.0,out,Summer,2010,2010/2011
Danijel Subotic,21,Centre-Forward,Grosseto,0.0,out,Summer,2010,2010/2011
Papa Bouba Diop,32,Defensive Midfield,AEK Athens,0.0,out,Summer,2010,2010/2011
David James,39,Goalkeeper,Bristol City,0.0,out,Summer,2010,2010/2011
Liam O'Brien,18,Goalkeeper,Eastbourne,0.0,out,Summer,2010,2010/2011
Tal Ben Haim,28,Centre-Back,West Ham,0.0,out,Summer,2010,2010/2011
Marlon Pack,19,Central Midfield,Cheltenham,0.0,out,Summer,2010,2010/2011
Matt Ritchie,21,Left-Back,Swindon Town,0.0,out,Summer,2010,2010/2011
Paris Cowan-Hall,19,Right Winger,Without Club,0.0,out,Summer,2010,2010/2011
Omar Alieu Koroma,20,Centre-Forward,Without Club,0.0,out,Summer,2010,2010/2011
Steve Finnan,34,Right-Back,Retired,0.0,out,Summer,2010,2010/2011
Anthony Vanden Borre,22,Right-Back,Genoa,0.0,out,Summer,2010,2010/2011
Frédéric Piquionne,31,Centre-Forward,Olympique Lyon,0.0,out,Summer,2010,2010/2011
Aruna Dindane,29,Second Striker,Lens,0.0,out,Summer,2010,2010/2011
Hassan Yebda,26,Central Midfield,Benfica,0.0,out,Summer,2010,2010/2011
Jamie O'Hara,23,Central Midfield,Spurs,0.0,out,Summer,2010,2010/2011
David Cotterill,23,Right Winger,Swansea,0.0,out,Summer,2010,2010/2011
Jonathan Hogg,22,Central Midfield,Aston Villa,0.0,out,Summer,2010,2010/2011
Carl Dickinson,24,Left-Back,Stoke City,0.0,out,Summer,2010,2010/2011
Greg Halford,26,Centre-Back,Wolves,0.0,out,Summer,2010,2010/2011
Ritchie De Laet,22,Centre-Back,Man Utd,0.0,in,Winter,2010,2010/2011
Jonathan Hogg,22,Central Midfield,Aston Villa,0.0,in,Winter,2010,2010/2011
David Cotterill,23,Right Winger,Swansea,0.0,in,Winter,2010,2010/2011
Liam Lawrence,29,Attacking Midfield,Stoke City,0.0,in,Winter,2010,2010/2011
Tal Ben Haim,28,Centre-Back,West Ham,0.0,in,Winter,2010,2010/2011
Perry Ryan,18,Defensive Midfield,Bognor Regis,0.0,in,Winter,2010,2010/2011
Matt Ritchie,21,Left-Back,Swindon Town,0.0,in,Winter,2010,2010/2011
John Utaka,29,Left Winger,Montpellier,500000.0,out,Winter,2010,2010/2011
Matt Ritchie,21,Left-Back,Swindon Town,300000.0,out,Winter,2010,2010/2011
Perry Ryan,18,Defensive Midfield,Bognor Regis,0.0,out,Winter,2010,2010/2011
Tom Kilbey,20,Defensive Midfield,Lincoln City,0.0,out,Winter,2010,2010/2011
Liam O'Brien,18,Goalkeeper,Without Club,0.0,out,Winter,2010,2010/2011
Liam Lawrence,29,Attacking Midfield,Stoke City,0.0,out,Winter,2010,2010/2011
Erik Huseklepp,26,Left Winger,Bari,2500000.0,in,Summer,2011,2011/2012
Greg Halford,26,Centre-Back,Wolves,1000000.0,in,Summer,2011,2011/2012
Luke Varney,28,Centre-Forward,Derby,835000.0,in,Summer,2011,2011/2012
