player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Lee Cook,21,Left Winger,Watford,175000.0,in,Summer,2004,2004/2005
Sean Thomas,17,Goalkeeper,Arsenal U18,0.0,in,Summer,2004,2004/2005
Serge Branco,23,Right-Back,Leeds,0.0,in,Summer,2004,2004/2005
Georges Santos,33,Centre-Back,Ipswich,0.0,in,Summer,2004,2004/2005
Arthur Gnohéré,25,Centre-Back,Burnley,0.0,in,Summer,2004,2004/2005
Frank Simek,19,Right-Back,Arsenal,0.0,in,Summer,2004,2004/2005
Nick Culkin,25,Goalkeeper,Man Utd,0.0,in,Summer,2004,2004/2005
Jake Cole,19,Goalkeeper,Farnborough,0.0,in,Summer,2004,2004/2005
Aaron Brown,25,Left-Back,Torquay,0.0,in,Summer,2004,2004/2005
Clarke Carlisle,24,Centre-Back,Leeds,0.0,out,Summer,2004,2004/2005
Steve Palmer,36,defence,MK Dons,0.0,out,Summer,2004,2004/2005
Richard Pacquette,21,Centre-Forward,MK Dons,0.0,out,Summer,2004,2004/2005
Eric Sabin,28,Centre-Forward,Northampton,0.0,out,Summer,2004,2004/2005
Dennis Oli,20,Centre-Forward,Swansea,0.0,out,Summer,2004,2004/2005
Terrell Forbes,23,Centre-Back,Grimsby Town,0.0,out,Summer,2004,2004/2005
Wes Daly,20,midfield,Raith Rovers,0.0,out,Summer,2004,2004/2005
Ruben Zadkovich,18,Defensive Midfield,Notts County,0.0,out,Summer,2004,2004/2005
Dean Lodge,22,midfield,Without Club,0.0,out,Summer,2004,2004/2005
Ben Walshe,21,midfield,Retired,0.0,out,Summer,2004,2004/2005
Andrew Davies,20,Centre-Back,Middlesbrough,0.0,out,Summer,2004,2004/2005
Arthur Gnohéré,25,Centre-Back,Burnley,0.0,out,Summer,2004,2004/2005
Simon Royce,33,Goalkeeper,Charlton,0.0,in,Winter,2004,2004/2005
Matthew Hislop,18,Left-Back,Arsenal U18,0.0,in,Winter,2004,2004/2005
Dean Sturridge,31,Centre-Forward,Wolves,0.0,in,Winter,2004,2004/2005
Andrew Davies,20,Centre-Back,Middlesbrough,0.0,in,Winter,2004,2004/2005
Leon Best,18,Centre-Forward,Southampton,0.0,in,Winter,2004,2004/2005
Adam Miller,22,Central Midfield,Aldershot,50000.0,in,Winter,2004,2004/2005
Dominic Shimmin,17,Centre-Back,Arsenal U18,5000.0,in,Winter,2004,2004/2005
Generoso Rossi,25,Goalkeeper,Siena,0.0,in,Winter,2004,2004/2005
Aaron Brown,24,Left-Back,Without Club,0.0,in,Winter,2004,2004/2005
Chris Day,29,Goalkeeper,Preston,0.0,in,Winter,2004,2004/2005
Tony Thorpe,31,Centre-Forward,Rotherham,0.0,in,Winter,2004,2004/2005
Wes Daly,20,midfield,Raith Rovers,0.0,in,Winter,2004,2004/2005
Scott Mulholland,18,Central Midfield,Hastings Utd,0.0,in,Winter,2004,2004/2005
Jake Cole,19,Goalkeeper,AFC Wimbledon,0.0,in,Winter,2004,2004/2005
