player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Bobby Convey,21,Left Midfield,D.C. United,1200000.0,in,Summer,2004,2004/2005
Paul Brooker,27,Attacking Midfield,Leicester,0.0,in,Summer,2004,2004/2005
Glen Little,28,Right Midfield,Burnley,0.0,in,Summer,2004,2004/2005
Ibrahima Sonko,23,Centre-Back,Brentford,0.0,in,Summer,2004,2004/2005
Louie Soares,19,Central Midfield,Reading U18,0.0,in,Summer,2004,2004/2005
Johnny Mullins,18,Centre-Back,Reading U18,0.0,in,Summer,2004,2004/2005
Johnny Mullins,19,Centre-Back,Kidderminster,0.0,in,Summer,2004,2004/2005
Bas Savage,22,Centre-Forward,Wycombe,0.0,in,Summer,2004,2004/2005
John Salako,35,Left Midfield,Brentford,0.0,out,Summer,2004,2004/2005
Kelvin Jack,28,Goalkeeper,Dundee FC,0.0,out,Summer,2004,2004/2005
Jamie Ashdown,23,Goalkeeper,Portsmouth,0.0,out,Summer,2004,2004/2005
Darius Henderson,22,Centre-Forward,Gillingham FC,0.0,out,Summer,2004,2004/2005
Kevin Watson,30,Central Midfield,Colchester Utd.,0.0,out,Summer,2004,2004/2005
Chris Davies,19,Right-Back,Unknown,0.0,out,Summer,2004,2004/2005
Joe Gamble,22,Central Midfield,Cork City,0.0,out,Summer,2004,2004/2005
Andre Boucaud,19,Central Midfield,Peterborough,0.0,out,Summer,2004,2004/2005
Bas Savage,22,Centre-Forward,Wycombe,0.0,out,Summer,2004,2004/2005
Ahmet Rifat,18,Defensive Midfield,Kingstonian FC,0.0,out,Summer,2004,2004/2005
Martin Keown,38,Centre-Back,Career break,0.0,out,Summer,2004,2004/2005
Les Ferdinand,38,Centre-Forward,Bolton,0.0,in,Winter,2004,2004/2005
Martin Keown,38,Centre-Back,Leicester,0.0,in,Winter,2004,2004/2005
Ahmet Rifat,18,Defensive Midfield,Kingstonian FC,0.0,in,Winter,2004,2004/2005
Bas Savage,23,Centre-Forward,Bury,0.0,in,Winter,2004,2004/2005
Adrian Williams,33,Centre-Back,Coventry,0.0,out,Winter,2004,2004/2005
Bas Savage,23,Centre-Forward,Bury,0.0,out,Winter,2004,2004/2005
Johnny Mullins,19,Centre-Back,Kidderminster,0.0,out,Winter,2004,2004/2005
Louie Soares,20,Central Midfield,Tamworth,0.0,out,Winter,2004,2004/2005
Shaun Goater,34,Centre-Forward,Coventry,0.0,out,Winter,2004,2004/2005
Steve Brown,32,Centre-Back,Retired,0.0,out,Winter,2004,2004/2005
Leroy Lita,20,Centre-Forward,Bristol City,1500000.0,in,Summer,2005,2005/2006
Brynjar Gunnarsson,29,Defensive Midfield,Watford,350000.0,in,Summer,2005,2005/2006
Kevin Doyle,21,Centre-Forward,Cork City,117000.0,in,Summer,2005,2005/2006
Shane Long,18,Centre-Forward,Cork City,75000.0,in,Summer,2005,2005/2006
Adam Federici,20,Goalkeeper,A.I.S.,0.0,in,Summer,2005,2005/2006
Stephen Hunt,23,Left Midfield,Brentford,0.0,in,Summer,2005,2005/2006
John Oster,26,Central Midfield,Burnley,0.0,in,Summer,2005,2005/2006
Eric Obinna,24,Centre-Forward,K'lautern II,0.0,in,Summer,2005,2005/2006
Chris Makin,32,Left-Back,Leicester,0.0,in,Summer,2005,2005/2006
Sekou Baradji,21,Defensive Midfield,West Ham,0.0,in,Summer,2005,2005/2006
Graham Stack,23,Goalkeeper,Arsenal,0.0,in,Summer,2005,2005/2006
Jonny Hayes,17,Right Midfield,Reading U18,0.0,in,Summer,2005,2005/2006
Simon Cox,18,Centre-Forward,Reading U18,0.0,in,Summer,2005,2005/2006
Ben Hamer,17,Goalkeeper,Reading U18,0.0,in,Summer,2005,2005/2006
Shaun Goater,35,Centre-Forward,Coventry,0.0,in,Summer,2005,2005/2006
