player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Phil Gilchrist,30,Centre-Back,West Brom,0.0,in,Summer,2004,2004/2005
Paolo Vernazza,24,Central Midfield,Watford,0.0,in,Summer,2004,2004/2005
Paul McLaren,27,Central Midfield,Sheff Wed,0.0,in,Summer,2004,2004/2005
Robbie Stockdale,24,Right-Back,Middlesbrough,0.0,in,Summer,2004,2004/2005
Paul Shaw,30,Centre-Forward,Sheff Utd,0.0,in,Summer,2004,2004/2005
Mark Burchill,24,Centre-Forward,Portsmouth,0.0,in,Summer,2004,2004/2005
Júnior,28,Centre-Forward,Derby,0.0,in,Summer,2004,2004/2005
Michael Proctor,24,Centre-Forward,Swindon Town,0.0,in,Summer,2004,2004/2005
Julien Baudet,25,Centre-Back,Notts County,0.0,out,Summer,2004,2004/2005
Jody Morris,25,Central Midfield,Millwall,0.0,out,Summer,2004,2004/2005
Guy Branston,25,Centre-Back,Sheff Wed,0.0,out,Summer,2004,2004/2005
Phil Watt,16,Centre-Back,Lincoln City,0.0,out,Summer,2004,2004/2005
Nicholas Daws,34,Defensive Midfield,Grimsby Town,0.0,out,Summer,2004,2004/2005
Mark Burchill,24,Centre-Forward,Portsmouth,0.0,out,Summer,2004,2004/2005
Paul Shaw,31,Centre-Forward,Sheff Utd,0.0,out,Summer,2004,2004/2005
Michael Keane,22,Left Winger,Hull City,0.0,in,Winter,2004,2004/2005
Jamal Campbell-Ryce,21,Right Winger,Chesterfield FC,0.0,in,Winter,2004,2004/2005
Tony Thorpe,30,Centre-Forward,QPR,0.0,in,Winter,2004,2004/2005
Paul Warne,31,Right Winger,Mansfield Town,0.0,in,Winter,2004,2004/2005
Chris Sedgwick,24,Central Midfield,Preston,600000.0,out,Winter,2004,2004/2005
Richie Barker,29,Centre-Forward,Mansfield Town,0.0,out,Winter,2004,2004/2005
Darren Garner,33,Defensive Midfield,Torquay,0.0,out,Winter,2004,2004/2005
Robbie Stockdale,25,Right-Back,Hull City,0.0,out,Winter,2004,2004/2005
Michael Proctor,24,Centre-Forward,Swindon Town,0.0,out,Winter,2004,2004/2005
Paul Warne,31,Right Winger,Mansfield Town,0.0,out,Winter,2004,2004/2005
Tony Thorpe,31,Centre-Forward,QPR,0.0,out,Winter,2004,2004/2005
Júnior,28,Centre-Forward,Derby,0.0,out,Winter,2004,2004/2005
Jordan Bowery,22,Centre-Forward,Aston Villa,300000.0,in,Summer,2014,2014/2015
Richard Smallwood,23,Central Midfield,Middlesbrough,220000.0,in,Summer,2014,2014/2015
Febian Brandy,25,Right Winger,Sheff Utd,0.0,in,Summer,2014,2014/2015
Richard Wood,28,Centre-Back,Charlton,0.0,in,Summer,2014,2014/2015
Mat Sadler,29,Centre-Back,Crawley Town,0.0,in,Summer,2014,2014/2015
Scott Loach,26,Goalkeeper,Ipswich,0.0,in,Summer,2014,2014/2015
Matt Derbyshire,28,Centre-Forward,Nottm Forest,0.0,in,Summer,2014,2014/2015
Frazer Richardson,31,Right-Back,Middlesbrough,0.0,in,Summer,2014,2014/2015
Paul Green,31,Central Midfield,Leeds,0.0,in,Summer,2014,2014/2015
Ryan Hall,26,Left Midfield,MK Dons,0.0,in,Summer,2014,2014/2015
Kirk Broadfoot,29,Centre-Back,Blackpool,0.0,in,Summer,2014,2014/2015
Conor Newton,22,Central Midfield,Newcastle,0.0,in,Summer,2014,2014/2015
Anthony Wordsworth,25,Central Midfield,Ipswich,0.0,in,Summer,2014,2014/2015
Luciano Becchio,30,Centre-Forward,Norwich,0.0,in,Summer,2014,2014/2015
John Swift,19,Central Midfield,Chelsea U21,0.0,in,Summer,2014,2014/2015
Jonson Clarke-Harris,20,Centre-Forward,Oldham Athletic,0.0,in,Summer,2014,2014/2015
Paul Taylor,26,Centre-Forward,Ipswich,0.0,in,Summer,2014,2014/2015
Richard Wood,29,Centre-Back,Crawley Town,0.0,in,Summer,2014,2014/2015
Richard Brindley,22,defence,Colchester Utd.,0.0,in,Summer,2014,2014/2015
Tony Thompson,20,Goalkeeper,Southport,0.0,in,Summer,2014,2014/2015
Danny Rowe,19,Defensive Midfield,Wycombe,0.0,in,Summer,2014,2014/2015
Mitch Rose,20,Central Midfield,Crawley Town,0.0,in,Summer,2014,2014/2015
Kieran Agard,24,Centre-Forward,Bristol City,940000.0,out,Summer,2014,2014/2015
David Noble,32,Central Midfield,Oldham Athletic,0.0,out,Summer,2014,2014/2015
Kayode Odejayi,32,Centre-Forward,Tranmere Rovers,0.0,out,Summer,2014,2014/2015
David Worrall,24,Right Midfield,Southend United,0.0,out,Summer,2014,2014/2015
Claude Davis,35,Centre-Back,Unknown,0.0,out,Summer,2014,2014/2015
Danny Schofield,34,Left Midfield,Halifax Town,0.0,out,Summer,2014,2014/2015
Michael O'Connor,26,Central Midfield,Port Vale,0.0,out,Summer,2014,2014/2015
Scott Shearer,33,Goalkeeper,Crewe Alexandra,0.0,out,Summer,2014,2014/2015
Lionel Ainsworth,26,Right Midfield,Motherwell FC,0.0,out,Summer,2014,2014/2015
Danny Hylton,25,Centre-Forward,Oxford United,0.0,out,Summer,2014,2014/2015
Kári Árnason,32,Centre-Back,Malmö FF,0.0,out,Summer,2014,2014/2015
Michael Tidser,24,Defensive Midfield,Oldham Athletic,0.0,out,Summer,2014,2014/2015
Mat Sadler,29,Centre-Back,Crawley Town,0.0,out,Summer,2014,2014/2015
Nicky Walker,19,Attacking Midfield,Wycombe,0.0,out,Summer,2014,2014/2015
Febian Brandy,25,Right Winger,Crewe Alexandra,0.0,out,Summer,2014,2014/2015
Danny Rowe,18,Defensive Midfield,Wycombe,0.0,out,Summer,2014,2014/2015
Emiliano Martínez,22,Goalkeeper,Arsenal,0.0,out,Summer,2014,2014/2015
Nicky Adams,27,Right Midfield,Bury,0.0,out,Summer,2014,2014/2015
Wes Thomas,27,Centre-Forward,Birmingham,0.0,out,Summer,2014,2014/2015
Mark Bradley,27,Right-Back,Retired,0.0,out,Summer,2014,2014/2015
Adam Hammill,27,Right Winger,Huddersfield,0.0,out,Summer,2014,2014/2015
Jack Hunt,24,Right-Back,Crystal Palace,0.0,out,Summer,2014,2014/2015
