player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Danny Cadamarteri,24,Right Winger,Leeds,75000.0,in,Summer,2004,2004/2005
Phil Barnes,25,Goalkeeper,Blackpool,0.0,in,Summer,2004,2004/2005
Paul Thirlwell,25,Defensive Midfield,Sunderland,0.0,in,Summer,2004,2004/2005
Jon Harley,24,Left-Back,Fulham,0.0,in,Summer,2004,2004/2005
Andy Liddell,31,attack,Wigan,0.0,in,Summer,2004,2004/2005
Alan Quinn,25,Central Midfield,Sheff Wed,0.0,in,Summer,2004,2004/2005
Leigh Bromby,24,Right-Back,Sheff Wed,0.0,in,Summer,2004,2004/2005
Barry Hayles,32,Centre-Forward,Fulham,0.0,in,Summer,2004,2004/2005
Tommy Black,24,Right Midfield,Crystal Palace,0.0,in,Summer,2004,2004/2005
Derek Geary,24,Right-Back,Stockport,40000.0,in,Summer,2004,2004/2005
Billy Sharp,18,Centre-Forward,Sheff Utd U18,0.0,in,Summer,2004,2004/2005
Evan Horwood,18,Left-Back,Sheff Utd U18,0.0,in,Summer,2004,2004/2005
Jake Speight,18,Centre-Forward,Sheff Utd U18,0.0,in,Summer,2004,2004/2005
Danny Cullip,28,Centre-Back,Watford,0.0,in,Summer,2004,2004/2005
Billy Sharp,19,Centre-Forward,Rush. & Diamon.,0.0,in,Summer,2004,2004/2005
Paul Shaw,31,Centre-Forward,Rotherham,0.0,in,Summer,2004,2004/2005
Evan Horwood,19,Left-Back,Stockport,0.0,in,Summer,2004,2004/2005
Kevan Hurst,19,Right Midfield,Stockport,0.0,in,Summer,2004,2004/2005
Mark Rankine,34,Central Midfield,Tranmere Rovers,0.0,out,Summer,2004,2004/2005
Kristian Rogers,23,Goalkeeper,Northwich Vic,0.0,out,Summer,2004,2004/2005
Peter Ndlovu,31,Centre-Forward,Sundowns,0.0,out,Summer,2004,2004/2005
Wayne Allison,35,Centre-Forward,Chesterfield FC,0.0,out,Summer,2004,2004/2005
Sasa Ilic,31,Goalkeeper,Blackpool,0.0,out,Summer,2004,2004/2005
Steve Jagielka,26,Attacking Midfield,Accrington,0.0,out,Summer,2004,2004/2005
Andy Parkinson,25,Right Winger,Grimsby Town,0.0,out,Summer,2004,2004/2005
Mike Whitlow,36,Centre-Back,Notts County,0.0,out,Summer,2004,2004/2005
Robert Page,29,Centre-Back,Cardiff,0.0,out,Summer,2004,2004/2005
