player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
David Graham,26,Centre-Forward,Wigan,375000.0,in,Summer,2005,2005/2006
Frank Simek,20,Right-Back,Arsenal,0.0,in,Summer,2005,2005/2006
Barry Corr,20,Centre-Forward,Leeds,0.0,in,Summer,2005,2005/2006
Danny Reet,18,Centre-Forward,Sheff Utd,0.0,in,Summer,2005,2005/2006
Richie Partridge,24,Right Midfield,Liverpool,0.0,in,Summer,2005,2005/2006
Mo Ross,24,Right-Back,Rangers,0.0,in,Summer,2005,2005/2006
John Hills,27,Left-Back,Gillingham FC,0.0,in,Summer,2005,2005/2006
Drissa Diallo,32,Centre-Back,Ipswich,0.0,in,Summer,2005,2005/2006
Graham Coughlan,30,Centre-Back,Plymouth,0.0,in,Summer,2005,2005/2006
Paul Heckingbottom,27,Left-Back,Bradford,0.0,in,Summer,2005,2005/2006
Burton O'Brien,24,Central Midfield,Livingston FC,0.0,in,Summer,2005,2005/2006
Chris Eagles,19,Right Winger,Man Utd,0.0,in,Summer,2005,2005/2006
Leon Best,18,Centre-Forward,Southampton,0.0,in,Summer,2005,2005/2006
Ben Kirby,18,Goalkeeper,Sheff Wed U18,0.0,in,Summer,2005,2005/2006
Matty Thorpe,18,midfield,Sheff Wed U18,0.0,in,Summer,2005,2005/2006
David Graham,27,Centre-Forward,Huddersfield,0.0,in,Summer,2005,2005/2006
Craig Rocastle,24,Right Midfield,Yeovil Town,0.0,in,Summer,2005,2005/2006
Ross Greenwood,19,Centre-Back,Stockport,0.0,out,Summer,2005,2005/2006
Lewis McMahon,20,midfield,Notts County,0.0,out,Summer,2005,2005/2006
Luke Foster,19,Centre-Back,Lincoln City,0.0,out,Summer,2005,2005/2006
Mo Ross,24,Right-Back,Wolves,0.0,out,Summer,2005,2005/2006
Adam Proudlock,24,Centre-Forward,Ipswich,0.0,out,Summer,2005,2005/2006
James Quinn,30,Centre-Forward,Peterborough,0.0,out,Summer,2005,2005/2006
Zigor Aranalde,32,Left-Back,Carlisle United,0.0,out,Summer,2005,2005/2006
Matt Hamshaw,23,Right Midfield,Stockport,0.0,out,Summer,2005,2005/2006
Patrick Collins,20,Right-Back,Swindon Town,0.0,out,Summer,2005,2005/2006
Ben Kirby,18,Goalkeeper,Leek Town FC,0.0,out,Summer,2005,2005/2006
Rory McArdle,18,Centre-Back,Rochdale,0.0,out,Summer,2005,2005/2006
Paul Smith,29,Right Winger,Career break,0.0,out,Summer,2005,2005/2006
Joey O'Brien,19,Right-Back,Bolton U18,0.0,out,Summer,2005,2005/2006
Scott Carson,20,Goalkeeper,Liverpool,0.0,out,Summer,2005,2005/2006
Leon Best,19,Centre-Forward,Southampton,0.0,out,Summer,2005,2005/2006
Mikkel Bischoff,24,defence,Man City,0.0,out,Summer,2005,2005/2006
Adam Ogden,19,Goalkeeper,Worksop,0.0,out,Summer,2005,2005/2006
Yoann Folly,20,Defensive Midfield,Southampton,800000.0,in,Winter,2005,2005/2006
Marcus Tudgay,22,Centre-Forward,Derby,800000.0,in,Winter,2005,2005/2006
Deon Burton,29,Centre-Forward,Rotherham,160000.0,in,Winter,2005,2005/2006
Peter Gilbert,22,Left-Back,Leicester,0.0,in,Winter,2005,2005/2006
Daryl Murphy,22,Centre-Forward,Sunderland,0.0,in,Winter,2005,2005/2006
Gabriel Agbonlahor,19,Centre-Forward,Aston Villa,0.0,in,Winter,2005,2005/2006
Scott Carson,20,Goalkeeper,Liverpool,0.0,in,Winter,2005,2005/2006
Mikkel Bischoff,24,defence,Man City,0.0,in,Winter,2005,2005/2006
Nicky Weaver,26,Goalkeeper,Man City,0.0,in,Winter,2005,2005/2006
Tommy Spurr,18,Left-Back,Sheff Wed U18,0.0,in,Winter,2005,2005/2006
Patrick Collins,20,Right-Back,Swindon Town,0.0,in,Winter,2005,2005/2006
Danny Reet,18,Centre-Forward,Bury,0.0,in,Winter,2005,2005/2006
Rory McArdle,18,Centre-Back,Rochdale,0.0,in,Winter,2005,2005/2006
Ben Kirby,18,Goalkeeper,Leek Town FC,0.0,in,Winter,2005,2005/2006
Ben Kirby,18,Goalkeeper,Moor Green FC,0.0,in,Winter,2005,2005/2006
Graeme Lee,27,Centre-Back,Doncaster,75000.0,out,Winter,2005,2005/2006
Danny Reet,18,Centre-Forward,Mansfield Town,0.0,out,Winter,2005,2005/2006
Paul Heckingbottom,28,Left-Back,Barnsley FC,0.0,out,Winter,2005,2005/2006
Richard Evans,22,Left Winger,Shrewsbury,0.0,out,Winter,2005,2005/2006
Lee Peacock,29,Centre-Forward,Swindon Town,0.0,out,Winter,2005,2005/2006
David Graham,27,Centre-Forward,Huddersfield,0.0,out,Winter,2005,2005/2006
Ben Kirby,18,Goalkeeper,Moor Green FC,0.0,out,Winter,2005,2005/2006
Danny Reet,18,Centre-Forward,Bury,0.0,out,Winter,2005,2005/2006
Craig Rocastle,24,Right Midfield,Yeovil Town,0.0,out,Winter,2005,2005/2006
Andy Jeffery,20,Goalkeeper,Worksop,0.0,out,Winter,2005,2005/2006
Chris Eagles,20,Right Winger,Man Utd,0.0,out,Winter,2005,2005/2006
Daryl Murphy,22,Centre-Forward,Sunderland,0.0,out,Winter,2005,2005/2006
Gabriel Agbonlahor,19,Centre-Forward,Aston Villa,0.0,out,Winter,2005,2005/2006
Nicky Weaver,26,Goalkeeper,Man City,0.0,out,Winter,2005,2005/2006
Madjid Bougherra,23,Centre-Back,FC Gueugnon,440000.0,in,Summer,2006,2006/2007
Wade Small,22,Centre-Forward,MK Dons,400000.0,in,Summer,2006,2006/2007
Kenny Lunt,26,Central Midfield,Crewe Alexandra,0.0,in,Summer,2006,2006/2007
Brad Jones,24,Goalkeeper,Middlesbrough,0.0,in,Summer,2006,2006/2007
Lloyd Sam,21,Right Winger,Charlton,0.0,in,Summer,2006,2006/2007
Matthew Bowman,16,attack,Unknown,0.0,in,Summer,2006,2006/2007
Sean McAllister,18,Central Midfield,Sheff Wed U18,0.0,in,Summer,2006,2006/2007
Richard O'Donnell,17,Goalkeeper,Sheff Wed U18,0.0,in,Summer,2006,2006/2007
Rocky Lekaj,16,Left Winger,Sheff Wed U18,0.0,in,Summer,2006,2006/2007
Luke Boden,17,Left-Back,Sheff Wed U18,0.0,in,Summer,2006,2006/2007
David McClements,17,Right Midfield,Sheff Wed U18,0.0,in,Summer,2006,2006/2007
Graham Coughlan,32,Centre-Back,Burnley,0.0,in,Summer,2006,2006/2007
David Graham,28,Centre-Forward,Torquay,0.0,in,Summer,2006,2006/2007
Jon-Paul McGovern,25,Central Midfield,MK Dons,0.0,out,Summer,2006,2006/2007
Patrick Collins,21,Right-Back,Darlington,0.0,out,Summer,2006,2006/2007
Craig Rocastle,24,Right Midfield,Oldham Athletic,0.0,out,Summer,2006,2006/2007
David Lucas,28,Goalkeeper,Witton Albion,0.0,out,Summer,2006,2006/2007
Drissa Diallo,33,Centre-Back,MK Dons,0.0,out,Summer,2006,2006/2007
Ben Kirby,19,Goalkeeper,Boston Utd,0.0,out,Summer,2006,2006/2007
David Graham,27,Centre-Forward,Bradford,0.0,out,Summer,2006,2006/2007
Barry Corr,21,Centre-Forward,Bristol City,0.0,out,Summer,2006,2006/2007
Lloyd Sam,21,Right Winger,Charlton,0.0,out,Summer,2006,2006/2007
Jermaine Johnson,26,Right Winger,Bradford,750000.0,in,Winter,2006,2006/2007
Leon Clarke,21,Centre-Forward,Wolves,650000.0,in,Winter,2006,2006/2007
Iain Turner,23,Goalkeeper,Everton,0.0,in,Winter,2006,2006/2007
Steve Watson,32,Right-Back,West Brom,0.0,in,Winter,2006,2006/2007
Shwan Jalal,23,Goalkeeper,Woking,0.0,in,Winter,2006,2006/2007
Wayne Andrews,28,attack,Coventry,0.0,in,Winter,2006,2006/2007
Mark Crossley,37,Goalkeeper,Fulham,0.0,in,Winter,2006,2006/2007
Leon Clarke,22,Centre-Forward,Oldham Athletic,0.0,in,Winter,2006,2006/2007
Rory McArdle,19,Centre-Back,Rochdale,0.0,in,Winter,2006,2006/2007
Peter Gilbert,23,Left-Back,Doncaster,0.0,in,Winter,2006,2006/2007
Richard O'Donnell,18,Goalkeeper,York City,0.0,in,Winter,2006,2006/2007
David Graham,28,Centre-Forward,Bradford,0.0,in,Winter,2006,2006/2007
Drew Talbot,20,Right-Back,Scunthorpe Utd.,0.0,in,Winter,2006,2006/2007
Barry Corr,21,Centre-Forward,Bristol City,0.0,in,Winter,2006,2006/2007
Madjid Bougherra,24,Centre-Back,Charlton,3790000.0,out,Winter,2006,2006/2007
Drew Talbot,20,Right-Back,Luton,289000.0,out,Winter,2006,2006/2007
Rory McArdle,19,Centre-Back,Rochdale,150000.0,out,Winter,2006,2006/2007
Barry Corr,21,Centre-Forward,Swindon Town,0.0,out,Winter,2006,2006/2007
Leon Clarke,22,Centre-Forward,Oldham Athletic,0.0,out,Winter,2006,2006/2007
Matty Thorpe,20,midfield,Gainsborough,0.0,out,Winter,2006,2006/2007
Richard O'Donnell,18,Goalkeeper,York City,0.0,out,Winter,2006,2006/2007
Graham Coughlan,32,Centre-Back,Burnley,0.0,out,Winter,2006,2006/2007
David Graham,28,Centre-Forward,Torquay,0.0,out,Winter,2006,2006/2007
Drew Talbot,20,Right-Back,Scunthorpe Utd.,0.0,out,Winter,2006,2006/2007
Peter Gilbert,23,Left-Back,Doncaster,0.0,out,Winter,2006,2006/2007
Rory McArdle,19,Centre-Back,Rochdale,0.0,out,Winter,2006,2006/2007
Iain Turner,23,Goalkeeper,Everton,0.0,out,Winter,2006,2006/2007
Mark Crossley,37,Goalkeeper,Fulham,0.0,out,Winter,2006,2006/2007
Steve Watson,33,Right-Back,West Brom,0.0,out,Winter,2006,2006/2007
