player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Kamil Kosowski,27,Left Midfield,Wisla Kraków,500000.0,in,Summer,2005,2005/2006
Ricardo Fuller,25,Centre-Forward,Portsmouth,150000.0,in,Summer,2005,2005/2006
David McGoldrick,17,Centre-Forward,Notts County,0.0,in,Summer,2005,2005/2006
Djamel Belmadi,29,Right Midfield,Al-Wahda FC,0.0,in,Summer,2005,2005/2006
Tomasz Hajto,32,Centre-Back,1.FC Nuremberg,0.0,in,Summer,2005,2005/2006
Darren Powell,29,Centre-Back,Crystal Palace,0.0,in,Summer,2005,2005/2006
Dennis Wise,38,Central Midfield,Millwall,0.0,in,Summer,2005,2005/2006
Simon Gillett,19,Central Midfield,Southampton U18,0.0,in,Summer,2005,2005/2006
Kyle Critchell,18,Centre-Back,Southampton U18,0.0,in,Summer,2005,2005/2006
Theo Walcott,16,Right Winger,Southampton U18,0.0,in,Summer,2005,2005/2006
Nathan Dyer,17,Right Winger,Southampton U18,0.0,in,Summer,2005,2005/2006
Craig Richards,18,Centre-Back,Southampton U18,0.0,in,Summer,2005,2005/2006
Michael Poke,19,Goalkeeper,Oldham Athletic,0.0,in,Summer,2005,2005/2006
Dani Rodrigues,25,Left Winger,Bournemouth,0.0,in,Summer,2005,2005/2006
Dexter Blackstock,19,Centre-Forward,Plymouth,0.0,in,Summer,2005,2005/2006
Leon Best,19,Centre-Forward,Sheff Wed,0.0,in,Summer,2005,2005/2006
David McGoldrick,17,Centre-Forward,Notts County,0.0,in,Summer,2005,2005/2006
Simon Gillett,19,Central Midfield,Walsall,0.0,in,Summer,2005,2005/2006
Kenwyne Jones,20,Centre-Forward,Stoke City,0.0,in,Summer,2005,2005/2006
Alaeddine Yahia,23,Centre-Back,Saint-Étienne,0.0,in,Summer,2005,2005/2006
Jo Tessem,33,Central Midfield,Millwall,0.0,in,Summer,2005,2005/2006
Peter Crouch,24,Centre-Forward,Liverpool,10500000.0,out,Summer,2005,2005/2006
Anders Svensson,28,Defensive Midfield,Elfsborg,1650000.0,out,Summer,2005,2005/2006
Kevin Phillips,31,Centre-Forward,Aston Villa,1500000.0,out,Summer,2005,2005/2006
Mikael Nilsson,27,Right-Back,Panathinaikos,600000.0,out,Summer,2005,2005/2006
Jelle Van Damme,21,Centre-Back,Werder Bremen,325000.0,out,Summer,2005,2005/2006
Paul Telfer,33,Right-Back,Celtic,300000.0,out,Summer,2005,2005/2006
Jo Tessem,33,Central Midfield,FK Lyn,0.0,out,Summer,2005,2005/2006
Fabrice Fernandes,25,Left Winger,Bolton,0.0,out,Summer,2005,2005/2006
Jason Dodd,34,Right-Back,Brighton,0.0,out,Summer,2005,2005/2006
Olivier Bernard,25,Left-Back,Rangers,0.0,out,Summer,2005,2005/2006
Alaeddine Yahia,23,Centre-Back,Saint-Étienne,0.0,out,Summer,2005,2005/2006
Dexter Blackstock,19,Centre-Forward,Derby,0.0,out,Summer,2005,2005/2006
Michael Poke,19,Goalkeeper,Oldham Athletic,0.0,out,Summer,2005,2005/2006
Nathan Dyer,17,Right Winger,Burnley,0.0,out,Summer,2005,2005/2006
Michael Poke,19,Goalkeeper,Northampton,0.0,out,Summer,2005,2005/2006
Alan Blayney,23,Goalkeeper,Brighton,0.0,out,Summer,2005,2005/2006
Leon Best,18,Centre-Forward,Sheff Wed,0.0,out,Summer,2005,2005/2006
Andrew Surman,18,Central Midfield,Bournemouth,0.0,out,Summer,2005,2005/2006
Simon Gillett,19,Central Midfield,Walsall,0.0,out,Summer,2005,2005/2006
David McGoldrick,17,Centre-Forward,Notts County,0.0,out,Summer,2005,2005/2006
Andreas Jakobsson,32,Centre-Back,Helsingborg,0.0,out,Summer,2005,2005/2006
Jamie Redknapp,32,Central Midfield,Retired,0.0,out,Summer,2005,2005/2006
Darren Potter,21,Central Midfield,Liverpool,0.0,out,Summer,2005,2005/2006
Richard Chaplow,21,Central Midfield,West Brom,0.0,out,Summer,2005,2005/2006
Grzegorz Rasiak,26,Centre-Forward,Spurs,3000000.0,in,Winter,2005,2005/2006
Alexander Arnold Mezan,27,Right-Back,Feyenoord,150000.0,in,Winter,2005,2005/2006
Bartosz Bialkowski,18,Goalkeeper,Górnik Zabrze,50000.0,in,Winter,2005,2005/2006
Zak Jones,16,Goalkeeper,Blackburn,0.0,in,Winter,2005,2005/2006
Jim Brennan,28,Left Midfield,Norwich,0.0,in,Winter,2005,2005/2006
Jermaine Wright,30,Central Midfield,Leeds,0.0,in,Winter,2005,2005/2006
Marcelo Tejera,32,Central Midfield,Peñarol,0.0,in,Winter,2005,2005/2006
Darren Potter,21,Central Midfield,Liverpool,0.0,in,Winter,2005,2005/2006
Richard Chaplow,21,Central Midfield,West Brom,0.0,in,Winter,2005,2005/2006
Peter Madsen,27,Centre-Forward,1. FC Köln,0.0,in,Winter,2005,2005/2006
Kevin Miller,36,Goalkeeper,Without Club,0.0,in,Winter,2005,2005/2006
Andrew Surman,19,Central Midfield,Bournemouth,0.0,in,Winter,2005,2005/2006
Ricardo Fuller,26,Centre-Forward,Ipswich,0.0,in,Winter,2005,2005/2006
Alan Blayney,24,Goalkeeper,Brighton,0.0,in,Winter,2005,2005/2006
Nathan Dyer,18,Right Winger,Burnley,0.0,in,Winter,2005,2005/2006
Dexter Blackstock,19,Centre-Forward,Derby,0.0,in,Winter,2005,2005/2006
Michael Poke,20,Goalkeeper,Northampton,0.0,in,Winter,2005,2005/2006
Theo Walcott,16,Right Winger,Arsenal,10500000.0,out,Winter,2005,2005/2006
Nigel Quashie,27,Central Midfield,West Brom,1800000.0,out,Winter,2005,2005/2006
Antti Niemi,33,Goalkeeper,Fulham,1500000.0,out,Winter,2005,2005/2006
Yoann Folly,20,Defensive Midfield,Sheff Wed,800000.0,out,Winter,2005,2005/2006
