player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Billy Paynter,22,Centre-Forward,Hull City,300000.0,in,Summer,2006,2006/2007
Peter Clarke,24,Centre-Back,Blackpool,250000.0,in,Summer,2006,2006/2007
Alan McCormack,22,Defensive Midfield,Preston,100000.0,in,Summer,2006,2006/2007
Simon Francis,21,Right-Back,Sheff Utd,100000.0,in,Summer,2006,2006/2007
David Cowley,18,Central Midfield,West Ham Res.,0.0,in,Summer,2006,2006/2007
Gary Hooper,18,Centre-Forward,Grays Athletic FC,0.0,in,Summer,2006,2006/2007
Matt Harrold,22,Centre-Forward,Yeovil Town,0.0,in,Summer,2006,2006/2007
Steve Collis,25,Goalkeeper,Yeovil Town,0.0,in,Summer,2006,2006/2007
Michael Ricketts,27,Centre-Forward,Leeds,0.0,in,Summer,2006,2006/2007
Stevie Hammell,24,Left-Back,Motherwell FC,0.0,in,Summer,2006,2006/2007
Charles Ademeno,17,Centre-Forward,Southend U18,0.0,in,Summer,2006,2006/2007
Joel Ledgister,18,Centre-Forward,Southend U18,0.0,in,Summer,2006,2006/2007
Billy Paynter,22,Centre-Forward,Bradford,0.0,in,Summer,2006,2006/2007
Che Wilson,28,Left-Back,Rotherham,0.0,in,Summer,2006,2006/2007
Gary Hooper,19,Centre-Forward,Leyton Orient,0.0,in,Summer,2006,2006/2007
Jay Smith,24,Central Midfield,Oxford United,0.0,in,Summer,2006,2006/2007
Joel Ledgister,19,Centre-Forward,Lewes,0.0,in,Summer,2006,2006/2007
Joel Ledgister,19,Centre-Forward,GNFC,0.0,in,Summer,2006,2006/2007
James Lawson,18,attack,Grimsby Town,0.0,in,Summer,2006,2006/2007
Duncan Jupp,31,Right-Back,Gillingham FC,0.0,out,Summer,2006,2006/2007
Bart Griemink,34,Goalkeeper,Boston Utd,0.0,out,Summer,2006,2006/2007
Jay Smith,24,Central Midfield,Notts County,0.0,out,Summer,2006,2006/2007
Carl Pettefer,25,Right Midfield,Oxford United,0.0,out,Summer,2006,2006/2007
Shaun Goater,36,Centre-Forward,Bermuda Hogges,0.0,out,Summer,2006,2006/2007
Mark Bentley,28,Right Midfield,Gillingham FC,0.0,out,Summer,2006,2006/2007
Wayne Gray,25,Centre-Forward,Yeovil Town,0.0,out,Summer,2006,2006/2007
James Lawson,18,attack,Grimsby Town,0.0,out,Summer,2006,2006/2007
Joel Ledgister,18,Centre-Forward,Lewes,0.0,out,Summer,2006,2006/2007
Charles Ademeno,17,Centre-Forward,Bishop's St.,0.0,out,Summer,2006,2006/2007
Mitchell Cole,20,Left Midfield,Northampton,0.0,out,Summer,2006,2006/2007
Andy Edwards,34,defence,Aldershot,0.0,out,Summer,2006,2006/2007
David Cowley,19,Central Midfield,Without Club,0.0,out,Summer,2006,2006/2007
Richie Foran,26,Left Winger,Motherwell FC,300000.0,in,Winter,2006,2006/2007
Franck Moussa,17,Attacking Midfield,West Ham U18,0.0,in,Winter,2006,2006/2007
Lloyd Sam,22,Right Winger,Charlton,0.0,in,Winter,2006,2006/2007
Arnau Riera,25,Left Winger,Sunderland,0.0,in,Winter,2006,2006/2007
James Lawson,19,attack,Bournemouth,0.0,in,Winter,2006,2006/2007
Luke Guttridge,24,Attacking Midfield,Leyton Orient,0.0,in,Winter,2006,2006/2007
Che Wilson,28,Left-Back,Brentford,0.0,in,Winter,2006,2006/2007
Charles Ademeno,17,Centre-Forward,Bishop's St.,0.0,in,Winter,2006,2006/2007
Charles Ademeno,18,Centre-Forward,Cambridge Utd.,0.0,in,Winter,2006,2006/2007
James Lawson,19,attack,Dag & Red FC,0.0,in,Winter,2006,2006/2007
Mitchell Cole,21,Left Midfield,Northampton,0.0,in,Winter,2006,2006/2007
Mitchell Cole,21,Left Midfield,Stevenage,75000.0,out,Winter,2006,2006/2007
Luke Guttridge,24,Attacking Midfield,Leyton Orient,50000.0,out,Winter,2006,2006/2007
Michael Ricketts,28,Centre-Forward,Preston,0.0,out,Winter,2006,2006/2007
Joel Ledgister,19,Centre-Forward,GNFC,0.0,out,Winter,2006,2006/2007
Charles Ademeno,18,Centre-Forward,Cambridge Utd.,0.0,out,Winter,2006,2006/2007
Che Wilson,28,Left-Back,Rotherham,0.0,out,Winter,2006,2006/2007
Gary Hooper,19,Centre-Forward,Leyton Orient,0.0,out,Winter,2006,2006/2007
James Lawson,19,attack,Dag & Red FC,0.0,out,Winter,2006,2006/2007
Billy Paynter,22,Centre-Forward,Bradford,0.0,out,Winter,2006,2006/2007
Che Wilson,27,Left-Back,Brentford,0.0,out,Winter,2006,2006/2007
James Lawson,19,attack,Bournemouth,0.0,out,Winter,2006,2006/2007
Luke Guttridge,24,Attacking Midfield,Leyton Orient,0.0,out,Winter,2006,2006/2007
Arnau Riera,25,Left Winger,Sunderland,0.0,out,Winter,2006,2006/2007
Lloyd Sam,22,Right Winger,Charlton,0.0,out,Winter,2006,2006/2007
