player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Matthew Hazley,16,Left-Back,Glenavon,0.0,in,Summer,2004,2004/2005
Steve Simonsen,25,Goalkeeper,Everton,0.0,in,Summer,2004,2004/2005
David Brammer,29,Central Midfield,Crewe Alexandra,0.0,in,Summer,2004,2004/2005
Chris Barker,24,Left-Back,Cardiff,0.0,in,Summer,2004,2004/2005
Michael Duberry,29,Centre-Back,Leeds,0.0,in,Summer,2004,2004/2005
Ben Foster,21,Goalkeeper,Stafford Rangers,0.0,in,Summer,2004,2004/2005
Andy Wilkinson,20,Right-Back,Shrewsbury,0.0,in,Summer,2004,2004/2005
Anthony Pulis,20,Central Midfield,Torquay,0.0,in,Summer,2004,2004/2005
Ben Foster,22,Goalkeeper,Wrexham,0.0,in,Summer,2004,2004/2005
Jermaine Palmer,18,attack,Víkingur,0.0,in,Summer,2004,2004/2005
Brian Wilson,21,Right-Back,Cheltenham,75000.0,out,Summer,2004,2004/2005
Neil Cutler,27,Goalkeeper,Stockport,0.0,out,Summer,2004,2004/2005
Kris Commons,20,Attacking Midfield,Nottm Forest,0.0,out,Summer,2004,2004/2005
Chris Iwelumo,25,Centre-Forward,Alem. Aachen,0.0,out,Summer,2004,2004/2005
Ben Foster,21,Goalkeeper,Kidderminster,0.0,out,Summer,2004,2004/2005
Andy Wilkinson,19,Right-Back,Partick Thistle,0.0,out,Summer,2004,2004/2005
Gareth Owen,21,Centre-Back,Torquay,0.0,out,Summer,2004,2004/2005
Laurence Hall,20,attack,Retired,0.0,out,Summer,2004,2004/2005
Peter Hoekstra,31,Left Winger,Retired,0.0,out,Summer,2004,2004/2005
Sebastian Svärd,21,Defensive Midfield,Arsenal,0.0,out,Summer,2004,2004/2005
Michael Ricketts,26,Centre-Forward,Leeds,0.0,out,Summer,2004,2004/2005
Chris Barker,24,Left-Back,Cardiff,0.0,out,Summer,2004,2004/2005
Kevin Harper,29,Right Midfield,Portsmouth,75000.0,in,Winter,2004,2004/2005
Lewis Buxton,20,Right-Back,Portsmouth,0.0,in,Winter,2004,2004/2005
Tryggvi Gudmundsson,30,Centre-Forward,Örgryte,0.0,in,Winter,2004,2004/2005
Michael Duberry,29,Centre-Back,Leeds,0.0,in,Winter,2004,2004/2005
Thórdur Gudjónsson,31,Right Winger,VfL Bochum,0.0,in,Winter,2004,2004/2005
Anthony Pulis,20,Central Midfield,Portsmouth,0.0,in,Winter,2004,2004/2005
Chris Clark,20,Central Midfield,Portsmouth,0.0,in,Winter,2004,2004/2005
Kenwyne Jones,20,Centre-Forward,Southampton,0.0,in,Winter,2004,2004/2005
Michael Ricketts,26,Centre-Forward,Leeds,0.0,in,Winter,2004,2004/2005
Jason Jarrett,25,Central Midfield,Wigan,0.0,in,Winter,2004,2004/2005
Ben Foster,21,Goalkeeper,Kidderminster,0.0,in,Winter,2004,2004/2005
Andy Wilkinson,20,Right-Back,Partick Thistle,0.0,in,Winter,2004,2004/2005
Gareth Owen,22,Centre-Back,Torquay,0.0,in,Winter,2004,2004/2005
Ade Akinbiyi,30,Centre-Forward,Burnley,900000.0,out,Winter,2004,2004/2005
Tryggvi Gudmundsson,30,Centre-Forward,Hafnarfjördur,0.0,out,Winter,2004,2004/2005
Marcus Hall,28,Left-Back,Coventry,0.0,out,Winter,2004,2004/2005
Paul Williams,34,Centre-Back,Richmond,0.0,out,Winter,2004,2004/2005
Ben Foster,21,Goalkeeper,Wrexham,0.0,out,Winter,2004,2004/2005
Anthony Pulis,20,Central Midfield,Torquay,0.0,out,Winter,2004,2004/2005
Andy Wilkinson,20,Right-Back,Shrewsbury,0.0,out,Winter,2004,2004/2005
Ryan Hutchinson,21,Centre-Forward,Altrincham,0.0,out,Winter,2004,2004/2005
Michael Duberry,29,Centre-Back,Leeds,0.0,out,Winter,2004,2004/2005
Jason Jarrett,25,Central Midfield,Wigan,0.0,out,Winter,2004,2004/2005
Sambégou Bangoura,23,Centre-Forward,Standard Liège,1200000.0,in,Summer,2005,2005/2006
Carl Hoefkens,26,Right-Back,Germ. Beerschot,500000.0,in,Summer,2005,2005/2006
Peter Sweeney,20,Central Midfield,Millwall,325000.0,in,Summer,2005,2005/2006
Hannes Sigurdsson,22,Centre-Forward,Viking FK,0.0,in,Summer,2005,2005/2006
Mamady Sidibé,25,Centre-Forward,Gillingham FC,0.0,in,Summer,2005,2005/2006
Bruce Dyer,30,Centre-Forward,Watford,0.0,in,Summer,2005,2005/2006
Martin Kolar,21,Left-Back,RSC Anderlecht,0.0,in,Summer,2005,2005/2006
Paul Gallagher,20,Central Midfield,Blackburn,0.0,in,Summer,2005,2005/2006
Junior,23,Defensive Midfield,RSC Anderlecht,0.0,in,Summer,2005,2005/2006
Luke Chadwick,24,Attacking Midfield,West Ham,0.0,in,Summer,2005,2005/2006
Marlon Broomes,27,Centre-Back,Preston,0.0,in,Summer,2005,2005/2006
Robert Duggan,18,Goalkeeper,Stoke U18,0.0,in,Summer,2005,2005/2006
Robert Garrett,17,Central Midfield,Stoke U18,0.0,in,Summer,2005,2005/2006
Anthony Pulis,21,Central Midfield,Plymouth,0.0,in,Summer,2005,2005/2006
Ben Foster,22,Goalkeeper,Man Utd,2000000.0,out,Summer,2005,2005/2006
Clive Clarke,25,Left-Back,West Ham,550000.0,out,Summer,2005,2005/2006
Gifton Noel-Williams,25,Centre-Forward,Burnley,0.0,out,Summer,2005,2005/2006
Jermaine Palmer,18,attack,Grimsby Town,0.0,out,Summer,2005,2005/2006
Jay Denny,19,Central Midfield,Shrewsbury,0.0,out,Summer,2005,2005/2006
Francino Francis,18,defence,Watford,0.0,out,Summer,2005,2005/2006
Carl Asaba,32,Centre-Forward,Millwall,0.0,out,Summer,2005,2005/2006
Richard Johnson,31,midfield,Newcastle,0.0,out,Summer,2005,2005/2006
Wayne Thomas,26,Centre-Back,Burnley,0.0,out,Summer,2005,2005/2006
Carl Dickinson,19,Left-Back,Víkingur,0.0,out,Summer,2005,2005/2006
Lewis Neal,23,Central Midfield,Preston,0.0,out,Summer,2005,2005/2006
Chris Greenacre,27,Centre-Forward,Tranmere Rovers,0.0,out,Summer,2005,2005/2006
Keith Thomas,19,Centre-Forward,Víkingur,0.0,out,Summer,2005,2005/2006
Paul Gallagher,21,Central Midfield,Blackburn,0.0,out,Summer,2005,2005/2006
Josip Skoko,30,Central Midfield,Wigan,0.0,out,Summer,2005,2005/2006
Chris Clark,21,Central Midfield,Portsmouth,0.0,out,Summer,2005,2005/2006
Kenwyne Jones,20,Centre-Forward,Southampton,0.0,out,Summer,2005,2005/2006
Luke Chadwick,25,Attacking Midfield,West Ham,150000.0,in,Winter,2005,2005/2006
Peter Kopteff,26,Left Winger,Viking FK,0.0,in,Winter,2005,2005/2006
Josip Skoko,30,Central Midfield,Wigan,0.0,in,Winter,2005,2005/2006
Carl Dickinson,18,Left-Back,Stoke U18,0.0,in,Winter,2005,2005/2006
Bruce Dyer,30,Centre-Forward,Millwall,0.0,in,Winter,2005,2005/2006
John Halls,23,Defensive Midfield,Reading,375000.0,out,Winter,2005,2005/2006
Bruce Dyer,30,Centre-Forward,Sheff Utd,0.0,out,Winter,2005,2005/2006
Gareth Owen,23,Centre-Back,Oldham Athletic,0.0,out,Winter,2005,2005/2006
Thórdur Gudjónsson,32,Right Winger,ÍA Akranes,0.0,out,Winter,2005,2005/2006
Anthony Pulis,21,Central Midfield,Plymouth,0.0,out,Winter,2005,2005/2006
Bruce Dyer,30,Centre-Forward,Millwall,0.0,out,Winter,2005,2005/2006
Martin Kolar,22,Left-Back,RSC Anderlecht,0.0,out,Winter,2005,2005/2006
Luke Chadwick,25,Attacking Midfield,West Ham,0.0,out,Winter,2005,2005/2006
Ricardo Fuller,26,Centre-Forward,Southampton,1750000.0,in,Summer,2006,2006/2007
Danny Higginbotham,27,Centre-Back,Southampton,300000.0,in,Summer,2006,2006/2007
Vincent Péricard,23,Centre-Forward,Portsmouth,0.0,in,Summer,2006,2006/2007
Lee Hendrie,29,Central Midfield,Aston Villa,0.0,in,Summer,2006,2006/2007
Rory Delap,30,Central Midfield,Sunderland,0.0,in,Summer,2006,2006/2007
Salif Diao,29,Defensive Midfield,Liverpool,0.0,in,Summer,2006,2006/2007
Andy Griffin,27,Right-Back,Portsmouth,0.0,in,Summer,2006,2006/2007
Jeff Whitley,27,Defensive Midfield,Cardiff,0.0,in,Summer,2006,2006/2007
Adam Rooney,18,Centre-Forward,Stoke U18,0.0,in,Summer,2006,2006/2007
Ádám Vass,17,Defensive Midfield,Stoke U18,0.0,in,Summer,2006,2006/2007
Martin Paterson,19,Centre-Forward,Stoke U18,0.0,in,Summer,2006,2006/2007
Carl Dickinson,19,Left-Back,Víkingur,0.0,in,Summer,2006,2006/2007
Keith Thomas,19,Centre-Forward,Víkingur,0.0,in,Summer,2006,2006/2007
Robert Duggan,20,Goalkeeper,Stafford Rangers,0.0,in,Summer,2006,2006/2007
Adam Rooney,19,Centre-Forward,Yeovil Town,0.0,in,Summer,2006,2006/2007
Kevin Harper,31,Right Midfield,Walsall,0.0,in,Summer,2006,2006/2007
Peter Sweeney,22,Central Midfield,Yeovil Town,0.0,in,Summer,2006,2006/2007
Robert Garrett,18,Central Midfield,Wrexham,0.0,in,Summer,2006,2006/2007
Karl Henry,23,Defensive Midfield,Wolves,175000.0,out,Summer,2006,2006/2007
Peter Kopteff,27,Left Winger,FC Utrecht,100000.0,out,Summer,2006,2006/2007
Carl Dickinson,19,Left-Back,Blackpool,0.0,out,Summer,2006,2006/2007
Kevin Harper,30,Right Midfield,Carlisle United,0.0,out,Summer,2006,2006/2007
John Eustace,26,Defensive Midfield,Hereford Utd.,0.0,out,Summer,2006,2006/2007
Hannes Sigurdsson,23,Centre-Forward,Bröndby IF,0.0,out,Summer,2006,2006/2007
Ed de Goey,39,Goalkeeper,Retired,0.0,out,Summer,2006,2006/2007
Salif Diao,30,Defensive Midfield,Liverpool,0.0,out,Summer,2006,2006/2007
Junior,24,Defensive Midfield,RSC Anderlecht,0.0,out,Summer,2006,2006/2007
Lee Hendrie,30,Central Midfield,Aston Villa,0.0,out,Summer,2006,2006/2007
Jonathan Fortune,26,Centre-Back,Charlton,0.0,out,Summer,2006,2006/2007
Andy Griffin,28,Right-Back,Portsmouth,0.0,out,Summer,2006,2006/2007
Lee Martin,20,Attacking Midfield,Man Utd,0.0,out,Summer,2006,2006/2007
Jeff Whitley,27,Defensive Midfield,Cardiff,0.0,out,Summer,2006,2006/2007
Gerry Taggart,35,Centre-Back,Retired,0.0,out,Summer,2006,2006/2007
