player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Neill Collins,20,Centre-Back,Dumbarton,400000.0,in,Summer,2004,2004/2005
Dean Whitehead,22,Central Midfield,Oxford United,300000.0,in,Summer,2004,2004/2005
Liam Lawrence,22,Attacking Midfield,Mansfield Town,250000.0,in,Summer,2004,2004/2005
Danny Collins,24,Centre-Back,Chester City,210000.0,in,Summer,2004,2004/2005
Stephen Elliott,20,Centre-Forward,Man City Res.,190000.0,in,Summer,2004,2004/2005
Mark Lynch,22,Right-Back,Man Utd,75000.0,in,Summer,2004,2004/2005
Steven Caldwell,23,Centre-Back,Newcastle,0.0,in,Summer,2004,2004/2005
Michael Bridges,26,Centre-Forward,Bolton,0.0,in,Summer,2004,2004/2005
Darren Carter,20,Central Midfield,Birmingham,0.0,in,Summer,2004,2004/2005
Simon Johnson,21,Centre-Forward,Leeds,0.0,in,Summer,2004,2004/2005
Ben Alnwick,17,Goalkeeper,Sunderland U18,0.0,in,Summer,2004,2004/2005
Daniel Smith,17,Left-Back,Sunderland U18,0.0,in,Summer,2004,2004/2005
Nicolás Medina,22,Defensive Midfield,CD Leganés,0.0,in,Summer,2004,2004/2005
Jonjo Dickman,22,Right Midfield,York City,0.0,in,Summer,2004,2004/2005
Darren Byfield,27,Centre-Forward,Gillingham FC,0.0,out,Summer,2004,2004/2005
Thomas Butler,23,Right Midfield,Dunfermline A.,0.0,out,Summer,2004,2004/2005
Tommy Smith,24,Centre-Forward,Derby,0.0,out,Summer,2004,2004/2005
Euan McLean,18,Goalkeeper,Dundee United,0.0,out,Summer,2004,2004/2005
Darren Williams,27,Right-Back,Cardiff,0.0,out,Summer,2004,2004/2005
Paul Thirlwell,25,Defensive Midfield,Sheff Utd,0.0,out,Summer,2004,2004/2005
Michael Reddy,24,Centre-Forward,Grimsby Town,0.0,out,Summer,2004,2004/2005
Jason McAteer,33,Right Midfield,Tranmere Rovers,0.0,out,Summer,2004,2004/2005
Joachim Björklund,33,Centre-Back,Wolves,0.0,out,Summer,2004,2004/2005
Simon Ramsden,22,Centre-Back,Grimsby Town,0.0,out,Summer,2004,2004/2005
Patrick Collins,19,Right-Back,Sheff Wed,0.0,out,Summer,2004,2004/2005
Chris Scott,19,Right-Back,Queen o. t. S.,0.0,out,Summer,2004,2004/2005
Mark Rossiter,21,Right-Back,Retired,0.0,out,Summer,2004,2004/2005
Simon Johnson,21,Centre-Forward,Leeds,0.0,out,Summer,2004,2004/2005
Colin Cooper,37,Left-Back,Middlesbrough,0.0,out,Summer,2004,2004/2005
Andy Welsh,21,Left Midfield,Stockport,20000.0,in,Winter,2004,2004/2005
John Oster,25,Central Midfield,Leeds,0.0,in,Winter,2004,2004/2005
Michael Ingham,24,Goalkeeper,Doncaster,0.0,in,Winter,2004,2004/2005
Neil Teggart,20,Centre-Forward,Scunthorpe Utd.,0.0,in,Winter,2004,2004/2005
Nicolás Medina,22,Defensive Midfield,Real Murcia,0.0,out,Winter,2004,2004/2005
Richie Ryan,20,Defensive Midfield,Scunthorpe Utd.,0.0,out,Winter,2004,2004/2005
John Oster,26,Central Midfield,Burnley,0.0,out,Winter,2004,2004/2005
Ben Clark,21,Centre-Back,Hartlepool,0.0,out,Winter,2004,2004/2005
Michael Ingham,24,Goalkeeper,Doncaster,0.0,out,Winter,2004,2004/2005
John Oster,25,Central Midfield,Leeds,0.0,out,Winter,2004,2004/2005
Terry Cooke,28,Right Midfield,Colorado,0.0,out,Winter,2004,2004/2005
Darren Carter,20,Central Midfield,Birmingham,0.0,out,Winter,2004,2004/2005
David Connolly,29,attack,Wigan,2300000.0,in,Summer,2006,2006/2007
Tobias Hysén,24,Centre-Forward,Djurgården,2100000.0,in,Summer,2006,2006/2007
Stanislav Varga,33,Centre-Back,Celtic,1650000.0,in,Summer,2006,2006/2007
Ross Wallace,21,Right Midfield,Celtic,1300000.0,in,Summer,2006,2006/2007
Graham Kavanagh,32,Central Midfield,Wigan,750000.0,in,Summer,2006,2006/2007
William Mocquet,23,attack,AC Le Havre,750000.0,in,Summer,2006,2006/2007
Clive Clarke,26,Left-Back,West Ham,650000.0,in,Summer,2006,2006/2007
Dwight Yorke,34,Centre-Forward,Sydney FC,300000.0,in,Summer,2006,2006/2007
Liam Miller,25,Central Midfield,Man Utd,0.0,in,Summer,2006,2006/2007
Arnau Riera,24,Left Winger,Barcelona B,0.0,in,Summer,2006,2006/2007
Robbie Elliott,32,Left-Back,Newcastle,0.0,in,Summer,2006,2006/2007
Darren Ward,32,Goalkeeper,Norwich,0.0,in,Summer,2006,2006/2007
Kenny Cunningham,35,Centre-Back,Birmingham,0.0,in,Summer,2006,2006/2007
Lewin Nyatanga,18,Centre-Back,Derby,0.0,in,Summer,2006,2006/2007
Trevor Carson,18,Goalkeeper,Sunderland U18,0.0,in,Summer,2006,2006/2007
Kevin Smith,20,Centre-Forward,Dundee FC,0.0,in,Summer,2006,2006/2007
William Mocquet,24,attack,Bury,0.0,in,Summer,2006,2006/2007
Julio Arca,25,Central Midfield,Middlesbrough,2400000.0,out,Summer,2006,2006/2007
George McCartney,25,Left-Back,West Ham,1630000.0,out,Summer,2006,2006/2007
Kelvin Davis,29,Goalkeeper,Southampton,1130000.0,out,Summer,2006,2006/2007
Kevin Kyle,25,Centre-Forward,Coventry,900000.0,out,Summer,2006,2006/2007
Neill Collins,22,Centre-Back,Wolves,225000.0,out,Summer,2006,2006/2007
Daniel Smith,19,Left-Back,Aberdeen FC,0.0,out,Summer,2006,2006/2007
Christian Bassila,28,Centre-Back,AE Larisa,0.0,out,Summer,2006,2006/2007
Martin Woods,20,Central Midfield,Rotherham,0.0,out,Summer,2006,2006/2007
Gary Breen,32,Centre-Back,Wolves,0.0,out,Summer,2006,2006/2007
