player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Jan Aage Fjörtoft,26,Centre-Forward,Rapid Vienna,700000.0,in,Summer,1993,1993/1994
Adrian Richard Whitbread,21,Centre-Back,Leyton Orient,623000.0,in,Summer,1993,1993/1994
Andy Mutch,29,attack,Wolves,310000.0,in,Summer,1993,1993/1994
Ty Gooden,20,midfield,Wycombe,0.0,in,Summer,1993,1993/1994
Terry Fenwick,33,Centre-Back,Spurs,0.0,in,Summer,1993,1993/1994
Luc Nijholt,31,Centre-Back,Motherwell FC,0.0,in,Summer,1993,1993/1994
Brian Marwood,33,Attacking Midfield,Barnet,0.0,out,Summer,1993,1993/1994
David Mitchell,31,Centre-Forward,Altay SK,0.0,out,Summer,1993,1993/1994
Glenn Hoddle,35,Attacking Midfield,Chelsea,0.0,out,Summer,1993,1993/1994
Colin Calderwood,28,Centre-Back,Spurs,0.0,out,Summer,1993,1993/1994
Shaun Close,26,Centre-Forward,Barnet,0.0,out,Summer,1993,1993/1994
Paul Heald,25,Goalkeeper,Leyton Orient,0.0,out,Summer,1993,1993/1994
Brian Kilcline,31,Centre-Back,Newcastle,113000.0,in,Winter,1993,1993/1994
Paul Heald,25,Goalkeeper,Leyton Orient,0.0,in,Winter,1993,1993/1994
Craig Maskell,25,Centre-Forward,Southampton,350000.0,out,Winter,1993,1993/1994
Micky Hazard,33,Central Midfield,Spurs,55000.0,out,Winter,1993,1993/1994
