player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Teddy Sheringham,26,Centre-Forward,Nottm Forest,3150000.0,in,Summer,1992,1992/1993
Darren Anderton,20,Right Midfield,Portsmouth,2700000.0,in,Summer,1992,1992/1993
Jason Cundy,22,Centre-Back,Chelsea,875000.0,in,Summer,1992,1992/1993
Neil Ruddock,24,Centre-Back,Southampton,850000.0,in,Summer,1992,1992/1993
Dean Austin,22,Right-Back,Southend United,0.0,in,Summer,1992,1992/1993
Sol Campbell,17,Centre-Back,Spurs U18,0.0,in,Summer,1992,1992/1993
Stephen Robinson,17,Attacking Midfield,Spurs U18,0.0,in,Summer,1992,1992/1993
Kevin Watson,18,Central Midfield,Spurs U18,0.0,in,Summer,1992,1992/1993
Danny Hill,17,midfield,Spurs U18,0.0,in,Summer,1992,1992/1993
Kevin Dearden,23,Goalkeeper,Portsmouth,0.0,in,Summer,1992,1992/1993
Lee Hodges,19,Left Midfield,Plymouth,0.0,in,Summer,1992,1992/1993
Peter Beadle,21,attack,Bournemouth,0.0,in,Summer,1992,1992/1993
Andy Gray,29,Central Midfield,Swindon Town,0.0,in,Summer,1992,1992/1993
Dave Tuttle,21,defence,Peterborough,0.0,in,Summer,1992,1992/1993
Ian Hendon,21,Centre-Back,Barnsley FC,0.0,in,Summer,1992,1992/1993
Paul Gascoigne,25,Attacking Midfield,Lazio,7400000.0,out,Summer,1992,1992/1993
Paul Stewart,27,Defensive Midfield,Liverpool,2750000.0,out,Summer,1992,1992/1993
Paul Walsh,29,Centre-Forward,Portsmouth,450000.0,out,Summer,1992,1992/1993
Gary Lineker,31,Centre-Forward,Nagoya Grampus,0.0,out,Summer,1992,1992/1993
Mark Robson,23,midfield,West Ham,0.0,out,Summer,1992,1992/1993
David McDonald,21,defence,Bradford,0.0,out,Summer,1992,1992/1993
Ian Gilzean,22,Centre-Forward,Doncaster,0.0,out,Summer,1992,1992/1993
Kevin Dearden,22,Goalkeeper,Portsmouth,0.0,out,Summer,1992,1992/1993
David McDonald,22,defence,Bradford,0.0,in,Winter,1992,1992/1993
Lee Hodges,19,Left Midfield,Plymouth,0.0,out,Winter,1992,1992/1993
