player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
James Chambers,23,Right-Back,West Brom,375000.0,in,Summer,2004,2004/2005
Brynjar Gunnarsson,28,Defensive Midfield,Nottm Forest,0.0,in,Summer,2004,2004/2005
Andy Ferrell,20,Left Midfield,Newcastle,0.0,in,Summer,2004,2004/2005
Al Bangura,16,Central Midfield,Freetown United,0.0,in,Summer,2004,2004/2005
Jay DeMerit,24,Centre-Back,Northwood FC,0.0,in,Summer,2004,2004/2005
Jermaine Darlington,30,Right-Back,MK Dons,0.0,in,Summer,2004,2004/2005
Dominic Blizzard,18,Central Midfield,Watford U18,0.0,in,Summer,2004,2004/2005
Jack Smith,20,Right-Back,Watford U23,0.0,in,Summer,2004,2004/2005
Jamie Hand,21,Central Midfield,Oxford United,0.0,in,Summer,2004,2004/2005
Danny Webber,23,Centre-Forward,Sheff Utd,0.0,in,Summer,2004,2004/2005
Lee Cook,21,Left Winger,QPR,175000.0,out,Summer,2004,2004/2005
Jerel Ifil,22,Centre-Back,Swindon Town,100000.0,out,Summer,2004,2004/2005
Paolo Vernazza,24,Central Midfield,Rotherham,0.0,out,Summer,2004,2004/2005
Scott Chalmers-Stevens,18,Goalkeeper,Rush. & Diamon.,0.0,out,Summer,2004,2004/2005
Gauthier Diafutua,18,Centre-Forward,AS Cherbourg,0.0,out,Summer,2004,2004/2005
Sam Swonnel,21,Central Midfield,Cambridge City,0.0,out,Summer,2004,2004/2005
Micah Hyde,29,Central Midfield,Burnley,0.0,out,Summer,2004,2004/2005
Scott Fitzgerald,24,Centre-Forward,Swansea,0.0,out,Summer,2004,2004/2005
Jamie Hand,20,Central Midfield,Oxford United,0.0,out,Summer,2004,2004/2005
Chris Eagles,19,Right Winger,Man Utd,0.0,out,Summer,2004,2004/2005
Danny Cullip,28,Centre-Back,Sheff Utd,0.0,out,Summer,2004,2004/2005
Omari Coleman,23,Centre-Forward,Dulwich Hamlet,0.0,in,Winter,2004,2004/2005
Johnnie Jackson,22,Central Midfield,Spurs,0.0,in,Winter,2004,2004/2005
Chris Eagles,19,Right Winger,Man Utd,0.0,in,Winter,2004,2004/2005
Paul Jones,37,Goalkeeper,Wolves,0.0,in,Winter,2004,2004/2005
