player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Kevin Phillips,33,Centre-Forward,Aston Villa,1050000.0,in,Summer,2006,2006/2007
John Hartson,31,Centre-Forward,Celtic,750000.0,in,Summer,2006,2006/2007
Paul McShane,20,Centre-Back,Man Utd Res.,500000.0,in,Summer,2006,2006/2007
Luke Steele,21,Centre-Forward,Man Utd,250000.0,in,Summer,2006,2006/2007
Chris Perry,33,Centre-Back,Charlton,0.0,in,Summer,2006,2006/2007
Pascal Zuberbühler,35,Goalkeeper,FC Basel,0.0,in,Summer,2006,2006/2007
Luke Daniels,18,Goalkeeper,West Brom U18,0.0,in,Summer,2006,2006/2007
Luke Steele,22,Centre-Forward,Coventry,0.0,in,Summer,2006,2006/2007
Junichi Inamoto,26,Defensive Midfield,Galatasaray,300000.0,out,Summer,2006,2006/2007
Andy Johnson,32,Attacking Midfield,Leicester,0.0,out,Summer,2006,2006/2007
Nwankwo Kanu,29,Centre-Forward,Portsmouth,0.0,out,Summer,2006,2006/2007
Kevin Campbell,36,Centre-Forward,Cardiff,0.0,out,Summer,2006,2006/2007
Tomasz Kuszczak,24,Goalkeeper,Man Utd,0.0,out,Summer,2006,2006/2007
Jan Kozak,26,Attacking Midfield,Artmedia Brat.,0.0,out,Summer,2006,2006/2007
Sam Sodje,27,Centre-Back,Reading,0.0,out,Summer,2006,2006/2007
Sherjill MacDonald,22,Centre-Forward,AGOVV,300000.0,in,Winter,2006,2006/2007
Robert Koren,26,Attacking Midfield,Lillestrøm,0.0,in,Winter,2006,2006/2007
Dean Kiely,36,Goalkeeper,Portsmouth,0.0,in,Winter,2006,2006/2007
Sam Sodje,27,Centre-Back,Reading,0.0,in,Winter,2006,2006/2007
Rob Davies,19,Central Midfield,Kidderminster,0.0,in,Winter,2006,2006/2007
Stuart Nicholson,19,Centre-Forward,Bristol Rovers,0.0,in,Winter,2006,2006/2007
Steve Watson,33,Right-Back,Sheff Wed,0.0,in,Winter,2006,2006/2007
Ronnie Wallwork,29,Central Midfield,Barnsley FC,0.0,in,Winter,2006,2006/2007
Stuart Nicholson,20,Centre-Forward,Bristol Rovers,0.0,in,Winter,2006,2006/2007
Nigel Quashie,28,Central Midfield,West Ham,2250000.0,out,Winter,2006,2006/2007
Pascal Zuberbühler,36,Goalkeeper,Xamax,0.0,out,Winter,2006,2006/2007
Russell Hoult,34,Goalkeeper,Stoke City,0.0,out,Winter,2006,2006/2007
Ronnie Wallwork,29,Central Midfield,Barnsley FC,0.0,out,Winter,2006,2006/2007
Luke Steele,22,Centre-Forward,Coventry,0.0,out,Winter,2006,2006/2007
Stuart Nicholson,19,Centre-Forward,Bristol Rovers,0.0,out,Winter,2006,2006/2007
Rob Davies,19,Central Midfield,Kidderminster,0.0,out,Winter,2006,2006/2007
Stuart Nicholson,19,Centre-Forward,Bristol Rovers,0.0,out,Winter,2006,2006/2007
Steve Watson,32,Right-Back,Sheff Wed,0.0,out,Winter,2006,2006/2007
Thomas Gaardsöe,27,Centre-Back,Career break,0.0,out,Winter,2006,2006/2007
Chris Brunt,22,Central Midfield,Sheff Wed,3750000.0,in,Summer,2007,2007/2008
Leon Barnett,21,Centre-Back,Luton,3750000.0,in,Summer,2007,2007/2008
Roman Bednar,24,Centre-Forward,Heart of Midl.,2950000.0,in,Summer,2007,2007/2008
James Morrison,21,Central Midfield,Middlesbrough,2250000.0,in,Summer,2007,2007/2008
Craig Beattie,23,Centre-Forward,Celtic,1880000.0,in,Summer,2007,2007/2008
Carl Hoefkens,28,Right-Back,Stoke City,1500000.0,in,Summer,2007,2007/2008
Pelé,29,defence,Southampton,1500000.0,in,Summer,2007,2007/2008
Ishmael Miller,20,Centre-Forward,Man City,1500000.0,in,Summer,2007,2007/2008
Bartosz Slusarski,25,Centre-Forward,Grodzisk,1000000.0,in,Summer,2007,2007/2008
Filipe Teixeira,26,Right Winger,Coimbra,900000.0,in,Summer,2007,2007/2008
Tininho,26,Left-Back,Beira-Mar,350000.0,in,Summer,2007,2007/2008
Shelton Martis,24,Centre-Back,Hibernian FC,75000.0,in,Summer,2007,2007/2008
Bostjan Cesar,25,Centre-Back,Marseille,0.0,in,Summer,2007,2007/2008
Lee Baker,18,Left-Back,West Brom U18,0.0,in,Summer,2007,2007/2008
Curtis Davies,23,Centre-Back,Aston Villa,0.0,in,Summer,2007,2007/2008
Tomasz Kuszczak,25,Goalkeeper,Man Utd,0.0,in,Summer,2007,2007/2008
Craig Beattie,24,Centre-Forward,Preston,0.0,in,Summer,2007,2007/2008
Luke Daniels,20,Goalkeeper,Motherwell FC,0.0,in,Summer,2007,2007/2008
Bartosz Slusarski,26,Centre-Forward,Sheff Wed,0.0,in,Summer,2007,2007/2008
Diomansy Kamara,26,Right Winger,Fulham,9000000.0,out,Summer,2007,2007/2008
Jason Koumas,27,Attacking Midfield,Wigan,6900000.0,out,Summer,2007,2007/2008
Nathan Ellington,26,Centre-Forward,Watford,4880000.0,out,Summer,2007,2007/2008
Tomasz Kuszczak,25,Goalkeeper,Man Utd,4300000.0,out,Summer,2007,2007/2008
Paul McShane,21,Centre-Back,Sunderland,3750000.0,out,Summer,2007,2007/2008
Darren Carter,23,Central Midfield,Preston,1880000.0,out,Summer,2007,2007/2008
Steve Watson,33,Right-Back,Sheff Wed,0.0,out,Summer,2007,2007/2008
Chris Perry,34,Centre-Back,Luton,0.0,out,Summer,2007,2007/2008
Rob Davies,20,Central Midfield,Barakaldo CF,0.0,out,Summer,2007,2007/2008
Stuart Nicholson,20,Centre-Forward,Shrewsbury,0.0,out,Summer,2007,2007/2008
John Hartson,32,Centre-Forward,Norwich,0.0,out,Summer,2007,2007/2008
Ronnie Wallwork,29,Central Midfield,Huddersfield,0.0,out,Summer,2007,2007/2008
Curtis Davies,22,Centre-Back,Aston Villa,0.0,out,Summer,2007,2007/2008
Bostjan Cesar,25,Centre-Back,Marseille,0.0,out,Summer,2007,2007/2008
Do-heon Kim,25,Central Midfield,Seongnam Ilhwa,825000.0,in,Winter,2007,2007/2008
Michal Danek,24,Goalkeeper,Viktoria Plzen,0.0,in,Winter,2007,2007/2008
Luke Moore,22,Centre-Forward,Aston Villa,0.0,in,Winter,2007,2007/2008
Shelton Martis,25,Centre-Back,Scunthorpe Utd.,0.0,in,Winter,2007,2007/2008
Tininho,27,Left-Back,Barnsley FC,0.0,in,Winter,2007,2007/2008
Stuart Nicholson,20,Centre-Forward,Shrewsbury,0.0,in,Winter,2007,2007/2008
Sherjill MacDonald,23,Centre-Forward,Hereford Utd.,0.0,in,Winter,2007,2007/2008
Bartosz Slusarski,26,Centre-Forward,Blackpool,0.0,in,Winter,2007,2007/2008
Ronnie Wallwork,30,Central Midfield,Huddersfield,0.0,in,Winter,2007,2007/2008
Neil Clement,29,Centre-Back,Hull City,0.0,in,Winter,2007,2007/2008
Stuart Nicholson,21,Centre-Forward,Wrexham,0.0,in,Winter,2007,2007/2008
John Hartson,32,Centre-Forward,Norwich,0.0,in,Winter,2007,2007/2008
Richard Chaplow,22,Central Midfield,Preston,1200000.0,out,Winter,2007,2007/2008
Luke Steele,23,Centre-Forward,Barnsley FC,350000.0,out,Winter,2007,2007/2008
Ronnie Wallwork,30,Central Midfield,Sheff Wed,0.0,out,Winter,2007,2007/2008
Shelton Martis,25,Centre-Back,Scunthorpe Utd.,0.0,out,Winter,2007,2007/2008
Bartosz Slusarski,26,Centre-Forward,Sheff Wed,0.0,out,Winter,2007,2007/2008
Tininho,27,Left-Back,Barnsley FC,0.0,out,Winter,2007,2007/2008
Stuart Nicholson,20,Centre-Forward,Wrexham,0.0,out,Winter,2007,2007/2008
Craig Beattie,24,Centre-Forward,Preston,0.0,out,Winter,2007,2007/2008
Luke Daniels,20,Goalkeeper,Motherwell FC,0.0,out,Winter,2007,2007/2008
Neil Clement,29,Centre-Back,Hull City,0.0,out,Winter,2007,2007/2008
Bartosz Slusarski,25,Centre-Forward,Blackpool,0.0,out,Winter,2007,2007/2008
Sherjill MacDonald,23,Centre-Forward,Hereford Utd.,0.0,out,Winter,2007,2007/2008
John Hartson,32,Centre-Forward,Retired,0.0,out,Winter,2007,2007/2008
Gonzalo Jara,23,Centre-Back,Colo Colo,2450000.0,in,Summer,2009,2009/2010
Simon Cox,22,Centre-Forward,Swindon Town,2250000.0,in,Summer,2009,2009/2010
Joe Mattock,19,Left-Back,Leicester,1200000.0,in,Summer,2009,2009/2010
Youssouf Mulumbu,22,Defensive Midfield,Paris SG,200000.0,in,Summer,2009,2009/2010
Jerome Thomas,26,Left Winger,Portsmouth,0.0,in,Summer,2009,2009/2010
Shaun Cummings,20,Right-Back,Chelsea Res.,0.0,in,Summer,2009,2009/2010
Reuben Reid,21,Centre-Forward,Rotherham,0.0,in,Summer,2009,2009/2010
Chris Wood,17,Centre-Forward,West Brom U18,0.0,in,Summer,2009,2009/2010
Filipe Teixeira,29,Right Winger,Barnsley FC,0.0,in,Summer,2009,2009/2010
Luke Daniels,22,Goalkeeper,Tranmere Rovers,0.0,in,Summer,2009,2009/2010
Reuben Reid,21,Centre-Forward,Peterborough,0.0,in,Summer,2009,2009/2010
Leon Barnett,24,Centre-Back,Coventry,0.0,in,Summer,2009,2009/2010
Sherjill MacDonald,24,Centre-Forward,KSV Roeselare,0.0,in,Summer,2009,2009/2010
Craig Beattie,25,Centre-Forward,Swansea,2100000.0,out,Summer,2009,2009/2010
Do-heon Kim,26,Central Midfield,Suwon Bluewings,420000.0,out,Summer,2009,2009/2010
Carl Hoefkens,30,Right-Back,Club Brugge,0.0,out,Summer,2009,2009/2010
Jared Hodgkiss,22,Right-Back,Forest Green,0.0,out,Summer,2009,2009/2010
Jonathan Greening,30,Central Midfield,Fulham,0.0,out,Summer,2009,2009/2010
Paul Robinson,30,Centre-Back,Bolton,0.0,out,Summer,2009,2009/2010
Luke Daniels,21,Goalkeeper,Tranmere Rovers,0.0,out,Summer,2009,2009/2010
Sherjill MacDonald,24,Centre-Forward,Germ. Beerschot,0.0,out,Summer,2009,2009/2010
Borja Valero,24,Central Midfield,RCD Mallorca,0.0,out,Summer,2009,2009/2010
Pelé,31,defence,Without Club,0.0,out,Summer,2009,2009/2010
Ryan Donk,23,Centre-Back,AZ Alkmaar,0.0,out,Summer,2009,2009/2010
Shaun Cummings,20,Right-Back,Chelsea Res.,0.0,out,Summer,2009,2009/2010
Youssouf Mulumbu,22,Defensive Midfield,Paris SG,0.0,out,Summer,2009,2009/2010
Juan Carlos Menseguez,25,Right Winger,San Lorenzo,0.0,out,Summer,2009,2009/2010
Marc-Antoine Fortuné,27,Centre-Forward,AS Nancy,0.0,out,Summer,2009,2009/2010
Steven Reid,29,Right-Back,Blackburn,0.0,out,Summer,2009,2009/2010
Gabriel Tamas,26,Centre-Back,AJ Auxerre,1000000.0,in,Winter,2009,2009/2010
Marcus Haber,21,Centre-Forward,Vancouver,125000.0,in,Winter,2009,2009/2010
Giles Barnes,21,Centre-Forward,Derby,0.0,in,Winter,2009,2009/2010
Andwelé Slory,27,Right Winger,Feyenoord,0.0,in,Winter,2009,2009/2010
Frank Nouble,18,Centre-Forward,West Ham,0.0,in,Winter,2009,2009/2010
Steven Reid,28,Right-Back,Blackburn,0.0,in,Winter,2009,2009/2010
Ben Watson,24,Central Midfield,Wigan,0.0,in,Winter,2009,2009/2010
Marcus Haber,21,Centre-Forward,Exeter City,0.0,in,Winter,2009,2009/2010
Paul Robinson,30,Centre-Back,Bolton,0.0,in,Winter,2009,2009/2010
Paul Robinson,31,Centre-Back,Bolton,1200000.0,out,Winter,2009,2009/2010
Shelton Martis,27,Centre-Back,Doncaster,1090000.0,out,Winter,2009,2009/2010
Marcus Haber,21,Centre-Forward,Vancouver,0.0,out,Winter,2009,2009/2010
Marcus Haber,21,Centre-Forward,Exeter City,0.0,out,Winter,2009,2009/2010
Leon Barnett,23,Centre-Back,Coventry,0.0,out,Winter,2009,2009/2010
Filipe Teixeira,29,Right Winger,Barnsley FC,0.0,out,Winter,2009,2009/2010
Reuben Reid,21,Centre-Forward,Peterborough,0.0,out,Winter,2009,2009/2010
Neil Clement,31,Centre-Back,Retired,0.0,out,Winter,2009,2009/2010
Frank Nouble,18,Centre-Forward,West Ham,0.0,out,Winter,2009,2009/2010
Ben Watson,24,Central Midfield,Wigan,0.0,out,Winter,2009,2009/2010
Sam Johnstone,25,Goalkeeper,Man Utd,7350000.0,in,Summer,2018,2018/2019
Kyle Bartley,27,Centre-Back,Swansea,4500000.0,in,Summer,2018,2018/2019
Dwight Gayle,28,Centre-Forward,Newcastle,2000000.0,in,Summer,2018,2018/2019
Conor Townsend,25,Left-Back,Scunthorpe Utd.,840000.0,in,Summer,2018,2018/2019
Jonathan Bond,25,Goalkeeper,Reading,0.0,in,Summer,2018,2018/2019
Tyrone Mears,35,Right-Back,Minnesota,0.0,in,Summer,2018,2018/2019
Harvey Barnes,20,Left Midfield,Leicester,0.0,in,Summer,2018,2018/2019
Tosin Adarabioyo,20,Centre-Back,Man City,0.0,in,Summer,2018,2018/2019
Bakary Sako,30,Left Winger,Without Club,0.0,in,Summer,2018,2018/2019
Rekeem Harper,18,Central Midfield,West Brom U23,0.0,in,Summer,2018,2018/2019
Wes Hoolahan,36,Attacking Midfield,Without Club,0.0,in,Summer,2018,2018/2019
Kyle Howkins,23,Centre-Back,Port Vale,0.0,in,Summer,2018,2018/2019
Salomón Rondón,29,Centre-Forward,Newcastle,0.0,in,Summer,2018,2018/2019
Yuning Zhang,21,Centre-Forward,Werder Bremen,0.0,in,Summer,2018,2018/2019
Nacer Chadli,29,Left Winger,Monaco,12000000.0,out,Summer,2018,2018/2019
James McClean,29,Left Midfield,Stoke City,5600000.0,out,Summer,2018,2018/2019
