player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Malky Mackay,32,Centre-Back,Norwich,450000.0,in,Summer,2004,2004/2005
Carl Fletcher,24,Defensive Midfield,Bournemouth,410000.0,in,Summer,2004,2004/2005
Luke Chadwick,23,Attacking Midfield,Man Utd,0.0,in,Summer,2004,2004/2005
Sergiy Rebrov,30,Second Striker,Spurs,0.0,in,Summer,2004,2004/2005
Moses Ashikodi,17,Centre-Forward,Millwall,0.0,in,Summer,2004,2004/2005
Teddy Sheringham,38,Centre-Forward,Portsmouth,0.0,in,Summer,2004,2004/2005
Jimmy Walker,30,Goalkeeper,Walsall,0.0,in,Summer,2004,2004/2005
Calum Davenport,21,defence,Spurs,0.0,in,Summer,2004,2004/2005
Elliott Ward,19,Centre-Back,West Ham U18,0.0,in,Summer,2004,2004/2005
Trent McClenahan,20,Centre-Back,MK Dons,0.0,in,Summer,2004,2004/2005
Youssef Sofiane,20,Centre-Forward,Roda JC,0.0,in,Summer,2004,2004/2005
Youssef Sofiane,20,Centre-Forward,Notts County,0.0,in,Summer,2004,2004/2005
David Forde,24,Goalkeeper,Barnet,0.0,in,Summer,2004,2004/2005
Darren Blewitt,19,defence,Southend United,0.0,in,Summer,2004,2004/2005
Andy Melville,36,Centre-Back,Nottm Forest,0.0,in,Summer,2004,2004/2005
Michael Carrick,23,Defensive Midfield,Spurs,4099999.9999999995,out,Summer,2004,2004/2005
David Connolly,27,attack,Leicester,750000.0,out,Summer,2004,2004/2005
Richard García,22,Second Striker,Colchester Utd.,100000.0,out,Summer,2004,2004/2005
Kevin Horlock,31,Defensive Midfield,Ipswich,0.0,out,Summer,2004,2004/2005
Jobi McAnuff,22,Left Winger,Cardiff,0.0,out,Summer,2004,2004/2005
Brian Deane,36,Centre-Forward,Leeds,0.0,out,Summer,2004,2004/2005
David Forde,24,Goalkeeper,Oldham Athletic,0.0,out,Summer,2004,2004/2005
Daryl McMahon,21,Attacking Midfield,Port Vale,0.0,out,Summer,2004,2004/2005
