player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Dean Holdsworth,23,Centre-Forward,Brentford,1000000.0,in,Summer,1992,1992/1993
Vinnie Jones,27,Defensive Midfield,Chelsea,830000.0,in,Summer,1992,1992/1993
Greg Berry,21,midfield,Leyton Orient,313000.0,in,Summer,1992,1992/1993
Peter Fear,18,midfield,Unknown,0.0,in,Summer,1992,1992/1993
Timothy Alexander,18,Centre-Back,Unknown,0.0,in,Summer,1992,1992/1993
Alan McLeary,28,defence,Millwall,0.0,in,Summer,1992,1992/1993
Neil Sullivan,23,Goalkeeper,Crystal Palace,0.0,in,Summer,1992,1992/1993
Terry Gibson,30,attack,Swindon Town,0.0,in,Summer,1992,1992/1993
Steve Cotterill,28,attack,Brighton,0.0,in,Summer,1992,1992/1993
Terry Phelan,25,Left-Back,Man City,0.0,out,Summer,1992,1992/1993
Zbigniew Kruszyński,31,midfield,Brentford,0.0,out,Summer,1992,1992/1993
Steve Cotterill,28,attack,Brighton,0.0,out,Summer,1992,1992/1993
Perry Digweed,33,Goalkeeper,Brighton,0.0,in,Winter,1992,1992/1993
Neil Sullivan,23,Goalkeeper,Crystal Palace,0.0,out,Winter,1992,1992/1993
Terry Gibson,30,attack,Swindon Town,0.0,out,Winter,1992,1992/1993
Alan McLeary,28,defence,Millwall,0.0,out,Winter,1992,1992/1993
Alan Kimble,26,Left-Back,Cambridge Utd.,210000.0,in,Summer,1993,1993/1994
Gary Blissett,29,Centre-Forward,Brentford,0.0,in,Summer,1993,1993/1994
Aidan Newhouse,22,attack,Port Vale,0.0,in,Summer,1993,1993/1994
Justin Skinner,21,Left-Back,Bournemouth,0.0,in,Summer,1993,1993/1994
Steve Cotterill,29,attack,Bournemouth,102000.0,out,Summer,1993,1993/1994
Steve Finnan,17,Right-Back,Welling Utd.,0.0,out,Summer,1993,1993/1994
Terry Gibson,30,attack,Peterborough,0.0,out,Summer,1993,1993/1994
Timothy Alexander,19,Centre-Back,Barnet,0.0,out,Summer,1993,1993/1994
Marcus Gayle,23,Centre-Forward,Brentford,375000.0,in,Winter,1993,1993/1994
Greg Berry,23,midfield,Millwall,250000.0,out,Winter,1993,1993/1994
Aidan Newhouse,21,attack,Port Vale,0.0,out,Winter,1993,1993/1994
Justin Skinner,21,Left-Back,Bournemouth,0.0,out,Winter,1993,1993/1994
Perry Digweed,34,Goalkeeper,Watford,0.0,out,Winter,1993,1993/1994
Steve Anthrobus,25,Centre-Forward,Peterborough,0.0,out,Winter,1993,1993/1994
Efan Ekoku,27,Centre-Forward,Norwich,750000.0,in,Summer,1994,1994/1995
Mick Harford,35,Centre-Forward,Coventry,55000.0,in,Summer,1994,1994/1995
Lutz Pfannenstiel,21,Goalkeeper,Penang,0.0,in,Summer,1994,1994/1995
Alan Reeves,26,Centre-Back,Rochdale,0.0,in,Summer,1994,1994/1995
Andy Thorn,27,Centre-Back,Crystal Palace,0.0,in,Summer,1994,1994/1995
Brendan Murphy,18,Goalkeeper,Bradford,0.0,in,Summer,1994,1994/1995
Steve Anthrobus,25,Centre-Forward,Peterborough,0.0,in,Summer,1994,1994/1995
Aidan Newhouse,23,attack,Portsmouth,0.0,in,Summer,1994,1994/1995
Justin Skinner,22,Left-Back,Wycombe,0.0,in,Summer,1994,1994/1995
John Scales,28,Centre-Back,Liverpool,4099999.9999999995,out,Summer,1994,1994/1995
John Fashanu,31,Centre-Forward,Aston Villa,1620000.0,out,Summer,1994,1994/1995
Justin Skinner,21,Left-Back,Wycombe,0.0,out,Summer,1994,1994/1995
Lawrie Sanchez,34,Central Midfield,Swindon Town,0.0,out,Summer,1994,1994/1995
Paul Miller,26,midfield,Bristol Rovers,0.0,out,Summer,1994,1994/1995
Steve Anthrobus,25,Centre-Forward,Chester City,0.0,out,Summer,1994,1994/1995
Öyvind Leonhardsen,24,Attacking Midfield,Rosenborg,975000.0,in,Winter,1994,1994/1995
Kenny Cunningham,23,Centre-Back,Millwall,900000.0,in,Winter,1994,1994/1995
Jon Goodman,23,Centre-Forward,Millwall,650000.0,in,Winter,1994,1994/1995
Peter Shilton,45,Goalkeeper,Plymouth,0.0,in,Winter,1994,1994/1995
Peter Shilton,45,Goalkeeper,Bolton,0.0,out,Winter,1994,1994/1995
Aidan Newhouse,22,attack,Portsmouth,0.0,out,Winter,1994,1994/1995
Paul Heald,26,Goalkeeper,Leyton Orient,125000.0,in,Summer,1995,1995/1996
Danny Hodges,18,defence,Unknown,0.0,in,Summer,1995,1995/1996
Mark Thomas,20,midfield,Unknown,0.0,in,Summer,1995,1995/1996
John Cheesewright,22,Goalkeeper,Colchester Utd.,0.0,in,Summer,1995,1995/1996
Lenny Piper,17,midfield,Wimbledon U19,0.0,in,Summer,1995,1995/1996
Andy Futcher,17,defence,Wimbledon U19,0.0,in,Summer,1995,1995/1996
Iain Laidlaw,18,Centre-Back,Wimbledon U19,0.0,in,Summer,1995,1995/1996
Jason Euell,18,Second Striker,Wimbledon U19,0.0,in,Summer,1995,1995/1996
Aidan Newhouse,24,attack,Torquay,0.0,in,Summer,1995,1995/1996
Steve Anthrobus,26,Centre-Forward,Chester City,0.0,in,Summer,1995,1995/1996
Brian McAllister,25,Right-Back,Crewe Alexandra,0.0,in,Summer,1995,1995/1996
Stewart Castledine,23,Central Midfield,Wycombe,0.0,in,Summer,1995,1995/1996
Gerald Dobbs,25,midfield,Cardiff,0.0,in,Summer,1995,1995/1996
Warren Barton,26,Right-Back,Newcastle,4500000.0,out,Summer,1995,1995/1996
Lutz Pfannenstiel,22,Goalkeeper,Nottm Forest,0.0,out,Summer,1995,1995/1996
Steve Anthrobus,26,Centre-Forward,Shrewsbury,0.0,out,Summer,1995,1995/1996
Paul McGee,27,Left Midfield,Linfield,0.0,out,Summer,1995,1995/1996
Stewart Castledine,22,Central Midfield,Wycombe,0.0,out,Summer,1995,1995/1996
Gerald Dobbs,24,midfield,Cardiff,0.0,out,Summer,1995,1995/1996
Simon Tracey,28,Goalkeeper,Sheff Utd,0.0,out,Summer,1995,1995/1996
Danny O'Shea,32,midfield,Northampton,0.0,out,Summer,1995,1995/1996
Michael Appleton,19,midfield,Man Utd,0.0,out,Summer,1995,1995/1996
Andy Pearce,29,Centre-Back,Sheff Wed,730000.0,in,Winter,1995,1995/1996
Simon Tracey,27,Goalkeeper,Sheff Utd,0.0,in,Winter,1995,1995/1996
Aidan Newhouse,23,attack,Torquay,0.0,out,Winter,1995,1995/1996
Brian McAllister,25,Right-Back,Crewe Alexandra,0.0,out,Winter,1995,1995/1996
Ben Thatcher,20,Left-Back,Millwall,2640000.0,in,Summer,1996,1996/1997
Duncan Jupp,21,Right-Back,Fulham,240000.0,in,Summer,1996,1996/1997
Peter Hawkins,17,Left-Back,Wimbledon U19,0.0,in,Summer,1996,1996/1997
Carl Cort,18,Centre-Forward,Wimbledon U19,0.0,in,Summer,1996,1996/1997
Damien Francis,17,Central Midfield,Wimbledon U19,0.0,in,Summer,1996,1996/1997
Gary Elkins,30,Left-Back,Swindon Town,120000.0,out,Summer,1996,1996/1997
Hans Segers,34,Goalkeeper,Wolves,0.0,out,Summer,1996,1996/1997
Justin Skinner,23,Left-Back,Aylesbury Utd.,0.0,out,Summer,1996,1996/1997
Grant Payne,20,attack,Woking,0.0,out,Summer,1996,1996/1997
Mark Thomas,21,midfield,Unknown,0.0,out,Summer,1996,1996/1997
Lenny Piper,18,midfield,Gillingham FC,0.0,out,Summer,1996,1996/1997
Steve Talboys,29,midfield,Watford,0.0,out,Summer,1996,1996/1997
Andy Thorn,29,Centre-Back,Heart of Midl.,0.0,out,Summer,1996,1996/1997
Gerald Dobbs,25,midfield,Dover Athletic,0.0,out,Summer,1996,1996/1997
Roger Joseph,30,defence,Chelsea,0.0,out,Summer,1996,1996/1997
Gary Blissett,32,Centre-Forward,Sembawang,0.0,out,Summer,1996,1996/1997
Danny Hodges,19,defence,Unknown,0.0,out,Summer,1996,1996/1997
John Cheesewright,23,Goalkeeper,Colchester Utd.,0.0,out,Summer,1996,1996/1997
Carl Cort,19,Centre-Forward,Lincoln City,0.0,in,Winter,1996,1996/1997
Carl Cort,19,Centre-Forward,Lincoln City,0.0,out,Winter,1996,1996/1997
