player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Seyi Olofinjana,24,Central Midfield,Brann,2000000.0,in,Summer,2004,2004/2005
Ki-hyeon Seol,25,Right Winger,RSC Anderlecht,1800000.0,in,Summer,2004,2004/2005
Rob Edwards,21,Centre-Back,Aston Villa,225000.0,in,Summer,2004,2004/2005
Gary Mulligan,19,Centre-Back,Belvedere FC,0.0,in,Summer,2004,2004/2005
Joachim Björklund,33,Centre-Back,Sunderland,0.0,in,Summer,2004,2004/2005
Mikkel Bischoff,22,defence,Man City,0.0,in,Summer,2004,2004/2005
Lewis Gobern,19,Right Winger,Wolves U18,0.0,in,Summer,2004,2004/2005
Pat Flynn,19,Left-Back,Wolves U18,0.0,in,Summer,2004,2004/2005
Chris Cornes,17,Attacking Midfield,Wolves U18,0.0,in,Summer,2004,2004/2005
Carl Ikeme,18,Goalkeeper,Wolves U18,0.0,in,Summer,2004,2004/2005
Keith Lowe,18,Centre-Back,Wolves U18,0.0,in,Summer,2004,2004/2005
Henri Camara,27,Centre-Forward,Southampton,0.0,in,Summer,2004,2004/2005
Ashley Vincent,19,Centre-Forward,Cheltenham,0.0,out,Summer,2004,2004/2005
Marlon Walters,NA,midfield,Hednesford,0.0,out,Summer,2004,2004/2005
Paul Butler,31,Centre-Back,Leeds,0.0,out,Summer,2004,2004/2005
Steffen Iversen,27,Second Striker,Vålerenga,0.0,out,Summer,2004,2004/2005
Nathan Blake,32,Centre-Forward,Leicester,0.0,out,Summer,2004,2004/2005
Alex Rae,34,Central Midfield,Rangers,0.0,out,Summer,2004,2004/2005
Henri Camara,27,Centre-Forward,Celtic,0.0,out,Summer,2004,2004/2005
Carl Ikeme,18,Goalkeeper,Accrington,0.0,out,Summer,2004,2004/2005
Sammy Clingan,20,Central Midfield,Chesterfield FC,0.0,out,Summer,2004,2004/2005
JJ Melligan,22,Central Midfield,Cheltenham,40000.0,out,Summer,2004,2004/2005
Oleg Luzhnyi,35,Right-Back,Venta Kuldiga,0.0,out,Summer,2004,2004/2005
Silas,27,Attacking Midfield,Marítimo,0.0,out,Summer,2004,2004/2005
Denis Irwin,38,Left-Back,Retired,0.0,out,Summer,2004,2004/2005
Isaac Okoronkwo,26,Centre-Back,Without Club,0.0,out,Summer,2004,2004/2005
Rohan Ricketts,22,Attacking Midfield,Spurs,0.0,in,Winter,2004,2004/2005
Mikkel Bischoff,23,defence,Man City,0.0,in,Winter,2004,2004/2005
Henri Camara,27,Centre-Forward,Celtic,0.0,in,Winter,2004,2004/2005
Paul Jones,37,Goalkeeper,Watford,0.0,in,Winter,2004,2004/2005
Sammy Clingan,20,Central Midfield,Chesterfield FC,0.0,in,Winter,2004,2004/2005
Lewis Gobern,19,Right Winger,Hartlepool,0.0,in,Winter,2004,2004/2005
Carl Ikeme,18,Goalkeeper,Accrington,0.0,in,Winter,2004,2004/2005
Shaun Newton,29,Right Midfield,West Ham,175000.0,out,Winter,2004,2004/2005
Dean Sturridge,31,Centre-Forward,QPR,0.0,out,Winter,2004,2004/2005
Gary Mulligan,19,Centre-Back,Rush. & Diamon.,0.0,out,Winter,2004,2004/2005
Lewis Gobern,19,Right Winger,Hartlepool,0.0,out,Winter,2004,2004/2005
Henri Camara,27,Centre-Forward,Southampton,0.0,out,Winter,2004,2004/2005
Paul Jones,37,Goalkeeper,Watford,0.0,out,Winter,2004,2004/2005
Mikkel Bischoff,22,defence,Man City,0.0,out,Winter,2004,2004/2005
Gábor Gyepes,24,Centre-Back,Ferencváros,550000.0,in,Summer,2005,2005/2006
Darren Anderton,33,Right Midfield,Birmingham,0.0,in,Summer,2005,2005/2006
Mo Ross,24,Right-Back,Sheff Wed,0.0,in,Summer,2005,2005/2006
Jackie McNamara,31,Right-Back,Celtic,0.0,in,Summer,2005,2005/2006
Tom Huddlestone,18,Defensive Midfield,Spurs,0.0,in,Summer,2005,2005/2006
Leon Clarke,21,Centre-Forward,Plymouth,0.0,in,Summer,2005,2005/2006
Kevin O'Connor,19,Defensive Midfield,Wolves U18,0.0,in,Summer,2005,2005/2006
Dan Jones,18,Left-Back,Wolves U18,0.0,in,Summer,2005,2005/2006
Mark Davies,17,Central Midfield,Wolves U18,0.0,in,Summer,2005,2005/2006
Lewis Gobern,21,Right Winger,Bury,0.0,in,Summer,2005,2005/2006
Kevin O'Connor,20,Defensive Midfield,Stockport,0.0,in,Summer,2005,2005/2006
Gary Mulligan,20,Centre-Back,Rush. & Diamon.,0.0,in,Summer,2005,2005/2006
Silas,28,Attacking Midfield,Marítimo,0.0,in,Summer,2005,2005/2006
Henri Camara,28,Centre-Forward,Wigan,6450000.0,out,Summer,2005,2005/2006
Kevin Cooper,30,Left Midfield,Cardiff,100000.0,out,Summer,2005,2005/2006
Jimi Lee Jones,NA,attack,Worcester City,0.0,out,Summer,2005,2005/2006
Gary Mulligan,20,Centre-Back,Sheff Utd,0.0,out,Summer,2005,2005/2006
Keith Andrews,24,Central Midfield,Hull City,0.0,out,Summer,2005,2005/2006
Silas,28,Attacking Midfield,Belenenses,0.0,out,Summer,2005,2005/2006
Pat Flynn,20,Left-Back,Torquay,0.0,out,Summer,2005,2005/2006
Sammy Clingan,21,Central Midfield,Chesterfield FC,0.0,out,Summer,2005,2005/2006
Paul Jones,38,Goalkeeper,Millwall,0.0,out,Summer,2005,2005/2006
Keith Lowe,19,Centre-Back,Burnley,0.0,out,Summer,2005,2005/2006
Chris Cornes,18,Attacking Midfield,Port Vale,0.0,out,Summer,2005,2005/2006
Carl Ikeme,19,Goalkeeper,Stockport,0.0,out,Summer,2005,2005/2006
Mikkel Bischoff,23,defence,Man City,0.0,out,Summer,2005,2005/2006
Jérémie Aliadière,23,Centre-Forward,Arsenal,0.0,out,Summer,2005,2005/2006
Joachim Björklund,34,Centre-Back,Retired,0.0,out,Summer,2005,2005/2006
Tomasz Frankowski,31,Centre-Forward,Elche CF,2000000.0,in,Winter,2005,2005/2006
Stefan Postma,29,Goalkeeper,Aston Villa,500000.0,in,Winter,2005,2005/2006
Dénes Rósa,28,Right Midfield,Ferencváros,75000.0,in,Winter,2005,2005/2006
Paul Harrison,21,Goalkeeper,Accrington,0.0,in,Winter,2005,2005/2006
Jérémie Aliadière,22,Centre-Forward,Arsenal,0.0,in,Winter,2005,2005/2006
Leon Clarke,20,Centre-Forward,QPR,0.0,in,Winter,2005,2005/2006
Carl Ikeme,19,Goalkeeper,Stockport,0.0,in,Winter,2005,2005/2006
Keith Lowe,20,Centre-Back,Swansea,0.0,in,Winter,2005,2005/2006
Paul Jones,38,Goalkeeper,Millwall,0.0,in,Winter,2005,2005/2006
Colin Cameron,33,Central Midfield,Millwall,0.0,in,Winter,2005,2005/2006
Keith Lowe,20,Centre-Back,Burnley,0.0,in,Winter,2005,2005/2006
