player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Anis Mehmeti,19,Attacking Midfield,Woodford Town,0.0,in,Summer,2020,2020/2021
David Stockdale,34,Goalkeeper,Birmingham,0.0,in,Summer,2020,2020/2021
Giles Phillips,23,Centre-Back,QPR U23,0.0,in,Summer,2020,2020/2021
Ryan Tafazolli,28,Centre-Back,Hull City,0.0,in,Summer,2020,2020/2021
Dennis Adeniran,21,Central Midfield,Everton U23,0.0,in,Summer,2020,2020/2021
Uche Ikpeazu,25,Centre-Forward,Heart of Midl.,0.0,in,Summer,2020,2020/2021
Jason McCarthy,24,Right-Back,Millwall,0.0,in,Summer,2020,2020/2021
Daryl Horgan,28,Left Midfield,Hibernian FC,0.0,in,Summer,2020,2020/2021
Josh Knight,23,Centre-Back,Leicester U23,0.0,in,Summer,2020,2020/2021
Curtis Anderson,19,Goalkeeper,Without Club,0.0,in,Summer,2020,2020/2021
Nick Freeman,25,Central Midfield,Leyton Orient,0.0,in,Summer,2020,2020/2021
Craig Mackail-Smith,36,Centre-Forward,Bedford Town,0.0,out,Summer,2020,2020/2021
Sido Jombati,32,Right-Back,Oldham Athletic,0.0,out,Summer,2020,2020/2021
Jamie Mascoll,23,Left-Back,Bolton,0.0,out,Summer,2020,2020/2021
Curtis Anderson,20,Goalkeeper,Walton Casuals,0.0,out,Summer,2020,2020/2021
Jacob Gardiner-Smith,23,Defensive Midfield,Without Club,0.0,out,Summer,2020,2020/2021
Admiral Muskwe,22,Centre-Forward,Leicester U23,0.0,out,Summer,2020,2020/2021
Paul Smyth,22,Right Winger,QPR,0.0,out,Summer,2020,2020/2021
Nnamdi Ofoborh,21,Central Midfield,Bournemouth,0.0,out,Summer,2020,2020/2021
Josh Knight,23,Centre-Back,Leicester U23,0.0,out,Summer,2020,2020/2021
Dennis Adeniran,22,Central Midfield,Everton U23,0.0,out,Summer,2020,2020/2021
David Stockdale,34,Goalkeeper,Birmingham,0.0,out,Summer,2020,2020/2021
Nnamdi Ofoborh,20,Central Midfield,Bournemouth,0.0,out,Summer,2020,2020/2021
Giles Phillips,23,Centre-Back,QPR U23,0.0,out,Summer,2020,2020/2021
Jordan Obita,27,Left-Back,Oxford United,0.0,in,Winter,2020,2020/2021
Admiral Muskwe,22,Centre-Forward,Leicester U23,0.0,in,Winter,2020,2020/2021
Garath McCleary,33,Right Winger,Without Club,0.0,in,Winter,2020,2020/2021
James Clark,19,Right-Back,Without Club,0.0,in,Winter,2020,2020/2021
Nnamdi Ofoborh,21,Central Midfield,Bournemouth,0.0,in,Winter,2020,2020/2021
Curtis Anderson,20,Goalkeeper,Walton Casuals,0.0,in,Winter,2020,2020/2021
Giles Phillips,23,Centre-Back,Aldershot,0.0,in,Winter,2020,2020/2021
David Stockdale,35,Goalkeeper,Stevenage,0.0,in,Winter,2020,2020/2021
Josh Parker,30,Centre-Forward,Burton Albion,0.0,out,Winter,2020,2020/2021
Giles Phillips,23,Centre-Back,Aldershot,0.0,out,Winter,2020,2020/2021
Nick Freeman,25,Central Midfield,Leyton Orient,0.0,out,Winter,2020,2020/2021
David Stockdale,35,Goalkeeper,Stevenage,0.0,out,Winter,2020,2020/2021
