player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Ousman Nyan,26,Central Midfield,IK Start,0.0,in,Summer,2002,2002/2003
Abdelnasser Ouadah,26,Left Winger,Chamois Niort,0.0,in,Summer,2002,2002/2003
Yacine Bezzaz,20,Left Midfield,JS Kabylie,0.0,in,Summer,2002,2002/2003
Thomas Sowunmi,23,Centre-Forward,Dunaferr SE,0.0,in,Summer,2002,2002/2003
Mickaël Marquet,20,Attacking Midfield,US Créteil-L,0.0,in,Summer,2002,2002/2003
Yohan Demont,24,Right-Back,AS Beauvais,0.0,in,Summer,2002,2002/2003
Laurent Wuillot,26,Centre-Back,Standard Liège,0.0,in,Summer,2002,2002/2003
Hervé Sekli,25,Goalkeeper,Troyes,0.0,in,Summer,2002,2002/2003
Laurent Moracchini,34,Defensive Midfield,AS Nancy,0.0,in,Summer,2002,2002/2003
Xavier Collin,27,Left-Back,FC Gueugnon,0.0,in,Summer,2002,2002/2003
Stéphane Grégoire,34,Defensive Midfield,Stade Rennais,0.0,in,Summer,2002,2002/2003
Florian Lucchini,21,Goalkeeper,GFCO Ajaccio,0.0,in,Summer,2002,2002/2003
Mamadou Seck,22,Centre-Back,Nîmes Olympique,0.0,in,Summer,2002,2002/2003
Bruno Rodriguez,29,Centre-Forward,Lens,0.0,in,Summer,2002,2002/2003
Wálter Guglielmone,24,Centre-Forward,Nacional,0.0,in,Summer,2002,2002/2003
Xavier Gravelaine,33,Centre-Forward,SM Caen,0.0,in,Summer,2002,2002/2003
Dmitri Ananko,28,Centre-Back,Spartak Moscow,0.0,in,Summer,2002,2002/2003
Jean-Michel Luciani,27,defence,Unknown,0.0,in,Summer,2002,2002/2003
Grégory Lacombe,20,Right Winger,Monaco,0.0,in,Summer,2002,2002/2003
Hervé Alicarte,27,Sweeper,G. Bordeaux,0.0,in,Summer,2002,2002/2003
Eric Colling,30,defence,Cannes,0.0,out,Summer,2002,2002/2003
Samassi Abou,29,Centre-Forward,FC Lorient,0.0,out,Summer,2002,2002/2003
Émerick Darbelet,28,Left Midfield,Chamois Niort,0.0,out,Summer,2002,2002/2003
Patrice Luzi,21,Goalkeeper,Liverpool,0.0,out,Summer,2002,2002/2003
Nicolas Baudoin,31,Left-Back,Lommel SK,0.0,out,Summer,2002,2002/2003
Romain Angeletti,25,attack,Besançon RC,0.0,out,Summer,2002,2002/2003
Samba N'Diaye,29,Centre-Forward,Al-Nasr,0.0,out,Summer,2002,2002/2003
Anthony Garcia,30,midfield,Saint-Étienne,0.0,out,Summer,2002,2002/2003
Thierry Rossi,26,Centre-Back,AS Cagnes,0.0,out,Summer,2002,2002/2003
Nicolas Sahnoun,21,Defensive Midfield,G. Bordeaux,0.0,out,Summer,2002,2002/2003
Sébastien Squillaci,21,Centre-Back,Monaco B,0.0,out,Summer,2002,2002/2003
Bernard Diomède,28,Left Winger,Liverpool,0.0,in,Winter,2002,2002/2003
Juan Esnáider,29,Centre-Forward,River Plate,0.0,in,Winter,2002,2002/2003
Thomas Sowunmi,24,Centre-Forward,Ferencváros,0.0,out,Winter,2002,2002/2003
Fabrice Levrat,23,Defensive Midfield,FC Gueugnon,0.0,out,Winter,2002,2002/2003
Xavier Gravelaine,34,Centre-Forward,FC Istres,0.0,out,Winter,2002,2002/2003
Mamadou Bagayoko,24,Centre-Forward,R. Strasbourg,0.0,in,Summer,2003,2003/2004
Djamel Abdoun,17,Right Winger,Paris SG B,0.0,in,Summer,2003,2003/2004
Abderaouf Zarabi,24,Left-Back,NA Hussein Dey,0.0,in,Summer,2003,2003/2004
Milan Martinovic,23,Centre-Back,Real Oviedo,0.0,in,Summer,2003,2003/2004
Jean-Toussaint Moretti,23,Left-Back,Varese,0.0,in,Summer,2003,2003/2004
