player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Didier Angibeaud,17,Centre-Forward,Unknown,0.0,in,Summer,1992,1992/1993
Jean-Roch Testa,27,attack,FC Gueugnon,0.0,in,Summer,1992,1992/1993
Gia Guruli,28,Centre-Forward,GKS Katowice,0.0,in,Summer,1992,1992/1993
Michel Rio,29,Attacking Midfield,SM Caen,0.0,in,Summer,1992,1992/1993
Christophe Revault,20,Goalkeeper,Le Havre B,0.0,in,Summer,1992,1992/1993
Vaclav Danek,31,Centre-Forward,FC Tirol,0.0,out,Summer,1992,1992/1993
Graham Rix,34,Left Midfield,Dundee FC,0.0,out,Summer,1992,1992/1993
Patrice Garande,31,Centre-Forward,FC Sochaux,0.0,out,Summer,1992,1992/1993
Hubert Castets,20,Centre-Back,Le Havre B,0.0,out,Summer,1992,1992/1993
Jean-Roch Testa,28,attack,FC Martigues,0.0,out,Winter,1992,1992/1993
Eric Lestrade,24,midfield,Bourges,0.0,in,Summer,1993,1993/1994
Didier Lelong,23,midfield,USL Dunkerque,0.0,in,Summer,1993,1993/1994
Géza Mészöly,26,Centre-Back,Vasas SC,0.0,in,Summer,1993,1993/1994
Bernard Pascual,26,Centre-Back,AS Beauvais,0.0,in,Summer,1993,1993/1994
Jean-Luc Courtet,25,attack,Bourges,0.0,in,Summer,1993,1993/1994
Pierre Haon,26,Defensive Midfield,Perpignan,0.0,in,Summer,1993,1993/1994
Benoît Chagnaud,21,attack,AS Beauvais,0.0,in,Summer,1993,1993/1994
Vikash Dhorasoo,19,Central Midfield,Le Havre B,0.0,in,Summer,1993,1993/1994
Ghislain Chauray,21,Goalkeeper,Le Havre U19,0.0,in,Summer,1993,1993/1994
Jean-Roch Testa,28,attack,FC Martigues,0.0,in,Summer,1993,1993/1994
François Quilan,27,midfield,Bourges,0.0,out,Summer,1993,1993/1994
Jean-Luc Courtet,25,attack,Bourges,0.0,out,Summer,1993,1993/1994
Jean-Roch Testa,29,attack,CS Sedan,0.0,out,Summer,1993,1993/1994
Bruno Roux,29,Centre-Forward,Stade Rennais,0.0,out,Summer,1993,1993/1994
Thierry Goudet,30,Defensive Midfield,Stade Lavallois,0.0,out,Summer,1993,1993/1994
Alain Bénédet,32,midfield,SC Toulon 83,0.0,out,Summer,1993,1993/1994
Benoît Chagnaud,20,attack,AS Beauvais,0.0,out,Summer,1993,1993/1994
Jean-Christophe Thouvenel,34,Right-Back,Retired,0.0,out,Summer,1993,1993/1994
Philippe Mahut,37,Centre-Back,Retired,0.0,out,Summer,1993,1993/1994
Patrice Marquet,27,Left Midfield,Lens,0.0,in,Winter,1993,1993/1994
Frédéric Brando,20,Central Midfield,Monaco B,0.0,in,Summer,1994,1994/1995
Claude Fichaux,25,Centre-Back,LOSC Lille,0.0,in,Summer,1994,1994/1995
Sébastien Hamel,18,Goalkeeper,Monaco,0.0,in,Summer,1994,1994/1995
Christophe Lagrange,27,attack,Angers SCO,0.0,in,Summer,1994,1994/1995
Cédric Daury,24,midfield,Angers SCO,0.0,in,Summer,1994,1994/1995
Alain Caveglia,26,Second Striker,FC Sochaux,0.0,in,Summer,1994,1994/1995
Olivier Debert,19,Right-Back,Le Havre U19,0.0,in,Summer,1994,1994/1995
Mathieu Louis-Jean,18,Right-Back,Le Havre B,0.0,in,Summer,1994,1994/1995
Olivier De Luca,21,Defensive Midfield,Le Havre B,0.0,in,Summer,1994,1994/1995
Djibril Diawara,19,Centre-Back,Le Havre B,0.0,in,Summer,1994,1994/1995
Fabien Piveteau,30,Goalkeeper,Monaco,0.0,out,Summer,1994,1994/1995
Gia Guruli,30,Centre-Forward,USL Dunkerque,0.0,out,Summer,1994,1994/1995
Pierre Haon,27,Defensive Midfield,AS Lyon-Duchère,0.0,out,Summer,1994,1994/1995
Michel Rio,31,Attacking Midfield,Stade Briochin,0.0,out,Summer,1994,1994/1995
Patrice Marquet,27,Left Midfield,Cannes,0.0,out,Summer,1994,1994/1995
Eric Lestrade,25,midfield,CS Sedan,0.0,out,Summer,1994,1994/1995
Pierre Aubameyang,29,Sweeper,Toulouse,0.0,out,Summer,1994,1994/1995
Joël Tiéhi,30,Centre-Forward,Lens,0.0,out,Summer,1994,1994/1995
Didier Lelong,24,midfield,FC Saint-Leu,0.0,out,Summer,1994,1994/1995
Thierry Moreau,27,Attacking Midfield,Toulouse,0.0,out,Summer,1994,1994/1995
André Kana-Biyik,28,Defensive Midfield,Retired,0.0,out,Summer,1994,1994/1995
Ludovic Pollet,25,Centre-Back,Cannes,0.0,in,Summer,1995,1995/1996
Ardian Kozniku,27,Centre-Forward,Cannes,0.0,in,Summer,1995,1995/1996
Vanja Grubac,24,Centre-Forward,OFK Beograd,0.0,in,Summer,1995,1995/1996
Nicolas Huysman,27,Left Midfield,SM Caen,0.0,in,Summer,1995,1995/1996
Lyambo Etshélé,26,Defensive Midfield,LOSC Lille,0.0,in,Summer,1995,1995/1996
Stéphane Samson,20,Centre-Forward,Le Havre B,0.0,in,Summer,1995,1995/1996
Didier Angibeaud,20,Centre-Forward,FC Istres,0.0,out,Summer,1995,1995/1996
Géza Mészöly,28,Centre-Back,LOSC Lille,0.0,out,Summer,1995,1995/1996
Benoît Chagnaud,22,attack,Amiens SC,0.0,out,Summer,1995,1995/1996
Jérôme Louchet,21,defence,Unknown,0.0,out,Summer,1995,1995/1996
Vanja Grubac,24,Centre-Forward,OFK Beograd,0.0,out,Winter,1995,1995/1996
Abder Ramdane,22,Centre-Forward,Nîmes Olympique,0.0,in,Summer,1996,1996/1997
Momo Sylla,19,Right Winger,US Créteil,0.0,in,Summer,1996,1996/1997
David Mazzoncini,24,Defensive Midfield,FC Martigues,0.0,in,Summer,1996,1996/1997
Tomasz Wieszczycki,24,Central Midfield,Legia Warszawa,0.0,in,Summer,1996,1996/1997
Maamar Mamouni,20,Defensive Midfield,AC Ajaccio,0.0,in,Summer,1996,1996/1997
Dzoni Novak,26,Left Midfield,NK Olimpija,0.0,in,Summer,1996,1996/1997
Jean-Luc Beauchet,23,Goalkeeper,A. Salbris Sports,0.0,in,Summer,1996,1996/1997
