player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Moussa Saïb,23,Left Midfield,JS Kabylie,38000.0,in,Summer,1992,1992/1993
Frank Verlaat,24,Centre-Back,Lausanne-Sport,0.0,in,Summer,1992,1992/1993
Lilian Laslandes,20,Centre-Forward,AS Saint-Seurin,0.0,in,Summer,1992,1992/1993
Thierry Bonalair,26,Left-Back,FC Nantes,0.0,in,Summer,1992,1992/1993
Bernard Diomède,18,Left Winger,AJ Auxerre U19,0.0,in,Summer,1992,1992/1993
Jacques-Désiré Périatambée,16,Defensive Midfield,AJ Auxerre U19,0.0,in,Summer,1992,1992/1993
Franck Rabarivony,21,Left-Back,AJ Auxerre B,0.0,in,Summer,1992,1992/1993
Fabien Cool,19,Goalkeeper,AJ Auxerre B,0.0,in,Summer,1992,1992/1993
Laurent Ciechelski,21,Right-Back,AJ Auxerre U19,0.0,in,Summer,1992,1992/1993
Guy-Roger Nzamba,22,Centre-Forward,AJ Auxerre B,0.0,in,Summer,1992,1992/1993
Jean-Marc Ferreri,29,Attacking Midfield,Marseille,0.0,out,Summer,1992,1992/1993
Frédéric Darras,25,Right-Back,FC Sochaux,0.0,out,Summer,1992,1992/1993
Alain Roche,24,Centre-Back,Paris SG,0.0,out,Summer,1992,1992/1993
Zbigniew Kaczmarek,30,Defensive Midfield,Guingamp,0.0,out,Summer,1992,1992/1993
Franco Vignola,25,attack,Guingamp,0.0,out,Summer,1992,1992/1993
Philippe Violeau,22,Defensive Midfield,Chamois Niort,0.0,in,Summer,1993,1993/1994
Taribo West,19,Left-Back,Julius Berger,0.0,in,Summer,1993,1993/1994
Franck Silvestre,26,Centre-Back,FC Sochaux,0.0,in,Summer,1993,1993/1994
Yann Lachuer,20,Attacking Midfield,US Créteil,0.0,in,Summer,1993,1993/1994
Christian Henna,21,Defensive Midfield,Mulhouse S-A,0.0,in,Summer,1993,1993/1994
Franco Vignola,26,attack,Guingamp,0.0,in,Summer,1993,1993/1994
William Prunier,25,Centre-Back,Marseille,0.0,out,Summer,1993,1993/1994
Daniel Dutuel,25,Central Midfield,Marseille,0.0,out,Summer,1993,1993/1994
Didier Otokoré,24,Left Winger,FC Sochaux,0.0,out,Summer,1993,1993/1994
Thierry Bonalair,27,Left-Back,LOSC Lille,0.0,out,Summer,1993,1993/1994
Guy-Roger Nzamba,22,Centre-Forward,Mulhouse S-A,0.0,out,Summer,1993,1993/1994
Stéphane Mazzolini,26,Right-Back,FC Martigues,0.0,out,Summer,1993,1993/1994
Fabien Cool,20,Goalkeeper,FC Gueugnon,0.0,out,Summer,1993,1993/1994
Stéphane Ferrand,25,Goalkeeper,FC Sochaux,0.0,in,Winter,1993,1993/1994
Sabri Lamouchi,22,Central Midfield,Olympique Alès,0.0,in,Summer,1994,1994/1995
Georges Moureaux,25,attack,FC Sète 34,0.0,in,Summer,1994,1994/1995
Frédéric Danjou,19,Centre-Back,AJ Auxerre U19,0.0,in,Summer,1994,1994/1995
Fabien Cool,21,Goalkeeper,FC Gueugnon,0.0,in,Summer,1994,1994/1995
Franco Vignola,27,attack,Marseille,0.0,out,Summer,1994,1994/1995
Thomas Deniaud,22,Centre-Forward,Angers SCO,0.0,out,Summer,1994,1994/1995
Stéphane Ferrand,25,Goalkeeper,FC Sochaux,0.0,out,Summer,1994,1994/1995
Laurent Blanc,29,Centre-Back,Saint-Étienne,0.0,in,Summer,1995,1995/1996
Awudu Issaka,16,Attacking Midfield,Anderlecht U19,0.0,in,Summer,1995,1995/1996
Stéphane Guivarc'h,24,Centre-Forward,Guingamp,0.0,in,Summer,1995,1995/1996
Abdelhafid Tasfaout,26,Attacking Midfield,MC Oran,0.0,in,Summer,1995,1995/1996
Ronan Le Crom,20,Goalkeeper,AJ Auxerre B,0.0,in,Summer,1995,1995/1996
Thomas Deniaud,23,Centre-Forward,Angers SCO,0.0,in,Summer,1995,1995/1996
Frank Verlaat,27,Centre-Back,VfB Stuttgart,2000000.0,out,Summer,1995,1995/1996
Bruno Martini,33,Goalkeeper,Montpellier,0.0,out,Summer,1995,1995/1996
Pascal Vahirua,29,Left Winger,SM Caen,0.0,out,Summer,1995,1995/1996
Gérald Baticle,25,Centre-Forward,R. Strasbourg,0.0,out,Summer,1995,1995/1996
Raphaël Guerreiro,27,Central Midfield,SM Caen,0.0,out,Summer,1995,1995/1996
Stéphane Mahé,26,Left-Back,Paris SG,0.0,out,Summer,1995,1995/1996
