player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Patrick Vieira,17,Defensive Midfield,FC Tours U19,0.0,in,Summer,1993,1993/1994
Jean-Christophe Marquet,19,Left-Back,Marseille,0.0,in,Summer,1993,1993/1994
Gábor Márton,26,Attacking Midfield,Honvéd FC,30000.0,in,Summer,1993,1993/1994
Marc Andrieux,26,Defensive Midfield,Mulhouse S-A,0.0,in,Summer,1993,1993/1994
Fabrice Grondin,20,defence,Unknown,0.0,in,Summer,1993,1993/1994
Didier Otokoré,24,Left Winger,FC Sochaux,0.0,in,Summer,1993,1993/1994
Kader Ferhaoui,28,Left Midfield,Montpellier,0.0,in,Summer,1993,1993/1994
Ardian Kozniku,25,Centre-Forward,Hajduk Split,0.0,in,Summer,1993,1993/1994
Tal Banin,22,Defensive Midfield,Hapoel Haifa,0.0,in,Summer,1993,1993/1994
Nicolas Bastère,23,attack,Toulouse,0.0,in,Summer,1993,1993/1994
Mickaël Marsiglia,17,Central Midfield,AS Cannes U19,0.0,in,Summer,1993,1993/1994
Nikolay Todorov,28,Central Midfield,Levski Sofia,0.0,out,Summer,1993,1993/1994
Akim Karchaoui,27,midfield,Aubervilliers,0.0,out,Summer,1993,1993/1994
Nicolas Bastère,24,attack,Toulouse,0.0,out,Summer,1993,1993/1994
Alain Ravera,28,defence,Vallauris,0.0,out,Summer,1993,1993/1994
Rainer Ernst,31,Attacking Midfield,FC Zürich,0.0,out,Summer,1993,1993/1994
David Bettoni,21,midfield,FC Istres,0.0,out,Summer,1993,1993/1994
Fabrice Monacchino,21,attack,Le Mans UC 72,0.0,out,Summer,1993,1993/1994
Pierre Dréossi,33,Centre-Back,Retired,0.0,out,Summer,1993,1993/1994
Jean-Christophe Marquet,20,Left-Back,Marseille,0.0,out,Summer,1993,1993/1994
Christian Potel,20,Goalkeeper,Paris SG,0.0,in,Summer,1994,1994/1995
Patrice Marquet,27,Left Midfield,AC Le Havre,0.0,in,Summer,1994,1994/1995
Lukasz Antczak,18,defence,Z. Sosnowiec,0.0,in,Summer,1994,1994/1995
Alexandre Bès,27,defence,Olympique Lyon,0.0,in,Summer,1994,1994/1995
Alain Ravera,29,defence,Vallauris,0.0,in,Summer,1994,1994/1995
Sébastien Renaud,18,Goalkeeper,AJ Auxerre B,0.0,in,Summer,1994,1994/1995
Jean-Noël Cabezas,27,Centre-Forward,SC Toulon 83,0.0,in,Summer,1994,1994/1995
Christophe Horlaville,25,Centre-Forward,Rouen,0.0,in,Summer,1994,1994/1995
Christophe Delmotte,25,Left-Back,Lens,0.0,in,Summer,1994,1994/1995
David Jemmali,19,Right-Back,Cannes B,0.0,in,Summer,1994,1994/1995
Laurent Charvet,21,Right-Back,Cannes B,0.0,in,Summer,1994,1994/1995
Komlan Assignon,20,midfield,Cannes B,0.0,in,Summer,1994,1994/1995
