player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Jürgen Klinsmann,27,Centre-Forward,Inter,7000000.0,in,Summer,1992,1992/1993
Sylvain Legwinski,19,Left Midfield,RC Vichy,0.0,in,Summer,1992,1992/1993
Denis Schaer,29,midfield,FC Annecy,0.0,in,Summer,1992,1992/1993
Luiz Henrique,23,Central Midfield,Palmeiras,0.0,in,Summer,1992,1992/1993
Stjepan Andrijasevic,25,Right Midfield,Hajduk Split,0.0,in,Summer,1992,1992/1993
Franck Dumas,24,Centre-Back,SM Caen,0.0,in,Summer,1992,1992/1993
Christian Perez,29,Attacking Midfield,Paris SG,0.0,in,Summer,1992,1992/1993
George Weah,25,Centre-Forward,Paris SG,6500000.0,out,Summer,1992,1992/1993
James Debbah,22,Centre-Forward,Olympique Lyon,0.0,out,Summer,1992,1992/1993
Benjamin Clément,26,Defensive Midfield,FC Sochaux,0.0,out,Summer,1992,1992/1993
Christophe Robert,28,Left Winger,US Valenciennes,0.0,out,Summer,1992,1992/1993
Gérald Passi,28,Attacking Midfield,Saint-Étienne,0.0,out,Summer,1992,1992/1993
Jimmy Algérino,20,Right-Back,SAS Epinal,0.0,out,Summer,1992,1992/1993
Roger Mendy,32,Sweeper,Pescara,0.0,out,Summer,1992,1992/1993
John Sivebaek,30,Right-Back,Pescara,0.0,out,Summer,1992,1992/1993
Christophe Métais,24,midfield,Retired,0.0,out,Summer,1992,1992/1993
Cyril Granon,20,midfield,FC Lorient,0.0,out,Summer,1992,1992/1993
Victor Ikpeba,20,Centre-Forward,RC Liège,0.0,in,Summer,1993,1993/1994
Enzo Scifo,27,Attacking Midfield,Torino,0.0,in,Summer,1993,1993/1994
Sam Dominique Abouo,19,Centre-Back,ASEC Mimosas,0.0,in,Summer,1993,1993/1994
Laurent Viaud,23,Defensive Midfield,Angers SCO,0.0,in,Summer,1993,1993/1994
Amara Simba,31,Centre-Forward,Paris SG,0.0,in,Summer,1993,1993/1994
Franck Passi,27,Defensive Midfield,SC Toulon 83,0.0,in,Summer,1993,1993/1994
Sébastien Hamel,17,Goalkeeper,Monaco U19,0.0,in,Summer,1993,1993/1994
Christopher Wreh,18,Centre-Forward,Monaco B,0.0,in,Summer,1993,1993/1994
Youssouf Fofana,26,Left Winger,G. Bordeaux,0.0,out,Summer,1993,1993/1994
Rui Barros,27,Attacking Midfield,Marseille,0.0,out,Summer,1993,1993/1994
Patrick Revelles,24,Centre-Forward,SM Caen,0.0,out,Summer,1993,1993/1994
Marcel Dib,32,Central Midfield,G. Bordeaux,0.0,out,Summer,1993,1993/1994
Stjepan Andrijasevic,26,Right Midfield,Hajduk Split,0.0,out,Summer,1993,1993/1994
Angelo Hugues,26,Goalkeeper,Guingamp,0.0,out,Summer,1993,1993/1994
Cyril Granon,21,midfield,Mulhouse S-A,0.0,out,Summer,1993,1993/1994
Denis Schaer,30,midfield,Retired,0.0,out,Summer,1993,1993/1994
Luiz Henrique,25,Central Midfield,Fluminense,0.0,out,Winter,1993,1993/1994
Sonny Anderson,23,Centre-Forward,Servette FC,8250000.0,in,Summer,1994,1994/1995
Christophe Buffat,24,attack,Olympique Alès,0.0,in,Summer,1994,1994/1995
Fabien Piveteau,30,Goalkeeper,AC Le Havre,0.0,in,Summer,1994,1994/1995
Mickaël Madar,26,Centre-Forward,Cannes,0.0,in,Summer,1994,1994/1995
Éric Di Meco,30,Left-Back,Marseille,0.0,in,Summer,1994,1994/1995
Dan Petersen,22,Centre-Forward,Ajax,0.0,in,Summer,1994,1994/1995
Bruno Irles,18,Centre-Back,Monaco U19,0.0,in,Summer,1994,1994/1995
Yannick Baret,21,Defensive Midfield,Monaco B,0.0,in,Summer,1994,1994/1995
Manuel dos Santos,20,Left-Back,Monaco B,0.0,in,Summer,1994,1994/1995
Jürgen Klinsmann,29,Centre-Forward,Spurs,2750000.0,out,Summer,1994,1994/1995
Sébastien Hamel,18,Goalkeeper,AC Le Havre,0.0,out,Summer,1994,1994/1995
Sam Dominique Abouo,20,Centre-Back,Al-Nassr FC,0.0,out,Summer,1994,1994/1995
Christophe Buffat,25,attack,Mulhouse S-A,0.0,out,Summer,1994,1994/1995
Franck Passi,28,Defensive Midfield,SD Compostela,0.0,out,Summer,1994,1994/1995
Amara Simba,32,Centre-Forward,SM Caen,0.0,out,Summer,1994,1994/1995
Jérôme Gnako,26,Attacking Midfield,FC Sochaux,0.0,out,Summer,1994,1994/1995
Christian Perez,31,Attacking Midfield,LOSC Lille,0.0,out,Summer,1994,1994/1995
Jean-Luc Ettori,38,Goalkeeper,Retired,0.0,out,Summer,1994,1994/1995
Erwan Manac'h,23,Sweeper,Toulouse,0.0,out,Winter,1994,1994/1995
Basile Boli,28,Centre-Back,Rangers,2600000.0,in,Summer,1995,1995/1996
Ali Benarbia,26,Attacking Midfield,FC Martigues,0.0,in,Summer,1995,1995/1996
Fabien Barthez,24,Goalkeeper,Marseille,0.0,in,Summer,1995,1995/1996
David Trézéguet,17,Centre-Forward,Platense,0.0,in,Summer,1995,1995/1996
David di Tommaso,15,Centre-Back,Monaco U19,0.0,in,Summer,1995,1995/1996
Tony Sylva,20,Goalkeeper,Monaco B,0.0,in,Summer,1995,1995/1996
Thierry Henry,17,Centre-Forward,Monaco U19,0.0,in,Summer,1995,1995/1996
Youri Djorkaeff,27,Attacking Midfield,Paris SG,0.0,out,Summer,1995,1995/1996
Patrick Valéry,25,Right-Back,Toulouse,0.0,out,Summer,1995,1995/1996
Yannick Baret,22,Defensive Midfield,Guingamp,0.0,out,Summer,1995,1995/1996
Luc Sonor,32,Centre-Back,Unknown,0.0,out,Summer,1995,1995/1996
Basile Boli,28,Centre-Back,Urawa Reds,0.0,out,Winter,1995,1995/1996
Marco Grassi,27,Centre-Forward,Stade Rennais,6000000.0,in,Summer,1996,1996/1997
Martin Djetou,21,Centre-Back,R. Strasbourg,0.0,in,Summer,1996,1996/1997
John Collins,28,Left Midfield,Celtic,0.0,in,Summer,1996,1996/1997
Dado Prso,21,Centre-Forward,Stade Raphaëlois,0.0,in,Summer,1996,1996/1997
Philippe Léonard,22,Left-Back,Standard Liège,0.0,in,Summer,1996,1996/1997
Lilian Martin,25,Right-Back,USL Dunkerque,0.0,in,Summer,1996,1996/1997
Patrick Blondeau,29,Right-Back,Sheff Wed,2600000.0,out,Summer,1996,1996/1997
Lilian Thuram,24,Centre-Back,AC Parma,0.0,out,Summer,1996,1996/1997
Tony Sylva,21,Goalkeeper,SAS Epinal,0.0,out,Summer,1996,1996/1997
Mickaël Madar,28,Centre-Forward,Dep. La Coruña,0.0,out,Summer,1996,1996/1997
Marc Delaroche,25,Goalkeeper,SM Caen,0.0,out,Summer,1996,1996/1997
Fabien Piveteau,32,Goalkeeper,SC Bastia,0.0,out,Summer,1996,1996/1997
Christopher Wreh,21,Centre-Forward,Guingamp,0.0,out,Summer,1996,1996/1997
Claude Puel,34,Defensive Midfield,Retired,0.0,out,Summer,1996,1996/1997
Costinha,22,Defensive Midfield,Nacional,0.0,in,Winter,1996,1996/1997
Robert Spehar,27,Centre-Forward,Club Brugge,4960000.0,in,Summer,1997,1997/1998
Fabien Lefèvre,25,Left Midfield,Montpellier,0.0,in,Summer,1997,1997/1998
Julien Rodriguez,19,Centre-Back,FC Istres,0.0,in,Summer,1997,1997/1998
Ali Lukunku,21,Centre-Forward,ASOA Valence,0.0,in,Summer,1997,1997/1998
Japhet N'Doram,31,Centre-Forward,FC Nantes,0.0,in,Summer,1997,1997/1998
Djibril Diawara,22,Centre-Back,AC Le Havre,0.0,in,Summer,1997,1997/1998
Christophe Pignol,27,Left-Back,FC Nantes,0.0,in,Summer,1997,1997/1998
Muhamed Konjic,27,Centre-Back,FC Zürich,0.0,in,Summer,1997,1997/1998
Willy Sagnol,20,Right-Back,Saint-Étienne,0.0,in,Summer,1997,1997/1998
Stéphane Carnot,24,Attacking Midfield,Guingamp,0.0,in,Summer,1997,1997/1998
Philippe Christanval,18,Centre-Back,Monaco B,0.0,in,Summer,1997,1997/1998
Salif Diao,20,Defensive Midfield,Monaco B,0.0,in,Summer,1997,1997/1998
Tony Sylva,22,Goalkeeper,SAS Epinal,0.0,in,Summer,1997,1997/1998
Sonny Anderson,26,Centre-Forward,Barcelona,26250000.0,out,Summer,1997,1997/1998
Emmanuel Petit,26,Defensive Midfield,Arsenal,3750000.0,out,Summer,1997,1997/1998
