player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Wilson Oruma,19,Attacking Midfield,Lens,0.0,in,Summer,1996,1996/1997
Christophe Robert,32,Left Winger,Louh.-Cuiseaux,0.0,in,Summer,1996,1996/1997
Phil Gray,27,Centre-Forward,Sunderland,0.0,in,Summer,1996,1996/1997
Jean-Philippe Séchet,31,Central Midfield,Saint-Étienne,0.0,in,Summer,1996,1996/1997
Souleymane Cissé,18,midfield,Dijon,0.0,in,Summer,1996,1996/1997
David Fanzel,30,Right-Back,FC Gueugnon,0.0,in,Summer,1996,1996/1997
Mehdi Méniri,19,Centre-Back,AS Nancy B,0.0,in,Summer,1996,1996/1997
Youssef Moustaïd,19,Right Midfield,AS Nancy B,0.0,in,Summer,1996,1996/1997
Frédéric Marcilly,18,Central Midfield,AS Nancy U19,0.0,in,Summer,1996,1996/1997
Jérôme Bottelin,18,Centre-Forward,AS Nancy U19,0.0,in,Summer,1996,1996/1997
Mustapha Hadji,24,Attacking Midfield,Sporting CP,0.0,out,Summer,1996,1996/1997
Victor Konwlo,21,attack,Cannes,0.0,out,Summer,1996,1996/1997
Jean-Claude Fernandes,23,Defensive Midfield,LB Châteauroux,0.0,out,Summer,1996,1996/1997
Jessy Savine,20,Attacking Midfield,SAS Epinal,0.0,out,Summer,1996,1996/1997
Tony Cascarino,34,Centre-Forward,Marseille,0.0,in,Winter,1996,1996/1997
Phil Gray,28,Centre-Forward,Fortuna Sittard,0.0,out,Winter,1996,1996/1997
Demetrius Ferreira,24,Right-Back,Guarani,0.0,in,Summer,1998,1998/1999
Jinyu Li,20,Centre-Forward,Liaoning FC,0.0,in,Summer,1998,1998/1999
Marc Zanotti,22,Left Midfield,G. Bordeaux,0.0,in,Summer,1998,1998/1999
Mody Traoré,17,Right-Back,AS Nancy B,0.0,in,Summer,1998,1998/1999
Abdeslam Ouaddou,19,Centre-Back,AS Nancy B,0.0,in,Summer,1998,1998/1999
Youssouf Hadji,18,Centre-Forward,AS Nancy B,0.0,in,Summer,1998,1998/1999
Bertrand Laquait,21,Goalkeeper,AS Nancy B,0.0,in,Summer,1998,1998/1999
Sébastien Schemmel,23,Right-Back,FC Metz,0.0,out,Summer,1998,1998/1999
Ludovic Biancalani,21,Centre-Forward,F91 Dudelange,0.0,out,Summer,1998,1998/1999
Stéphane Capiaux,29,Attacking Midfield,Stade Lavallois,0.0,out,Summer,1998,1998/1999
