player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Miklos Molnar,22,Centre-Forward,Standard Liège,0.0,in,Summer,1992,1992/1993
Gérald Passi,28,Attacking Midfield,Monaco,0.0,in,Summer,1992,1992/1993
Stéphane Santini,19,Right Midfield,Unknown,0.0,in,Summer,1992,1992/1993
Robin Huc,27,Goalkeeper,Toulouse,0.0,in,Summer,1992,1992/1993
Pascal Despeyroux,27,Defensive Midfield,Toulouse,0.0,in,Summer,1992,1992/1993
Patrick Moreau,18,Right-Back,RC Paris,0.0,in,Summer,1992,1992/1993
Pierre Haon,25,Defensive Midfield,Perpignan,0.0,out,Summer,1992,1992/1993
Fabrice Mège,27,Attacking Midfield,OGC Nice,0.0,out,Summer,1992,1992/1993
Gilles Giuliano,21,Centre-Back,Unknown,0.0,out,Summer,1992,1992/1993
Dominique Corroyer,27,Centre-Forward,US Valenciennes,0.0,out,Summer,1992,1992/1993
Gilbert Ceccarelli,29,Goalkeeper,Olympique Alès,0.0,out,Summer,1992,1992/1993
Franck Solacroup,21,midfield,Toulouse Font.,0.0,out,Summer,1992,1992/1993
Thierry Courault,27,midfield,Retired,0.0,out,Summer,1992,1992/1993
Milan Luhovy,30,Centre-Forward,Without Club,0.0,in,Winter,1992,1992/1993
Roland Wohlfarth,30,Centre-Forward,Bayern Munich,1250000.0,in,Summer,1993,1993/1994
Lionel Potillon,19,Left-Back,Louh.-Cuiseaux,0.0,in,Summer,1993,1993/1994
Piotr Swierczewski,21,Defensive Midfield,GKS Katowice,0.0,in,Summer,1993,1993/1994
Laurent Blanc,27,Centre-Back,Nîmes Olympique,0.0,in,Summer,1993,1993/1994
Jean-Philippe Delpech,25,Defensive Midfield,Toulouse,0.0,in,Summer,1993,1993/1994
Christophe Médaillon,20,Defensive Midfield,Saint-Étienne B,0.0,in,Summer,1993,1993/1994
Grégory Coupet,20,Goalkeeper,Saint-Étienne B,0.0,in,Summer,1993,1993/1994
Sébastien Pérez,19,Right-Back,Saint-Étienne B,0.0,in,Summer,1993,1993/1994
Salem Harchèche,20,Left-Back,Saint-Étienne B,0.0,in,Summer,1993,1993/1994
Didier Tholot,29,Centre-Forward,FC Martigues,0.0,out,Summer,1993,1993/1994
Jean-Claude Pagal,28,Defensive Midfield,FC Martigues,0.0,out,Summer,1993,1993/1994
Sylvain Kastendeuch,29,Sweeper,Toulouse,0.0,out,Summer,1993,1993/1994
Christophe Chaintreuil,29,Defensive Midfield,FC Martigues,0.0,out,Summer,1993,1993/1994
Loïc Lambert,26,Defensive Midfield,Stade Rennais,0.0,out,Summer,1993,1993/1994
Milan Luhovy,30,Centre-Forward,PAOK Salonika,0.0,out,Summer,1993,1993/1994
Maurice Bouquet,30,Central Midfield,FC Martigues,0.0,out,Summer,1993,1993/1994
Thierry Gros,26,Left-Back,ASOA Valence,0.0,out,Summer,1993,1993/1994
Marcin Szulik,16,Attacking Midfield,Arka Nowa Sol,0.0,in,Winter,1993,1993/1994
Miklos Molnar,23,Centre-Forward,Lyngby BK,0.0,out,Winter,1993,1993/1994
Lucién Mettomo,17,Centre-Back,Ocean Kribi,0.0,in,Summer,1994,1994/1995
David Charrièras,18,Left-Back,Unknown,0.0,in,Summer,1994,1994/1995
