player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Moussa Konaté,24,Centre-Forward,FC Sion,3500000.0,in,Summer,2017,2017/2018
Bongani Zungu,24,Central Midfield,Vit. Guimarães,2000000.0,in,Summer,2017,2017/2018
Prince Gouano,23,Centre-Back,Atalanta BC,130000.0,in,Summer,2017,2017/2018
Mathieu Bodmer,34,Defensive Midfield,Guingamp,0.0,in,Summer,2017,2017/2018
Madih Talal,19,Attacking Midfield,Angers SCO B,0.0,in,Summer,2017,2017/2018
Issa Cissokho,32,Right-Back,Angers SCO,0.0,in,Summer,2017,2017/2018
Jean-Christophe Bouet,33,Goalkeeper,USL Dunkerque,0.0,in,Summer,2017,2017/2018
Brighton Labeau,21,Centre-Forward,Monaco B,0.0,in,Summer,2017,2017/2018
Gaël Kakuta,26,Attacking Midfield,HB CFFC,0.0,in,Summer,2017,2017/2018
Serge Gakpé,30,Right Winger,Genoa,0.0,in,Summer,2017,2017/2018
Lacina Traore,27,Centre-Forward,Monaco,0.0,in,Summer,2017,2017/2018
Danilo Avelar,28,Left-Back,Torino,0.0,in,Summer,2017,2017/2018
Jean-Luc Dompé,21,Left Winger,Standard Liège,0.0,in,Summer,2017,2017/2018
Nathan,21,Attacking Midfield,Chelsea,0.0,in,Summer,2017,2017/2018
Sekou Baradji,33,Defensive Midfield,Without Club,0.0,in,Summer,2017,2017/2018
Bachibou Koita,23,Centre-Forward,Amiens SC B,0.0,in,Summer,2017,2017/2018
Aboubakar Kamara,22,Centre-Forward,Fulham,6000000.0,out,Summer,2017,2017/2018
Tanguy Ndombélé,20,Central Midfield,Olympique Lyon,2000000.0,out,Summer,2017,2017/2018
Hacène Cherifi,25,midfield,Vlamertinge SK,0.0,out,Summer,2017,2017/2018
Alioune Ba,27,Centre-Back,Stade Lavallois,0.0,out,Summer,2017,2017/2018
Richard Soumah,30,Left-Back,M. Petah Tikva,0.0,out,Summer,2017,2017/2018
Joachim Eickmayer,24,Defensive Midfield,Les Herbiers VF,0.0,out,Summer,2017,2017/2018
Matthieu Fontaine,30,Centre-Back,Red Star FC,0.0,out,Summer,2017,2017/2018
Nathan Dekoke,21,Left-Back,US Boulogne,0.0,out,Summer,2017,2017/2018
Réda Rabeï,23,Central Midfield,AS Lyon-Duchère,0.0,out,Summer,2017,2017/2018
Jordan Lefort,23,Left-Back,Quevilly Rouen,0.0,out,Summer,2017,2017/2018
Yannick Mamilonne,25,Centre-Forward,Quevilly Rouen,0.0,out,Summer,2017,2017/2018
Jean Calvé,33,Right-Back,Without Club,0.0,out,Summer,2017,2017/2018
Junior Tallo,24,Centre-Forward,LOSC Lille,0.0,out,Summer,2017,2017/2018
Stiven Mendoza,25,Left Winger,Corinthians,1000000.0,in,Winter,2017,2017/2018
Réda Rabeï,23,Central Midfield,AS Lyon-Duchère,0.0,in,Winter,2017,2017/2018
Brighton Labeau,22,Centre-Forward,US Créteil-L,0.0,out,Winter,2017,2017/2018
Réda Rabeï,23,Central Midfield,Juventus Buk.,0.0,out,Winter,2017,2017/2018
Nathan,21,Attacking Midfield,Chelsea,0.0,out,Winter,2017,2017/2018
Saman Ghoddos,24,Attacking Midfield,Östersund,4000000.0,in,Summer,2018,2018/2019
Juan Otero,23,Right Winger,Estudiantes,2140000.0,in,Summer,2018,2018/2019
Rafal Kurzawa,25,Left Winger,Górnik Zabrze,850000.0,in,Summer,2018,2018/2019
Eddy Gnahoré,24,Central Midfield,US Palermo,500000.0,in,Summer,2018,2018/2019
Matthieu Dreyer,29,Goalkeeper,SM Caen,0.0,in,Summer,2018,2018/2019
Emil Krafth,24,Right-Back,Bologna,0.0,in,Summer,2018,2018/2019
Alexis Blin,21,Defensive Midfield,Toulouse,0.0,in,Summer,2018,2018/2019
Ganso,28,Attacking Midfield,Sevilla FC,0.0,in,Summer,2018,2018/2019
Cheick Timite,20,Right Winger,Amiens SC B,0.0,in,Summer,2018,2018/2019
Gauthier Banaziak,21,Goalkeeper,Amiens SC B,0.0,in,Summer,2018,2018/2019
Sanasi Sy,19,Left-Back,Amiens SC B,0.0,in,Summer,2018,2018/2019
Nathan Dekoke,23,Left-Back,US Avranches,0.0,in,Summer,2018,2018/2019
Gaoussou Traoré,18,Defensive Midfield,Amiens SC B,0.0,in,Summer,2018,2018/2019
Réda Rabeï,23,Central Midfield,Daco-Getica,0.0,in,Summer,2018,2018/2019
Brighton Labeau,22,Centre-Forward,US Créteil-L,0.0,in,Summer,2018,2018/2019
Nathan Dekoke,22,Left-Back,US Boulogne,0.0,in,Summer,2018,2018/2019
Tanguy Ndombélé,21,Central Midfield,Olympique Lyon,0.0,in,Summer,2018,2018/2019
Yannick Mamilonne,26,Centre-Forward,Quevilly Rouen,0.0,in,Summer,2018,2018/2019
Jordan Lefort,24,Left-Back,Quevilly Rouen,0.0,in,Summer,2018,2018/2019
Tanguy Ndombélé,21,Central Midfield,Olympique Lyon,8000000.0,out,Summer,2018,2018/2019
Harrison Manzala,24,Right Winger,Angers SCO,1000000.0,out,Summer,2018,2018/2019
Guessouma Fofana,25,Defensive Midfield,Guingamp,1000000.0,out,Summer,2018,2018/2019
Raphaël Adiceam,28,Goalkeeper,Racing CFF,0.0,out,Summer,2018,2018/2019
Sekou Baradji,34,Defensive Midfield,Istres FC,0.0,out,Summer,2018,2018/2019
Georges Gope-Fenepej,29,Left Midfield,Le Mans FC,0.0,out,Summer,2018,2018/2019
Guy N'Gosso,33,Defensive Midfield,Quevilly Rouen,0.0,out,Summer,2018,2018/2019
Jean-Christophe Bouet,34,Goalkeeper,Stade Lavallois,0.0,out,Summer,2018,2018/2019
Emmanuel Bourgaud,30,Right Midfield,Red Star FC,0.0,out,Summer,2018,2018/2019
Brighton Labeau,22,Centre-Forward,FC Villefranche,0.0,out,Summer,2018,2018/2019
Nathan Dekoke,22,Left-Back,US Avranches,0.0,out,Summer,2018,2018/2019
Yannick Mamilonne,26,Centre-Forward,Paris FC,0.0,out,Summer,2018,2018/2019
Madih Talal,21,Attacking Midfield,Entente SSG,0.0,out,Summer,2018,2018/2019
Ivan Bilus,25,Central Midfield,Retired,0.0,out,Summer,2018,2018/2019
Julien Ielsch,35,Left-Back,Retired,0.0,out,Summer,2018,2018/2019
Issa Cissokho,33,Right-Back,Without Club,0.0,out,Summer,2018,2018/2019
Serge Gakpé,31,Right Winger,Without Club,0.0,out,Summer,2018,2018/2019
Charly Charrier,32,Attacking Midfield,Without Club,0.0,out,Summer,2018,2018/2019
Danilo Avelar,29,Left-Back,Torino,0.0,out,Summer,2018,2018/2019
Lacina Traore,28,Centre-Forward,Monaco,0.0,out,Summer,2018,2018/2019
Gaël Kakuta,27,Attacking Midfield,HB CFFC,0.0,out,Summer,2018,2018/2019
