player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Christophe Galtier,26,Centre-Back,Toulouse,0.0,in,Summer,1993,1993/1994
Nicolas Sachy,25,Goalkeeper,USL Dunkerque,0.0,in,Summer,1993,1993/1994
Mustapha El Haddaoui,31,Central Midfield,Lens,0.0,in,Summer,1993,1993/1994
Bruno Germain,33,Defensive Midfield,Paris SG,0.0,in,Summer,1993,1993/1994
Éric Péan,29,Sweeper,Olympique Lyon,0.0,in,Summer,1993,1993/1994
Thierry Oleksiak,31,Defensive Midfield,LOSC Lille,0.0,in,Summer,1993,1993/1994
Laurent Viaud,23,Defensive Midfield,Monaco,0.0,out,Summer,1993,1993/1994
Raphaël Garcia,21,midfield,RC Ancenis,0.0,out,Summer,1993,1993/1994
Dragan Popovic,31,midfield,Retired,0.0,out,Summer,1993,1993/1994
Férébory Doré,26,Centre-Forward,Botev Plovdiv,0.0,in,Summer,2015,2015/2016
Romain Saïss,25,Centre-Back,AC Le Havre,0.0,in,Summer,2015,2015/2016
Mathias Serin,23,Attacking Midfield,SO Romorantin,0.0,in,Summer,2015,2015/2016
Cheikh N'Doye,29,Central Midfield,US Créteil-L,0.0,in,Summer,2015,2015/2016
Pierrick Capelle,28,Left Midfield,Clermont Foot,0.0,in,Summer,2015,2015/2016
Yoann Andreu,26,Left-Back,G. Ajaccio,0.0,in,Summer,2015,2015/2016
Slimane Sissoko,24,Centre-Forward,Luçon VF,0.0,in,Summer,2015,2015/2016
Billy Ketkeophomphone,25,Centre-Forward,Tours FC,0.0,in,Summer,2015,2015/2016
Ismaël Traoré,28,Centre-Back,Stade Brestois,0.0,in,Summer,2015,2015/2016
Bilel Mohsni,28,Centre-Back,Rangers,0.0,in,Summer,2015,2015/2016
Goran Karanovic,27,Centre-Forward,FC St. Gallen,0.0,in,Summer,2015,2015/2016
Thomas Mangani,28,Central Midfield,Chievo Verona,0.0,in,Summer,2015,2015/2016
Gilles Sunu,24,Attacking Midfield,Évian,0.0,in,Summer,2015,2015/2016
Diego Gómez,31,Attacking Midfield,Without Club,0.0,in,Summer,2015,2015/2016
Nicolas Pépé,20,Right Winger,Angers SCO B,0.0,in,Summer,2015,2015/2016
Jérémy Blayac,32,Centre-Forward,R. Strasbourg,0.0,in,Summer,2015,2015/2016
Jean-Pierre Nsame,22,Centre-Forward,Amiens SC,0.0,in,Summer,2015,2015/2016
Ludovic Ajorque,21,Centre-Forward,Poiré-sur-Vie,0.0,in,Summer,2015,2015/2016
Fabien Boyer,24,Centre-Back,LB Châteauroux,0.0,in,Summer,2015,2015/2016
Jonathan Kodjia,25,Centre-Forward,Bristol City,3000000.0,out,Summer,2015,2015/2016
Sacha Clémence,27,Centre-Forward,US Créteil-L,200000.0,out,Summer,2015,2015/2016
Khaled Ayari,25,Centre-Forward,Paris FC,0.0,out,Summer,2015,2015/2016
Jérémy Blayac,32,Centre-Forward,R. Strasbourg,0.0,out,Summer,2015,2015/2016
Rayan Frikeche,23,Centre-Back,AC Ajaccio,0.0,out,Summer,2015,2015/2016
Loïc Guillon,33,Centre-Back,Luçon VF,0.0,out,Summer,2015,2015/2016
Ludovic Ajorque,21,Centre-Forward,Luçon VF,0.0,out,Summer,2015,2015/2016
Nicolas Pépé,20,Right Winger,US Orléans,0.0,out,Summer,2015,2015/2016
Fabien Boyer,24,Centre-Back,KV Kortrijk,0.0,out,Summer,2015,2015/2016
Hamza Hafidi,22,Defensive Midfield,Without Club,0.0,out,Summer,2015,2015/2016
Mohamed Slim Ben Othman,25,Left Winger,Without Club,0.0,out,Summer,2015,2015/2016
Diego Gómez,31,Attacking Midfield,Without Club,0.0,out,Summer,2015,2015/2016
Jean-Jacques Pierre,34,Centre-Back,SM Caen,0.0,out,Summer,2015,2015/2016
Thomas Mangani,28,Central Midfield,Chievo Verona,0.0,out,Summer,2015,2015/2016
Denis Petric,27,Goalkeeper,Troyes,0.0,in,Winter,2015,2015/2016
Grégory Bourillon,31,Centre-Back,Stade Reims,0.0,in,Winter,2015,2015/2016
Mohamed Yattara,22,Centre-Forward,Standard Liège,0.0,in,Winter,2015,2015/2016
Saïd Benrahma,20,Left Winger,OGC Nice,0.0,in,Winter,2015,2015/2016
Abdoul Camara,25,Left Winger,Derby,1700000.0,out,Winter,2015,2015/2016
Ludovic Butelle,32,Goalkeeper,Club Brugge,1000000.0,out,Winter,2015,2015/2016
Bilel Mohsni,28,Centre-Back,Paris FC,0.0,out,Winter,2015,2015/2016
Anthar Yahia,33,Centre-Back,US Orléans,0.0,out,Winter,2015,2015/2016
Diego Gómez,32,Attacking Midfield,US Boulogne,0.0,out,Winter,2015,2015/2016
Jonas Pessalli,25,Right Winger,Luçon VF,0.0,out,Winter,2015,2015/2016
Kalifa Traoré,24,Centre-Back,Les Herbiers VF,0.0,out,Winter,2015,2015/2016
Ismaël Keïta,25,Defensive Midfield,Paris FC,0.0,out,Winter,2015,2015/2016
Famara Diédhiou,23,Centre-Forward,Clermont Foot,1600000.0,in,Summer,2016,2016/2017
Mathieu Michel,24,Goalkeeper,Nîmes Olympique,1000000.0,in,Summer,2016,2016/2017
Karl Toko Ekambi,23,Left Winger,FC Sochaux,1000000.0,in,Summer,2016,2016/2017
Jamel Saihi,29,Defensive Midfield,Montpellier,800000.0,in,Summer,2016,2016/2017
Baptiste Santamaria,21,Central Midfield,Tours FC,500000.0,in,Summer,2016,2016/2017
Flavien Tait,23,Central Midfield,LB Châteauroux,300000.0,in,Summer,2016,2016/2017
Yoane Wissa,19,Left Winger,LB Châteauroux,0.0,in,Summer,2016,2016/2017
Mateo Pavlovic,26,Centre-Back,Werder Bremen,0.0,in,Summer,2016,2016/2017
Pablo Martinez,27,Centre-Back,G. Ajaccio,0.0,in,Summer,2016,2016/2017
Mehdi Tahrat,26,Centre-Back,Red Star FC,0.0,in,Summer,2016,2016/2017
Gabriel Mutombo,20,Centre-Back,Angers SCO B,0.0,in,Summer,2016,2016/2017
Dickson Nwakaeme,30,Centre-Forward,Without Club,0.0,in,Summer,2016,2016/2017
Jonas Pessalli,NA,Right Winger,Luçon FC,0.0,in,Summer,2016,2016/2017
Diego Gómez,32,Attacking Midfield,US Boulogne,0.0,in,Summer,2016,2016/2017
Anthar Yahia,34,Centre-Back,US Orléans,0.0,in,Summer,2016,2016/2017
Ludovic Ajorque,22,Centre-Forward,Luçon FC,0.0,in,Summer,2016,2016/2017
Nicolas Pépé,21,Right Winger,US Orléans,0.0,in,Summer,2016,2016/2017
Romain Saïss,26,Centre-Back,Wolves,4000000.0,out,Summer,2016,2016/2017
Arnold Bouka Moutou,27,Left-Back,Dijon,400000.0,out,Summer,2016,2016/2017
Diego Gómez,32,Attacking Midfield,SO Cholet,0.0,out,Summer,2016,2016/2017
Anthar Yahia,34,Centre-Back,US Orléans,0.0,out,Summer,2016,2016/2017
Jean-Pierre Nsame,23,Centre-Forward,Servette FC,0.0,out,Summer,2016,2016/2017
Gaël Angoula,33,Right-Back,Nîmes Olympique,0.0,out,Summer,2016,2016/2017
Goran Karanovic,28,Centre-Forward,FC Sochaux,0.0,out,Summer,2016,2016/2017
Gabriel Mutombo,20,Centre-Back,CA Bastia,0.0,out,Summer,2016,2016/2017
Kalifa Traoré,25,Centre-Back,Les Herbiers VF,0.0,out,Summer,2016,2016/2017
Ludovic Ajorque,22,Centre-Forward,Clermont Foot,0.0,out,Summer,2016,2016/2017
Guy N'Gosso,31,Defensive Midfield,Amiens SC,0.0,out,Summer,2016,2016/2017
Slimane Sissoko,25,Centre-Forward,Nîmes Olympique,0.0,out,Summer,2016,2016/2017
Yohann Eudeline,34,Right Winger,Retired,0.0,out,Summer,2016,2016/2017
Charles Diers,35,Central Midfield,Retired,0.0,out,Summer,2016,2016/2017
Olivier Auriac,32,Defensive Midfield,Retired,0.0,out,Summer,2016,2016/2017
