player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Francisco Pavón,30,Centre-Back,Real Zaragoza,0.0,in,Summer,2010,2010/2011
Álvaro Mejía,28,Centre-Back,Real Murcia,0.0,in,Summer,2010,2010/2011
Fabien Laurenti,27,Right-Back,Lens,0.0,in,Summer,2010,2010/2011
Franck Dja Djédjé,24,Right Winger,R. Strasbourg,0.0,in,Summer,2010,2010/2011
Elamine Erbate,29,Centre-Back,Moghreb Tétouan,0.0,in,Summer,2010,2010/2011
Jamel Aït Ben Idir,26,Defensive Midfield,AC Le Havre,0.0,in,Summer,2010,2010/2011
Angelos Charisteas,30,Centre-Forward,1.FC Nuremberg,0.0,in,Summer,2010,2010/2011
Chafik Najih,26,Attacking Midfield,Clermont Foot,0.0,in,Summer,2010,2010/2011
Camel Meriem,30,Attacking Midfield,Aris Saloniki,0.0,in,Summer,2010,2010/2011
Hameur Bouazza,25,Right Winger,Blackpool,0.0,in,Summer,2010,2010/2011
Angelos Basinas,34,Defensive Midfield,Portsmouth,0.0,in,Summer,2010,2010/2011
Vincent Planté,29,Goalkeeper,Saint-Étienne,0.0,in,Summer,2010,2010/2011
Loïc Abenzoar,21,Right-Back,Olymp. Lyon B,0.0,in,Summer,2010,2010/2011
Kamel Ghilas,26,Second Striker,Hull City,0.0,in,Summer,2010,2010/2011
Yann Kermorgant,28,Centre-Forward,Leicester,0.0,in,Summer,2010,2010/2011
Rémy Cabella,20,Attacking Midfield,Montpellier,0.0,in,Summer,2010,2010/2011
Jean-Alain Fanchone,21,Left-Back,R. Strasbourg,0.0,in,Summer,2010,2010/2011
Johnathan,20,Centre-Forward,Goiás EC,0.0,in,Summer,2010,2010/2011
Anthony Guise,25,Centre-Forward,AC Arles B,0.0,in,Summer,2010,2010/2011
Maurice Dalé,24,Centre-Forward,Unirea Urziceni,300000.0,out,Summer,2010,2010/2011
Andrea Schifano,18,Central Midfield,AFC Tubize,0.0,out,Summer,2010,2010/2011
Yann Hubert,25,Goalkeeper,Saint-Pierroise,0.0,out,Summer,2010,2010/2011
Driss Himmes,26,Attacking Midfield,FC Martigues,0.0,out,Summer,2010,2010/2011
Matthieu Sans,22,Centre-Back,SC Bastia,0.0,out,Summer,2010,2010/2011
Romain Reynaud,27,Centre-Back,LB Châteauroux,0.0,out,Summer,2010,2010/2011
Marvin Esor,20,Right-Back,Clermont Foot,0.0,out,Summer,2010,2010/2011
Jean-Charles Cirilli,27,Centre-Back,Amiens SC,0.0,out,Summer,2010,2010/2011
Victor Jouseau,20,midfield,GFCO Ajaccio,0.0,out,Summer,2010,2010/2011
Anthony Guise,25,Centre-Forward,Luzenac AP,0.0,out,Summer,2010,2010/2011
Romain Elie,25,Centre-Back,RSC Charleroi,0.0,out,Summer,2010,2010/2011
Rachid Aliaoui,23,Attacking Midfield,AC Arles B,0.0,out,Summer,2010,2010/2011
Nicolas Hislen,27,Defensive Midfield,Retired,0.0,out,Summer,2010,2010/2011
Jean-Christophe Vergerolle,24,Left-Back,Without Club,0.0,out,Summer,2010,2010/2011
Benjamin Oliveras,29,Left-Back,Retired,0.0,out,Summer,2010,2010/2011
Angelos Basinas,34,Defensive Midfield,Retired,0.0,out,Summer,2010,2010/2011
Ludovic Liron,32,Centre-Back,Without Club,0.0,out,Summer,2010,2010/2011
Ali Mathlouthi,23,Right Winger,R. Strasbourg,0.0,out,Summer,2010,2010/2011
Steve Pinau,22,Attacking Midfield,Genoa,0.0,out,Summer,2010,2010/2011
André Ayew,20,Left Winger,Marseille,0.0,out,Summer,2010,2010/2011
Bobo Balde,35,Centre-Back,Valenciennes FC,0.0,in,Winter,2010,2010/2011
Romain Rocchi,29,Defensive Midfield,Hapoel Tel Aviv,0.0,in,Winter,2010,2010/2011
Arnaud Torregrossa,21,Goalkeeper,Perpignan Canet,0.0,in,Winter,2010,2010/2011
Grégory Lorenzi,27,Centre-Back,Stade Brestois,0.0,in,Winter,2010,2010/2011
Elamine Erbate,29,Centre-Back,Raja Casablanca,200000.0,out,Winter,2010,2010/2011
Benjamin Psaume,25,Right Winger,Troyes,0.0,out,Winter,2010,2010/2011
Álvaro Mejía,28,Centre-Back,Konyaspor,0.0,out,Winter,2010,2010/2011
Chafik Najih,27,Attacking Midfield,US Boulogne,0.0,out,Winter,2010,2010/2011
Hameur Bouazza,25,Right Winger,Millwall,0.0,out,Winter,2010,2010/2011
Angelos Charisteas,30,Centre-Forward,Without Club,0.0,out,Winter,2010,2010/2011
