player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Jean-Louis Montero,28,Right-Back,FC Lorient,0.0,in,Summer,1999,1999/2000
Mathieu Verschuère,27,Defensive Midfield,LB Châteauroux,0.0,in,Summer,1999,1999/2000
Patrick Regnault,25,Goalkeeper,Le Mans UC 72,0.0,in,Summer,1999,1999/2000
Dzoni Novak,29,Left Midfield,AC Le Havre,0.0,in,Summer,1999,1999/2000
Eddy Capron,28,Centre-Back,Stade Rennais,0.0,in,Summer,1999,1999/2000
Laurent Huard,25,Defensive Midfield,Stade Rennais,0.0,in,Summer,1999,1999/2000
Oumar Dieng,26,Centre-Back,AJ Auxerre,0.0,in,Summer,1999,1999/2000
Youssef Moughfire,22,Left Midfield,Thouars Foot 79,0.0,out,Summer,1999,1999/2000
Rémy Mukenge,24,defence,RE Virton,0.0,out,Summer,1999,1999/2000
Flavio Rodrigues,30,Central Midfield,OG Rouen,0.0,out,Summer,1999,1999/2000
Bruno Pabois,29,Defensive Midfield,Stade Brestois,0.0,out,Summer,1999,1999/2000
Jean-Michel Luciani,24,defence,Unknown,0.0,out,Summer,1999,1999/2000
Roland Itoua Ngadsé,20,defence,Saint-Quentin,0.0,out,Summer,1999,1999/2000
Hippolyte Dangbeto,29,Right-Back,Retired,0.0,out,Summer,1999,1999/2000
Farid Fouzari,31,defence,Retired,0.0,out,Summer,1999,1999/2000
Geir Frigard,29,Centre-Forward,TeBe Berlin,0.0,in,Winter,1999,1999/2000
Billel Dziri,27,Right Midfield,ES Sahel,0.0,in,Winter,1999,1999/2000
Pascal Gourville,25,Centre-Back,Le Mans UC 72,0.0,in,Summer,2000,2000/2001
Salif Diao,23,Defensive Midfield,Monaco,0.0,in,Summer,2000,2000/2001
Moussa N'Diaye,21,Right Winger,Monaco,0.0,in,Summer,2000,2000/2001
Toni Brogno,27,Second Striker,KVC Westerlo,0.0,in,Summer,2000,2000/2001
Modeste M'Bami,17,Defensive Midfield,Dynamo Douala,0.0,in,Summer,2000,2000/2001
Philippe Celdran,26,Left Midfield,ASOA Valence,0.0,in,Summer,2000,2000/2001
Jérôme Frétard,24,midfield,Amiens SC,0.0,in,Summer,2000,2000/2001
Pierre Deblock,27,Right Midfield,AJ Auxerre,2800000.0,out,Summer,2000,2000/2001
Geir Frigard,29,Centre-Forward,LASK,0.0,out,Summer,2000,2000/2001
Alex Di Rocco,29,Centre-Forward,Saint-Étienne,0.0,out,Summer,2000,2000/2001
Laurent Huard,26,Defensive Midfield,Saint-Étienne,0.0,out,Summer,2000,2000/2001
Billel Dziri,28,Right Midfield,USM Alger,0.0,out,Summer,2000,2000/2001
Freddy Bourgeois,23,Defensive Midfield,Cannes,0.0,out,Summer,2000,2000/2001
Jean-Philippe Faure,33,midfield,Retired,0.0,out,Summer,2000,2000/2001
Oumar Dieng,27,Centre-Back,AJ Auxerre,0.0,out,Summer,2000,2000/2001
