player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Elbasan Rashani,28,Left Winger,BB Erzurumspor,0.0,in,Summer,2021,2021/2022
Cem Türkmen,19,Central Midfield,Bay. Leverkusen,0.0,in,Summer,2021,2021/2022
Saîf-Eddine Khaoui,26,Attacking Midfield,Marseille,0.0,in,Summer,2021,2021/2022
Oriol Busquets,22,Defensive Midfield,Barcelona B,0.0,in,Summer,2021,2021/2022
Jean-Claude Billong,27,Centre-Back,Benevento,0.0,in,Summer,2021,2021/2022
Salis Abdul Samed,21,Defensive Midfield,JMG Abidjan,0.0,in,Summer,2021,2021/2022
Arial Mendy,26,Left-Back,Servette FC,0.0,in,Summer,2021,2021/2022
Pierre-Yves Hamel,27,Centre-Forward,FC Lorient,0.0,in,Summer,2021,2021/2022
Julien Boyer,23,Left-Back,Bourg-en-Bresse,0.0,in,Summer,2021,2021/2022
Muhammed Cham,20,Attacking Midfield,Vendsyssel FF,0.0,in,Summer,2021,2021/2022
Naël Jaby,20,Attacking Midfield,A. Lustenau,0.0,in,Summer,2021,2021/2022
Till Cissokho,21,Centre-Back,A. Lustenau,0.0,in,Summer,2021,2021/2022
Blankson Anoff,20,Attacking Midfield,A. Lustenau,0.0,in,Summer,2021,2021/2022
Brandon Baiye,20,Defensive Midfield,A. Lustenau,0.0,in,Summer,2021,2021/2022
Bryan Silva Teixeira,20,Left Winger,US Orléans,0.0,in,Summer,2021,2021/2022
David Gomis,28,Right Winger,Pau FC,0.0,out,Summer,2021,2021/2022
Muamer Aljic,21,Centre-Back,Louh.-Cuiseaux,0.0,out,Summer,2021,2021/2022
Blankson Anoff,20,Attacking Midfield,Hesperange,0.0,out,Summer,2021,2021/2022
Baïla Diallo,20,Left-Back,US Orléans,0.0,out,Summer,2021,2021/2022
Till Cissokho,21,Centre-Back,Quevilly Rouen,0.0,out,Summer,2021,2021/2022
Lorenzo Rajot,23,Central Midfield,Rodez AF,0.0,out,Summer,2021,2021/2022
Driss Trichard,26,Left-Back,USL Dunkerque,0.0,out,Summer,2021,2021/2022
Cem Türkmen,19,Central Midfield,A. Lustenau,0.0,out,Summer,2021,2021/2022
Bryan Silva Teixeira,20,Left Winger,A. Lustenau,0.0,out,Summer,2021,2021/2022
Brandon Baiye,20,Defensive Midfield,A. Lustenau,0.0,out,Summer,2021,2021/2022
Sofyan Chader,21,Left Winger,Stade-Lausanne,0.0,out,Summer,2021,2021/2022
Muhammed Cham,20,Attacking Midfield,A. Lustenau,0.0,out,Summer,2021,2021/2022
Salis Abdul Samed,21,Defensive Midfield,JMG Abidjan,0.0,out,Summer,2021,2021/2022
Lucas Da Cunha,20,Left Winger,OGC Nice,0.0,in,Winter,2021,2021/2022
Grejohn Kyei,26,Centre-Forward,Servette FC,0.0,in,Winter,2021,2021/2022
Jonathan Iglesias,33,Central Midfield,Paris FC,0.0,out,Winter,2021,2021/2022
Jordan Tell,24,Centre-Forward,Grenoble,0.0,out,Winter,2021,2021/2022
Julien Boyer,23,Left-Back,SC Bastia,0.0,out,Winter,2021,2021/2022
Mateusz Wieteska,25,Centre-Back,Legia Warszawa,1300000.0,in,Summer,2022,2022/2023
Komnen Andric,27,Centre-Forward,Dinamo Zagreb,1000000.0,in,Summer,2022,2022/2023
Neto Borges,25,Left-Back,KRC Genk,0.0,in,Summer,2022,2022/2023
Yanis Massolin,19,Central Midfield,Moulins-Yzeure,0.0,in,Summer,2022,2022/2023
Souleymane Cissé,19,Centre-Back,RC Lens B,0.0,in,Summer,2022,2022/2023
Mory Diaw,29,Goalkeeper,Lausanne-Sport,0.0,in,Summer,2022,2022/2023
Jérémie Bela,29,Left Winger,Birmingham,0.0,in,Summer,2022,2022/2023
Maxime Gonalons,33,Defensive Midfield,Granada CF,0.0,in,Summer,2022,2022/2023
Yadaly Diaby,21,Attacking Midfield,Clermont B,0.0,in,Summer,2022,2022/2023
Mehdi Zeffane,30,Right-Back,Without Club,0.0,in,Summer,2022,2022/2023
Oliver Kamdem,19,Right-Back,Clermont B,0.0,in,Summer,2022,2022/2023
Yuliwes Bellache,19,Central Midfield,Clermont B,0.0,in,Summer,2022,2022/2023
Maximiliano Caufriez,25,Centre-Back,Spartak Moscow,0.0,in,Summer,2022,2022/2023
Baïla Diallo,21,Left-Back,US Orléans,0.0,in,Summer,2022,2022/2023
Muhammed Cham,21,Attacking Midfield,A. Lustenau,0.0,in,Summer,2022,2022/2023
Julien Boyer,24,Left-Back,SC Bastia,0.0,in,Summer,2022,2022/2023
Bryan Teixeira,21,Left Winger,A. Lustenau,0.0,in,Summer,2022,2022/2023
Brandon Baiye,21,Defensive Midfield,A. Lustenau,0.0,in,Summer,2022,2022/2023
Sofyan Chader,22,Left Winger,Stade-Lausanne,0.0,in,Summer,2022,2022/2023
Till Cissokho,22,Centre-Back,Quevilly Rouen,0.0,in,Summer,2022,2022/2023
Mohamed Bayo,24,Centre-Forward,LOSC Lille,14000000.0,out,Summer,2022,2022/2023
Salis Abdul Samed,22,Defensive Midfield,Lens,5000000.0,out,Summer,2022,2022/2023
Cédric Hountondji,28,Centre-Back,Angers SCO,2000000.0,out,Summer,2022,2022/2023
Sofyan Chader,22,Left Winger,FC Luzern,400000.0,out,Summer,2022,2022/2023
Vital Nsimba,29,Left-Back,G. Bordeaux,0.0,out,Summer,2022,2022/2023
Bryan Teixeira,21,Left Winger,A. Lustenau,0.0,out,Summer,2022,2022/2023
Akim Zedadka,27,Right-Back,LOSC Lille,0.0,out,Summer,2022,2022/2023
Till Cissokho,22,Centre-Back,Quevilly Rouen,0.0,out,Summer,2022,2022/2023
Oriol Busquets,23,Defensive Midfield,Arouca,0.0,out,Summer,2022,2022/2023
