player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Brice Jovial,27,Centre-Forward,AC Le Havre,2000000.0,in,Summer,2011,2011/2012
Samuel Souprayen,22,Centre-Back,Stade Rennais,1500000.0,in,Summer,2011,2011/2012
Grégory Thil,31,Centre-Forward,US Boulogne,800000.0,in,Summer,2011,2011/2012
Younousse Sankharé,21,Central Midfield,Paris SG,500000.0,in,Summer,2011,2011/2012
Kentin Olive,15,Centre-Back,PSG Youth,0.0,in,Summer,2011,2011/2012
Sekou Baradji,27,Defensive Midfield,Hapoel Raanana,0.0,in,Summer,2011,2011/2012
Daisuke Matsui,30,Left Midfield,Grenoble,0.0,in,Summer,2011,2011/2012
Baptiste Reynet,20,Goalkeeper,FC Martigues,0.0,in,Summer,2011,2011/2012
Cédric Varrault,31,Centre-Back,Panionios,0.0,in,Summer,2011,2011/2012
Christopher Joufreau,19,Left Winger,US Changé,0.0,in,Summer,2011,2011/2012
Zakaria Diallo,24,Centre-Back,RSC Charleroi,0.0,in,Summer,2011,2011/2012
Abdoulaye Méïté,30,Centre-Back,West Brom,0.0,in,Summer,2011,2011/2012
Thomas Guerbert,22,Attacking Midfield,Luzenac AP,0.0,in,Summer,2011,2011/2012
Damien Marcq,22,Defensive Midfield,SM Caen,0.0,in,Summer,2011,2011/2012
Luca Passoni,20,Goalkeeper,Dijon FCO B,0.0,in,Summer,2011,2011/2012
Youcef Touati,22,Attacking Midfield,Cannes,0.0,in,Summer,2011,2011/2012
Stéphane Morisot,33,Defensive Midfield,FC Rouen 1899,0.0,out,Summer,2011,2011/2012
Ruddy M'Passi,21,Centre-Forward,Atl. Baleares,0.0,out,Summer,2011,2011/2012
Youcef Touati,22,Attacking Midfield,Red Star FC 93,0.0,out,Summer,2011,2011/2012
Jérôme Martin,25,Defensive Midfield,US Orléans,0.0,out,Summer,2011,2011/2012
Sebastián Ribas,23,Centre-Forward,Genoa,0.0,out,Summer,2011,2011/2012
Florent Ogier,22,Centre-Back,Besançon RC,0.0,out,Summer,2011,2011/2012
Raphaël Cacérès,23,Centre-Forward,Troyes,0.0,out,Summer,2011,2011/2012
Franck Grandel,33,Goalkeeper,Without Club,0.0,out,Summer,2011,2011/2012
Mickaël Isabey,36,Right Midfield,Retired,0.0,out,Summer,2011,2011/2012
Charley Fomen,21,Left-Back,Marseille,0.0,out,Summer,2011,2011/2012
Nicolas Seguin,21,Centre-Back,Olympique Lyon,0.0,out,Summer,2011,2011/2012
Younousse Sankharé,21,Central Midfield,Paris SG,0.0,out,Summer,2011,2011/2012
Lhadji Badiane,24,Right Winger,Stade Rennais,0.0,out,Summer,2011,2011/2012
Zié Diabaté,22,Left-Back,FC Dinamo,500000.0,in,Winter,2011,2011/2012
