player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Yannick Baret,22,Defensive Midfield,Monaco,0.0,in,Summer,1995,1995/1996
Vincent Candela,21,Left-Back,Toulouse,0.0,in,Summer,1995,1995/1996
Jérôme Foulon,24,Right-Back,LOSC Lille,0.0,in,Summer,1995,1995/1996
Philippe Chrismousse,20,Goalkeeper,Lens,0.0,in,Summer,1995,1995/1996
Sébastien Dallet,21,Right Winger,Lens,0.0,in,Summer,1995,1995/1996
Gheorghe Mihali,29,Centre-Back,FC Dinamo,0.0,in,Summer,1995,1995/1996
Djordje Tomic,22,Central Midfield,Hajduk Kula,0.0,in,Summer,1995,1995/1996
Stéphane Trévisan,21,Goalkeeper,Toulouse Font.,0.0,in,Summer,1995,1995/1996
Réginald Ray,26,Centre-Forward,Stade Briochin,0.0,in,Summer,1995,1995/1996
Jérôme Molinier,21,Centre-Forward,Thouars Foot 79,0.0,in,Summer,1995,1995/1996
Fabrice Divert,28,Centre-Forward,Montpellier,0.0,in,Summer,1995,1995/1996
Arnaud Paignac,20,defence,EA Guingamp U19,0.0,in,Summer,1995,1995/1996
Didier Otokoré,26,Left Winger,AJ Auxerre B,0.0,out,Summer,1995,1995/1996
Ulrich Médard,20,midfield,AS Cherbourg,0.0,out,Summer,1995,1995/1996
Gildas Guerlesquin,24,defence,Stade Brestois,0.0,out,Summer,1995,1995/1996
Philippe Rabouan,25,Right-Back,Angers SCO,0.0,out,Summer,1995,1995/1996
Didier Combe,26,Left-Back,AS Nancy,0.0,out,Summer,1995,1995/1996
Anthony Martins,24,midfield,FC Nantes B,0.0,out,Summer,1995,1995/1996
Cyril Cassèse,22,attack,Olympique Alès,0.0,out,Summer,1995,1995/1996
Stéphane Guivarc'h,24,Centre-Forward,AJ Auxerre,0.0,out,Summer,1995,1995/1996
Jérémy Toutain,19,attack,EA Guingamp B,0.0,out,Summer,1995,1995/1996
Fabrice Divert,29,Centre-Forward,Montpellier,0.0,out,Summer,1995,1995/1996
Xavier Gravelaine,27,Centre-Forward,Paris SG,0.0,in,Winter,1995,1995/1996
Pierre-Emmanuel Bourdeau,21,Centre-Back,Stade Poitevin,0.0,in,Summer,1996,1996/1997
Stéphane Boulila,21,Central Midfield,Noisy-le-Sec,0.0,in,Summer,1996,1996/1997
Christopher Wreh,21,Centre-Forward,Monaco,0.0,in,Summer,1996,1996/1997
Éric Assadourian,29,Right Winger,Olympique Lyon,0.0,in,Summer,1996,1996/1997
Daniel Moreira,18,Second Striker,Valenciennes FC,0.0,in,Summer,1996,1996/1997
Jean-Marc Moulin,22,Centre-Back,Olympique Lyon,0.0,in,Summer,1996,1996/1997
Jean-Luc Vannuchi,25,defence,OGC Nice,0.0,in,Summer,1996,1996/1997
Christophe Horlaville,27,Centre-Forward,Cannes,0.0,in,Summer,1996,1996/1997
Marek Jozwiak,28,Centre-Back,Legia Warszawa,0.0,in,Summer,1996,1996/1997
Sabri Tabet,18,attack,EA Guingamp U19,0.0,in,Summer,1996,1996/1997
Jean-Jacques Houzé,25,midfield,Louh.-Cuiseaux,0.0,out,Summer,1996,1996/1997
Arnaud Paignac,21,defence,Mont-de-Marsan,0.0,out,Summer,1996,1996/1997
Salim Bekhti,22,midfield,Stade Poitevin,0.0,out,Summer,1996,1996/1997
Gilles Giuliano,25,Centre-Back,Unknown,0.0,out,Summer,1996,1996/1997
Djordje Tomic,23,Central Midfield,Atlético Madrid,0.0,out,Summer,1996,1996/1997
Réginald Ray,27,Centre-Forward,FC Gueugnon,0.0,out,Summer,1996,1996/1997
Jérôme Molinier,22,Centre-Forward,Troyes,0.0,out,Summer,1996,1996/1997
Hubert Fournier,28,Centre-Back,Bor. M'gladbach,0.0,out,Summer,1996,1996/1997
Xavier Gravelaine,27,Centre-Forward,Marseille,0.0,out,Summer,1996,1996/1997
Joël Cloarec,30,attack,Without Club,0.0,out,Summer,1996,1996/1997
Sébastien Dallet,22,Right Winger,Lens,0.0,out,Summer,1996,1996/1997
Christophe Le Roux,27,Right Midfield,FC Lorient,0.0,out,Summer,1996,1996/1997
Ryszard Czerwiec,28,midfield,Widzew Lodz,0.0,in,Winter,1996,1996/1997
Vincent Candela,23,Left-Back,AS Roma,9600000.0,out,Winter,1996,1996/1997
Philippe Chrismousse,22,Goalkeeper,Noisy-le-Sec,0.0,out,Winter,1996,1996/1997
Gérard Gnanhouan,18,Goalkeeper,INF Clairefontaine,0.0,in,Summer,1997,1997/1998
Fabrice Fiorèse,21,Right Winger,Olympique Lyon,0.0,in,Summer,1997,1997/1998
Moussa Dabo,15,Central Midfield,Stade Rennais,0.0,in,Summer,1997,1997/1998
Lilian Nalis,25,Central Midfield,Stade Lavallois,0.0,in,Summer,1997,1997/1998
Anthony Bancarel,26,Centre-Forward,G. Bordeaux,0.0,in,Summer,1997,1997/1998
Rudy Perron,19,defence,AS Angoulême 92,0.0,in,Summer,1997,1997/1998
David Garcion,23,Attacking Midfield,LOSC Lille,0.0,in,Summer,1997,1997/1998
Guillaume Bouisset,24,Left-Back,FC Martigues,0.0,in,Summer,1997,1997/1998
