player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Mehdi Méniri,23,Centre-Back,AS Nancy,1220000.0,in,Summer,2000,2000/2001
Hervé Sekli,23,Goalkeeper,GFCO Ajaccio,0.0,in,Summer,2000,2000/2001
Alexandre Jeannin,22,Left-Back,RC Paris,0.0,in,Summer,2000,2000/2001
Carl Tourenne,28,Centre-Back,LOSC Lille,0.0,in,Summer,2000,2000/2001
Nicolas Goussé,24,Centre-Forward,FC Metz,0.0,in,Summer,2000,2000/2001
Jérôme Rothen,22,Left Midfield,SM Caen,0.0,in,Summer,2000,2000/2001
Badile Lubamba,24,Right-Back,FC Lugano,0.0,in,Summer,2000,2000/2001
Fabio Celestini,24,Defensive Midfield,Lausanne-Sport,0.0,in,Summer,2000,2000/2001
Yannick Zambernardi,22,Centre-Back,AC Ajaccio,0.0,in,Summer,2000,2000/2001
Christian Nadé,15,Centre-Forward,Troyes U19,0.0,in,Summer,2000,2000/2001
Mamadou Niang,20,Centre-Forward,Troyes B,0.0,in,Summer,2000,2000/2001
Emmanuel Rival,29,Defensive Midfield,Nîmes Olympique,0.0,out,Summer,2000,2000/2001
Samuel Lobé,33,Centre-Forward,FC Martigues,0.0,out,Summer,2000,2000/2001
Laurent Weber,27,Goalkeeper,AS Beauvais,0.0,out,Summer,2000,2000/2001
Amar Bouchemla,29,attack,FC Rodange 91,0.0,out,Summer,2000,2000/2001
Nicolas Dehon,32,Goalkeeper,Retired,0.0,out,Summer,2000,2000/2001
Olivier Fugen,29,Defensive Midfield,Troyes B,0.0,out,Summer,2000,2000/2001
Didier Lang,29,Defensive Midfield,FC Sochaux,0.0,out,Summer,2000,2000/2001
Éric Roy,33,Defensive Midfield,Sunderland,0.0,in,Winter,2000,2000/2001
Patrice Loko,31,Centre-Forward,Olympique Lyon,0.0,in,Summer,2001,2001/2002
Stéphane Cassard,28,Goalkeeper,US Créteil,0.0,in,Summer,2001,2001/2002
Marc Pfertzel,20,Right-Back,Mulhouse,0.0,in,Summer,2001,2001/2002
Gharib Amzine,28,Left Midfield,R. Strasbourg,0.0,in,Summer,2001,2001/2002
Michael Svensson,25,Centre-Back,Halmstads BK,0.0,in,Summer,2001,2001/2002
Olivier Thomas,26,Left-Back,AS Nancy,0.0,in,Summer,2001,2001/2002
Mehdi Leroy,23,Central Midfield,FC Nantes,0.0,in,Summer,2001,2001/2002
Frédéric Danjou,26,Centre-Back,Real Oviedo,0.0,in,Summer,2001,2001/2002
Karim Ziani,18,Attacking Midfield,Troyes B,0.0,in,Summer,2001,2001/2002
Éric Roy,33,Defensive Midfield,Rayo Vallecano,0.0,out,Summer,2001,2001/2002
Samuel Boutal,31,Centre-Forward,Kilmarnock FC,0.0,out,Summer,2001,2001/2002
Raphaël Nadé,20,Centre-Forward,Hampton & Rich.,0.0,out,Summer,2001,2001/2002
Richard Jezierski,30,defence,CS Sedan,0.0,out,Summer,2001,2001/2002
Jérôme Monier,29,midfield,Stade Lavallois,0.0,out,Summer,2001,2001/2002
Frédéric Arpinon,32,Attacking Midfield,Hibernian FC,0.0,out,Summer,2001,2001/2002
Samba Diawara,23,Centre-Back,FC Istres,0.0,out,Summer,2001,2001/2002
Benoît Croissant,20,Centre-Back,Sheff Utd,0.0,out,Summer,2001,2001/2002
Luciano Zavagno,23,Left-Back,Derby,0.0,out,Summer,2001,2001/2002
Farid Ghazi,27,Centre-Forward,FC Baniyas,0.0,out,Summer,2001,2001/2002
Ibrahima Bangoura,19,Right Winger,FC Istres,0.0,in,Winter,2001,2001/2002
Benjamin Nivet,25,Attacking Midfield,LB Châteauroux,0.0,in,Winter,2001,2001/2002
Nicolas Bonnal,25,Left Midfield,Without Club,0.0,in,Winter,2001,2001/2002
Jérôme Rothen,23,Left Midfield,Monaco,4500000.0,out,Winter,2001,2001/2002
Alexandre Jeannin,24,Left-Back,Darlington,65000.0,out,Winter,2001,2001/2002
Sladjan Djukic,35,Second Striker,Nîmes Olympique,0.0,out,Winter,2001,2001/2002
Nordin Jbari,26,Centre-Forward,Aris Saloniki,0.0,out,Winter,2001,2001/2002
Nassim Akrour,27,Centre-Forward,FC Istres,0.0,in,Summer,2002,2002/2003
Nicolas Florentin,24,Left Winger,AS Nancy,0.0,in,Summer,2002,2002/2003
Gaël Sanz,25,Centre-Back,AS Beauvais,0.0,in,Summer,2002,2002/2003
David Linarès,26,Defensive Midfield,Olympique Lyon,0.0,in,Summer,2002,2002/2003
David Régis,33,Centre-Back,FC Metz,0.0,in,Summer,2002,2002/2003
Gérald Baticle,32,Centre-Forward,FC Metz,0.0,in,Summer,2002,2002/2003
Eric Marester,18,Right-Back,Troyes B,0.0,in,Summer,2002,2002/2003
Eddy Heurlié,24,Goalkeeper,Troyes B,0.0,in,Summer,2002,2002/2003
Nordin Jbari,27,Centre-Forward,Aris Saloniki,0.0,in,Summer,2002,2002/2003
Farid Ghazi,28,Centre-Forward,FC Baniyas,0.0,in,Summer,2002,2002/2003
Michael Svensson,26,Centre-Back,Southampton,3000000.0,out,Summer,2002,2002/2003
Fabio Celestini,26,Defensive Midfield,Marseille,3000000.0,out,Summer,2002,2002/2003
Hervé Sekli,25,Goalkeeper,AC Ajaccio,0.0,out,Summer,2002,2002/2003
Marc Pfertzel,21,Right-Back,FC Sète 34,0.0,out,Summer,2002,2002/2003
Patrice Loko,32,Centre-Forward,FC Lorient,0.0,out,Summer,2002,2002/2003
Yannick Zambernardi,24,Centre-Back,Hibernian FC,0.0,out,Summer,2002,2002/2003
Pascal Renier,30,Left-Back,Exc. Mouscron,0.0,out,Summer,2002,2002/2003
Nicolas Bonnal,25,Left Midfield,LOSC Lille,0.0,out,Summer,2002,2002/2003
Édouard Thomas,30,defence,Retired,0.0,out,Summer,2002,2002/2003
Selim Benachour,21,Attacking Midfield,Paris SG,0.0,in,Winter,2002,2002/2003
Laurent Leroy,26,Centre-Forward,Paris SG,0.0,in,Winter,2002,2002/2003
Nordin Jbari,27,Centre-Forward,Grenoble,0.0,out,Winter,2002,2002/2003
Ibrahima Bangoura,20,Right Winger,Wasquehal,0.0,out,Winter,2002,2002/2003
Mamadou Niang,23,Centre-Forward,FC Metz,0.0,out,Winter,2002,2002/2003
Olivier Thomas,28,Left-Back,Le Mans UC 72,0.0,out,Winter,2002,2002/2003
Farid Ghazi,28,Centre-Forward,JS Kabylie,0.0,out,Winter,2002,2002/2003
Florian Boucansaud,24,Centre-Back,OGC Nice,250000.0,in,Summer,2005,2005/2006
Georges Ba,26,Centre-Forward,OGC Nice,0.0,in,Summer,2005,2005/2006
Éloge Enza-Yamissi,22,Defensive Midfield,Nîmes Olympique,0.0,in,Summer,2005,2005/2006
Sylvain Meslien,24,Centre-Back,Saint-Étienne,0.0,in,Summer,2005,2005/2006
Auriol Guillaume,25,Left-Back,Guingamp,0.0,in,Summer,2005,2005/2006
Gaël Danic,23,Left Winger,Grenoble,0.0,in,Summer,2005,2005/2006
Blaise Kouassi,30,Centre-Back,Guingamp,0.0,in,Summer,2005,2005/2006
Ronan Le Crom,30,Goalkeeper,Guingamp,0.0,in,Summer,2005,2005/2006
Zied Jaziri,27,Centre-Forward,Gaziantepspor,0.0,in,Summer,2005,2005/2006
Ibrahima Faye,25,Centre-Back,SM Caen,0.0,in,Summer,2005,2005/2006
Stéphen Drouin,21,Left-Back,FC Nantes,0.0,in,Summer,2005,2005/2006
Branko Boskovic,25,Central Midfield,Paris SG,0.0,in,Summer,2005,2005/2006
Quentin Westberg,19,Goalkeeper,Troyes B,0.0,in,Summer,2005,2005/2006
Karim Ziani,22,Attacking Midfield,FC Lorient,0.0,in,Summer,2005,2005/2006
Damien Perquis,21,Centre-Back,Saint-Étienne,600000.0,out,Summer,2005,2005/2006
Frédéric Garny,30,Right Winger,Angers SCO,0.0,out,Summer,2005,2005/2006
